sample_code;Code;FW..g.;DW..g.;Bark....;Water.content..g.;Water.percentage;Plot;SubPlot;Class;Species;DiamClass;sample_density;Ntotal (g/100g);Ctotal (g/100g);Al (mg/Kg);As (mg/Kg);Be (mg/Kg);Bi (mg/Kg);B (mg/Kg);Ca (g/100g);Cd (mg/Kg);Co (mg/Kg);Cr (mg/Kg);Cu (mg/Kg);Fe (mg/Kg);K (g/100g);La (mg/Kg);Li (mg/Kg);Mg (g/100g);Mn (mg/Kg);Mo (mg/Kg);Na (g/100g);Ni (mg/Kg);Pb (mg/Kg);P (g/100g);Rb (mg/Kg);Sb (mg/Kg);Se (mg/Kg);Si (mg/Kg);S (g/100g);Sr (mg/Kg);Ti (mg/Kg);Tl (mg/Kg);V (mg/Kg);Zn (mg/Kg)
7;11AA1;3126.7;201.76;96;2924.94;93.54719033;1;1;1;AA;10;328.8176775;0.10028;46.92;6.132739212;4.69E-02;<0,01;<0,01;<0,01;0.042026266;0.164165103;<0,01;4.69E-02;2.450750469;6.179643527;0.088719512;<0,01;2.35E-02;0.010272045;38.8250469;<0,01;1.05E-03;0.152439024;0.515947467;0.003125;1.782363977;<0,01;<0,01;12.3358349;0.004848734;2.896341463;0.316604128;<0,01;<0,01;5.112570356
43;12AA1;191.9;150.05;100;41.85;21.80823345;1;2;1;AA;10;427.8706502;0.11;48.215;28.4713509;<0,01;<0,01;<0,01;<0,01;0.113341698;9.41E-02;<0,01;0.428690924;1.150146382;9.713508992;0.087672522;<0,01;<0,01;0.015809285;54.31827687;<0,01;4.09E-04;6.27E-02;0.627352572;0.005202844;1.589293183;8.36E-02;<0,01;21.06859055;0.008374111;5.719364283;0.637808448;2.289836888;<0,01;10.17356754
79;13AA1;459;302.82;90;156.18;34.02614379;1;3;1;AA;10;485.7173078;0.1891;47.7;10.75221239;<0,01;<0,01;<0,01;<0,01;0.070652655;9.96E-02;1.11E-02;<0,01;1.150442478;2.522123894;0.112721239;<0,01;8.85E-02;0.012278761;44.4579646;<0,01;<0,01;<0,01;0.298672566;0.00360177;2.444690265;<0,01;<0,01;5.674778761;0.006337389;4.258849558;0.298672566;<0,01;<0,01;7.345132743
115;14AA1;478.7;302.63;100;176.07;36.78086484;1;4;1;AA;10;447.3562075;0.145;48.94;14.8593899;<0,01;<0,01;<0,01;<0,01;0.060855577;8.34E-02;<0,01;3.57E-02;0.81029552;74.02287893;0.150142993;<0,01;0.20257388;0.012094852;35.36701621;<0,01;<0,01;<0,01;0.333651096;0.004536463;3.372259295;<0,01;<0,01;20.31696854;0.005798379;3.717826501;0.726882745;<0,01;<0,01;4.671115348
127;15AA1;561;351.36;100;209.64;37.36898396;1;5;1;AA;10;498.2907624;0.16805;49.03;6.871455577;<0,01;<0,01;<0,01;<0,01;0.065406427;<0,01;<0,01;<0,01;0.538752363;1.001890359;0.143572779;<0,01;<0,01;0.013137996;37.23062382;<0,01;2.48E-04;<0,01;0.160680529;0.002067108;2.41020794;<0,01;<0,01;40.76559546;0.00579017;3.894139887;0.72778828;2.003780718;<0,01;5.179584121
140;31AA1;496.6;285.63;98;210.97;42.48288361;3;1;1;AA;10;423.8394163;0.1887;50.77;4.918032787;<0,01;<0,01;<0,01;<0,01;0.068627049;5.12E-02;5.12E-02;0.12295082;0.840163934;2.551229508;0.159836066;<0,01;3.07E-02;0.018401639;18.7704918;<0,01;<0,01;<0,01;6.15E-02;0.001455943;2.274590164;<0,01;<0,01;6.803278689;0.005904713;3.534836066;0.368852459;<0,01;<0,01;2.459016393
152;32AA1;430.1;234.08;95;196.02;45.57544757;3;2;1;AA;10;412.2249301;0.15502;48.52;16.77970065;0.116931712;<0,01;<0,01;<0,01;0.118451824;0.163704397;7.02E-02;2.34E-02;1.531805426;9.857343312;0.192352666;<0,01;0.280636109;0.021796071;33.17352666;<0,01;8.02E-04;5.85E-02;0.19878391;0.007811038;2.701122544;<0,01;<0,01;77.97006548;0.01092493;5.81150608;2.022918616;<0,01;<0,01;4.981290926
164;33AA1;2230;242.93;93;1987.07;89.10627803;3;3;1;AA;10;413.9267836;0.2335;47.63;5.128458498;<0,01;<0,01;<0,01;<0,01;0.04229249;3.95E-02;<0,01;6.92E-02;0.958498024;2.608695652;0.067322134;<0,01;0.187747036;0.012213439;19.03162055;<0,01;<0,01;0.108695652;0.148221344;0.001604743;1.314229249;<0,01;<0,01;9.328063241;0.005800395;3.37944664;0.158102767;<0,01;<0,01;2.588932806
176;34AA1;303.8;194.45;97;109.35;35.99407505;3;4;1;AA;10;475.9350816;0.10062;48.857;30.03144654;4.19E-02;<0,01;<0,01;<0,01;0.044633124;7.34E-02;1.05E-02;6.29E-02;0.974842767;11.29979036;0.084119497;<0,01;0.146750524;0.011446541;20.6918239;<0,01;3.92E-04;2.10E-02;0.178197065;0.001249476;1.41509434;<0,01;<0,01;164.2557652;0.005942348;3.57442348;3.888888889;<0,01;<0,01;2.389937107
188;35AA1;434.6;231.93;98;202.67;46.63368615;3;5;1;AA;10;406.7456795;0.1042;47.99;9.674615002;<0,01;<0,01;<0,01;<0,01;0.060606061;0.136612022;<0,01;0.173869846;1.453055142;6.50769995;0.114157973;<0,01;0.260804769;0.01609538;21.27421759;<0,01;<0,01;0.571286637;0.124192747;0.002281421;1.850471932;<0,01;<0,01;12.22056632;0.006038251;3.489816195;0.63338301;<0,01;<0,01;5.84947839
