Number;DW;E_W;Device_w;Eth_percentage;Total volume displaced;Ethanol density (g/cm3 20ºC;volume of the sample;Density_g_cm3;Density_kg_m3
488;3.458;5.37;0.87;96;4.5;0.805;5.590062112;0.618597778;618.5977778
234;;;;;;;;;
197;3.586;4.98;0.87;96;4.11;0.805;5.105590062;0.702367397;702.3673966
476;1.656;2.78;0.87;96;1.91;0.805;2.372670807;0.697947644;697.947644
479;2.443;3.72;0.87;96;2.85;0.805;3.540372671;0.690040351;690.0403509
309;2.9;3.46;0.87;96;2.59;0.805;3.217391304;0.901351351;901.3513514
230;3.678;5.32;0.87;96;4.45;0.805;5.527950311;0.665346067;665.3460674
477;1.595;2.83;0.87;96;1.96;0.805;2.434782609;0.655089286;655.0892857
225;2.239;3.3;0.99;96;2.31;0.805;2.869565217;0.780257576;780.2575758
196;3.331;4.82;0.99;96;3.83;0.805;4.757763975;0.700118799;700.118799
552;3.772;4.77;0.99;96;3.78;0.805;4.695652174;0.803296296;803.2962963
244;2.84;4.08;0.99;96;3.09;0.805;3.838509317;0.73987055;739.8705502
496;5.134;6.86;0.99;96;5.87;0.805;7.291925466;0.70406644;704.0664395
257;4.621;6.59;0.99;96;5.6;0.805;6.956521739;0.66426875;664.26875
223;4.472;6.11;0.99;96;5.12;0.805;6.360248447;0.703117188;703.1171875
310;4.813;6.58;0.99;96;5.59;0.805;6.944099379;0.69310644;693.1064401
210;5.796;7.52;0.99;96;6.53;0.805;8.111801242;0.714514548;714.5145482
501;1.741;2.9;1.08;96;1.82;0.805;2.260869565;0.770057692;770.0576923
194;1.836;3.05;1.08;96;1.97;0.805;2.447204969;0.750243655;750.2436548
323;1.834;3.14;1.08;96;2.06;0.805;2.559006211;0.716684466;716.684466
535;4.672;6.34;1.08;96;5.26;0.805;6.534161491;0.715011407;715.0114068
321;4.357;5.61;1.08;96;4.53;0.805;5.627329193;0.774257174;774.2571744
322;2.381;4.04;1.08;96;2.96;0.805;3.677018634;0.647535473;647.535473
313;4.571;6.32;1.08;96;5.24;0.805;6.50931677;0.702224237;702.2242366
508;7.073;9.03;1.08;96;7.95;0.805;9.875776398;0.716196855;716.1968553
224;4.419;5.97;1.08;96;4.89;0.805;6.074534161;0.72746319;727.4631902
536;5.03;6.82;1.08;96;5.74;0.805;7.130434783;0.705426829;705.4268293
487;3.734;5.03;1.11;96;3.92;0.805;4.869565217;0.766803571;766.8035714
229;2.022;3.83;1.11;96;2.72;0.805;3.378881988;0.598422794;598.4227941
502;3.457;5.16;1.11;96;4.05;0.805;5.031055901;0.687132099;687.1320988
228;4.77;6.89;1.11;96;5.78;0.805;7.180124224;0.66433391;664.33391
320;1.604;3.85;1.11;96;2.74;0.805;3.403726708;0.471248175;471.2481752
195;2.772;4.32;1.11;96;3.21;0.805;3.98757764;0.695158879;695.1588785
514;4.75;7.65;1.11;96;6.54;0.805;8.124223602;0.584671254;584.6712538
314;4.822;6.29;1.11;96;5.18;0.805;6.434782609;0.749364865;749.3648649
212;3.429;5.19;1.11;96;4.08;0.805;5.068322981;0.676555147;676.5551471
515;2.35;4.18;1.11;96;3.07;0.805;3.813664596;0.616205212;616.2052117
505;2.45;3.99;1.11;96;2.88;0.805;3.577639752;0.684809028;684.8090278
542;2.396;3.97;1.11;96;2.86;0.805;3.552795031;0.674398601;674.3986014
484;3.894;4.58;0.71;96;3.87;0.805;4.807453416;0.809992248;809.9922481
72;6.682;8.15;0.71;96;7.44;0.805;9.242236025;0.722985215;722.9852151
213;1.583;2.55;0.71;96;1.84;0.805;2.285714286;0.6925625;692.5625
598;2.493;4.12;0.71;96;3.41;0.805;4.236024845;0.58852346;588.5234604
800;3.777;5.24;0.71;96;4.53;0.805;5.627329193;0.671188742;671.1887417
312;5.661;5.9;0.71;96;5.19;0.805;6.447204969;0.878054913;878.0549133
