"","sample_code","Code","D1..cm.","D2..cm.","D3..cm.","D4..cm.","Length..cm.","FW..g.","DW..g.","Bark....","Water.content..g.","Water.percentage","Notes","X14","X15","X16","X17","X18","DW","E_W","Device_w","Eth_percentage","Total.volume.displaced","Ethanol.density..g.cm3.20ºC","volume.of.the.sample","Density_g_cm3","Density_kg_m3","vol_withfield","Plot","SubPlot","Class","Species","DiamClass","sample_length","meanradius","samplevolume","sample_density","type"
"1","13","01-P1S1C1AA-S",1.3,1.4,1,1,39,7.93,6.52,100,1.41,17.780580075662,NA,NA,NA,NA,NA,NA,"2.296",5.53,"2.52",98,3.01,0.805,3.739130435,0.614046512,614.0465116,51.7655929495258,"1","1","1","AA","01",10,0.5875,10.843403393406,601.287230904356,"AA011"
"2","49","01-P1S2C1AA-S",0.9,0.8,1.3,1.4,42.8,7.45,6.16,100,1.29,17.3154362416107,NA,NA,NA,NA,NA,NA,"2.243",5.37,"2.410",98,2.96,0.805,3.677018634,0.610005068,610.0050676,27.2281835286627,"1","2","1","AA","01",10,0.55,9.50331777710913,648.194677319719,"AA011"
"3","97","01-P1S3C1AA-S",1,1,1.3,1.2,53.9,9.59,7.99,100,1.6,16.6840458811262,NA,NA,NA,NA,NA,NA,"3.651",6.29,"1.99",96,4.3,0.805,5.341614907,0.683501163,683.5011628,42.3329610071225,"1","3","1","AA","01",10,0.5625,9.94019550549895,803.807127896016,"AA011"
"4","200","01-P1S4C1AA-S",0.6,0.7,0.9,1,38,5.23,3.54,100,1.69,32.3135755258126,NA,NA,NA,NA,NA,NA,"1.176",3.8,"2.410",98,1.39,0.805,1.726708075,0.681064748,681.0647482,10.7442468752771,"1","4","1","AA","01",10,0.4,5.02654824574367,704.260623181637,"AA011"
"5","204","01-P1S5C1AA-S",1.4,1.2,1,1.1,41.2,8.57,5.71,97,2.86,33.3722287047841,NA,NA,NA,NA,NA,NA,"2.033",4.55,"2.35",96,2.2,0.805,2.732919255,0.743893182,743.8931818,63.4224724906707,"1","5","1","AA","01",10,0.5875,10.843403393406,526.587436880962,"AA011"
"6","208","01-P3S1C1AA-S",0.8,0.9,1,1,41.1,6.75,4.49,99,2.26,33.4814814814815,NA,NA,NA,NA,NA,NA,"1.691",4.39,"2.35",96,2.04,0.805,2.534161491,0.667281863,667.2818627,20.6591132900065,"3","1","1","AA","01",10,0.4625,6.72006303556942,668.148494476071,"AA011"
"7","194","01-P3S2C1AA-S",1.2,1.1,0.9,0.8,37.2,6.93,4.93,100,2,28.8600288600289,NA,NA,NA,NA,NA,NA,"1.836",3.05,"1.08",96,1.97,0.805,2.447204969,0.750243655,750.2436548,42.0722088168745,"3","2","1","AA","01",10,0.5,7.85398163397448,627.707095554435,"AA011"
"8","252","01-P3S3C1AA-S",1.2,1.2,0.9,0.9,38.8,8.22,5.63,100,2.59,31.5085158150852,NA,NA,NA,NA,NA,NA,"3.920",7.15,"2.36",98,4.79,0.805,5.950310559,0.658789144,658.7891441,43.8817661853422,"3","3","1","AA","01",10,0.525,8.65901475145687,650.189445520088,"AA011"
"9","276","01-P3S4C1AA-S",1.3,1.4,1.1,1,37.8,9.48,6.65,96,2.83,29.8523206751055,NA,NA,NA,NA,NA,NA,"2.766",5.46,"2.24",96,3.22,0.805,4,0.6915,691.5,50.1728054741558,"3","4","1","AA","01",10,0.6,11.3097335529233,587.989095311724,"AA011"
"10","300","01-P3S5C1AA-S",1.2,1.1,0.8,0.8,31.8,8.29,5.6,100,2.69,32.4487334137515,NA,NA,NA,NA,NA,NA,"3.605",6.94,"2.49",98,4.45,0.805,5.527950311,0.652140449,652.1404494,35.964952698296,"3","5","1","AA","01",10,0.4875,7.46619129079699,750.04775284859,"AA011"
