"Type","Month","RespCorrectedWeight_GrCO2_KGr_Year.length","RespCorrectedWeight_GrCO2_KGr_Year.mean","RespCorrectedWeight_GrCO2_KGr_Year.sd","se"
"10_1_AA_1",10,26,1.92597375576029,1.0728238709708,0.21039807125878
"10_1_AA_2",10,32,2.02180423252532,0.927508608665705,0.163961906699105
"10_1_AA_4",10,36,2.56439149720046,1.6261559622192,0.271025993703199
"10_1_FS_1",10,39,2.39877969565844,1.32154406897944,0.21161641193774
"10_1_FS_2",10,35,2.76044269742729,1.81793505705491,0.307287109658017
"10_1_FS_4",10,32,3.11156064156682,2.03513237710445,0.359763976115714
"10_10_AA_1",10,48,1.08090212295835,0.47809476709631,0.0690070356203016
"10_10_AA_2",10,46,0.830734967925727,0.570572389657089,0.0841263092590154
"10_10_AA_4",10,42,2.28917290883973,1.75307057572091,0.27050466255371
"10_10_FS_1",10,47,2.20174784717457,1.14077239689558,0.166398755974207
"10_10_FS_2",10,50,2.48230555383859,1.41205656708375,0.199694954800784
"10_10_FS_4",10,47,2.42798884167572,1.3174425752861,0.192168750043071
"10_25_AA_1",10,19,36.2843947971722,66.7433007683798,15.3119633267215
"10_25_AA_2",10,21,20.0130240635875,32.5233516183393,7.09717717355735
"10_25_AA_4",10,26,25.2714360389218,27.3022180475932,5.35440548419396
"10_25_FS_1",10,20,13.1231740359245,10.6620334210052,2.38410315077423
"10_25_FS_2",10,27,12.5769904220193,10.0286778632248,1.93001995464962
"10_25_FS_4",10,21,33.9911743526045,42.7881882776387,9.33714817296674
"12_1_AA_1",12,13,1.77164297079397,0.976922758294296,0.270949622861369
"12_1_AA_2",12,15,1.43511766458732,0.82569953962004,0.213194704394637
"12_1_AA_4",12,18,3.01506036854706,2.72369060482128,0.641980032174406
"12_1_FS_1",12,17,2.58002094779945,2.30308772466865,0.558580820816018
"12_1_FS_2",12,14,1.7309851210298,1.0798815955267,0.288610496338837
"12_1_FS_4",12,20,3.08838425314908,1.63600151390598,0.365821059638633
"12_10_AA_1",12,22,0.7652430599934,0.350233734082904,0.0746700829983756
"12_10_AA_2",12,19,0.506980459026322,0.26829665457458,0.0615514739042439
"12_10_AA_4",12,19,1.27392879959969,0.711429972416825,0.163213229219519
"12_10_FS_1",12,21,1.19127925994105,0.546703632631991,0.119300513297306
"12_10_FS_2",12,22,1.67622193178471,1.01680870234861,0.216784343737342
"12_10_FS_4",12,18,1.47009202935583,0.73636166363913,0.173562108588345
"12_25_AA_1",12,24,14.5097931782953,16.5129557182935,3.37069297124939
"12_25_AA_2",12,18,24.0518614778553,15.2065013903868,3.58420675042171
"12_25_AA_4",12,20,29.7181545596853,26.4553983824801,5.91560691550635
"12_25_FS_1",12,22,14.8435857488254,10.3243070563667,2.20114966029267
"12_25_FS_2",12,18,18.025515369536,19.697318799844,4.64270256485431
"12_25_FS_4",12,25,24.912739714715,34.9074506792157,6.98149013584315
"4_1_AA_1",4,33,1.69990150954256,0.910361206249958,0.158473544856994
"4_1_AA_2",4,33,2.94777747106211,7.46809846870823,1.30002907587906
"4_1_AA_4",4,33,2.7876124748357,2.25398253164563,0.392367995673961
"4_1_FS_1",4,42,2.79250109159533,1.85201231675878,0.285771704646934
"4_1_FS_2",4,34,3.05974418522487,3.22553671440949,0.553174982846444
"4_1_FS_4",4,34,3.81181080185994,2.90666418658712,0.498488795484093
"4_10_AA_1",4,52,1.32834736563027,0.883203625751813,0.122478306127841
"4_10_AA_2",4,49,0.989486043864742,0.600399450346283,0.085771350049469
"4_10_AA_4",4,42,3.62081348590922,2.28772077921883,0.353002980011353
"4_10_FS_1",4,49,2.44288076047742,1.47504191354502,0.210720273363575
"4_10_FS_2",4,50,4.20028070743101,2.09240851746576,0.295911250342506
"4_10_FS_4",4,54,4.14519468501216,3.23412389663016,0.440108517315863
"4_25_AA_1",4,22,2.47474390861399,2.53721840797728,0.540936782131398
