"","V1","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot2","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,1,126,"25-P1S5C4FS",22.5,21.3,22.4,20.8,99.7,1608.3,447.08,40,1161.22,72.20170366,NA,25,1,5,4,"FS",7555.59302,37043.36642,1,"90_126_4_27",0.481656805,0.92797311,4,27,16,39,126,0,0.88821,2022-04-27,"16:39:00",2020-04-27 22:16:39,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.028690695,0.000365301,7.45e-05
"2",2,6,121,"25-P1S5C1AA",22.3,21.9,21.2,19.8,100.5,1330.4,882.69,100,447.71,33.65228503,NA,25,1,5,1,"AA",7438.923271,35827.73186,6,"25_121_4_27",0.76043956,0.955282477,4,27,10,6,121,0,0.88821,2022-04-27,"10:06:00",2020-04-27 22:10:06,"1_5",55688,4,5.875,10.5,16.25,2626,202,0,94206488,13,"TMS-94206488",1,5,"1_5",290.4,1.5637,0.044321976,0.000564325,0.000117171
"3",3,7,122,"25-P1S5C2AA",23.6,23.2,24.4,23.4,99.4,1265.2,765.03,100,500.17,39.53288018,NA,25,1,5,2,"AA",8263.990688,43667.13833,7,"26_122_4_27",0.973626374,0.992836365,4,27,10,8,122,0,0.88821,2022-04-27,"10:08:00",2020-04-27 22:10:08,"1_5",55697,4,6.0625,8.375,9,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.15,1.5637,0.05820051,0.000741032,0.00014024
"4",4,8,123,"25-P1S5C4AA",20.8,20.1,18.9,20.8,99.6,900.9,446.72,90,454.18,50.41403041,NA,25,1,5,4,"AA",6942.936584,31763.72362,8,"27_123_4_27",1.294505495,0.997057006,4,27,10,10,123,0,0.88821,2022-04-27,"10:10:00",2020-04-27 22:10:10,"1_5",55697,4,6.0625,8.375,9,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.15,1.5637,0.077381716,0.000985255,0.000215358
"5",5,9,124,"25-P1S5C1FS",28.1,24.6,26.2,22.6,100.4,2083.3,1260.38,100,822.92,39.50079201,NA,25,1,5,1,"FS",9016.970181,50798.32249,9,"28_124_4_27",0.32967033,0.901442308,4,27,10,13,124,0,0.88821,2022-04-27,"10:13:00",2020-04-27 22:10:13,"1_5",55697,4,6.0625,8.375,9,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.15,1.5637,0.019706719,0.000250914,4.45e-05
"6",6,10,125,"25-P1S5C2FS",19.8,22.2,20.1,19.8,100.1,1279.7,811.14,100,468.56,36.6148316,NA,25,1,5,2,"FS",7097.882949,32966.05256,10,"29_125_4_27",0.567032967,0.977157957,4,27,10,15,125,0,0.88821,2022-04-27,"10:15:00",2020-04-27 22:10:15,"1_5",55693,4,6,9.375,11,2619,202,0,94206488,13,"TMS-94206488",1,5,"1_5",285.15,1.5637,0.033657818,0.000428545,9.23e-05
"7",7,11,126,"25-P1S5C4FS",22.5,21.3,22.4,20.8,99.7,1608.3,447.08,40,1161.22,72.20170366,NA,25,1,5,4,"FS",7555.59302,37043.36642,11,"30_126_4_27",0.501098901,0.925641026,4,27,10,18,126,0,0.88821,2022-04-27,"10:18:00",2020-04-27 22:10:18,"1_5",55689,4,5.875,10.9375,15,2627,202,0,94206488,13,"TMS-94206488",1,5,"1_5",289.15,1.5637,0.029332649,0.000373475,7.62e-05
"8",8,36,121,"25-P1S5C1AA",22.3,21.9,21.2,19.8,100.5,1330.4,882.69,100,447.71,33.65228503,NA,25,1,5,1,"AA",7438.923271,35827.73186,36,"55_121_4_27",1.123076923,0.995106801,4,27,12,51,121,0,0.88821,2022-04-27,"12:51:00",2020-04-27 22:12:51,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0.067119407,0.000854591,0.000177439
"9",9,37,122,"25-P1S5C2AA",23.6,23.2,24.4,23.4,99.4,1265.2,765.03,100,500.17,39.53288018,NA,25,1,5,2,"AA",8263.990688,43667.13833,37,"56_122_4_27",0,0.169407342,4,27,12,53,122,0,0.8872231,2022-04-27,"12:53:00",2020-04-27 22:12:53,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0,0,0
"10",10,38,123,"25-P1S5C4AA",20.8,20.1,18.9,20.8,99.6,900.9,446.72,90,454.18,50.41403041,NA,25,1,5,4,"AA",6942.936584,31763.72362,38,"57_123_4_27",1.404395604,0.993808185,4,27,12,55,123,0,0.8872231,2022-04-27,"12:55:00",2020-04-27 22:12:55,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0.083838838,0.001067469,0.000233328
"11",11,39,124,"25-P1S5C1FS",28.1,24.6,26.2,22.6,100.4,2083.3,1260.38,100,822.92,39.50079201,NA,25,1,5,1,"FS",9016.970181,50798.32249,39,"58_124_4_27",0.325274725,0.936068376,4,27,12,58,124,0,0.88821,2022-04-27,"12:58:00",2020-04-27 22:12:58,"1_5",55699,4,6.125,8.25,9.0625,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.2125,1.5637,0.019439672,0.000247514,4.39e-05
"12",12,40,125,"25-P1S5C2FS",19.8,22.2,20.1,19.8,100.1,1279.7,811.14,100,468.56,36.6148316,NA,25,1,5,2,"FS",7097.882949,32966.05256,40,"59_125_4_27",0.637362637,0.974281742,4,27,13,0,125,0,0.88821,2022-04-27,"13:00:00",2020-04-27 22:13:00,"1_5",55704,4,6.125,8.5,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.037965574,0.000483393,0.000104079
"13",13,41,126,"25-P1S5C4FS",22.5,21.3,22.4,20.8,99.7,1608.3,447.08,40,1161.22,72.20170366,NA,25,1,5,4,"FS",7555.59302,37043.36642,41,"60_126_4_27",0.56043956,0.965120594,4,27,13,2,126,0,0.88821,2022-04-27,"13:02:00",2020-04-27 22:13:02,"1_5",55700,4,6.125,8.25,9.4375,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",283.5875,1.5637,0.033449738,0.000425895,8.69e-05
"14",14,66,121,"25-P1S5C1AA",22.3,21.9,21.2,19.8,100.5,1330.4,882.69,100,447.71,33.65228503,NA,25,1,5,1,"AA",7438.923271,35827.73186,66,"85_121_4_27",0.87032967,0.990375142,4,27,16,15,121,0,0.88821,2022-04-27,"16:15:00",2020-04-27 22:16:15,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.051842645,0.000660081,0.000137053
"15",15,67,122,"25-P1S5C2AA",23.6,23.2,24.4,23.4,99.4,1265.2,765.03,100,500.17,39.53288018,NA,25,1,5,2,"AA",8263.990688,43667.13833,67,"86_122_4_27",0.189010989,0.862004662,4,27,16,17,122,0,0.88821,2022-04-27,"16:17:00",2020-04-27 22:16:17,"1_5",55705,4,6.125,8.375,10,2618,202,0,94206488,13,"TMS-94206488",1,5,"1_5",284.15,1.5637,0.011258756,0.000143351,2.71e-05
