"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",7423.42375913584,35801.8516796971,4,"1_134_7_27",6.8,0.997361577635713,7,27,8,30,134,0,0.8990659,"2021-7-27","8:30:00",2021-07-27 08:30:00,"3_1",29381,4,14.5,18.625,21.75,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",295.9,1.5637,0.393723049273358,0.00501303756008551,0.00103944070999218
"2",2,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,5,"2_135_7_27",6.77142857142856,0.99856682780737,7,27,8,33,135,0,0.8990659,"2021-7-27","8:33:00",2021-07-27 08:33:00,"3_1",29478,4,15,19.25,22.75,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.9,1.5637,0.390748209316393,0.00497516072136084,0.00096919054115768
"3",3,137,"25-P3S1C1FS",25.4,24.4,26.2,26.6,99,2287.2,1386.8,98,900.4,39.3669115075201,NA,25,3,1,1,"FS",9012.17804657291,51170.960146036,6,"4_137_7_27",3.73626373626373,0.994665289967304,7,27,8,40,137,0,0.8990659,"2021-7-27","8:40:00",2021-07-27 08:40:00,"3_1",29478,4,15,19.25,22.75,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.9,1.5637,0.215602712053836,0.00274513898939092,0.000483471118469851
"4",4,138,"25-P3S1C2FS",23.1,24,22.9,25,100.5,1273.8,825.18,100,448.62,35.2190296749882,NA,25,3,1,2,"FS",8384.69394828174,44523.924413447,7,"5_138_7_27",7.2021978021978,0.995602144042855,7,27,8,44,138,0,0.8990659,"2021-7-27","8:44:00",2021-07-27 08:44:00,"3_1",29382,4,14.5,18.5625,21.6875,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",295.8375,1.5637,0.417098581940473,0.00531066408579569,0.00100009811821709
"5",5,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",8143.32662789345,42399.981650399,8,"6_139_7_27",4.77802197802195,0.984083186194488,7,27,8,47,139,0,0.8990659,"2021-7-27","8:47:00",2021-07-27 08:47:00,"3_1",29479,4,15,19.25,23,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",297.15,1.5637,0.275485852627204,0.0035075948158004,0.000673667514738172
"6",29,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",7423.42375913584,35801.8516796971,32,"31_134_7_27",9.39285714285715,0.575664766343473,7,27,11,36,134,0,0.8990659,"2021-7-27","11:36:00",2021-07-27 11:36:00,"3_1",29490,4,15.25,19.0625,22.25,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.4,1.5637,0.542933213683894,0.0069128403781248,0.00143336003861461
"7",30,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,33,"32_135_7_27",4.64285714285716,0.938055062166963,7,27,11,40,135,0,0.9000528,"2021-7-27","11:40:00",2021-07-27 11:40:00,"3_1",29490,4,15.25,19.0625,22.25,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.4,1.5637,0.268664617974493,0.0034207441587629,0.000666381061451729
"8",31,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,34,"33_135_7_27",4.84864165588616,0.89239387773823,7,27,11,48,135,0,0.9000528,"2021-7-27","11:48:00",2021-07-27 11:48:00,"3_1",29491,4,15.25,19.0625,22.25,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.4,1.5637,0.280572590991294,0.0035723611801892,0.000695916948084287
"9",32,136,"25-P3S1C4AA",19.9,22,19.5,20,98.5,1086.9,436.98,70,649.92,59.7957493789677,NA,25,3,1,4,"AA",6948.42835071496,32046.511922065,35,"34_136_7_27",2.63956043956042,0.806439096390761,7,27,11,51,136,0,0.9000528,"2021-7-27","11:51:00",2021-07-27 11:51:00,"3_1",29491,4,15.25,19.0625,22.25,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.4,1.5637,0.152741399378633,0.00194476389807062,0.0004216699975855
"10",33,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",8143.32662789345,42399.981650399,36,"36_139_7_27",3.6021978021978,0.994489866559554,7,27,12,22,139,0,0.8990659,"2021-7-27","12:22:00",2021-07-27 12:22:00,"3_1",29493,4,15.25,18.875,21.875,1916,202,0,94206490,15,"TMS-94206490",3,1,"3_1",296.025,1.5637,0.208480797423105,0.00265445995597018,0.000509814712193994
"11",34,140,"10-P3S1C1AA",13.7,13.1,12.1,13.5,40,496.6,285.63,98,210.97,42.4828836085381,NA,10,3,1,1,"AA",1915.9465783624,5392.22963062152,37,"37_140_7_27",0,0.916232650135195,7,27,12,30,140,0,0.9000528,"2021-7-27","12:30:00",2021-07-27 12:30:00,"3_1",29397,4,14.75,18.5625,21.625,1918,202,0,94206490,15,"TMS-94206490",3,1,"3_1",295.775,11.661397,0,0,0
"12",57,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",7423.42375913584,35801.8516796971,60,"62_134_7_27",2.35384615384615,0.98668071654373,7,27,15,36,134,0,0.9000528,"2021-7-27","15:36:00",2021-07-27 15:36:00,"3_1",29506,4,15.25,17.875,19.8125,1915,202,0,94206490,15,"TMS-94206490",3,1,"3_1",293.9625,1.5637,0.137337613280512,0.00174863680208292,0.000362575436008608
"13",58,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,61,"63_135_7_27",3.12087912087911,0.97613399816043,7,27,15,39,135,0,0.9000528,"2021-7-27","15:39:00",2021-07-27 15:39:00,"3_1",29506,4,15.25,17.875,19.8125,1915,202,0,94206490,15,"TMS-94206490",3,1,"3_1",293.9625,1.5637,0.182090953182377,0.00231845402330322,0.00045164846631926
"14",59,136,"25-P3S1C4AA",19.9,22,19.5,20,98.5,1086.9,436.98,70,649.92,59.7957493789677,NA,25,3,1,4,"AA",6948.42835071496,32046.511922065,62,"64_136_7_27",0.657142857142853,0.761994459833794,7,27,15,44,136,0,0.9000528,"2021-7-27","15:44:00",2021-07-27 15:44:00,"3_1",29410,4,14.875,18.25,21.1875,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",295.3375,1.5637,0.0381631795937387,0.000485908694115782,0.000105356294446769
"15",60,137,"25-P3S1C1FS",25.4,24.4,26.2,26.6,99,2287.2,1386.8,98,900.4,39.3669115075201,NA,25,3,1,1,"FS",9012.17804657291,51170.960146036,63,"65_137_7_27",1.03076923076923,0.919319582889265,7,27,15,48,137,0,0.8990659,"2021-7-27","15:48:00",2021-07-27 15:48:00,"3_1",29507,4,15.25,17.75,19.75,1915,202,0,94206490,15,"TMS-94206490",3,1,"3_1",293.9,1.5637,0.0600881388285724,0.000765065945260748,0.000134742644976412
"16",61,138,"25-P3S1C2FS",23.1,24,22.9,25,100.5,1273.8,825.18,100,448.62,35.2190296749882,NA,25,3,1,2,"FS",8384.69394828174,44523.924413447,64,"66_138_7_27",3.5032967032967,0.989815269304786,7,27,15,51,138,0,0.9000528,"2021-7-27","15:51:00",2021-07-27 15:51:00,"3_1",29507,4,15.25,17.75,19.75,1915,202,0,94206490,15,"TMS-94206490",3,1,"3_1",293.9,1.5637,0.204446974511907,0.00260309972750022,0.000490212729885802
"17",62,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",8143.32662789345,42399.981650399,65,"67_139_7_27",2.60879120879121,0.974266086289098,7,27,15,55,139,0,0.8990659,"2021-7-27","15:55:00",2021-07-27 15:55:00,"3_1",29507,4,15.25,17.75,19.75,1915,202,0,94206490,15,"TMS-94206490",3,1,"3_1",293.9,1.5637,0.152078082706856,0.00193631828789874,0.000371888657970079
