"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,3,"25-P1S1C4AA",23.1,21.2,24.1,19.5,99.1,1283.5,791.79,86,491.71,38.3100895987534,NA,25,1,1,4,"AA",7600.11430836216,37586.3786050469,1,"29_3_10_27",7.9761904761905,0.991106754274409,10,27,9,57,3,0,0.8921576,"2021-10-27","9:57:00",2021-10-27 09:57:00,"1_1",38315,4,5.5,5.8125,6.5,2319,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.65,1.5637,0.483178293885595,0.00615201710932808,0.0012439621744143
"2",2,4,"25-P1S1C1FS",27.3,24.4,26.1,22.8,99.6,2879.7,1879.84,98,999.86,34.7209778796402,NA,25,1,1,1,"FS",8864.02916360187,49492.2650341554,2,"30_4_10_27",5.99340659340658,0.997899139648304,10,27,9,59,4,0,0.8921576,"2021-10-27","9:59:00",2021-10-27 09:59:00,"1_1",38219,4,5.5625,4.875,5,2324,202,0,94206489,14,"TMS-94206489",1,1,"1_1",279.15,1.5637,0.365016969397572,0.00464754039936374,0.00083237115154354
"3",3,5,"25-P1S1C2FS",29.4,29.3,30.4,29.8,99.7,3243,2073.36,94,1169.64,36.0666049953747,NA,25,1,1,2,"FS",10698.5731075912,69191.3502170752,3,"31_5_10_27",5.00659340659341,0.99080543166127,10,27,10,2,5,0,0.8931445,"2021-10-27","10:2:00",2021-10-27 10:02:00,"1_1",38123,4,5.625,5.75,6.25,2333,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.4,1.5637,0.303893498172958,0.00386929219261713,0.000598281508707001
"4",4,6,"25-P1S1C4FS",32.2,32.4,29.9,31.9,99.9,2639.3,1230.34,85,1408.96,53.3838517788808,NA,25,1,1,4,"FS",11487.0528854233,78361.1076270435,4,"32_6_10_27",5.48351648351647,0.992667841916886,10,27,10,6,6,0,0.8931445,"2021-10-27","10:6:00",2021-10-27 10:06:00,"1_1",38123,4,5.625,5.75,6.25,2333,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.4,1.5637,0.332842088648607,0.00423787709419653,0.000621235709615713
"5",31,1,"25-P1S1C1AA",27.3,26.4,24.2,24.8,102,1658.2,1050.18,100,608.02,36.6674707514172,NA,25,1,1,1,"AA",9265.55224872127,52846.2340635168,31,"57_1_10_27",32.621978021978,0.998393812164491,10,27,12,21,1,0,0.8931445,"2021-10-27","12:21:00",2021-10-27 12:21:00,"1_1",38132,4,5.75,6,6.8125,2332,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.9625,1.5637,1.97614599635665,0.0251610722873136,0.00441150129320005
"6",32,2,"25-P1S1C2AA",25.6,25.8,25.4,25.2,99.2,1519.4,918.18,98,601.22,39.5695669343162,NA,25,1,1,2,"AA",8968.46207118898,50662.9902702905,32,"58_2_10_27",14.8769230769231,0.999455897520968,10,27,12,24,2,0,0.8931445,"2021-10-27","12:24:00",2021-10-27 12:24:00,"1_1",38325,4,5.625,6,6.875,2318,202,0,94206489,14,"TMS-94206489",1,1,"1_1",281.025,1.5637,0.901000963865931,0.011471900570386,0.00203077837689915
"7",33,3,"25-P1S1C4AA",23.1,21.2,24.1,19.5,99.1,1283.5,791.79,86,491.71,38.3100895987534,NA,25,1,1,4,"AA",7600.11430836216,37586.3786050469,33,"59_3_10_27",10.1450549450549,0.996313340783586,10,27,12,27,3,0,0.8931445,"2021-10-27","12:27:00",2021-10-27 12:27:00,"1_1",38325,4,5.625,6,6.875,2318,202,0,94206489,14,"TMS-94206489",1,1,"1_1",281.025,1.5637,0.614421694372154,0.00782305998417809,0.00158185364825075
"8",34,4,"25-P1S1C1FS",27.3,24.4,26.1,22.8,99.6,2879.7,1879.84,98,999.86,34.7209778796402,NA,25,1,1,1,"FS",8864.02916360187,49492.2650341554,34,"60_4_10_27",7.63296703296702,0.997398865559404,10,27,12,30,4,0,0.8931445,"2021-10-27","12:30:00",2021-10-27 12:30:00,"1_1",38229,4,5.625,4.875,5.0625,2323,202,0,94206489,14,"TMS-94206489",1,1,"1_1",279.2125,1.5637,0.465281327631764,0.00592414585767639,0.00106101027333535
"9",35,5,"25-P1S1C2FS",29.4,29.3,30.4,29.8,99.7,3243,2073.36,94,1169.64,36.0666049953747,NA,25,1,1,2,"FS",10698.5731075912,69191.3502170752,35,"61_5_10_27",4.81098901098901,0.995218022969025,10,27,12,34,5,0,0.8931445,"2021-10-27","12:34:00",2021-10-27 12:34:00,"1_1",38133,4,5.75,6,6.8125,2332,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.9625,1.5637,0.29143593518997,0.00371067757440743,0.000573756042972841
"10",36,6,"25-P1S1C4FS",32.2,32.4,29.9,31.9,99.9,2639.3,1230.34,85,1408.96,53.3838517788808,NA,25,1,1,4,"FS",11487.0528854233,78361.1076270435,36,"62_6_10_27",3.45494505494505,0.982585945017455,10,27,12,37,6,0,0.8931445,"2021-10-27","12:37:00",2021-10-27 12:37:00,"1_1",38133,4,5.75,6,6.8125,2332,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.9625,1.5637,0.209290676162006,0.00266477165233827,0.000390632213159561
"11",68,1,"25-P1S1C1AA",27.3,26.4,24.2,24.8,102,1658.2,1050.18,100,608.02,36.6674707514172,NA,25,1,1,1,"AA",9265.55224872127,52846.2340635168,68,"87_1_10_27",24.6241758241758,0.99822648653738,10,27,15,23,1,0,0.8931445,"2021-10-27","15:23:00",2021-10-27 15:23:00,"1_1",38337,4,5.625,5.8125,6.5625,2316,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.7125,1.5637,1.4929905062771,0.0190093455250617,0.00333291647546274
"12",69,2,"25-P1S1C2AA",25.6,25.8,25.4,25.2,99.2,1519.4,918.18,98,601.22,39.5695669343162,NA,25,1,1,2,"AA",8968.46207118898,50662.9902702905,69,"88_2_10_27",11.0703296703297,0.998147959090338,10,27,15,27,2,0,0.8931445,"2021-10-27","15:27:00",2021-10-27 15:27:00,"1_1",38337,4,5.625,5.8125,6.5625,2316,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.7125,1.5637,0.671206103187948,0.00854606153246486,0.00151284060224341
"13",70,3,"25-P1S1C4AA",23.1,21.2,24.1,19.5,99.1,1283.5,791.79,86,491.71,38.3100895987534,NA,25,1,1,4,"AA",7600.11430836216,37586.3786050469,70,"89_3_10_27",7.38901098901098,0.993537941170266,10,27,15,30,3,0,0.8931445,"2021-10-27","15:30:00",2021-10-27 15:30:00,"1_1",38241,4,5.625,4.25,4.1875,2321,202,0,94206489,14,"TMS-94206489",1,1,"1_1",278.3375,1.5637,0.451826485303394,0.00575283348446982,0.00116324566775564
"14",71,4,"25-P1S1C1FS",27.3,24.4,26.1,22.8,99.6,2879.7,1879.84,98,999.86,34.7209778796402,NA,25,1,1,1,"FS",8864.02916360187,49492.2650341554,71,"90_4_10_27",5.00000000000001,0.984958127682735,10,27,15,33,4,0,0.8931445,"2021-10-27","15:33:00",2021-10-27 15:33:00,"1_1",38145,4,5.875,5.8125,6.625,2330,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.775,1.5637,0.3030879449503,0.00385903557043236,0.000691150502327644
"15",72,5,"25-P1S1C2FS",29.4,29.3,30.4,29.8,99.7,3243,2073.36,94,1169.64,36.0666049953747,NA,25,1,1,2,"FS",10698.5731075912,69191.3502170752,72,"91_5_10_27",2.48351648351648,0.957526583379575,10,27,15,37,5,0,0.8931445,"2021-10-27","15:37:00",2021-10-27 15:37:00,"1_1",38145,4,5.875,5.8125,6.625,2330,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.775,1.5637,0.150544781447841,0.00191679568992903,0.000296380671235416
"16",73,6,"25-P1S1C4FS",32.2,32.4,29.9,31.9,99.9,2639.3,1230.34,85,1408.96,53.3838517788808,NA,25,1,1,4,"FS",11487.0528854233,78361.1076270435,73,"92_6_10_27",2.02197802197801,0.953539723311252,10,27,15,40,6,0,0.8931445,"2021-10-27","15:40:00",2021-10-27 15:40:00,"1_1",38338,4,5.6875,5.875,6.875,2315,202,0,94206489,14,"TMS-94206489",1,1,"1_1",281.025,1.5637,0.122458396625299,0.00155918873168194,0.00022856342848586
"17",1,7,"10-P1S1C1AA",13,12.7,12.2,12.1,39.7,3126.7,201.76,96,2924.94,93.5471903284613,NA,10,1,1,1,"AA",1804.70528822369,4873.19617819751,2,"168_7_10_27",0.233429836512266,0.986879971708237,10,27,9,50,7,0,0.89136808,"2021-10-27","9:50:00",2021-10-27 09:50:00,"1_1",38122,4,5.625,5.8125,6.25,2334,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.4,11.661397,0.0613863832866805,3.40146303594539e-05,1.25967396020954e-05
"18",2,11,"10-P1S1C2FS",8.6,9.3,8.6,8.4,38.8,245.9,177.81,100,68.09,27.6901179341196,NA,10,1,1,2,"FS",1183.19861666272,2320.32457067182,3,"169_11_10_27",0.381591737545565,0.995305133483902,10,27,9,53,11,0,0.89126939,"2021-10-27","9:53:00",2021-10-27 09:53:00,"1_1",38315,4,5.5,5.8125,6.5,2319,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.65,11.661397,0.137949959416401,0.000116590703770004,5.94528718783767e-05
"19",3,9,"10-P1S1C4AA",13.5,13.5,12.6,12.8,39.4,337.7,236.85,91,100.85,29.863784424045,NA,10,1,1,4,"AA",1891.40087829947,5312.06822887375,4,"170_9_10_27",0.844216621253407,0.97031326594571,10,27,9,55,9,0,0.89126939,"2021-10-27","9:55:00",2021-10-27 09:55:00,"1_1",38315,4,5.5,5.8125,6.5,2319,202,0,94206489,14,"TMS-94206489",1,1,"1_1",280.65,11.661397,0.20744720558681,0.000109679131466473,3.90520596966791e-05
