"sample_code_combined","Q10","sample_code","Code","Class","Species","DiamClass"
"0+1",2.32885675867256,1,"25-P1S1C1AA","1","AA",25
"0+109",Inf,109,"25-P1S4C1AA","1","AA",25
"0+11",2.44543705962347,11,"10-P1S1C2FS","2","FS",10
"0+110",0.910108807669424,110,"25-P1S4C2AA","2","AA",25
"0+111",0.801249543332296,111,"25-P1S4C4AA","4","AA",25
"0+112",Inf,112,"25-P1S4C1FS","1","FS",25
"0+113",Inf,113,"25-P1S4C2FS","2","FS",25
"0+114",Inf,114,"25-P1S4C4FS","4","FS",25
"0+115",0.805635929770456,115,"10-P1S4C1AA","1","AA",10
"0+116",1.91895859156082,116,"10-P1S4C2AA","2","AA",10
"0+117",1.723127180319,117,"10-P1S4C4AA","4","AA",10
"0+118",2.10521419796353,118,"10-P1S4C1FS","1","FS",10
"0+119",2.2659825783107,119,"10-P1S4C2FS","2","FS",10
"0+12",1.32173800202093,12,"10-P1S1C4FS","4","FS",10
"0+120",7.42010469803709,120,"10-P1S4C4FS","4","FS",10
"0+121",1.59917124862385,121,"25-P1S5C1AA","1","AA",25
"0+122",NA,122,"25-P1S5C2AA","2","AA",25
"0+123",Inf,123,"25-P1S5C4AA","4","AA",25
"0+124",1.14830066658544,124,"25-P1S5C1FS","1","FS",25
"0+125",Inf,125,"25-P1S5C2FS","2","FS",25
"0+126",Inf,126,"25-P1S5C4FS","4","FS",25
"0+127",1.64963637789209,127,"10-P1S5C1AA","1","AA",10
"0+128",198.725400788346,128,"10-P1S5C2AA","2","AA",10
"0+129",3.83306013784675,129,"10-P1S5C4AA","4","AA",10
"0+130",3.18055398934201,130,"10-P1S5C1FS","1","FS",10
"0+131",3.63179458867106,131,"10-P1S5C2FS","2","FS",10
"0+132",3.64453559882374,132,"10-P1S5C4FS","4","FS",10
"0+133",3.19670157471761,133,"10-P1S1C1FS","1","FS",10
"0+134",2.23371437684208,134,"25-P3S1C1AA","1","AA",25
"0+135",1.253341446288,135,"25-P3S1C2AA","2","AA",25
"0+136",1.4717317769659,136,"25-P3S1C4AA","4","AA",25
"0+137",1.00163546524164,137,"25-P3S1C1FS","1","FS",25
"0+138",1.39106663721794,138,"25-P3S1C2FS","2","FS",25
"0+139",1.95064487378454,139,"25-P3S1C4FS","4","FS",25
"0+140",0,140,"10-P3S1C1AA","1","AA",10
"0+141",2.97353485849246,141,"10-P3S1C2AA","2","AA",10
"0+142",3.85633609256472,142,"10-P3S1C4AA","4","AA",10
"0+143",2.91026159606136,143,"10-P3S1C1FS","1","FS",10
"0+144",2.7577159949931,144,"10-P3S1C2FS","2","FS",10
"0+145",1.87014610211169,145,"10-P3S1C4FS","4","FS",10
"0+146",0.738616922208821,146,"25-P3S2C1AA","1","AA",25
"0+147",1.02958704458477,147,"25-P3S2C2AA","2","AA",25
"0+148",1.08544105999219,148,"25-P3S2C4AA","4","AA",25
"0+149",0.664649627454283,149,"25-P3S2C1FS","1","FS",25
"0+150",2.00790801140121,150,"25-P3S2C2FS","2","FS",25
"0+151",Inf,151,"25-P3S2C4FS","4","FS",25
"0+152",3.22237937602135,152,"10-P3S2C1AA","1","AA",10
"0+153",0.882988690288223,153,"10-P3S2C2AA","2","AA",10
"0+154",2.35785707094919,154,"10-P3S2C4AA","4","AA",10
"0+155",5.11808597737892,155,"10-P3S2C1FS","1","FS",10
"0+156",2.72600685611084,156,"10-P3S2C2FS","2","FS",10
"0+157",2.5131345976308,157,"10-P3S2C4FS","4","FS",10
"0+158",1.21183579169543,158,"25-P3S3C1AA","1","AA",25
"0+159",2.75004240397437,159,"25-P3S3C2AA","2","AA",25
"0+160",1.63886732355955,160,"25-P3S3C4AA","4","AA",25
"0+161",Inf,161,"25-P3S3C1FS","1","FS",25
"0+162",Inf,162,"25-P3S3C2FS","2","FS",25
"0+163",1.23863654591473,163,"25-P3S3C4FS","4","FS",25
"0+164",1.08218471458592,164,"10-P3S3C1AA","1","AA",10
"0+165",1.61801579992321,165,"10-P3S3C2AA","2","AA",10
"0+166",1,166,"10-P3S3C4AA","4","AA",10
"0+167",2.17248931690658,167,"10-P3S3C1FS","1","FS",10
"0+168",2.69488686804248,168,"10-P3S3C2FS","2","FS",10
"0+169",3.82553600278654,169,"10-P3S3C4FS","4","FS",10
"0+170",0.595181543076504,170,"25-P3S4C1AA","1","AA",25
"0+171",Inf,171,"25-P3S4C2AA","2","AA",25
"0+172",0.987766854454572,172,"25-P3S4C4AA","4","AA",25
"0+173",0.827705171411897,173,"25-P3S4C1FS","1","FS",25
"0+174",0.968601468501067,174,"25-P3S4C2FS","2","FS",25
"0+175",0.74163190194976,175,"25-P3S4C4FS","4","FS",25
"0+176",Inf,176,"10-P3S4C1AA","1","AA",10
"0+177",Inf,177,"10-P3S4C2AA","2","AA",10
"0+178",2.62816120339735,178,"10-P3S4C4AA","4","AA",10
"0+179",1.60533741872988,179,"10-P3S4C1FS","1","FS",10
"0+180",Inf,180,"10-P3S4C2FS","2","FS",10
"0+181",5.47620695875561,181,"10-P3S4C4FS","4","FS",10
"0+182",0.682936996297572,182,"25-P3S5C1AA","1","AA",25
"0+183",1.40452458857694,183,"25-P3S5C2AA","2","AA",25
"0+184",1.13414610427517,184,"25-P3S5C4AA","4","AA",25
"0+185",0.521340255109237,185,"25-P3S5C1FS","1","FS",25
"0+186",Inf,186,"25-P3S5C2FS","2","FS",25
"0+187",1.08017226312822,187,"25-P3S5C4FS","4","FS",25
"0+188",1.10581232645617,188,"10-P3S5C1AA","1","AA",10
"0+189",29.9427306155617,189,"10-P3S5C2AA","2","AA",10
"0+191",1.62036165346255,191,"10-P3S5C1FS","1","FS",10
"0+192",1.16684489319475,192,"10-P3S5C2FS","2","FS",10
"0+193",Inf,193,"10-P3S5C4FS","4","FS",10
"0+2",Inf,2,"25-P1S1C2AA","2","AA",25
"0+3",5.74219004425142,3,"25-P1S1C4AA","4","AA",25
"0+324",Inf,324,"25-P6S1C1AA","1","AA",25
"0+325",1.14208610400004,325,"25-P6S1C2AA","2","AA",25
"0+326",4.01570144395924,326,"25-P6S1C4AA","4","AA",25
"0+327",1.11182029921521,327,"25-P6S1C1FS","1","FS",25
"0+328",Inf,328,"25-P6S1C2FS","2","FS",25
"0+329",Inf,329,"25-P6S1C4FS","4","FS",25
"0+330",1.76320365872804,330,"10-P6S1C1AA","1","AA",10
"0+331",2.57243794942702,331,"10-P6S1C1AA-b","1","AA",10
"0+332",1.55954062228506,332,"10-P6S1C2AA","2","AA",10
"0+333",0,333,"10-P6S1C2AA-b","2","AA",10
"0+334",Inf,334,"10-P6S1C4AA","4","AA",10
"0+336",2.29735549605955,336,"10-P6S1C1FS","1","FS",10
"0+337",1.96318432230791,337,"10-P6S1C1FS-b","1","FS",10
"0+338",2.73313566671756,338,"10-P6S1C2FS","2","FS",10
"0+339",5.35931788043237,339,"10-P6S1C2FS-b","2","FS",10
"0+340",1.97080123641419,340,"10-P6S1C4FS","4","FS",10
"0+341",3.27241716256259,341,"10-P6S1C4FS-b","4","FS",10
"0+342",Inf,342,"25-P6S2C1AA","1","AA",25
"0+343",1.17049466814557,343,"25-P6S2C2AA","2","AA",25
"0+344",3.69552660652049,344,"25-P6S2C4AA","4","AA",25
"0+345",Inf,345,"25-P6S2C1FS","1","FS",25
"0+346",Inf,346,"25-P6S2C2FS","2","FS",25
"0+347",Inf,347,"25-P6S2C4FS","4","FS",25
"0+348",2.37604232978307,348,"10-P6S2C1AA","1","AA",10
"0+349",2.65809593873819,349,"10-P6S2C1AA-b","1","AA",10
"0+350",1.63101255245605,350,"10-P6S2C2AA","2","AA",10
"0+351",3.69196263114575,351,"10-P6S2C2AA-b","2","AA",10
"0+352",2.70340304749988,352,"10-P6S2C4AA","4","AA",10
"0+353",3.74404452366577,353,"10-P6S2C4AA-b","4","AA",10
"0+354",2.6202916648933,354,"10-P6S2C1FS","1","FS",10
"0+355",4.14730825621622,355,"10-P6S2C1FS-b","1","FS",10
"0+356",3.47158221271767,356,"10-P6S2C2FS","2","FS",10
"0+357",3.40756597259635,357,"10-P6S2C2FS-b","2","FS",10
"0+358",4.98234292632599,358,"10-P6S2C4FS","4","FS",10
"0+359",3.44678304292678,359,"10-P6S2C4FS-b","4","FS",10
"0+360",2.20703499765449,360,"25-P6S3C1AA","1","AA",25
"0+361",0.916944822647921,361,"25-P6S3C2AA","2","AA",25
"0+362",1.90819996196336,362,"25-P6S3C4AA","4","AA",25
"0+363",Inf,363,"25-P6S3C1FS","1","FS",25
"0+364",Inf,364,"25-P6S3C2FS","2","FS",25
"0+365",1.33912010199922,365,"25-P6S3C4FS","4","FS",25
"0+366",1.91928641957701,366,"10-P6S3C1AA","1","AA",10
"0+367",2.17552509618956,367,"10-P6S3C1AA-b","1","AA",10
"0+368",3.04836539774671,368,"10-P6S3C2AA","2","AA",10
"0+369",2.84182903504027,369,"10-P6S3C2AA-b","2","AA",10
"0+37",1.22467513785306,37,"25-P1S2C1AA","1","AA",25
"0+370",2.40073642957169,370,"10-P6S3C4AA","4","AA",10
"0+371",2.31959678429387,371,"10-P6S3C4AA-b","4","AA",10
"0+372",4.81155498666163,372,"10-P6S3C1FS","1","FS",10
"0+373",3.07028363789113,373,"10-P6S3C1FS-b","1","FS",10
"0+374",3.49917466008974,374,"10-P6S3C2FS","2","FS",10
"0+375",3.69203327602081,375,"10-P6S3C2FS-b","2","FS",10
"0+376",3.01062892217805,376,"10-P6S3C4FS","4","FS",10
"0+377",2.67184430604272,377,"10-P6S3C4FS-b","4","FS",10
