DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.0864
601.7464	 0.0860
603.6751	 0.0850
605.6037	 0.0840
607.5324	 0.0836
609.4611	 0.0829
611.3898	 0.0814
613.3184	 0.0812
615.2471	 0.0815
617.1758	 0.0797
619.1045	 0.0782
621.0331	 0.0777
622.9618	 0.0768
624.8905	 0.0754
626.8192	 0.0740
628.7478	 0.0731
630.6765	 0.0724
632.6052	 0.0721
634.5339	 0.0718
636.4625	 0.0715
638.3912	 0.0712
640.3199	 0.0708
642.2485	 0.0702
644.1772	 0.0692
646.1059	 0.0682
648.0346	 0.0675
649.9632	 0.0670
651.8919	 0.0666
653.8206	 0.0662
655.7493	 0.0660
657.6779	 0.0659
659.6066	 0.0657
661.5353	 0.0655
663.4640	 0.0652
665.3926	 0.0649
667.3213	 0.0640
669.2500	 0.0628
671.1787	 0.0622
673.1073	 0.0612
675.0360	 0.0598
676.9647	 0.0586
678.8934	 0.0574
680.8220	 0.0564
682.7507	 0.0556
684.6794	 0.0550
686.6081	 0.0547
688.5367	 0.0545
690.4654	 0.0545
692.3941	 0.0548
694.3228	 0.0552
696.2514	 0.0554
698.1801	 0.0552
700.1088	 0.0545
702.0375	 0.0534
703.9661	 0.0523
705.8948	 0.0514
707.8235	 0.0506
709.7521	 0.0500
711.6808	 0.0496
713.6095	 0.0492
715.5382	 0.0489
717.4668	 0.0485
719.3955	 0.0481
721.3242	 0.0478
723.2529	 0.0475
725.1815	 0.0471
727.1102	 0.0467
729.0389	 0.0463
730.9676	 0.0459
732.8962	 0.0454
734.8249	 0.0450
736.7536	 0.0447
738.6823	 0.0444
740.6109	 0.0441
742.5396	 0.0439
744.4683	 0.0435
746.3970	 0.0432
748.3256	 0.0429
750.2543	 0.0426
752.1830	 0.0424
754.1117	 0.0422
756.0403	 0.0421
757.9690	 0.0421
759.8977	 0.0422
761.8264	 0.0427
763.7550	 0.0437
765.6837	 0.0452
767.6124	 0.0470
769.5411	 0.0482
771.4697	 0.0478
773.3984	 0.0457
775.3271	 0.0427
777.2557	 0.0399
779.1844	 0.0381
781.1131	 0.0373
783.0418	 0.0369
784.9704	 0.0367
786.8991	 0.0366
788.8278	 0.0366
790.7565	 0.0366
792.6851	 0.0367
794.6138	 0.0369
796.5425	 0.0370
798.4712	 0.0372
800.3998	 0.0373
802.3285	 0.0376
804.2572	 0.0379
806.1859	 0.0382
808.1145	 0.0385
810.0432	 0.0388
811.9719	 0.0391
813.9006	 0.0394
815.8292	 0.0396
817.7579	 0.0400
819.6866	 0.0403
821.6153	 0.0406
823.5439	 0.0408
825.4726	 0.0410
827.4013	 0.0412
829.3300	 0.0414
831.2586	 0.0415
833.1873	 0.0415
835.1160	 0.0415
837.0447	 0.0416
838.9733	 0.0417
840.9020	 0.0418
842.8307	 0.0421
844.7594	 0.0425
846.6880	 0.0429
848.6167	 0.0433
850.5454	 0.0435
852.4740	 0.0434
854.4027	 0.0428
856.3314	 0.0420
858.2601	 0.0412
860.1887	 0.0404
862.1174	 0.0398
864.0461	 0.0395
865.9748	 0.0393
867.9034	 0.0393
869.8321	 0.0393
871.7608	 0.0393
873.6895	 0.0392
875.6181	 0.0391
877.5468	 0.0390
879.4755	 0.0391
881.4042	 0.0393
883.3328	 0.0396
885.2615	 0.0401
887.1902	 0.0408
889.1189	 0.0417
891.0475	 0.0427
892.9762	 0.0436
894.9049	 0.0442
896.8336	 0.0445
898.7622	 0.0442
900.6909	 0.0436
902.6196	 0.0426
904.5483	 0.0417
906.4769	 0.0409
908.4056	 0.0404
910.3343	 0.0401
912.2630	 0.0400
914.1916	 0.0400
916.1203	 0.0402
918.0490	 0.0403
919.9776	 0.0406
921.9063	 0.0408
923.8350	 0.0409
925.7637	 0.0410
927.6923	 0.0412
929.6210	 0.0414
931.5497	 0.0416
933.4784	 0.0418
935.4070	 0.0421
937.3357	 0.0425
939.2644	 0.0431
941.1931	 0.0438
943.1217	 0.0448
945.0504	 0.0460
946.9791	 0.0473
948.9078	 0.0488
950.8364	 0.0506
952.7651	 0.0525
954.6938	 0.0545
956.6225	 0.0567
958.5511	 0.0589
960.4798	 0.0612
962.4085	 0.0635
964.3372	 0.0657
966.2658	 0.0679
968.1945	 0.0701
970.1232	 0.0723
972.0519	 0.0745
973.9805	 0.0767
975.9092	 0.0791
977.8379	 0.0816
979.7666	 0.0841
981.6952	 0.0868
983.6239	 0.0893
985.5526	 0.0917
987.4812	 0.0938
989.4099	 0.0955
991.3386	 0.0968
993.2673	 0.0977
995.1959	 0.0985
997.1246	 0.0992
999.0533	 0.1000
1000.9820	 0.1011
1002.9106	 0.1024
1004.8393	 0.1041
1006.7680	 0.1062
1008.6967	 0.1085
1010.6253	 0.1109
1012.5540	 0.1135
1014.4827	 0.1162
1016.4114	 0.1190
1018.3400	 0.1218
1020.2687	 0.1245
1022.1974	 0.1272
1024.1261	 0.1298
1026.0547	 0.1322
1027.9834	 0.1344
1029.9121	 0.1362
1031.8408	 0.1376
1033.7694	 0.1384
1035.6981	 0.1386
1037.6268	 0.1382
1039.5555	 0.1374
1041.4841	 0.1363
1043.4128	 0.1350
1045.3415	 0.1334
1047.2702	 0.1314
1049.1988	 0.1290
1051.1275	 0.1262
1053.0562	 0.1230
1054.9849	 0.1196
1056.9135	 0.1161
1058.8422	 0.1127
1060.7709	 0.1094
1062.6995	 0.1063
1064.6282	 0.1034
1066.5569	 0.1010
1068.4856	 0.0991
1070.4142	 0.0975
1072.3429	 0.0961
1074.2716	 0.0949
1076.2003	 0.0937
1078.1289	 0.0925
1080.0576	 0.0913
1081.9863	 0.0902
1083.9150	 0.0891
1085.8436	 0.0881
1087.7723	 0.0871
1089.7010	 0.0861
1091.6297	 0.0852
1093.5583	 0.0843
1095.4870	 0.0835
1097.4157	 0.0828
1099.3444	 0.0820
1101.2730	 0.0812
1103.2017	 0.0805
1105.1304	 0.0797
1107.0591	 0.0791
1108.9877	 0.0786
1110.9164	 0.0781
1112.8451	 0.0775
1114.7738	 0.0769
1116.7024	 0.0760
1118.6311	 0.0752
1120.5598	 0.0743
1122.4885	 0.0733
1124.4171	 0.0718
1126.3458	 0.0698
1128.2745	 0.0674
1130.2031	 0.0646
1132.1318	 0.0616
1134.0605	 0.0586
1135.9892	 0.0559
1137.9178	 0.0536
1139.8465	 0.0519
1141.7752	 0.0507
1143.7039	 0.0500
1145.6325	 0.0497
1147.5612	 0.0498
1149.4899	 0.0500
1151.4186	 0.0504
1153.3472	 0.0509
1155.2759	 0.0514
1157.2046	 0.0521
1159.1333	 0.0527
1161.0619	 0.0534
1162.9906	 0.0537
1164.9193	 0.0532
1166.8480	 0.0516
1168.7766	 0.0489
1170.7053	 0.0457
1172.6340	 0.0423
1174.5627	 0.0392
1176.4913	 0.0367
1178.4200	 0.0348
1180.3487	 0.0335
1182.2774	 0.0327
1184.2060	 0.0321
1186.1347	 0.0319
1188.0634	 0.0320
1189.9921	 0.0323
1191.9207	 0.0328
1193.8494	 0.0336
1195.7781	 0.0346
1197.7068	 0.0359
1199.6354	 0.0374
1201.5641	 0.0390
1203.4928	 0.0409
1205.4214	 0.0428
1207.3501	 0.0450
1209.2788	 0.0471
1211.2075	 0.0492
1213.1361	 0.0513
1215.0648	 0.0534
1216.9935	 0.0553
1218.9222	 0.0571
1220.8508	 0.0588
1222.7795	 0.0604
1224.7082	 0.0619
1226.6369	 0.0633
1228.5655	 0.0645
1230.4942	 0.0655
1232.4229	 0.0662
1234.3516	 0.0667
1236.2802	 0.0669
1238.2089	 0.0669
1240.1376	 0.0666
1242.0663	 0.0661
1243.9949	 0.0653
1245.9236	 0.0644
1247.8523	 0.0633
1249.7810	 0.0621
1251.7096	 0.0609
1253.6383	 0.0597
1255.5670	 0.0587
1257.4957	 0.0578
1259.4243	 0.0571
1261.3530	 0.0566
1263.2817	 0.0562
1265.2104	 0.0558
1267.1390	 0.0553
1269.0677	 0.0546
1270.9964	 0.0536
1272.9250	 0.0523
1274.8537	 0.0508
1276.7824	 0.0491
1278.7111	 0.0474
1280.6397	 0.0457
1282.5684	 0.0438
1284.4971	 0.0419
1286.4258	 0.0401
1288.3544	 0.0383
1290.2831	 0.0367
1292.2118	 0.0353
1294.1405	 0.0341
1296.0691	 0.0331
1297.9978	 0.0324
1299.9265	 0.0319
1301.8552	 0.0318
1303.7838	 0.0319
1305.7125	 0.0324
1307.6412	 0.0330
1309.5699	 0.0337
1311.4985	 0.0342
1313.4272	 0.0345
1315.3559	 0.0346
1317.2846	 0.0346
1319.2132	 0.0346
1321.1419	 0.0347
1323.0706	 0.0348
1324.9993	 0.0349
1326.9279	 0.0349
1328.8566	 0.0349
1330.7853	 0.0348
1332.7140	 0.0345
1334.6426	 0.0342
