DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1195
601.7464	 0.1196
603.6751	 0.1187
605.6037	 0.1172
607.5324	 0.1170
609.4611	 0.1166
611.3898	 0.1149
613.3184	 0.1138
615.2471	 0.1130
617.1758	 0.1122
619.1045	 0.1122
621.0331	 0.1114
622.9618	 0.1098
624.8905	 0.1090
626.8192	 0.1084
628.7478	 0.1075
630.6765	 0.1064
632.6052	 0.1053
634.5339	 0.1045
636.4625	 0.1040
638.3912	 0.1036
640.3199	 0.1031
642.2485	 0.1026
644.1772	 0.1022
646.1059	 0.1019
648.0346	 0.1016
649.9632	 0.1013
651.8919	 0.1008
653.8206	 0.1004
655.7493	 0.1001
657.6779	 0.0997
659.6066	 0.0992
661.5353	 0.0985
663.4640	 0.0972
665.3926	 0.0973
667.3213	 0.1012
669.2500	 0.0999
671.1787	 0.0944
673.1073	 0.0917
675.0360	 0.0901
676.9647	 0.0884
678.8934	 0.0869
680.8220	 0.0856
682.7507	 0.0843
684.6794	 0.0832
686.6081	 0.0823
688.5367	 0.0814
690.4654	 0.0804
692.3941	 0.0796
694.3228	 0.0788
696.2514	 0.0780
698.1801	 0.0773
700.1088	 0.0766
702.0375	 0.0759
703.9661	 0.0751
705.8948	 0.0746
707.8235	 0.0739
709.7521	 0.0732
711.6808	 0.0726
713.6095	 0.0720
715.5382	 0.0714
717.4668	 0.0710
719.3955	 0.0710
721.3242	 0.0703
723.2529	 0.0693
725.1815	 0.0686
727.1102	 0.0682
729.0389	 0.0676
730.9676	 0.0670
732.8962	 0.0666
734.8249	 0.0661
736.7536	 0.0657
738.6823	 0.0652
740.6109	 0.0648
742.5396	 0.0644
744.4683	 0.0640
746.3970	 0.0636
748.3256	 0.0631
750.2543	 0.0627
752.1830	 0.0623
754.1117	 0.0619
756.0403	 0.0615
757.9690	 0.0612
759.8977	 0.0609
761.8264	 0.0606
763.7550	 0.0603
765.6837	 0.0600
767.6124	 0.0596
769.5411	 0.0592
771.4697	 0.0589
773.3984	 0.0584
775.3271	 0.0580
777.2557	 0.0576
779.1844	 0.0572
781.1131	 0.0569
783.0418	 0.0565
784.9704	 0.0563
786.8991	 0.0561
788.8278	 0.0559
790.7565	 0.0558
792.6851	 0.0558
794.6138	 0.0560
796.5425	 0.0562
798.4712	 0.0563
800.3998	 0.0565
802.3285	 0.0567
804.2572	 0.0569
806.1859	 0.0571
808.1145	 0.0570
810.0432	 0.0567
811.9719	 0.0562
813.9006	 0.0555
815.8292	 0.0546
817.7579	 0.0536
819.6866	 0.0525
821.6153	 0.0515
823.5439	 0.0507
825.4726	 0.0500
827.4013	 0.0494
829.3300	 0.0489
831.2586	 0.0486
833.1873	 0.0482
835.1160	 0.0478
837.0447	 0.0475
838.9733	 0.0472
840.9020	 0.0469
842.8307	 0.0469
844.7594	 0.0469
846.6880	 0.0472
848.6167	 0.0475
850.5454	 0.0480
852.4740	 0.0485
854.4027	 0.0489
856.3314	 0.0494
858.2601	 0.0498
860.1887	 0.0501
862.1174	 0.0504
864.0461	 0.0507
865.9748	 0.0509
867.9034	 0.0511
869.8321	 0.0512
871.7608	 0.0513
873.6895	 0.0514
875.6181	 0.0516
877.5468	 0.0518
879.4755	 0.0521
881.4042	 0.0524
883.3328	 0.0529
885.2615	 0.0536
887.1902	 0.0543
889.1189	 0.0550
891.0475	 0.0558
892.9762	 0.0565
894.9049	 0.0569
896.8336	 0.0569
898.7622	 0.0565
900.6909	 0.0557
902.6196	 0.0546
904.5483	 0.0534
906.4769	 0.0523
908.4056	 0.0512
910.3343	 0.0503
912.2630	 0.0497
914.1916	 0.0493
916.1203	 0.0492
918.0490	 0.0493
919.9776	 0.0495
921.9063	 0.0497
923.8350	 0.0502
925.7637	 0.0508
927.6923	 0.0514
929.6210	 0.0521
931.5497	 0.0529
933.4784	 0.0536
935.4070	 0.0544
937.3357	 0.0554
939.2644	 0.0564
941.1931	 0.0573
943.1217	 0.0584
945.0504	 0.0596
946.9791	 0.0609
948.9078	 0.0622
950.8364	 0.0637
952.7651	 0.0653
954.6938	 0.0669
956.6225	 0.0686
958.5511	 0.0704
960.4798	 0.0721
962.4085	 0.0738
964.3372	 0.0754
966.2658	 0.0770
968.1945	 0.0787
970.1232	 0.0805
972.0519	 0.0826
973.9805	 0.0851
975.9092	 0.0881
977.8379	 0.0918
979.7666	 0.0960
981.6952	 0.1009
983.6239	 0.1062
985.5526	 0.1117
987.4812	 0.1171
989.4099	 0.1221
991.3386	 0.1265
993.2673	 0.1301
995.1959	 0.1330
997.1246	 0.1354
999.0533	 0.1378
1000.9820	 0.1403
1002.9106	 0.1432
1004.8393	 0.1467
1006.7680	 0.1507
1008.6967	 0.1552
1010.6253	 0.1603
1012.5540	 0.1656
1014.4827	 0.1708
1016.4114	 0.1755
1018.3400	 0.1793
1020.2687	 0.1822
1022.1974	 0.1839
1024.1261	 0.1847
1026.0547	 0.1844
1027.9834	 0.1833
1029.9121	 0.1815
1031.8408	 0.1792
1033.7694	 0.1763
1035.6981	 0.1732
1037.6268	 0.1700
1039.5555	 0.1672
1041.4841	 0.1650
1043.4128	 0.1633
1045.3415	 0.1621
1047.2702	 0.1610
1049.1988	 0.1600
1051.1275	 0.1589
1053.0562	 0.1574
1054.9849	 0.1557
1056.9135	 0.1537
1058.8422	 0.1514
1060.7709	 0.1487
1062.6995	 0.1458
1064.6282	 0.1427
1066.5569	 0.1395
1068.4856	 0.1364
1070.4142	 0.1331
1072.3429	 0.1297
1074.2716	 0.1263
1076.2003	 0.1229
1078.1289	 0.1196
1080.0576	 0.1166
1081.9863	 0.1141
1083.9150	 0.1119
1085.8436	 0.1100
1087.7723	 0.1082
1089.7010	 0.1064
1091.6297	 0.1045
1093.5583	 0.1025
1095.4870	 0.1004
1097.4157	 0.0984
1099.3444	 0.0964
1101.2730	 0.0944
1103.2017	 0.0927
1105.1304	 0.0911
1107.0591	 0.0895
1108.9877	 0.0879
1110.9164	 0.0864
1112.8451	 0.0847
1114.7738	 0.0830
1116.7024	 0.0813
1118.6311	 0.0797
1120.5598	 0.0783
1122.4885	 0.0769
1124.4171	 0.0755
1126.3458	 0.0740
1128.2745	 0.0724
1130.2031	 0.0709
1132.1318	 0.0697
1134.0605	 0.0686
1135.9892	 0.0678
1137.9178	 0.0673
1139.8465	 0.0669
1141.7752	 0.0665
1143.7039	 0.0662
1145.6325	 0.0658
1147.5612	 0.0655
1149.4899	 0.0655
1151.4186	 0.0655
1153.3472	 0.0654
1155.2759	 0.0651
1157.2046	 0.0642
1159.1333	 0.0627
1161.0619	 0.0605
1162.9906	 0.0576
1164.9193	 0.0544
1166.8480	 0.0510
1168.7766	 0.0477
1170.7053	 0.0447
1172.6340	 0.0421
1174.5627	 0.0401
1176.4913	 0.0384
1178.4200	 0.0370
1180.3487	 0.0360
1182.2774	 0.0354
1184.2060	 0.0350
1186.1347	 0.0349
1188.0634	 0.0352
1189.9921	 0.0356
1191.9207	 0.0363
1193.8494	 0.0371
1195.7781	 0.0381
1197.7068	 0.0393
1199.6354	 0.0405
1201.5641	 0.0418
1203.4928	 0.0431
1205.4214	 0.0443
1207.3501	 0.0455
1209.2788	 0.0465
1211.2075	 0.0474
1213.1361	 0.0482
1215.0648	 0.0488
1216.9935	 0.0494
1218.9222	 0.0499
1220.8508	 0.0504
1222.7795	 0.0509
1224.7082	 0.0513
1226.6369	 0.0516
1228.5655	 0.0517
1230.4942	 0.0518
1232.4229	 0.0517
1234.3516	 0.0516
1236.2802	 0.0514
1238.2089	 0.0513
1240.1376	 0.0513
1242.0663	 0.0514
1243.9949	 0.0516
1245.9236	 0.0520
1247.8523	 0.0526
1249.7810	 0.0532
1251.7096	 0.0540
1253.6383	 0.0550
1255.5670	 0.0559
1257.4957	 0.0569
1259.4243	 0.0578
1261.3530	 0.0584
1263.2817	 0.0587
1265.2104	 0.0587
1267.1390	 0.0583
1269.0677	 0.0575
1270.9964	 0.0562
1272.9250	 0.0545
1274.8537	 0.0526
1276.7824	 0.0506
1278.7111	 0.0486
1280.6397	 0.0467
1282.5684	 0.0449
1284.4971	 0.0433
1286.4258	 0.0420
1288.3544	 0.0409
1290.2831	 0.0401
1292.2118	 0.0395
1294.1405	 0.0391
1296.0691	 0.0388
1297.9978	 0.0387
1299.9265	 0.0387
1301.8552	 0.0388
1303.7838	 0.0389
1305.7125	 0.0391
1307.6412	 0.0393
1309.5699	 0.0396
1311.4985	 0.0399
1313.4272	 0.0403
1315.3559	 0.0405
1317.2846	 0.0406
1319.2132	 0.0406
1321.1419	 0.0404
1323.0706	 0.0401
1324.9993	 0.0400
1326.9279	 0.0399
1328.8566	 0.0398
1330.7853	 0.0398
1332.7140	 0.0397
1334.6426	 0.0396
