DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.0963
601.7464	 0.0954
603.6751	 0.0943
605.6037	 0.0940
607.5324	 0.0937
609.4611	 0.0922
611.3898	 0.0909
613.3184	 0.0905
615.2471	 0.0899
617.1758	 0.0887
619.1045	 0.0873
621.0331	 0.0861
622.9618	 0.0848
624.8905	 0.0834
626.8192	 0.0824
628.7478	 0.0814
630.6765	 0.0805
632.6052	 0.0799
634.5339	 0.0796
636.4625	 0.0794
638.3912	 0.0790
640.3199	 0.0783
642.2485	 0.0777
644.1772	 0.0772
646.1059	 0.0764
648.0346	 0.0758
649.9632	 0.0754
651.8919	 0.0749
653.8206	 0.0745
655.7493	 0.0742
657.6779	 0.0742
659.6066	 0.0740
661.5353	 0.0736
663.4640	 0.0730
665.3926	 0.0729
667.3213	 0.0741
669.2500	 0.0733
671.1787	 0.0708
673.1073	 0.0692
675.0360	 0.0679
676.9647	 0.0664
678.8934	 0.0652
680.8220	 0.0641
682.7507	 0.0632
684.6794	 0.0626
686.6081	 0.0621
688.5367	 0.0619
690.4654	 0.0619
692.3941	 0.0619
694.3228	 0.0622
696.2514	 0.0624
698.1801	 0.0621
700.1088	 0.0612
702.0375	 0.0600
703.9661	 0.0587
705.8948	 0.0575
707.8235	 0.0566
709.7521	 0.0560
711.6808	 0.0555
713.6095	 0.0551
715.5382	 0.0546
717.4668	 0.0542
719.3955	 0.0539
721.3242	 0.0536
723.2529	 0.0531
725.1815	 0.0526
727.1102	 0.0522
729.0389	 0.0518
730.9676	 0.0513
732.8962	 0.0509
734.8249	 0.0505
736.7536	 0.0501
738.6823	 0.0497
740.6109	 0.0493
742.5396	 0.0491
744.4683	 0.0488
746.3970	 0.0485
748.3256	 0.0482
750.2543	 0.0478
752.1830	 0.0476
754.1117	 0.0473
756.0403	 0.0472
757.9690	 0.0472
759.8977	 0.0474
761.8264	 0.0479
763.7550	 0.0489
765.6837	 0.0508
767.6124	 0.0528
769.5411	 0.0541
771.4697	 0.0536
773.3984	 0.0512
775.3271	 0.0479
777.2557	 0.0448
779.1844	 0.0428
781.1131	 0.0418
783.0418	 0.0415
784.9704	 0.0414
786.8991	 0.0413
788.8278	 0.0412
790.7565	 0.0412
792.6851	 0.0413
794.6138	 0.0414
796.5425	 0.0416
798.4712	 0.0419
800.3998	 0.0421
802.3285	 0.0422
804.2572	 0.0425
806.1859	 0.0428
808.1145	 0.0431
810.0432	 0.0435
811.9719	 0.0438
813.9006	 0.0441
815.8292	 0.0446
817.7579	 0.0450
819.6866	 0.0452
821.6153	 0.0455
823.5439	 0.0457
825.4726	 0.0459
827.4013	 0.0461
829.3300	 0.0463
831.2586	 0.0465
833.1873	 0.0466
835.1160	 0.0466
837.0447	 0.0467
838.9733	 0.0467
840.9020	 0.0469
842.8307	 0.0473
844.7594	 0.0477
846.6880	 0.0482
848.6167	 0.0487
850.5454	 0.0488
852.4740	 0.0486
854.4027	 0.0480
856.3314	 0.0472
858.2601	 0.0462
860.1887	 0.0453
862.1174	 0.0447
864.0461	 0.0444
865.9748	 0.0442
867.9034	 0.0441
869.8321	 0.0441
871.7608	 0.0441
873.6895	 0.0440
875.6181	 0.0439
877.5468	 0.0439
879.4755	 0.0438
881.4042	 0.0440
883.3328	 0.0444
885.2615	 0.0450
887.1902	 0.0458
889.1189	 0.0468
891.0475	 0.0479
892.9762	 0.0490
894.9049	 0.0498
896.8336	 0.0500
898.7622	 0.0496
900.6909	 0.0488
902.6196	 0.0477
904.5483	 0.0467
906.4769	 0.0458
908.4056	 0.0452
910.3343	 0.0449
912.2630	 0.0447
914.1916	 0.0448
916.1203	 0.0450
918.0490	 0.0452
919.9776	 0.0455
921.9063	 0.0457
923.8350	 0.0459
925.7637	 0.0461
927.6923	 0.0463
929.6210	 0.0465
931.5497	 0.0467
933.4784	 0.0469
935.4070	 0.0472
937.3357	 0.0477
939.2644	 0.0484
941.1931	 0.0492
943.1217	 0.0503
945.0504	 0.0517
946.9791	 0.0533
948.9078	 0.0550
950.8364	 0.0570
952.7651	 0.0592
954.6938	 0.0615
956.6225	 0.0639
958.5511	 0.0665
960.4798	 0.0690
962.4085	 0.0716
964.3372	 0.0742
966.2658	 0.0767
968.1945	 0.0791
970.1232	 0.0817
972.0519	 0.0842
973.9805	 0.0867
975.9092	 0.0894
977.8379	 0.0921
979.7666	 0.0951
981.6952	 0.0982
983.6239	 0.1011
985.5526	 0.1037
987.4812	 0.1060
989.4099	 0.1079
991.3386	 0.1093
993.2673	 0.1104
995.1959	 0.1112
997.1246	 0.1120
999.0533	 0.1128
1000.9820	 0.1139
1002.9106	 0.1154
1004.8393	 0.1174
1006.7680	 0.1196
1008.6967	 0.1221
1010.6253	 0.1249
1012.5540	 0.1278
1014.4827	 0.1307
1016.4114	 0.1337
1018.3400	 0.1367
1020.2687	 0.1397
1022.1974	 0.1426
1024.1261	 0.1453
1026.0547	 0.1479
1027.9834	 0.1501
1029.9121	 0.1519
1031.8408	 0.1531
1033.7694	 0.1538
1035.6981	 0.1539
1037.6268	 0.1533
1039.5555	 0.1522
1041.4841	 0.1509
1043.4128	 0.1493
1045.3415	 0.1474
1047.2702	 0.1451
1049.1988	 0.1424
1051.1275	 0.1392
1053.0562	 0.1356
1054.9849	 0.1319
1056.9135	 0.1280
1058.8422	 0.1243
1060.7709	 0.1207
1062.6995	 0.1173
1064.6282	 0.1142
1066.5569	 0.1116
1068.4856	 0.1094
1070.4142	 0.1077
1072.3429	 0.1062
1074.2716	 0.1049
1076.2003	 0.1036
1078.1289	 0.1022
1080.0576	 0.1008
1081.9863	 0.0994
1083.9150	 0.0982
1085.8436	 0.0972
1087.7723	 0.0961
1089.7010	 0.0951
1091.6297	 0.0941
1093.5583	 0.0931
1095.4870	 0.0922
1097.4157	 0.0914
1099.3444	 0.0906
1101.2730	 0.0898
1103.2017	 0.0889
1105.1304	 0.0881
1107.0591	 0.0874
1108.9877	 0.0867
1110.9164	 0.0861
1112.8451	 0.0855
1114.7738	 0.0847
1116.7024	 0.0838
1118.6311	 0.0828
1120.5598	 0.0818
1122.4885	 0.0806
1124.4171	 0.0790
1126.3458	 0.0769
1128.2745	 0.0743
1130.2031	 0.0712
1132.1318	 0.0679
1134.0605	 0.0647
1135.9892	 0.0617
1137.9178	 0.0592
1139.8465	 0.0574
1141.7752	 0.0562
1143.7039	 0.0555
1145.6325	 0.0551
1147.5612	 0.0552
1149.4899	 0.0555
1151.4186	 0.0559
1153.3472	 0.0565
1155.2759	 0.0571
1157.2046	 0.0577
1159.1333	 0.0584
1161.0619	 0.0591
1162.9906	 0.0595
1164.9193	 0.0589
1166.8480	 0.0572
1168.7766	 0.0543
1170.7053	 0.0506
1172.6340	 0.0469
1174.5627	 0.0435
1176.4913	 0.0407
1178.4200	 0.0387
1180.3487	 0.0373
1182.2774	 0.0364
1184.2060	 0.0359
1186.1347	 0.0357
1188.0634	 0.0358
1189.9921	 0.0360
1191.9207	 0.0367
1193.8494	 0.0376
1195.7781	 0.0387
1197.7068	 0.0402
1199.6354	 0.0418
1201.5641	 0.0437
1203.4928	 0.0456
1205.4214	 0.0478
1207.3501	 0.0502
1209.2788	 0.0525
1211.2075	 0.0549
1213.1361	 0.0572
1215.0648	 0.0594
1216.9935	 0.0615
1218.9222	 0.0635
1220.8508	 0.0654
1222.7795	 0.0671
1224.7082	 0.0688
1226.6369	 0.0703
1228.5655	 0.0716
1230.4942	 0.0727
1232.4229	 0.0735
1234.3516	 0.0740
1236.2802	 0.0743
1238.2089	 0.0742
1240.1376	 0.0739
1242.0663	 0.0733
1243.9949	 0.0724
1245.9236	 0.0714
1247.8523	 0.0702
1249.7810	 0.0688
1251.7096	 0.0675
1253.6383	 0.0663
1255.5670	 0.0652
1257.4957	 0.0642
1259.4243	 0.0635
1261.3530	 0.0629
1263.2817	 0.0624
1265.2104	 0.0619
1267.1390	 0.0613
1269.0677	 0.0605
1270.9964	 0.0594
1272.9250	 0.0579
1274.8537	 0.0563
1276.7824	 0.0545
1278.7111	 0.0527
1280.6397	 0.0507
1282.5684	 0.0487
1284.4971	 0.0467
1286.4258	 0.0447
1288.3544	 0.0428
1290.2831	 0.0410
1292.2118	 0.0395
1294.1405	 0.0382
1296.0691	 0.0371
1297.9978	 0.0363
1299.9265	 0.0358
1301.8552	 0.0356
1303.7838	 0.0358
1305.7125	 0.0363
1307.6412	 0.0370
1309.5699	 0.0377
1311.4985	 0.0383
1313.4272	 0.0386
1315.3559	 0.0387
1317.2846	 0.0388
1319.2132	 0.0388
1321.1419	 0.0388
1323.0706	 0.0389
1324.9993	 0.0390
1326.9279	 0.0391
1328.8566	 0.0391
1330.7853	 0.0389
1332.7140	 0.0386
1334.6426	 0.0382
