DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.0863
601.7464	 0.0858
603.6751	 0.0853
605.6037	 0.0844
607.5324	 0.0837
609.4611	 0.0829
611.3898	 0.0811
613.3184	 0.0807
615.2471	 0.0812
617.1758	 0.0800
619.1045	 0.0788
621.0331	 0.0782
622.9618	 0.0771
624.8905	 0.0757
626.8192	 0.0743
628.7478	 0.0733
630.6765	 0.0726
632.6052	 0.0721
634.5339	 0.0718
636.4625	 0.0715
638.3912	 0.0710
640.3199	 0.0707
642.2485	 0.0703
644.1772	 0.0691
646.1059	 0.0680
648.0346	 0.0674
649.9632	 0.0670
651.8919	 0.0667
653.8206	 0.0662
655.7493	 0.0660
657.6779	 0.0659
659.6066	 0.0658
661.5353	 0.0655
663.4640	 0.0652
665.3926	 0.0648
667.3213	 0.0640
669.2500	 0.0629
671.1787	 0.0623
673.1073	 0.0612
675.0360	 0.0597
676.9647	 0.0585
678.8934	 0.0575
680.8220	 0.0565
682.7507	 0.0557
684.6794	 0.0551
686.6081	 0.0547
688.5367	 0.0546
690.4654	 0.0546
692.3941	 0.0548
694.3228	 0.0552
696.2514	 0.0555
698.1801	 0.0553
700.1088	 0.0546
702.0375	 0.0535
703.9661	 0.0524
705.8948	 0.0514
707.8235	 0.0506
709.7521	 0.0500
711.6808	 0.0497
713.6095	 0.0494
715.5382	 0.0490
717.4668	 0.0485
719.3955	 0.0481
721.3242	 0.0479
723.2529	 0.0476
725.1815	 0.0472
727.1102	 0.0467
729.0389	 0.0464
730.9676	 0.0459
732.8962	 0.0455
734.8249	 0.0451
736.7536	 0.0448
738.6823	 0.0445
740.6109	 0.0442
742.5396	 0.0440
744.4683	 0.0437
746.3970	 0.0433
748.3256	 0.0430
750.2543	 0.0428
752.1830	 0.0426
754.1117	 0.0424
756.0403	 0.0423
757.9690	 0.0422
759.8977	 0.0423
761.8264	 0.0428
763.7550	 0.0439
765.6837	 0.0455
767.6124	 0.0473
769.5411	 0.0485
771.4697	 0.0481
773.3984	 0.0460
775.3271	 0.0429
777.2557	 0.0401
779.1844	 0.0383
781.1131	 0.0375
783.0418	 0.0371
784.9704	 0.0369
786.8991	 0.0368
788.8278	 0.0368
790.7565	 0.0369
792.6851	 0.0370
794.6138	 0.0371
796.5425	 0.0373
798.4712	 0.0374
800.3998	 0.0376
802.3285	 0.0378
804.2572	 0.0382
806.1859	 0.0385
808.1145	 0.0387
810.0432	 0.0391
811.9719	 0.0394
813.9006	 0.0397
815.8292	 0.0399
817.7579	 0.0402
819.6866	 0.0406
821.6153	 0.0409
823.5439	 0.0411
825.4726	 0.0413
827.4013	 0.0415
829.3300	 0.0416
831.2586	 0.0418
833.1873	 0.0418
835.1160	 0.0418
837.0447	 0.0419
838.9733	 0.0420
840.9020	 0.0422
842.8307	 0.0424
844.7594	 0.0428
846.6880	 0.0433
848.6167	 0.0437
850.5454	 0.0438
852.4740	 0.0437
854.4027	 0.0432
856.3314	 0.0424
858.2601	 0.0415
860.1887	 0.0407
862.1174	 0.0402
864.0461	 0.0398
865.9748	 0.0397
867.9034	 0.0396
869.8321	 0.0396
871.7608	 0.0396
873.6895	 0.0395
875.6181	 0.0394
877.5468	 0.0394
879.4755	 0.0394
881.4042	 0.0396
883.3328	 0.0400
885.2615	 0.0405
887.1902	 0.0412
889.1189	 0.0421
891.0475	 0.0430
892.9762	 0.0439
894.9049	 0.0446
896.8336	 0.0448
898.7622	 0.0446
900.6909	 0.0439
902.6196	 0.0430
904.5483	 0.0420
906.4769	 0.0412
908.4056	 0.0407
910.3343	 0.0404
912.2630	 0.0404
914.1916	 0.0404
916.1203	 0.0406
918.0490	 0.0407
919.9776	 0.0410
921.9063	 0.0412
923.8350	 0.0414
925.7637	 0.0415
927.6923	 0.0416
929.6210	 0.0418
931.5497	 0.0420
933.4784	 0.0422
935.4070	 0.0425
937.3357	 0.0429
939.2644	 0.0435
941.1931	 0.0443
943.1217	 0.0452
945.0504	 0.0464
946.9791	 0.0477
948.9078	 0.0493
950.8364	 0.0511
952.7651	 0.0529
954.6938	 0.0550
956.6225	 0.0572
958.5511	 0.0594
960.4798	 0.0616
962.4085	 0.0639
964.3372	 0.0661
966.2658	 0.0682
968.1945	 0.0704
970.1232	 0.0725
972.0519	 0.0747
973.9805	 0.0769
975.9092	 0.0793
977.8379	 0.0817
979.7666	 0.0842
981.6952	 0.0868
983.6239	 0.0894
985.5526	 0.0918
987.4812	 0.0938
989.4099	 0.0954
991.3386	 0.0967
993.2673	 0.0976
995.1959	 0.0984
997.1246	 0.0990
999.0533	 0.0999
1000.9820	 0.1010
1002.9106	 0.1023
1004.8393	 0.1040
1006.7680	 0.1061
1008.6967	 0.1084
1010.6253	 0.1108
1012.5540	 0.1134
1014.4827	 0.1161
1016.4114	 0.1188
1018.3400	 0.1215
1020.2687	 0.1244
1022.1974	 0.1272
1024.1261	 0.1297
1026.0547	 0.1321
1027.9834	 0.1343
1029.9121	 0.1361
1031.8408	 0.1375
1033.7694	 0.1383
1035.6981	 0.1385
1037.6268	 0.1382
1039.5555	 0.1373
1041.4841	 0.1362
1043.4128	 0.1349
1045.3415	 0.1333
1047.2702	 0.1314
1049.1988	 0.1290
1051.1275	 0.1261
1053.0562	 0.1229
1054.9849	 0.1194
1056.9135	 0.1159
1058.8422	 0.1125
1060.7709	 0.1092
1062.6995	 0.1060
1064.6282	 0.1032
1066.5569	 0.1008
1068.4856	 0.0989
1070.4142	 0.0973
1072.3429	 0.0959
1074.2716	 0.0947
1076.2003	 0.0936
1078.1289	 0.0924
1080.0576	 0.0912
1081.9863	 0.0901
1083.9150	 0.0889
1085.8436	 0.0879
1087.7723	 0.0870
1089.7010	 0.0860
1091.6297	 0.0851
1093.5583	 0.0842
1095.4870	 0.0834
1097.4157	 0.0827
1099.3444	 0.0819
1101.2730	 0.0811
1103.2017	 0.0803
1105.1304	 0.0796
1107.0591	 0.0790
1108.9877	 0.0785
1110.9164	 0.0780
1112.8451	 0.0775
1114.7738	 0.0768
1116.7024	 0.0760
1118.6311	 0.0752
1120.5598	 0.0743
1122.4885	 0.0733
1124.4171	 0.0718
1126.3458	 0.0699
1128.2745	 0.0674
1130.2031	 0.0646
1132.1318	 0.0616
1134.0605	 0.0586
1135.9892	 0.0559
1137.9178	 0.0536
1139.8465	 0.0519
1141.7752	 0.0507
1143.7039	 0.0500
1145.6325	 0.0497
1147.5612	 0.0498
1149.4899	 0.0501
1151.4186	 0.0505
1153.3472	 0.0510
1155.2759	 0.0516
1157.2046	 0.0522
1159.1333	 0.0528
1161.0619	 0.0535
1162.9906	 0.0539
1164.9193	 0.0534
1166.8480	 0.0518
1168.7766	 0.0491
1170.7053	 0.0458
1172.6340	 0.0424
1174.5627	 0.0393
1176.4913	 0.0368
1178.4200	 0.0349
1180.3487	 0.0336
1182.2774	 0.0328
1184.2060	 0.0323
1186.1347	 0.0321
1188.0634	 0.0322
1189.9921	 0.0324
1191.9207	 0.0330
1193.8494	 0.0337
1195.7781	 0.0348
1197.7068	 0.0360
1199.6354	 0.0375
1201.5641	 0.0391
1203.4928	 0.0410
1205.4214	 0.0430
1207.3501	 0.0451
1209.2788	 0.0472
1211.2075	 0.0493
1213.1361	 0.0514
1215.0648	 0.0534
1216.9935	 0.0553
1218.9222	 0.0572
1220.8508	 0.0589
1222.7795	 0.0605
1224.7082	 0.0620
1226.6369	 0.0633
1228.5655	 0.0645
1230.4942	 0.0655
1232.4229	 0.0662
1234.3516	 0.0667
1236.2802	 0.0669
1238.2089	 0.0669
1240.1376	 0.0666
1242.0663	 0.0661
1243.9949	 0.0653
1245.9236	 0.0643
1247.8523	 0.0632
1249.7810	 0.0620
1251.7096	 0.0608
1253.6383	 0.0597
1255.5670	 0.0587
1257.4957	 0.0578
1259.4243	 0.0571
1261.3530	 0.0566
1263.2817	 0.0562
1265.2104	 0.0559
1267.1390	 0.0554
1269.0677	 0.0546
1270.9964	 0.0536
1272.9250	 0.0523
1274.8537	 0.0508
1276.7824	 0.0492
1278.7111	 0.0475
1280.6397	 0.0457
1282.5684	 0.0439
1284.4971	 0.0420
1286.4258	 0.0401
1288.3544	 0.0384
1290.2831	 0.0368
1292.2118	 0.0353
1294.1405	 0.0341
1296.0691	 0.0331
1297.9978	 0.0324
1299.9265	 0.0320
1301.8552	 0.0318
1303.7838	 0.0320
1305.7125	 0.0324
1307.6412	 0.0331
1309.5699	 0.0337
1311.4985	 0.0342
1313.4272	 0.0345
1315.3559	 0.0346
1317.2846	 0.0346
1319.2132	 0.0347
1321.1419	 0.0347
1323.0706	 0.0349
1324.9993	 0.0350
1326.9279	 0.0350
1328.8566	 0.0350
1330.7853	 0.0349
1332.7140	 0.0346
1334.6426	 0.0342
