DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1972
601.7464	 0.1957
603.6751	 0.1940
605.6037	 0.1932
607.5324	 0.1926
609.4611	 0.1915
611.3898	 0.1905
613.3184	 0.1887
615.2471	 0.1865
617.1758	 0.1845
619.1045	 0.1834
621.0331	 0.1834
622.9618	 0.1823
624.8905	 0.1803
626.8192	 0.1785
628.7478	 0.1772
630.6765	 0.1760
632.6052	 0.1748
634.5339	 0.1737
636.4625	 0.1725
638.3912	 0.1714
640.3199	 0.1707
642.2485	 0.1698
644.1772	 0.1687
646.1059	 0.1678
648.0346	 0.1667
649.9632	 0.1656
651.8919	 0.1650
653.8206	 0.1647
655.7493	 0.1644
657.6779	 0.1639
659.6066	 0.1633
661.5353	 0.1624
663.4640	 0.1614
665.3926	 0.1608
667.3213	 0.1596
669.2500	 0.1570
671.1787	 0.1552
673.1073	 0.1531
675.0360	 0.1506
676.9647	 0.1483
678.8934	 0.1462
680.8220	 0.1443
682.7507	 0.1426
684.6794	 0.1415
686.6081	 0.1405
688.5367	 0.1393
690.4654	 0.1385
692.3941	 0.1377
694.3228	 0.1369
696.2514	 0.1363
698.1801	 0.1356
700.1088	 0.1346
702.0375	 0.1336
703.9661	 0.1328
705.8948	 0.1319
707.8235	 0.1308
709.7521	 0.1297
711.6808	 0.1286
713.6095	 0.1275
715.5382	 0.1265
717.4668	 0.1255
719.3955	 0.1244
721.3242	 0.1230
723.2529	 0.1219
725.1815	 0.1208
727.1102	 0.1196
729.0389	 0.1183
730.9676	 0.1171
732.8962	 0.1161
734.8249	 0.1152
736.7536	 0.1142
738.6823	 0.1133
740.6109	 0.1125
742.5396	 0.1117
744.4683	 0.1108
746.3970	 0.1098
748.3256	 0.1089
750.2543	 0.1080
752.1830	 0.1073
754.1117	 0.1066
756.0403	 0.1059
757.9690	 0.1052
759.8977	 0.1045
761.8264	 0.1037
763.7550	 0.1029
765.6837	 0.1021
767.6124	 0.1013
769.5411	 0.1005
771.4697	 0.0997
773.3984	 0.0989
775.3271	 0.0980
777.2557	 0.0972
779.1844	 0.0964
781.1131	 0.0955
783.0418	 0.0943
784.9704	 0.0931
786.8991	 0.0918
788.8278	 0.0907
790.7565	 0.0901
792.6851	 0.0895
794.6138	 0.0891
796.5425	 0.0889
798.4712	 0.0887
800.3998	 0.0885
802.3285	 0.0885
804.2572	 0.0884
806.1859	 0.0881
808.1145	 0.0878
810.0432	 0.0873
811.9719	 0.0865
813.9006	 0.0856
815.8292	 0.0846
817.7579	 0.0834
819.6866	 0.0820
821.6153	 0.0807
823.5439	 0.0796
825.4726	 0.0785
827.4013	 0.0774
829.3300	 0.0765
831.2586	 0.0757
833.1873	 0.0748
835.1160	 0.0738
837.0447	 0.0728
838.9733	 0.0719
840.9020	 0.0710
842.8307	 0.0703
844.7594	 0.0698
846.6880	 0.0694
848.6167	 0.0692
850.5454	 0.0692
852.4740	 0.0692
854.4027	 0.0692
856.3314	 0.0693
858.2601	 0.0692
860.1887	 0.0690
862.1174	 0.0688
864.0461	 0.0685
865.9748	 0.0682
867.9034	 0.0678
869.8321	 0.0674
871.7608	 0.0671
873.6895	 0.0669
875.6181	 0.0666
877.5468	 0.0665
879.4755	 0.0665
881.4042	 0.0667
883.3328	 0.0669
885.2615	 0.0672
887.1902	 0.0677
889.1189	 0.0683
891.0475	 0.0690
892.9762	 0.0696
894.9049	 0.0700
896.8336	 0.0699
898.7622	 0.0692
900.6909	 0.0680
902.6196	 0.0666
904.5483	 0.0650
906.4769	 0.0634
908.4056	 0.0619
910.3343	 0.0607
912.2630	 0.0598
914.1916	 0.0592
916.1203	 0.0587
918.0490	 0.0585
919.9776	 0.0584
921.9063	 0.0586
923.8350	 0.0587
925.7637	 0.0589
927.6923	 0.0593
929.6210	 0.0598
931.5497	 0.0603
933.4784	 0.0609
935.4070	 0.0617
937.3357	 0.0627
939.2644	 0.0637
941.1931	 0.0650
943.1217	 0.0662
945.0504	 0.0676
946.9791	 0.0692
948.9078	 0.0709
950.8364	 0.0727
952.7651	 0.0748
954.6938	 0.0770
956.6225	 0.0794
958.5511	 0.0818
960.4798	 0.0842
962.4085	 0.0867
964.3372	 0.0890
966.2658	 0.0912
968.1945	 0.0934
970.1232	 0.0956
972.0519	 0.0979
973.9805	 0.1007
975.9092	 0.1040
977.8379	 0.1080
979.7666	 0.1128
981.6952	 0.1183
983.6239	 0.1241
985.5526	 0.1299
987.4812	 0.1355
989.4099	 0.1410
991.3386	 0.1462
993.2673	 0.1509
995.1959	 0.1553
997.1246	 0.1593
999.0533	 0.1632
1000.9820	 0.1672
1002.9106	 0.1714
1004.8393	 0.1760
1006.7680	 0.1812
1008.6967	 0.1871
1010.6253	 0.1936
1012.5540	 0.2007
1014.4827	 0.2079
1016.4114	 0.2149
1018.3400	 0.2214
1020.2687	 0.2269
1022.1974	 0.2314
1024.1261	 0.2347
1026.0547	 0.2367
1027.9834	 0.2374
1029.9121	 0.2369
1031.8408	 0.2352
1033.7694	 0.2320
1035.6981	 0.2277
1037.6268	 0.2229
1039.5555	 0.2186
1041.4841	 0.2156
1043.4128	 0.2140
1045.3415	 0.2133
1047.2702	 0.2129
1049.1988	 0.2123
1051.1275	 0.2112
1053.0562	 0.2095
1054.9849	 0.2071
1056.9135	 0.2041
1058.8422	 0.2003
1060.7709	 0.1955
1062.6995	 0.1899
1064.6282	 0.1842
1066.5569	 0.1790
1068.4856	 0.1743
1070.4142	 0.1699
1072.3429	 0.1656
1074.2716	 0.1613
1076.2003	 0.1569
1078.1289	 0.1525
1080.0576	 0.1485
1081.9863	 0.1452
1083.9150	 0.1426
1085.8436	 0.1406
1087.7723	 0.1389
1089.7010	 0.1372
1091.6297	 0.1354
1093.5583	 0.1336
1095.4870	 0.1319
1097.4157	 0.1301
1099.3444	 0.1284
1101.2730	 0.1268
1103.2017	 0.1254
1105.1304	 0.1239
1107.0591	 0.1224
1108.9877	 0.1207
1110.9164	 0.1186
1112.8451	 0.1161
1114.7738	 0.1130
1116.7024	 0.1097
1118.6311	 0.1067
1120.5598	 0.1043
1122.4885	 0.1020
1124.4171	 0.0999
1126.3458	 0.0977
1128.2745	 0.0957
1130.2031	 0.0940
1132.1318	 0.0927
1134.0605	 0.0919
1135.9892	 0.0915
1137.9178	 0.0915
1139.8465	 0.0916
1141.7752	 0.0917
1143.7039	 0.0915
1145.6325	 0.0911
1147.5612	 0.0905
1149.4899	 0.0900
1151.4186	 0.0898
1153.3472	 0.0897
1155.2759	 0.0894
1157.2046	 0.0887
1159.1333	 0.0871
1161.0619	 0.0846
1162.9906	 0.0809
1164.9193	 0.0762
1166.8480	 0.0709
1168.7766	 0.0658
1170.7053	 0.0612
1172.6340	 0.0573
1174.5627	 0.0542
1176.4913	 0.0517
1178.4200	 0.0497
1180.3487	 0.0481
1182.2774	 0.0471
1184.2060	 0.0465
1186.1347	 0.0463
1188.0634	 0.0466
1189.9921	 0.0471
1191.9207	 0.0479
1193.8494	 0.0490
1195.7781	 0.0503
1197.7068	 0.0519
1199.6354	 0.0537
1201.5641	 0.0555
1203.4928	 0.0573
1205.4214	 0.0591
1207.3501	 0.0608
1209.2788	 0.0622
1211.2075	 0.0634
1213.1361	 0.0645
1215.0648	 0.0654
1216.9935	 0.0663
1218.9222	 0.0670
1220.8508	 0.0678
1222.7795	 0.0684
1224.7082	 0.0689
1226.6369	 0.0692
1228.5655	 0.0694
1230.4942	 0.0694
1232.4229	 0.0692
1234.3516	 0.0688
1236.2802	 0.0685
1238.2089	 0.0683
1240.1376	 0.0683
1242.0663	 0.0685
1243.9949	 0.0690
1245.9236	 0.0696
1247.8523	 0.0703
1249.7810	 0.0712
1251.7096	 0.0723
1253.6383	 0.0735
1255.5670	 0.0748
1257.4957	 0.0760
1259.4243	 0.0771
1261.3530	 0.0779
1263.2817	 0.0782
1265.2104	 0.0781
1267.1390	 0.0774
1269.0677	 0.0762
1270.9964	 0.0744
1272.9250	 0.0722
1274.8537	 0.0697
1276.7824	 0.0671
1278.7111	 0.0646
1280.6397	 0.0621
1282.5684	 0.0599
1284.4971	 0.0577
1286.4258	 0.0558
1288.3544	 0.0543
1290.2831	 0.0531
1292.2118	 0.0522
1294.1405	 0.0515
1296.0691	 0.0512
1297.9978	 0.0510
1299.9265	 0.0511
1301.8552	 0.0514
1303.7838	 0.0517
1305.7125	 0.0522
1307.6412	 0.0528
1309.5699	 0.0536
1311.4985	 0.0544
1313.4272	 0.0552
1315.3559	 0.0558
1317.2846	 0.0561
1319.2132	 0.0559
1321.1419	 0.0554
1323.0706	 0.0547
1324.9993	 0.0542
1326.9279	 0.0539
1328.8566	 0.0537
1330.7853	 0.0535
1332.7140	 0.0534
1334.6426	 0.0533
