DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1343
601.7464	 0.1336
603.6751	 0.1326
605.6037	 0.1310
607.5324	 0.1296
609.4611	 0.1294
611.3898	 0.1294
613.3184	 0.1282
615.2471	 0.1271
617.1758	 0.1266
619.1045	 0.1254
621.0331	 0.1240
622.9618	 0.1229
624.8905	 0.1218
626.8192	 0.1208
628.7478	 0.1197
630.6765	 0.1190
632.6052	 0.1182
634.5339	 0.1168
636.4625	 0.1154
638.3912	 0.1145
640.3199	 0.1136
642.2485	 0.1127
644.1772	 0.1122
646.1059	 0.1119
648.0346	 0.1113
649.9632	 0.1105
651.8919	 0.1099
653.8206	 0.1094
655.7493	 0.1091
657.6779	 0.1088
659.6066	 0.1082
661.5353	 0.1077
663.4640	 0.1070
665.3926	 0.1063
667.3213	 0.1055
669.2500	 0.1034
671.1787	 0.1019
673.1073	 0.1004
675.0360	 0.0986
676.9647	 0.0967
678.8934	 0.0949
680.8220	 0.0934
682.7507	 0.0922
684.6794	 0.0913
686.6081	 0.0905
688.5367	 0.0896
690.4654	 0.0888
692.3941	 0.0882
694.3228	 0.0876
696.2514	 0.0870
698.1801	 0.0863
700.1088	 0.0856
702.0375	 0.0850
703.9661	 0.0843
705.8948	 0.0837
707.8235	 0.0830
709.7521	 0.0824
711.6808	 0.0817
713.6095	 0.0810
715.5382	 0.0802
717.4668	 0.0795
719.3955	 0.0789
721.3242	 0.0782
723.2529	 0.0774
725.1815	 0.0766
727.1102	 0.0760
729.0389	 0.0754
730.9676	 0.0748
732.8962	 0.0742
734.8249	 0.0736
736.7536	 0.0731
738.6823	 0.0726
740.6109	 0.0722
742.5396	 0.0718
744.4683	 0.0712
746.3970	 0.0706
748.3256	 0.0699
750.2543	 0.0692
752.1830	 0.0687
754.1117	 0.0683
756.0403	 0.0679
757.9690	 0.0675
759.8977	 0.0672
761.8264	 0.0669
763.7550	 0.0666
765.6837	 0.0662
767.6124	 0.0657
769.5411	 0.0653
771.4697	 0.0649
773.3984	 0.0643
775.3271	 0.0637
777.2557	 0.0632
779.1844	 0.0626
781.1131	 0.0621
783.0418	 0.0616
784.9704	 0.0611
786.8991	 0.0608
788.8278	 0.0605
790.7565	 0.0603
792.6851	 0.0603
794.6138	 0.0605
796.5425	 0.0608
798.4712	 0.0610
800.3998	 0.0612
802.3285	 0.0614
804.2572	 0.0617
806.1859	 0.0619
808.1145	 0.0619
810.0432	 0.0618
811.9719	 0.0613
813.9006	 0.0605
815.8292	 0.0595
817.7579	 0.0582
819.6866	 0.0569
821.6153	 0.0557
823.5439	 0.0546
825.4726	 0.0535
827.4013	 0.0527
829.3300	 0.0519
831.2586	 0.0512
833.1873	 0.0505
835.1160	 0.0499
837.0447	 0.0494
838.9733	 0.0489
840.9020	 0.0485
842.8307	 0.0483
844.7594	 0.0483
846.6880	 0.0487
848.6167	 0.0491
850.5454	 0.0495
852.4740	 0.0500
854.4027	 0.0504
856.3314	 0.0508
858.2601	 0.0512
860.1887	 0.0514
862.1174	 0.0515
864.0461	 0.0516
865.9748	 0.0517
867.9034	 0.0517
869.8321	 0.0516
871.7608	 0.0516
873.6895	 0.0516
875.6181	 0.0516
877.5468	 0.0515
879.4755	 0.0515
881.4042	 0.0517
883.3328	 0.0521
885.2615	 0.0526
887.1902	 0.0531
889.1189	 0.0537
891.0475	 0.0543
892.9762	 0.0548
894.9049	 0.0552
896.8336	 0.0552
898.7622	 0.0548
900.6909	 0.0540
902.6196	 0.0529
904.5483	 0.0518
906.4769	 0.0506
908.4056	 0.0497
910.3343	 0.0489
912.2630	 0.0484
914.1916	 0.0481
916.1203	 0.0480
918.0490	 0.0481
919.9776	 0.0484
921.9063	 0.0487
923.8350	 0.0491
925.7637	 0.0495
927.6923	 0.0500
929.6210	 0.0508
931.5497	 0.0515
933.4784	 0.0523
935.4070	 0.0532
937.3357	 0.0541
939.2644	 0.0551
941.1931	 0.0561
943.1217	 0.0571
945.0504	 0.0581
946.9791	 0.0592
948.9078	 0.0604
950.8364	 0.0617
952.7651	 0.0631
954.6938	 0.0647
956.6225	 0.0664
958.5511	 0.0681
960.4798	 0.0697
962.4085	 0.0713
964.3372	 0.0729
966.2658	 0.0746
968.1945	 0.0762
970.1232	 0.0779
972.0519	 0.0797
973.9805	 0.0819
975.9092	 0.0847
977.8379	 0.0880
979.7666	 0.0919
981.6952	 0.0966
983.6239	 0.1016
985.5526	 0.1066
987.4812	 0.1114
989.4099	 0.1160
991.3386	 0.1202
993.2673	 0.1239
995.1959	 0.1271
997.1246	 0.1300
999.0533	 0.1327
1000.9820	 0.1356
1002.9106	 0.1388
1004.8393	 0.1423
1006.7680	 0.1463
1008.6967	 0.1508
1010.6253	 0.1560
1012.5540	 0.1616
1014.4827	 0.1674
1016.4114	 0.1728
1018.3400	 0.1775
1020.2687	 0.1815
1022.1974	 0.1846
1024.1261	 0.1867
1026.0547	 0.1877
1027.9834	 0.1877
1029.9121	 0.1866
1031.8408	 0.1845
1033.7694	 0.1814
1035.6981	 0.1775
1037.6268	 0.1733
1039.5555	 0.1696
1041.4841	 0.1668
1043.4128	 0.1652
1045.3415	 0.1644
1047.2702	 0.1638
1049.1988	 0.1633
1051.1275	 0.1626
1053.0562	 0.1615
1054.9849	 0.1599
1056.9135	 0.1579
1058.8422	 0.1553
1060.7709	 0.1520
1062.6995	 0.1481
1064.6282	 0.1442
1066.5569	 0.1405
1068.4856	 0.1370
1070.4142	 0.1337
1072.3429	 0.1303
1074.2716	 0.1269
1076.2003	 0.1234
1078.1289	 0.1201
1080.0576	 0.1172
1081.9863	 0.1148
1083.9150	 0.1128
1085.8436	 0.1111
1087.7723	 0.1096
1089.7010	 0.1081
1091.6297	 0.1064
1093.5583	 0.1046
1095.4870	 0.1027
1097.4157	 0.1009
1099.3444	 0.0992
1101.2730	 0.0976
1103.2017	 0.0961
1105.1304	 0.0948
1107.0591	 0.0935
1108.9877	 0.0921
1110.9164	 0.0905
1112.8451	 0.0888
1114.7738	 0.0869
1116.7024	 0.0849
1118.6311	 0.0833
1120.5598	 0.0819
1122.4885	 0.0806
1124.4171	 0.0792
1126.3458	 0.0776
1128.2745	 0.0759
1130.2031	 0.0744
1132.1318	 0.0732
1134.0605	 0.0724
1135.9892	 0.0720
1137.9178	 0.0720
1139.8465	 0.0721
1141.7752	 0.0721
1143.7039	 0.0721
1145.6325	 0.0720
1147.5612	 0.0719
1149.4899	 0.0720
1151.4186	 0.0722
1153.3472	 0.0723
1155.2759	 0.0719
1157.2046	 0.0710
1159.1333	 0.0693
1161.0619	 0.0668
1162.9906	 0.0636
1164.9193	 0.0599
1166.8480	 0.0560
1168.7766	 0.0522
1170.7053	 0.0488
1172.6340	 0.0459
1174.5627	 0.0436
1176.4913	 0.0419
1178.4200	 0.0406
1180.3487	 0.0397
1182.2774	 0.0391
1184.2060	 0.0389
1186.1347	 0.0389
1188.0634	 0.0391
1189.9921	 0.0395
1191.9207	 0.0401
1193.8494	 0.0410
1195.7781	 0.0421
1197.7068	 0.0434
1199.6354	 0.0448
1201.5641	 0.0463
1203.4928	 0.0476
1205.4214	 0.0489
1207.3501	 0.0501
1209.2788	 0.0511
1211.2075	 0.0519
1213.1361	 0.0527
1215.0648	 0.0534
1216.9935	 0.0540
1218.9222	 0.0545
1220.8508	 0.0550
1222.7795	 0.0555
1224.7082	 0.0560
1226.6369	 0.0564
1228.5655	 0.0567
1230.4942	 0.0568
1232.4229	 0.0569
1234.3516	 0.0569
1236.2802	 0.0566
1238.2089	 0.0565
1240.1376	 0.0563
1242.0663	 0.0564
1243.9949	 0.0565
1245.9236	 0.0569
1247.8523	 0.0575
1249.7810	 0.0583
1251.7096	 0.0592
1253.6383	 0.0603
1255.5670	 0.0614
1257.4957	 0.0626
1259.4243	 0.0637
1261.3530	 0.0646
1263.2817	 0.0652
1265.2104	 0.0655
1267.1390	 0.0652
1269.0677	 0.0643
1270.9964	 0.0630
1272.9250	 0.0611
1274.8537	 0.0588
1276.7824	 0.0564
1278.7111	 0.0539
1280.6397	 0.0516
1282.5684	 0.0493
1284.4971	 0.0472
1286.4258	 0.0453
1288.3544	 0.0437
1290.2831	 0.0425
1292.2118	 0.0415
1294.1405	 0.0408
1296.0691	 0.0403
1297.9978	 0.0400
1299.9265	 0.0399
1301.8552	 0.0398
1303.7838	 0.0400
1305.7125	 0.0402
1307.6412	 0.0405
1309.5699	 0.0408
1311.4985	 0.0412
1313.4272	 0.0416
1315.3559	 0.0418
1317.2846	 0.0419
1319.2132	 0.0418
1321.1419	 0.0416
1323.0706	 0.0413
1324.9993	 0.0410
1326.9279	 0.0409
1328.8566	 0.0408
1330.7853	 0.0407
1332.7140	 0.0407
1334.6426	 0.0405
