DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1085
601.7464	 0.1071
603.6751	 0.1061
605.6037	 0.1052
607.5324	 0.1039
609.4611	 0.1025
611.3898	 0.1017
613.3184	 0.1013
615.2471	 0.1002
617.1758	 0.0985
619.1045	 0.0970
621.0331	 0.0957
622.9618	 0.0946
624.8905	 0.0935
626.8192	 0.0928
628.7478	 0.0922
630.6765	 0.0913
632.6052	 0.0902
634.5339	 0.0892
636.4625	 0.0885
638.3912	 0.0883
640.3199	 0.0878
642.2485	 0.0871
644.1772	 0.0866
646.1059	 0.0862
648.0346	 0.0856
649.9632	 0.0850
651.8919	 0.0848
653.8206	 0.0849
655.7493	 0.0848
657.6779	 0.0847
659.6066	 0.0845
661.5353	 0.0841
663.4640	 0.0835
665.3926	 0.0832
667.3213	 0.0839
669.2500	 0.0821
671.1787	 0.0791
673.1073	 0.0770
675.0360	 0.0753
676.9647	 0.0734
678.8934	 0.0715
680.8220	 0.0699
682.7507	 0.0686
684.6794	 0.0675
686.6081	 0.0668
688.5367	 0.0662
690.4654	 0.0656
692.3941	 0.0650
694.3228	 0.0645
696.2514	 0.0640
698.1801	 0.0635
700.1088	 0.0631
702.0375	 0.0628
703.9661	 0.0624
705.8948	 0.0619
707.8235	 0.0613
709.7521	 0.0606
711.6808	 0.0601
713.6095	 0.0596
715.5382	 0.0590
717.4668	 0.0584
719.3955	 0.0579
721.3242	 0.0572
723.2529	 0.0564
725.1815	 0.0557
727.1102	 0.0550
729.0389	 0.0545
730.9676	 0.0539
732.8962	 0.0532
734.8249	 0.0526
736.7536	 0.0521
738.6823	 0.0517
740.6109	 0.0512
742.5396	 0.0507
744.4683	 0.0502
746.3970	 0.0498
748.3256	 0.0493
750.2543	 0.0488
752.1830	 0.0483
754.1117	 0.0478
756.0403	 0.0473
757.9690	 0.0468
759.8977	 0.0463
761.8264	 0.0457
763.7550	 0.0452
765.6837	 0.0447
767.6124	 0.0444
769.5411	 0.0439
771.4697	 0.0434
773.3984	 0.0430
775.3271	 0.0427
777.2557	 0.0424
779.1844	 0.0422
781.1131	 0.0419
783.0418	 0.0416
784.9704	 0.0415
786.8991	 0.0414
788.8278	 0.0413
790.7565	 0.0412
792.6851	 0.0411
794.6138	 0.0409
796.5425	 0.0408
798.4712	 0.0407
800.3998	 0.0406
802.3285	 0.0405
804.2572	 0.0405
806.1859	 0.0405
808.1145	 0.0405
810.0432	 0.0405
811.9719	 0.0407
813.9006	 0.0408
815.8292	 0.0411
817.7579	 0.0413
819.6866	 0.0415
821.6153	 0.0417
823.5439	 0.0419
825.4726	 0.0421
827.4013	 0.0423
829.3300	 0.0424
831.2586	 0.0424
833.1873	 0.0423
835.1160	 0.0421
837.0447	 0.0420
838.9733	 0.0419
840.9020	 0.0417
842.8307	 0.0414
844.7594	 0.0411
846.6880	 0.0409
848.6167	 0.0405
850.5454	 0.0402
852.4740	 0.0400
854.4027	 0.0398
856.3314	 0.0397
858.2601	 0.0397
860.1887	 0.0398
862.1174	 0.0401
864.0461	 0.0405
865.9748	 0.0410
867.9034	 0.0415
869.8321	 0.0421
871.7608	 0.0426
873.6895	 0.0431
875.6181	 0.0437
877.5468	 0.0442
879.4755	 0.0448
881.4042	 0.0455
883.3328	 0.0463
885.2615	 0.0474
887.1902	 0.0486
889.1189	 0.0500
891.0475	 0.0513
892.9762	 0.0526
894.9049	 0.0535
896.8336	 0.0539
898.7622	 0.0537
900.6909	 0.0530
902.6196	 0.0520
904.5483	 0.0509
906.4769	 0.0497
908.4056	 0.0488
910.3343	 0.0481
912.2630	 0.0476
914.1916	 0.0474
916.1203	 0.0474
918.0490	 0.0475
919.9776	 0.0477
921.9063	 0.0478
923.8350	 0.0480
925.7637	 0.0483
927.6923	 0.0484
929.6210	 0.0486
931.5497	 0.0487
933.4784	 0.0489
935.4070	 0.0492
937.3357	 0.0497
939.2644	 0.0503
941.1931	 0.0512
943.1217	 0.0524
945.0504	 0.0539
946.9791	 0.0555
948.9078	 0.0575
950.8364	 0.0597
952.7651	 0.0621
954.6938	 0.0645
956.6225	 0.0671
958.5511	 0.0698
960.4798	 0.0725
962.4085	 0.0753
964.3372	 0.0781
966.2658	 0.0809
968.1945	 0.0837
970.1232	 0.0867
972.0519	 0.0900
973.9805	 0.0936
975.9092	 0.0976
977.8379	 0.1020
979.7666	 0.1068
981.6952	 0.1119
983.6239	 0.1172
985.5526	 0.1222
987.4812	 0.1267
989.4099	 0.1304
991.3386	 0.1335
993.2673	 0.1357
995.1959	 0.1371
997.1246	 0.1382
999.0533	 0.1392
1000.9820	 0.1406
1002.9106	 0.1424
1004.8393	 0.1448
1006.7680	 0.1481
1008.6967	 0.1520
1010.6253	 0.1566
1012.5540	 0.1615
1014.4827	 0.1662
1016.4114	 0.1704
1018.3400	 0.1738
1020.2687	 0.1764
1022.1974	 0.1782
1024.1261	 0.1794
1026.0547	 0.1802
1027.9834	 0.1807
1029.9121	 0.1809
1031.8408	 0.1808
1033.7694	 0.1803
1035.6981	 0.1793
1037.6268	 0.1779
1039.5555	 0.1763
1041.4841	 0.1747
1043.4128	 0.1730
1045.3415	 0.1711
1047.2702	 0.1690
1049.1988	 0.1665
1051.1275	 0.1636
1053.0562	 0.1605
1054.9849	 0.1572
1056.9135	 0.1537
1058.8422	 0.1501
1060.7709	 0.1465
1062.6995	 0.1430
1064.6282	 0.1395
1066.5569	 0.1363
1068.4856	 0.1334
1070.4142	 0.1306
1072.3429	 0.1279
1074.2716	 0.1252
1076.2003	 0.1225
1078.1289	 0.1198
1080.0576	 0.1172
1081.9863	 0.1149
1083.9150	 0.1128
1085.8436	 0.1108
1087.7723	 0.1090
1089.7010	 0.1071
1091.6297	 0.1053
1093.5583	 0.1036
1095.4870	 0.1020
1097.4157	 0.1005
1099.3444	 0.0991
1101.2730	 0.0979
1103.2017	 0.0969
1105.1304	 0.0960
1107.0591	 0.0952
1108.9877	 0.0944
1110.9164	 0.0936
1112.8451	 0.0927
1114.7738	 0.0918
1116.7024	 0.0906
1118.6311	 0.0893
1120.5598	 0.0879
1122.4885	 0.0862
1124.4171	 0.0839
1126.3458	 0.0810
1128.2745	 0.0775
1130.2031	 0.0736
1132.1318	 0.0695
1134.0605	 0.0656
1135.9892	 0.0620
1137.9178	 0.0592
1139.8465	 0.0573
1141.7752	 0.0562
1143.7039	 0.0558
1145.6325	 0.0560
1147.5612	 0.0565
1149.4899	 0.0573
1151.4186	 0.0580
1153.3472	 0.0585
1155.2759	 0.0586
1157.2046	 0.0582
1159.1333	 0.0571
1161.0619	 0.0553
1162.9906	 0.0531
1164.9193	 0.0504
1166.8480	 0.0475
1168.7766	 0.0445
1170.7053	 0.0418
1172.6340	 0.0394
1174.5627	 0.0373
1176.4913	 0.0357
1178.4200	 0.0343
1180.3487	 0.0333
1182.2774	 0.0327
1184.2060	 0.0322
1186.1347	 0.0320
1188.0634	 0.0319
1189.9921	 0.0322
1191.9207	 0.0326
1193.8494	 0.0334
1195.7781	 0.0344
1197.7068	 0.0355
1199.6354	 0.0367
1201.5641	 0.0381
1203.4928	 0.0397
1205.4214	 0.0413
1207.3501	 0.0431
1209.2788	 0.0451
1211.2075	 0.0471
1213.1361	 0.0492
1215.0648	 0.0513
1216.9935	 0.0535
1218.9222	 0.0554
1220.8508	 0.0573
1222.7795	 0.0589
1224.7082	 0.0604
1226.6369	 0.0617
1228.5655	 0.0626
1230.4942	 0.0633
1232.4229	 0.0637
1234.3516	 0.0639
1236.2802	 0.0638
1238.2089	 0.0634
1240.1376	 0.0628
1242.0663	 0.0620
1243.9949	 0.0610
1245.9236	 0.0599
1247.8523	 0.0586
1249.7810	 0.0572
1251.7096	 0.0559
1253.6383	 0.0545
1255.5670	 0.0532
1257.4957	 0.0518
1259.4243	 0.0504
1261.3530	 0.0491
1263.2817	 0.0477
1265.2104	 0.0463
1267.1390	 0.0449
1269.0677	 0.0435
1270.9964	 0.0420
1272.9250	 0.0406
1274.8537	 0.0391
1276.7824	 0.0377
1278.7111	 0.0364
1280.6397	 0.0353
1282.5684	 0.0343
1284.4971	 0.0335
1286.4258	 0.0328
1288.3544	 0.0323
1290.2831	 0.0321
1292.2118	 0.0320
1294.1405	 0.0320
1296.0691	 0.0322
1297.9978	 0.0325
1299.9265	 0.0329
1301.8552	 0.0334
1303.7838	 0.0339
1305.7125	 0.0346
1307.6412	 0.0353
1309.5699	 0.0360
1311.4985	 0.0369
1313.4272	 0.0377
1315.3559	 0.0384
1317.2846	 0.0392
1319.2132	 0.0398
1321.1419	 0.0404
1323.0706	 0.0408
1324.9993	 0.0411
1326.9279	 0.0413
1328.8566	 0.0412
1330.7853	 0.0410
1332.7140	 0.0405
1334.6426	 0.0399
