DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.0510
601.7464	 0.0502
603.6751	 0.0493
605.6037	 0.0494
607.5324	 0.0492
609.4611	 0.0478
611.3898	 0.0471
613.3184	 0.0470
615.2471	 0.0469
617.1758	 0.0463
619.1045	 0.0452
621.0331	 0.0441
622.9618	 0.0433
624.8905	 0.0431
626.8192	 0.0429
628.7478	 0.0424
630.6765	 0.0415
632.6052	 0.0408
634.5339	 0.0406
636.4625	 0.0405
638.3912	 0.0405
640.3199	 0.0404
642.2485	 0.0403
644.1772	 0.0402
646.1059	 0.0403
648.0346	 0.0405
649.9632	 0.0405
651.8919	 0.0403
653.8206	 0.0403
655.7493	 0.0403
657.6779	 0.0402
659.6066	 0.0400
661.5353	 0.0396
663.4640	 0.0390
665.3926	 0.0395
667.3213	 0.0442
669.2500	 0.0447
671.1787	 0.0395
673.1073	 0.0373
675.0360	 0.0366
676.9647	 0.0358
678.8934	 0.0350
680.8220	 0.0343
682.7507	 0.0336
684.6794	 0.0328
686.6081	 0.0322
688.5367	 0.0317
690.4654	 0.0311
692.3941	 0.0304
694.3228	 0.0299
696.2514	 0.0294
698.1801	 0.0291
700.1088	 0.0287
702.0375	 0.0283
703.9661	 0.0280
705.8948	 0.0276
707.8235	 0.0271
709.7521	 0.0268
711.6808	 0.0265
713.6095	 0.0262
715.5382	 0.0258
717.4668	 0.0256
719.3955	 0.0258
721.3242	 0.0254
723.2529	 0.0245
725.1815	 0.0239
727.1102	 0.0235
729.0389	 0.0232
730.9676	 0.0229
732.8962	 0.0225
734.8249	 0.0222
736.7536	 0.0219
738.6823	 0.0217
740.6109	 0.0215
742.5396	 0.0212
744.4683	 0.0210
746.3970	 0.0208
748.3256	 0.0206
750.2543	 0.0204
752.1830	 0.0201
754.1117	 0.0198
756.0403	 0.0196
757.9690	 0.0193
759.8977	 0.0191
761.8264	 0.0188
763.7550	 0.0185
765.6837	 0.0184
767.6124	 0.0182
769.5411	 0.0181
771.4697	 0.0179
773.3984	 0.0177
775.3271	 0.0174
777.2557	 0.0173
779.1844	 0.0172
781.1131	 0.0171
783.0418	 0.0171
784.9704	 0.0170
786.8991	 0.0169
788.8278	 0.0169
790.7565	 0.0169
792.6851	 0.0169
794.6138	 0.0169
796.5425	 0.0169
798.4712	 0.0168
800.3998	 0.0167
802.3285	 0.0167
804.2572	 0.0167
806.1859	 0.0167
808.1145	 0.0167
810.0432	 0.0168
811.9719	 0.0168
813.9006	 0.0169
815.8292	 0.0171
817.7579	 0.0172
819.6866	 0.0173
821.6153	 0.0174
823.5439	 0.0176
825.4726	 0.0176
827.4013	 0.0177
829.3300	 0.0178
831.2586	 0.0179
833.1873	 0.0179
835.1160	 0.0178
837.0447	 0.0177
838.9733	 0.0175
840.9020	 0.0175
842.8307	 0.0174
844.7594	 0.0173
846.6880	 0.0172
848.6167	 0.0170
850.5454	 0.0169
852.4740	 0.0168
854.4027	 0.0168
856.3314	 0.0167
858.2601	 0.0168
860.1887	 0.0169
862.1174	 0.0171
864.0461	 0.0172
865.9748	 0.0174
867.9034	 0.0177
869.8321	 0.0180
871.7608	 0.0182
873.6895	 0.0185
875.6181	 0.0187
877.5468	 0.0189
879.4755	 0.0190
881.4042	 0.0193
883.3328	 0.0196
885.2615	 0.0200
887.1902	 0.0205
889.1189	 0.0210
891.0475	 0.0217
892.9762	 0.0222
894.9049	 0.0226
896.8336	 0.0228
898.7622	 0.0226
900.6909	 0.0223
902.6196	 0.0218
904.5483	 0.0213
906.4769	 0.0209
908.4056	 0.0206
910.3343	 0.0203
912.2630	 0.0202
914.1916	 0.0201
916.1203	 0.0201
918.0490	 0.0202
919.9776	 0.0202
921.9063	 0.0204
923.8350	 0.0205
925.7637	 0.0206
927.6923	 0.0207
929.6210	 0.0208
931.5497	 0.0209
933.4784	 0.0210
935.4070	 0.0211
937.3357	 0.0213
939.2644	 0.0216
941.1931	 0.0221
943.1217	 0.0226
945.0504	 0.0233
946.9791	 0.0240
948.9078	 0.0249
950.8364	 0.0259
952.7651	 0.0270
954.6938	 0.0282
956.6225	 0.0295
958.5511	 0.0307
960.4798	 0.0320
962.4085	 0.0333
964.3372	 0.0346
966.2658	 0.0358
968.1945	 0.0372
970.1232	 0.0386
972.0519	 0.0400
973.9805	 0.0416
975.9092	 0.0434
977.8379	 0.0453
979.7666	 0.0475
981.6952	 0.0497
983.6239	 0.0518
985.5526	 0.0536
987.4812	 0.0551
989.4099	 0.0562
991.3386	 0.0571
993.2673	 0.0579
995.1959	 0.0584
997.1246	 0.0590
999.0533	 0.0596
1000.9820	 0.0603
1002.9106	 0.0611
1004.8393	 0.0622
1006.7680	 0.0634
1008.6967	 0.0648
1010.6253	 0.0663
1012.5540	 0.0680
1014.4827	 0.0697
1016.4114	 0.0713
1018.3400	 0.0727
1020.2687	 0.0738
1022.1974	 0.0749
1024.1261	 0.0758
1026.0547	 0.0767
1027.9834	 0.0773
1029.9121	 0.0778
1031.8408	 0.0780
1033.7694	 0.0778
1035.6981	 0.0772
1037.6268	 0.0763
1039.5555	 0.0752
1041.4841	 0.0743
1043.4128	 0.0737
1045.3415	 0.0732
1047.2702	 0.0726
1049.1988	 0.0720
1051.1275	 0.0712
1053.0562	 0.0701
1054.9849	 0.0687
1056.9135	 0.0672
1058.8422	 0.0655
1060.7709	 0.0635
1062.6995	 0.0614
1064.6282	 0.0592
1066.5569	 0.0573
1068.4856	 0.0556
1070.4142	 0.0542
1072.3429	 0.0530
1074.2716	 0.0519
1076.2003	 0.0508
1078.1289	 0.0497
1080.0576	 0.0486
1081.9863	 0.0476
1083.9150	 0.0467
1085.8436	 0.0461
1087.7723	 0.0455
1089.7010	 0.0449
1091.6297	 0.0444
1093.5583	 0.0440
1095.4870	 0.0435
1097.4157	 0.0432
1099.3444	 0.0430
1101.2730	 0.0429
1103.2017	 0.0428
1105.1304	 0.0426
1107.0591	 0.0423
1108.9877	 0.0420
1110.9164	 0.0415
1112.8451	 0.0410
1114.7738	 0.0402
1116.7024	 0.0394
1118.6311	 0.0387
1120.5598	 0.0379
1122.4885	 0.0371
1124.4171	 0.0361
1126.3458	 0.0348
1128.2745	 0.0331
1130.2031	 0.0313
1132.1318	 0.0294
1134.0605	 0.0275
1135.9892	 0.0259
1137.9178	 0.0246
1139.8465	 0.0237
1141.7752	 0.0233
1143.7039	 0.0233
1145.6325	 0.0234
1147.5612	 0.0237
1149.4899	 0.0241
1151.4186	 0.0245
1153.3472	 0.0248
1155.2759	 0.0250
1157.2046	 0.0250
1159.1333	 0.0247
1161.0619	 0.0241
1162.9906	 0.0232
1164.9193	 0.0219
1166.8480	 0.0205
1168.7766	 0.0190
1170.7053	 0.0175
1172.6340	 0.0162
1174.5627	 0.0151
1176.4913	 0.0142
1178.4200	 0.0136
1180.3487	 0.0132
1182.2774	 0.0128
1184.2060	 0.0126
1186.1347	 0.0125
1188.0634	 0.0125
1189.9921	 0.0126
1191.9207	 0.0128
1193.8494	 0.0132
1195.7781	 0.0136
1197.7068	 0.0143
1199.6354	 0.0150
1201.5641	 0.0156
1203.4928	 0.0164
1205.4214	 0.0171
1207.3501	 0.0179
1209.2788	 0.0188
1211.2075	 0.0197
1213.1361	 0.0206
1215.0648	 0.0216
1216.9935	 0.0225
1218.9222	 0.0235
1220.8508	 0.0243
1222.7795	 0.0251
1224.7082	 0.0258
1226.6369	 0.0263
1228.5655	 0.0268
1230.4942	 0.0271
1232.4229	 0.0273
1234.3516	 0.0273
1236.2802	 0.0272
1238.2089	 0.0270
1240.1376	 0.0267
1242.0663	 0.0264
1243.9949	 0.0259
1245.9236	 0.0254
1247.8523	 0.0247
1249.7810	 0.0240
1251.7096	 0.0233
1253.6383	 0.0227
1255.5670	 0.0220
1257.4957	 0.0214
1259.4243	 0.0208
1261.3530	 0.0201
1263.2817	 0.0194
1265.2104	 0.0188
1267.1390	 0.0181
1269.0677	 0.0175
1270.9964	 0.0169
1272.9250	 0.0162
1274.8537	 0.0155
1276.7824	 0.0149
1278.7111	 0.0143
1280.6397	 0.0139
1282.5684	 0.0134
1284.4971	 0.0130
1286.4258	 0.0127
1288.3544	 0.0124
1290.2831	 0.0123
1292.2118	 0.0122
1294.1405	 0.0122
1296.0691	 0.0122
1297.9978	 0.0124
1299.9265	 0.0126
1301.8552	 0.0129
1303.7838	 0.0133
1305.7125	 0.0137
1307.6412	 0.0142
1309.5699	 0.0146
1311.4985	 0.0152
1313.4272	 0.0157
1315.3559	 0.0161
1317.2846	 0.0165
1319.2132	 0.0167
1321.1419	 0.0167
1323.0706	 0.0167
1324.9993	 0.0167
1326.9279	 0.0168
1328.8566	 0.0167
1330.7853	 0.0166
1332.7140	 0.0164
1334.6426	 0.0162
