DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.0465
601.7464	 0.0451
603.6751	 0.0440
605.6037	 0.0443
607.5324	 0.0445
609.4611	 0.0433
611.3898	 0.0425
613.3184	 0.0425
615.2471	 0.0428
617.1758	 0.0425
619.1045	 0.0411
621.0331	 0.0398
622.9618	 0.0392
624.8905	 0.0390
626.8192	 0.0388
628.7478	 0.0385
630.6765	 0.0374
632.6052	 0.0367
634.5339	 0.0367
636.4625	 0.0368
638.3912	 0.0370
640.3199	 0.0370
642.2485	 0.0367
644.1772	 0.0366
646.1059	 0.0368
648.0346	 0.0370
649.9632	 0.0369
651.8919	 0.0367
653.8206	 0.0369
655.7493	 0.0369
657.6779	 0.0368
659.6066	 0.0366
661.5353	 0.0363
663.4640	 0.0357
665.3926	 0.0363
667.3213	 0.0413
669.2500	 0.0419
671.1787	 0.0364
673.1073	 0.0342
675.0360	 0.0336
676.9647	 0.0328
678.8934	 0.0323
680.8220	 0.0317
682.7507	 0.0309
684.6794	 0.0302
686.6081	 0.0296
688.5367	 0.0291
690.4654	 0.0285
692.3941	 0.0278
694.3228	 0.0272
696.2514	 0.0268
698.1801	 0.0265
700.1088	 0.0261
702.0375	 0.0257
703.9661	 0.0254
705.8948	 0.0250
707.8235	 0.0246
709.7521	 0.0242
711.6808	 0.0240
713.6095	 0.0237
715.5382	 0.0234
717.4668	 0.0233
719.3955	 0.0235
721.3242	 0.0231
723.2529	 0.0223
725.1815	 0.0217
727.1102	 0.0213
729.0389	 0.0210
730.9676	 0.0208
732.8962	 0.0204
734.8249	 0.0201
736.7536	 0.0198
738.6823	 0.0196
740.6109	 0.0194
742.5396	 0.0192
744.4683	 0.0190
746.3970	 0.0188
748.3256	 0.0187
750.2543	 0.0185
752.1830	 0.0182
754.1117	 0.0180
756.0403	 0.0177
757.9690	 0.0175
759.8977	 0.0174
761.8264	 0.0171
763.7550	 0.0169
765.6837	 0.0167
767.6124	 0.0165
769.5411	 0.0164
771.4697	 0.0163
773.3984	 0.0160
775.3271	 0.0159
777.2557	 0.0157
779.1844	 0.0156
781.1131	 0.0156
783.0418	 0.0156
784.9704	 0.0155
786.8991	 0.0154
788.8278	 0.0154
790.7565	 0.0154
792.6851	 0.0154
794.6138	 0.0154
796.5425	 0.0153
798.4712	 0.0153
800.3998	 0.0153
802.3285	 0.0153
804.2572	 0.0153
806.1859	 0.0152
808.1145	 0.0152
810.0432	 0.0153
811.9719	 0.0153
813.9006	 0.0154
815.8292	 0.0155
817.7579	 0.0156
819.6866	 0.0157
821.6153	 0.0159
823.5439	 0.0160
825.4726	 0.0160
827.4013	 0.0161
829.3300	 0.0162
831.2586	 0.0163
833.1873	 0.0163
835.1160	 0.0162
837.0447	 0.0161
838.9733	 0.0159
840.9020	 0.0159
842.8307	 0.0159
844.7594	 0.0158
846.6880	 0.0156
848.6167	 0.0155
850.5454	 0.0154
852.4740	 0.0153
854.4027	 0.0153
856.3314	 0.0153
858.2601	 0.0153
860.1887	 0.0154
862.1174	 0.0156
864.0461	 0.0157
865.9748	 0.0159
867.9034	 0.0161
869.8321	 0.0163
871.7608	 0.0166
873.6895	 0.0168
875.6181	 0.0169
877.5468	 0.0171
879.4755	 0.0173
881.4042	 0.0175
883.3328	 0.0178
885.2615	 0.0181
887.1902	 0.0185
889.1189	 0.0189
891.0475	 0.0195
892.9762	 0.0200
894.9049	 0.0204
896.8336	 0.0205
898.7622	 0.0204
900.6909	 0.0201
902.6196	 0.0197
904.5483	 0.0193
906.4769	 0.0189
908.4056	 0.0186
910.3343	 0.0184
912.2630	 0.0182
914.1916	 0.0182
916.1203	 0.0182
918.0490	 0.0182
919.9776	 0.0183
921.9063	 0.0184
923.8350	 0.0185
925.7637	 0.0186
927.6923	 0.0187
929.6210	 0.0188
931.5497	 0.0189
933.4784	 0.0189
935.4070	 0.0190
937.3357	 0.0192
939.2644	 0.0195
941.1931	 0.0199
943.1217	 0.0204
945.0504	 0.0209
946.9791	 0.0216
948.9078	 0.0224
950.8364	 0.0232
952.7651	 0.0242
954.6938	 0.0253
956.6225	 0.0264
958.5511	 0.0275
960.4798	 0.0285
962.4085	 0.0297
964.3372	 0.0308
966.2658	 0.0320
968.1945	 0.0331
970.1232	 0.0343
972.0519	 0.0356
973.9805	 0.0370
975.9092	 0.0386
977.8379	 0.0403
979.7666	 0.0422
981.6952	 0.0442
983.6239	 0.0461
985.5526	 0.0477
987.4812	 0.0490
989.4099	 0.0501
991.3386	 0.0510
993.2673	 0.0516
995.1959	 0.0522
997.1246	 0.0527
999.0533	 0.0533
1000.9820	 0.0539
1002.9106	 0.0547
1004.8393	 0.0556
1006.7680	 0.0567
1008.6967	 0.0580
1010.6253	 0.0594
1012.5540	 0.0610
1014.4827	 0.0626
1016.4114	 0.0641
1018.3400	 0.0654
1020.2687	 0.0664
1022.1974	 0.0673
1024.1261	 0.0682
1026.0547	 0.0691
1027.9834	 0.0697
1029.9121	 0.0702
1031.8408	 0.0704
1033.7694	 0.0702
1035.6981	 0.0697
1037.6268	 0.0689
1039.5555	 0.0680
1041.4841	 0.0672
1043.4128	 0.0666
1045.3415	 0.0661
1047.2702	 0.0656
1049.1988	 0.0651
1051.1275	 0.0645
1053.0562	 0.0635
1054.9849	 0.0624
1056.9135	 0.0610
1058.8422	 0.0594
1060.7709	 0.0576
1062.6995	 0.0556
1064.6282	 0.0537
1066.5569	 0.0520
1068.4856	 0.0504
1070.4142	 0.0491
1072.3429	 0.0480
1074.2716	 0.0470
1076.2003	 0.0460
1078.1289	 0.0450
1080.0576	 0.0440
1081.9863	 0.0430
1083.9150	 0.0421
1085.8436	 0.0415
1087.7723	 0.0410
1089.7010	 0.0405
1091.6297	 0.0401
1093.5583	 0.0396
1095.4870	 0.0393
1097.4157	 0.0390
1099.3444	 0.0388
1101.2730	 0.0387
1103.2017	 0.0386
1105.1304	 0.0385
1107.0591	 0.0382
1108.9877	 0.0379
1110.9164	 0.0376
1112.8451	 0.0370
1114.7738	 0.0363
1116.7024	 0.0356
1118.6311	 0.0349
1120.5598	 0.0343
1122.4885	 0.0335
1124.4171	 0.0326
1126.3458	 0.0314
1128.2745	 0.0299
1130.2031	 0.0282
1132.1318	 0.0265
1134.0605	 0.0248
1135.9892	 0.0233
1137.9178	 0.0221
1139.8465	 0.0214
1141.7752	 0.0210
1143.7039	 0.0209
1145.6325	 0.0211
1147.5612	 0.0214
1149.4899	 0.0217
1151.4186	 0.0221
1153.3472	 0.0224
1155.2759	 0.0226
1157.2046	 0.0226
1159.1333	 0.0224
1161.0619	 0.0219
1162.9906	 0.0210
1164.9193	 0.0199
1166.8480	 0.0186
1168.7766	 0.0173
1170.7053	 0.0159
1172.6340	 0.0147
1174.5627	 0.0137
1176.4913	 0.0129
1178.4200	 0.0123
1180.3487	 0.0119
1182.2774	 0.0116
1184.2060	 0.0115
1186.1347	 0.0114
1188.0634	 0.0114
1189.9921	 0.0114
1191.9207	 0.0116
1193.8494	 0.0119
1195.7781	 0.0124
1197.7068	 0.0129
1199.6354	 0.0136
1201.5641	 0.0142
1203.4928	 0.0148
1205.4214	 0.0155
1207.3501	 0.0162
1209.2788	 0.0169
1211.2075	 0.0177
1213.1361	 0.0186
1215.0648	 0.0194
1216.9935	 0.0203
1218.9222	 0.0211
1220.8508	 0.0219
1222.7795	 0.0225
1224.7082	 0.0231
1226.6369	 0.0236
1228.5655	 0.0240
1230.4942	 0.0243
1232.4229	 0.0245
1234.3516	 0.0245
1236.2802	 0.0244
1238.2089	 0.0242
1240.1376	 0.0240
1242.0663	 0.0236
1243.9949	 0.0232
1245.9236	 0.0227
1247.8523	 0.0221
1249.7810	 0.0215
1251.7096	 0.0209
1253.6383	 0.0203
1255.5670	 0.0197
1257.4957	 0.0191
1259.4243	 0.0186
1261.3530	 0.0180
1263.2817	 0.0174
1265.2104	 0.0168
1267.1390	 0.0162
1269.0677	 0.0157
1270.9964	 0.0152
1272.9250	 0.0145
1274.8537	 0.0139
1276.7824	 0.0134
1278.7111	 0.0129
1280.6397	 0.0125
1282.5684	 0.0120
1284.4971	 0.0117
1286.4258	 0.0114
1288.3544	 0.0112
1290.2831	 0.0111
1292.2118	 0.0110
1294.1405	 0.0110
1296.0691	 0.0110
1297.9978	 0.0111
1299.9265	 0.0114
1301.8552	 0.0117
1303.7838	 0.0120
1305.7125	 0.0124
1307.6412	 0.0127
1309.5699	 0.0132
1311.4985	 0.0137
1313.4272	 0.0142
1315.3559	 0.0145
1317.2846	 0.0148
1319.2132	 0.0151
1321.1419	 0.0150
1323.0706	 0.0150
1324.9993	 0.0150
1326.9279	 0.0150
1328.8566	 0.0150
1330.7853	 0.0149
1332.7140	 0.0147
1334.6426	 0.0145
