DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1275
601.7464	 0.1266
603.6751	 0.1255
605.6037	 0.1250
607.5324	 0.1241
609.4611	 0.1222
611.3898	 0.1197
613.3184	 0.1179
615.2471	 0.1180
617.1758	 0.1178
619.1045	 0.1157
621.0331	 0.1139
622.9618	 0.1128
624.8905	 0.1116
626.8192	 0.1107
628.7478	 0.1098
630.6765	 0.1089
632.6052	 0.1080
634.5339	 0.1074
636.4625	 0.1070
638.3912	 0.1062
640.3199	 0.1054
642.2485	 0.1046
644.1772	 0.1039
646.1059	 0.1033
648.0346	 0.1025
649.9632	 0.1018
651.8919	 0.1014
653.8206	 0.1010
655.7493	 0.1004
657.6779	 0.1002
659.6066	 0.1000
661.5353	 0.0995
663.4640	 0.0989
665.3926	 0.0985
667.3213	 0.0976
669.2500	 0.0955
671.1787	 0.0942
673.1073	 0.0925
675.0360	 0.0905
676.9647	 0.0886
678.8934	 0.0867
680.8220	 0.0851
682.7507	 0.0839
684.6794	 0.0830
686.6081	 0.0823
688.5367	 0.0816
690.4654	 0.0810
692.3941	 0.0804
694.3228	 0.0799
696.2514	 0.0793
698.1801	 0.0788
700.1088	 0.0783
702.0375	 0.0779
703.9661	 0.0775
705.8948	 0.0770
707.8235	 0.0763
709.7521	 0.0757
711.6808	 0.0750
713.6095	 0.0743
715.5382	 0.0736
717.4668	 0.0730
719.3955	 0.0724
721.3242	 0.0716
723.2529	 0.0710
725.1815	 0.0702
727.1102	 0.0693
729.0389	 0.0685
730.9676	 0.0677
732.8962	 0.0669
734.8249	 0.0662
736.7536	 0.0656
738.6823	 0.0649
740.6109	 0.0643
742.5396	 0.0638
744.4683	 0.0633
746.3970	 0.0627
748.3256	 0.0621
750.2543	 0.0615
752.1830	 0.0609
754.1117	 0.0603
756.0403	 0.0596
757.9690	 0.0590
759.8977	 0.0585
761.8264	 0.0579
763.7550	 0.0573
765.6837	 0.0568
767.6124	 0.0562
769.5411	 0.0557
771.4697	 0.0551
773.3984	 0.0545
775.3271	 0.0539
777.2557	 0.0533
779.1844	 0.0528
781.1131	 0.0523
783.0418	 0.0519
784.9704	 0.0515
786.8991	 0.0512
788.8278	 0.0509
790.7565	 0.0506
792.6851	 0.0503
794.6138	 0.0501
796.5425	 0.0499
798.4712	 0.0497
800.3998	 0.0495
802.3285	 0.0493
804.2572	 0.0491
806.1859	 0.0489
808.1145	 0.0487
810.0432	 0.0486
811.9719	 0.0485
813.9006	 0.0484
815.8292	 0.0484
817.7579	 0.0484
819.6866	 0.0484
821.6153	 0.0484
823.5439	 0.0483
825.4726	 0.0483
827.4013	 0.0484
829.3300	 0.0483
831.2586	 0.0482
833.1873	 0.0480
835.1160	 0.0477
837.0447	 0.0473
838.9733	 0.0470
840.9020	 0.0467
842.8307	 0.0463
844.7594	 0.0459
846.6880	 0.0456
848.6167	 0.0453
850.5454	 0.0450
852.4740	 0.0448
854.4027	 0.0445
856.3314	 0.0443
858.2601	 0.0443
860.1887	 0.0443
862.1174	 0.0446
864.0461	 0.0450
865.9748	 0.0454
867.9034	 0.0458
869.8321	 0.0463
871.7608	 0.0466
873.6895	 0.0467
875.6181	 0.0469
877.5468	 0.0471
879.4755	 0.0473
881.4042	 0.0476
883.3328	 0.0481
885.2615	 0.0489
887.1902	 0.0499
889.1189	 0.0511
891.0475	 0.0525
892.9762	 0.0538
894.9049	 0.0549
896.8336	 0.0553
898.7622	 0.0552
900.6909	 0.0544
902.6196	 0.0532
904.5483	 0.0517
906.4769	 0.0503
908.4056	 0.0493
910.3343	 0.0486
912.2630	 0.0481
914.1916	 0.0478
916.1203	 0.0477
918.0490	 0.0478
919.9776	 0.0479
921.9063	 0.0480
923.8350	 0.0481
925.7637	 0.0483
927.6923	 0.0485
929.6210	 0.0486
931.5497	 0.0488
933.4784	 0.0489
935.4070	 0.0491
937.3357	 0.0494
939.2644	 0.0499
941.1931	 0.0506
943.1217	 0.0516
945.0504	 0.0528
946.9791	 0.0542
948.9078	 0.0559
950.8364	 0.0579
952.7651	 0.0601
954.6938	 0.0626
956.6225	 0.0653
958.5511	 0.0680
960.4798	 0.0709
962.4085	 0.0737
964.3372	 0.0765
966.2658	 0.0793
968.1945	 0.0821
970.1232	 0.0850
972.0519	 0.0881
973.9805	 0.0915
975.9092	 0.0952
977.8379	 0.0994
979.7666	 0.1039
981.6952	 0.1087
983.6239	 0.1136
985.5526	 0.1183
987.4812	 0.1224
989.4099	 0.1258
991.3386	 0.1286
993.2673	 0.1307
995.1959	 0.1321
997.1246	 0.1333
999.0533	 0.1345
1000.9820	 0.1359
1002.9106	 0.1378
1004.8393	 0.1403
1006.7680	 0.1434
1008.6967	 0.1473
1010.6253	 0.1520
1012.5540	 0.1572
1014.4827	 0.1627
1016.4114	 0.1680
1018.3400	 0.1728
1020.2687	 0.1770
1022.1974	 0.1804
1024.1261	 0.1834
1026.0547	 0.1859
1027.9834	 0.1881
1029.9121	 0.1901
1031.8408	 0.1916
1033.7694	 0.1923
1035.6981	 0.1921
1037.6268	 0.1911
1039.5555	 0.1897
1041.4841	 0.1881
1043.4128	 0.1865
1045.3415	 0.1847
1047.2702	 0.1822
1049.1988	 0.1792
1051.1275	 0.1755
1053.0562	 0.1712
1054.9849	 0.1666
1056.9135	 0.1620
1058.8422	 0.1573
1060.7709	 0.1526
1062.6995	 0.1480
1064.6282	 0.1438
1066.5569	 0.1402
1068.4856	 0.1370
1070.4142	 0.1343
1072.3429	 0.1317
1074.2716	 0.1292
1076.2003	 0.1265
1078.1289	 0.1237
1080.0576	 0.1208
1081.9863	 0.1181
1083.9150	 0.1156
1085.8436	 0.1134
1087.7723	 0.1112
1089.7010	 0.1091
1091.6297	 0.1071
1093.5583	 0.1053
1095.4870	 0.1036
1097.4157	 0.1022
1099.3444	 0.1011
1101.2730	 0.1003
1103.2017	 0.0998
1105.1304	 0.0993
1107.0591	 0.0988
1108.9877	 0.0983
1110.9164	 0.0976
1112.8451	 0.0967
1114.7738	 0.0956
1116.7024	 0.0945
1118.6311	 0.0933
1120.5598	 0.0921
1122.4885	 0.0905
1124.4171	 0.0883
1126.3458	 0.0855
1128.2745	 0.0820
1130.2031	 0.0780
1132.1318	 0.0737
1134.0605	 0.0695
1135.9892	 0.0658
1137.9178	 0.0629
1139.8465	 0.0610
1141.7752	 0.0600
1143.7039	 0.0597
1145.6325	 0.0599
1147.5612	 0.0604
1149.4899	 0.0612
1151.4186	 0.0620
1153.3472	 0.0626
1155.2759	 0.0629
1157.2046	 0.0626
1159.1333	 0.0617
1161.0619	 0.0601
1162.9906	 0.0579
1164.9193	 0.0550
1166.8480	 0.0518
1168.7766	 0.0486
1170.7053	 0.0455
1172.6340	 0.0428
1174.5627	 0.0405
1176.4913	 0.0387
1178.4200	 0.0373
1180.3487	 0.0363
1182.2774	 0.0356
1184.2060	 0.0351
1186.1347	 0.0348
1188.0634	 0.0347
1189.9921	 0.0348
1191.9207	 0.0353
1193.8494	 0.0361
1195.7781	 0.0370
1197.7068	 0.0382
1199.6354	 0.0396
1201.5641	 0.0410
1203.4928	 0.0426
1205.4214	 0.0442
1207.3501	 0.0460
1209.2788	 0.0478
1211.2075	 0.0498
1213.1361	 0.0519
1215.0648	 0.0541
1216.9935	 0.0562
1218.9222	 0.0581
1220.8508	 0.0599
1222.7795	 0.0615
1224.7082	 0.0630
1226.6369	 0.0644
1228.5655	 0.0655
1230.4942	 0.0665
1232.4229	 0.0672
1234.3516	 0.0678
1236.2802	 0.0681
1238.2089	 0.0681
1240.1376	 0.0679
1242.0663	 0.0675
1243.9949	 0.0668
1245.9236	 0.0659
1247.8523	 0.0648
1249.7810	 0.0636
1251.7096	 0.0623
1253.6383	 0.0609
1255.5670	 0.0595
1257.4957	 0.0580
1259.4243	 0.0565
1261.3530	 0.0549
1263.2817	 0.0534
1265.2104	 0.0518
1267.1390	 0.0501
1269.0677	 0.0484
1270.9964	 0.0467
1272.9250	 0.0450
1274.8537	 0.0432
1276.7824	 0.0415
1278.7111	 0.0400
1280.6397	 0.0387
1282.5684	 0.0374
1284.4971	 0.0364
1286.4258	 0.0356
1288.3544	 0.0349
1290.2831	 0.0345
1292.2118	 0.0343
1294.1405	 0.0342
1296.0691	 0.0343
1297.9978	 0.0346
1299.9265	 0.0351
1301.8552	 0.0356
1303.7838	 0.0363
1305.7125	 0.0370
1307.6412	 0.0378
1309.5699	 0.0387
1311.4985	 0.0395
1313.4272	 0.0404
1315.3559	 0.0411
1317.2846	 0.0418
1319.2132	 0.0424
1321.1419	 0.0429
1323.0706	 0.0432
1324.9993	 0.0434
1326.9279	 0.0435
1328.8566	 0.0435
1330.7853	 0.0433
1332.7140	 0.0427
1334.6426	 0.0421
