DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Energy
DECIMALSYMBOL	 .
0.0000	 0.0069
1.9287	 0.0056
3.8573	 0.0016
5.7860	 -0.0004
7.7147	 0.0001
9.6434	 -0.0001
11.5720	 0.0000
13.5007	 0.0000
15.4294	 0.0000
17.3581	 0.0000
19.2867	 0.0000
21.2154	 0.0000
23.1441	 0.0000
25.0728	 0.0000
27.0014	 0.0000
28.9301	 0.0000
30.8588	 0.0000
32.7875	 0.0000
34.7161	 0.0000
36.6448	 0.0000
38.5735	 0.0000
40.5022	 0.0000
42.4308	 0.0000
44.3595	 0.0000
46.2882	 0.0000
48.2169	 0.0000
50.1455	 0.0000
52.0742	 0.0000
54.0029	 0.0000
55.9316	 0.0000
57.8602	 0.0000
59.7889	 0.0000
61.7176	 0.0000
63.6463	 0.0000
65.5749	 0.0000
67.5036	 0.0000
69.4323	 0.0000
71.3609	 0.0000
73.2896	 0.0000
75.2183	 0.0000
77.1470	 0.0000
79.0756	 0.0000
81.0043	 0.0000
82.9330	 0.0000
84.8617	 0.0000
86.7903	 0.0000
88.7190	 0.0000
90.6477	 0.0000
92.5764	 0.0000
94.5050	 0.0000
96.4337	 0.0000
98.3624	 0.0001
100.2911	 0.0001
102.2197	 0.0000
104.1484	 0.0000
106.0771	 0.0000
108.0058	 0.0000
109.9344	 0.0000
111.8631	 0.0000
113.7918	 0.0000
115.7205	 0.0000
117.6491	 0.0000
119.5778	 0.0000
121.5065	 0.0000
123.4352	 0.0000
125.3638	 0.0000
127.2925	 0.0000
129.2212	 0.0000
131.1499	 0.0000
133.0785	 0.0000
135.0072	 0.0000
136.9359	 0.0000
138.8646	 0.0000
140.7932	 0.0000
142.7219	 0.0000
144.6506	 0.0000
146.5792	 0.0000
148.5079	 0.0000
150.4366	 0.0000
152.3653	 0.0000
154.2939	 0.0000
156.2226	 0.0000
158.1513	 0.0000
160.0800	 0.0000
162.0086	 0.0000
163.9373	 0.0000
165.8660	 0.0000
167.7947	 0.0000
169.7233	 0.0000
171.6520	 0.0000
173.5807	 0.0000
175.5094	 0.0000
177.4380	 0.0000
179.3667	 0.0000
181.2954	 0.0000
183.2241	 0.0000
185.1527	 0.0000
187.0814	 0.0000
189.0101	 0.0000
190.9388	 0.0000
192.8674	 0.0000
194.7961	 0.0000
196.7248	 0.0000
198.6535	 0.0000
200.5821	 0.0000
202.5108	 0.0000
204.4395	 0.0000
206.3682	 0.0000
208.2968	 0.0000
210.2255	 0.0000
212.1542	 0.0000
214.0828	 0.0000
216.0115	 0.0000
217.9402	 0.0000
219.8689	 0.0000
221.7975	 0.0000
223.7262	 0.0000
225.6549	 0.0000
227.5836	 0.0000
229.5122	 0.0000
231.4409	 0.0000
233.3696	 0.0000
235.2983	 0.0000
237.2269	 0.0000
239.1556	 0.0000
241.0843	 0.0000
243.0130	 0.0000
244.9416	 0.0000
246.8703	 0.0000
248.7990	 0.0000
250.7277	 0.0000
252.6563	 0.0000
254.5850	 0.0000
256.5137	 0.0000
258.4424	 0.0000
260.3710	 0.0000
262.2997	 0.0000
264.2284	 0.0000
266.1571	 0.0000
268.0857	 0.0000
270.0144	 0.0000
271.9431	 0.0000
273.8718	 0.0000
275.8004	 0.0000
277.7291	 0.0000
279.6578	 0.0000
281.5865	 0.0000
283.5151	 0.0000
285.4438	 0.0000
287.3725	 0.0000
289.3011	 0.0000
291.2298	 0.0000
293.1585	 0.0000
295.0872	 0.0000
297.0158	 0.0000
298.9445	 0.0000
300.8732	 0.0000
302.8019	 0.0000
304.7305	 0.0000
306.6592	 0.0000
308.5879	 0.0000
310.5166	 0.0000
312.4452	 0.0000
314.3739	 0.0000
316.3026	 0.0000
318.2313	 0.0000
320.1599	 0.0000
322.0886	 0.0000
324.0173	 0.0000
325.9460	 0.0000
327.8746	 0.0000
329.8033	 0.0000
331.7320	 0.0000
333.6607	 0.0000
335.5893	 0.0000
337.5180	 0.0000
339.4467	 0.0000
341.3754	 0.0000
343.3040	 0.0000
345.2327	 0.0000
347.1614	 0.0000
349.0901	 0.0000
351.0187	 0.0000
