DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1057
601.7464	 0.1051
603.6751	 0.1036
605.6037	 0.1020
607.5324	 0.1009
609.4611	 0.1006
611.3898	 0.1000
613.3184	 0.0988
615.2471	 0.0973
617.1758	 0.0964
619.1045	 0.0959
621.0331	 0.0952
622.9618	 0.0940
624.8905	 0.0928
626.8192	 0.0923
628.7478	 0.0914
630.6765	 0.0905
632.6052	 0.0898
634.5339	 0.0894
636.4625	 0.0889
638.3912	 0.0883
640.3199	 0.0878
642.2485	 0.0874
644.1772	 0.0870
646.1059	 0.0867
648.0346	 0.0864
649.9632	 0.0860
651.8919	 0.0856
653.8206	 0.0854
655.7493	 0.0853
657.6779	 0.0852
659.6066	 0.0848
661.5353	 0.0843
663.4640	 0.0836
665.3926	 0.0832
667.3213	 0.0832
669.2500	 0.0815
671.1787	 0.0796
673.1073	 0.0780
675.0360	 0.0764
676.9647	 0.0749
678.8934	 0.0734
680.8220	 0.0722
682.7507	 0.0712
684.6794	 0.0704
686.6081	 0.0698
688.5367	 0.0693
690.4654	 0.0687
692.3941	 0.0682
694.3228	 0.0678
696.2514	 0.0674
698.1801	 0.0669
700.1088	 0.0664
702.0375	 0.0660
703.9661	 0.0656
705.8948	 0.0653
707.8235	 0.0647
709.7521	 0.0642
711.6808	 0.0636
713.6095	 0.0629
715.5382	 0.0623
717.4668	 0.0619
719.3955	 0.0614
721.3242	 0.0607
723.2529	 0.0599
725.1815	 0.0592
727.1102	 0.0585
729.0389	 0.0577
730.9676	 0.0570
732.8962	 0.0564
734.8249	 0.0557
736.7536	 0.0552
738.6823	 0.0547
740.6109	 0.0541
742.5396	 0.0537
744.4683	 0.0532
746.3970	 0.0527
748.3256	 0.0521
750.2543	 0.0516
752.1830	 0.0511
754.1117	 0.0506
756.0403	 0.0499
757.9690	 0.0493
759.8977	 0.0488
761.8264	 0.0482
763.7550	 0.0478
765.6837	 0.0473
767.6124	 0.0468
769.5411	 0.0462
771.4697	 0.0457
773.3984	 0.0453
775.3271	 0.0449
777.2557	 0.0445
779.1844	 0.0441
781.1131	 0.0438
783.0418	 0.0435
784.9704	 0.0432
786.8991	 0.0430
788.8278	 0.0428
790.7565	 0.0426
792.6851	 0.0423
794.6138	 0.0421
796.5425	 0.0419
798.4712	 0.0417
800.3998	 0.0416
802.3285	 0.0413
804.2572	 0.0412
806.1859	 0.0411
808.1145	 0.0410
810.0432	 0.0408
811.9719	 0.0408
813.9006	 0.0409
815.8292	 0.0408
817.7579	 0.0408
819.6866	 0.0408
821.6153	 0.0410
823.5439	 0.0410
825.4726	 0.0410
827.4013	 0.0411
829.3300	 0.0411
831.2586	 0.0410
833.1873	 0.0409
835.1160	 0.0407
837.0447	 0.0404
838.9733	 0.0400
840.9020	 0.0396
842.8307	 0.0392
844.7594	 0.0387
846.6880	 0.0383
848.6167	 0.0379
850.5454	 0.0376
852.4740	 0.0373
854.4027	 0.0370
856.3314	 0.0368
858.2601	 0.0366
860.1887	 0.0365
862.1174	 0.0365
864.0461	 0.0366
865.9748	 0.0369
867.9034	 0.0372
869.8321	 0.0374
871.7608	 0.0376
873.6895	 0.0379
875.6181	 0.0382
877.5468	 0.0386
879.4755	 0.0389
881.4042	 0.0393
883.3328	 0.0398
885.2615	 0.0406
887.1902	 0.0415
889.1189	 0.0426
891.0475	 0.0437
892.9762	 0.0447
894.9049	 0.0456
896.8336	 0.0460
898.7622	 0.0458
900.6909	 0.0452
902.6196	 0.0442
904.5483	 0.0429
906.4769	 0.0418
908.4056	 0.0408
910.3343	 0.0402
912.2630	 0.0398
914.1916	 0.0394
916.1203	 0.0393
918.0490	 0.0392
919.9776	 0.0392
921.9063	 0.0392
923.8350	 0.0393
925.7637	 0.0394
927.6923	 0.0394
929.6210	 0.0395
931.5497	 0.0396
933.4784	 0.0398
935.4070	 0.0400
937.3357	 0.0403
939.2644	 0.0408
941.1931	 0.0414
943.1217	 0.0422
945.0504	 0.0433
946.9791	 0.0446
948.9078	 0.0461
950.8364	 0.0479
952.7651	 0.0497
954.6938	 0.0516
956.6225	 0.0537
958.5511	 0.0560
960.4798	 0.0582
962.4085	 0.0604
964.3372	 0.0626
966.2658	 0.0648
968.1945	 0.0669
970.1232	 0.0692
972.0519	 0.0716
973.9805	 0.0743
975.9092	 0.0774
977.8379	 0.0808
979.7666	 0.0845
981.6952	 0.0884
983.6239	 0.0924
985.5526	 0.0962
987.4812	 0.0997
989.4099	 0.1026
991.3386	 0.1050
993.2673	 0.1068
995.1959	 0.1082
997.1246	 0.1092
999.0533	 0.1102
1000.9820	 0.1114
1002.9106	 0.1129
1004.8393	 0.1149
1006.7680	 0.1175
1008.6967	 0.1207
1010.6253	 0.1246
1012.5540	 0.1289
1014.4827	 0.1333
1016.4114	 0.1373
1018.3400	 0.1409
1020.2687	 0.1438
1022.1974	 0.1460
1024.1261	 0.1478
1026.0547	 0.1491
1027.9834	 0.1501
1029.9121	 0.1510
1031.8408	 0.1515
1033.7694	 0.1516
1035.6981	 0.1510
1037.6268	 0.1500
1039.5555	 0.1488
1041.4841	 0.1477
1043.4128	 0.1466
1045.3415	 0.1453
1047.2702	 0.1438
1049.1988	 0.1418
1051.1275	 0.1393
1053.0562	 0.1363
1054.9849	 0.1331
1056.9135	 0.1298
1058.8422	 0.1265
1060.7709	 0.1230
1062.6995	 0.1194
1064.6282	 0.1160
1066.5569	 0.1131
1068.4856	 0.1106
1070.4142	 0.1084
1072.3429	 0.1063
1074.2716	 0.1041
1076.2003	 0.1019
1078.1289	 0.0996
1080.0576	 0.0974
1081.9863	 0.0955
1083.9150	 0.0938
1085.8436	 0.0924
1087.7723	 0.0909
1089.7010	 0.0896
1091.6297	 0.0884
1093.5583	 0.0873
1095.4870	 0.0862
1097.4157	 0.0853
1099.3444	 0.0845
1101.2730	 0.0840
1103.2017	 0.0836
1105.1304	 0.0834
1107.0591	 0.0832
1108.9877	 0.0831
1110.9164	 0.0830
1112.8451	 0.0827
1114.7738	 0.0822
1116.7024	 0.0815
1118.6311	 0.0807
1120.5598	 0.0797
1122.4885	 0.0783
1124.4171	 0.0763
1126.3458	 0.0734
1128.2745	 0.0699
1130.2031	 0.0659
1132.1318	 0.0616
1134.0605	 0.0574
1135.9892	 0.0537
1137.9178	 0.0509
1139.8465	 0.0489
1141.7752	 0.0480
1143.7039	 0.0478
1145.6325	 0.0482
1147.5612	 0.0489
1149.4899	 0.0497
1151.4186	 0.0505
1153.3472	 0.0511
1155.2759	 0.0513
1157.2046	 0.0509
1159.1333	 0.0499
1161.0619	 0.0484
1162.9906	 0.0462
1164.9193	 0.0435
1166.8480	 0.0407
1168.7766	 0.0378
1170.7053	 0.0353
1172.6340	 0.0330
1174.5627	 0.0312
1176.4913	 0.0298
1178.4200	 0.0287
1180.3487	 0.0280
1182.2774	 0.0276
1184.2060	 0.0273
1186.1347	 0.0271
1188.0634	 0.0271
1189.9921	 0.0272
1191.9207	 0.0276
1193.8494	 0.0281
1195.7781	 0.0289
1197.7068	 0.0298
1199.6354	 0.0308
1201.5641	 0.0319
1203.4928	 0.0332
1205.4214	 0.0345
1207.3501	 0.0358
1209.2788	 0.0373
1211.2075	 0.0388
1213.1361	 0.0406
1215.0648	 0.0424
1216.9935	 0.0440
1218.9222	 0.0456
1220.8508	 0.0470
1222.7795	 0.0483
1224.7082	 0.0494
1226.6369	 0.0503
1228.5655	 0.0510
1230.4942	 0.0516
1232.4229	 0.0520
1234.3516	 0.0522
1236.2802	 0.0523
1238.2089	 0.0522
1240.1376	 0.0518
1242.0663	 0.0514
1243.9949	 0.0507
1245.9236	 0.0499
1247.8523	 0.0490
1249.7810	 0.0480
1251.7096	 0.0470
1253.6383	 0.0459
1255.5670	 0.0449
1257.4957	 0.0438
1259.4243	 0.0428
1261.3530	 0.0417
1263.2817	 0.0407
1265.2104	 0.0397
1267.1390	 0.0386
1269.0677	 0.0375
1270.9964	 0.0363
1272.9250	 0.0351
1274.8537	 0.0339
1276.7824	 0.0326
1278.7111	 0.0315
1280.6397	 0.0305
1282.5684	 0.0296
1284.4971	 0.0288
1286.4258	 0.0282
1288.3544	 0.0278
1290.2831	 0.0275
1292.2118	 0.0274
1294.1405	 0.0275
1296.0691	 0.0276
1297.9978	 0.0279
1299.9265	 0.0283
1301.8552	 0.0288
1303.7838	 0.0294
1305.7125	 0.0301
1307.6412	 0.0309
1309.5699	 0.0317
1311.4985	 0.0325
1313.4272	 0.0333
1315.3559	 0.0342
1317.2846	 0.0348
1319.2132	 0.0355
1321.1419	 0.0362
1323.0706	 0.0367
1324.9993	 0.0370
1326.9279	 0.0371
1328.8566	 0.0370
1330.7853	 0.0366
1332.7140	 0.0361
1334.6426	 0.0353
