DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
599.8177	 0.1366
601.7464	 0.1361
603.6751	 0.1351
605.6037	 0.1345
607.5324	 0.1331
609.4611	 0.1308
611.3898	 0.1299
613.3184	 0.1285
615.2471	 0.1258
617.1758	 0.1248
619.1045	 0.1243
621.0331	 0.1226
622.9618	 0.1209
624.8905	 0.1195
626.8192	 0.1185
628.7478	 0.1177
630.6765	 0.1167
632.6052	 0.1157
634.5339	 0.1152
636.4625	 0.1148
638.3912	 0.1143
640.3199	 0.1135
642.2485	 0.1125
644.1772	 0.1121
646.1059	 0.1120
648.0346	 0.1117
649.9632	 0.1109
651.8919	 0.1101
653.8206	 0.1096
655.7493	 0.1092
657.6779	 0.1088
659.6066	 0.1084
661.5353	 0.1077
663.4640	 0.1065
665.3926	 0.1059
667.3213	 0.1062
669.2500	 0.1045
671.1787	 0.1019
673.1073	 0.0999
675.0360	 0.0978
676.9647	 0.0958
678.8934	 0.0941
680.8220	 0.0927
682.7507	 0.0915
684.6794	 0.0905
686.6081	 0.0896
688.5367	 0.0888
690.4654	 0.0879
692.3941	 0.0873
694.3228	 0.0866
696.2514	 0.0860
698.1801	 0.0855
700.1088	 0.0849
702.0375	 0.0844
703.9661	 0.0838
705.8948	 0.0832
707.8235	 0.0826
709.7521	 0.0819
711.6808	 0.0813
713.6095	 0.0806
715.5382	 0.0798
717.4668	 0.0791
719.3955	 0.0785
721.3242	 0.0776
723.2529	 0.0767
725.1815	 0.0759
727.1102	 0.0750
729.0389	 0.0741
730.9676	 0.0732
732.8962	 0.0724
734.8249	 0.0717
736.7536	 0.0709
738.6823	 0.0704
740.6109	 0.0698
742.5396	 0.0692
744.4683	 0.0685
746.3970	 0.0679
748.3256	 0.0672
750.2543	 0.0665
752.1830	 0.0659
754.1117	 0.0652
756.0403	 0.0646
757.9690	 0.0639
759.8977	 0.0633
761.8264	 0.0626
763.7550	 0.0619
765.6837	 0.0613
767.6124	 0.0606
769.5411	 0.0600
771.4697	 0.0594
773.3984	 0.0588
775.3271	 0.0582
777.2557	 0.0577
779.1844	 0.0572
781.1131	 0.0567
783.0418	 0.0563
784.9704	 0.0559
786.8991	 0.0556
788.8278	 0.0553
790.7565	 0.0551
792.6851	 0.0548
794.6138	 0.0545
796.5425	 0.0543
798.4712	 0.0540
800.3998	 0.0537
802.3285	 0.0534
804.2572	 0.0532
806.1859	 0.0531
808.1145	 0.0529
810.0432	 0.0529
811.9719	 0.0528
813.9006	 0.0528
815.8292	 0.0528
817.7579	 0.0527
819.6866	 0.0526
821.6153	 0.0525
823.5439	 0.0526
825.4726	 0.0526
827.4013	 0.0526
829.3300	 0.0524
831.2586	 0.0523
833.1873	 0.0521
835.1160	 0.0517
837.0447	 0.0513
838.9733	 0.0507
840.9020	 0.0502
842.8307	 0.0497
844.7594	 0.0492
846.6880	 0.0487
848.6167	 0.0482
850.5454	 0.0478
852.4740	 0.0474
854.4027	 0.0470
856.3314	 0.0468
858.2601	 0.0466
860.1887	 0.0465
862.1174	 0.0465
864.0461	 0.0467
865.9748	 0.0470
867.9034	 0.0472
869.8321	 0.0476
871.7608	 0.0480
873.6895	 0.0482
875.6181	 0.0484
877.5468	 0.0488
879.4755	 0.0492
881.4042	 0.0496
883.3328	 0.0503
885.2615	 0.0513
887.1902	 0.0524
889.1189	 0.0538
891.0475	 0.0552
892.9762	 0.0566
894.9049	 0.0576
896.8336	 0.0581
898.7622	 0.0578
900.6909	 0.0569
902.6196	 0.0555
904.5483	 0.0539
906.4769	 0.0524
908.4056	 0.0513
910.3343	 0.0503
912.2630	 0.0497
914.1916	 0.0492
916.1203	 0.0490
918.0490	 0.0490
919.9776	 0.0491
921.9063	 0.0492
923.8350	 0.0493
925.7637	 0.0494
927.6923	 0.0495
929.6210	 0.0496
931.5497	 0.0498
933.4784	 0.0500
935.4070	 0.0503
937.3357	 0.0507
939.2644	 0.0513
941.1931	 0.0521
943.1217	 0.0533
945.0504	 0.0547
946.9791	 0.0563
948.9078	 0.0582
950.8364	 0.0604
952.7651	 0.0628
954.6938	 0.0654
956.6225	 0.0681
958.5511	 0.0709
960.4798	 0.0737
962.4085	 0.0765
964.3372	 0.0793
966.2658	 0.0821
968.1945	 0.0850
970.1232	 0.0878
972.0519	 0.0910
973.9805	 0.0945
975.9092	 0.0985
977.8379	 0.1028
979.7666	 0.1077
981.6952	 0.1129
983.6239	 0.1182
985.5526	 0.1233
987.4812	 0.1280
989.4099	 0.1322
991.3386	 0.1357
993.2673	 0.1384
995.1959	 0.1403
997.1246	 0.1417
999.0533	 0.1430
1000.9820	 0.1447
1002.9106	 0.1468
1004.8393	 0.1495
1006.7680	 0.1530
1008.6967	 0.1573
1010.6253	 0.1626
1012.5540	 0.1684
1014.4827	 0.1742
1016.4114	 0.1797
1018.3400	 0.1844
1020.2687	 0.1882
1022.1974	 0.1911
1024.1261	 0.1933
1026.0547	 0.1949
1027.9834	 0.1960
1029.9121	 0.1969
1031.8408	 0.1975
1033.7694	 0.1974
1035.6981	 0.1967
1037.6268	 0.1956
1039.5555	 0.1942
1041.4841	 0.1927
1043.4128	 0.1911
1045.3415	 0.1892
1047.2702	 0.1868
1049.1988	 0.1837
1051.1275	 0.1801
1053.0562	 0.1762
1054.9849	 0.1719
1056.9135	 0.1675
1058.8422	 0.1633
1060.7709	 0.1590
1062.6995	 0.1549
1064.6282	 0.1511
1066.5569	 0.1477
1068.4856	 0.1446
1070.4142	 0.1418
1072.3429	 0.1392
1074.2716	 0.1365
1076.2003	 0.1336
1078.1289	 0.1306
1080.0576	 0.1277
1081.9863	 0.1252
1083.9150	 0.1229
1085.8436	 0.1211
1087.7723	 0.1192
1089.7010	 0.1173
1091.6297	 0.1154
1093.5583	 0.1137
1095.4870	 0.1122
1097.4157	 0.1107
1099.3444	 0.1093
1101.2730	 0.1083
1103.2017	 0.1075
1105.1304	 0.1069
1107.0591	 0.1064
1108.9877	 0.1060
1110.9164	 0.1058
1112.8451	 0.1053
1114.7738	 0.1046
1116.7024	 0.1038
1118.6311	 0.1028
1120.5598	 0.1015
1122.4885	 0.0998
1124.4171	 0.0973
1126.3458	 0.0940
1128.2745	 0.0899
1130.2031	 0.0852
1132.1318	 0.0802
1134.0605	 0.0753
1135.9892	 0.0709
1137.9178	 0.0675
1139.8465	 0.0652
1141.7752	 0.0640
1143.7039	 0.0636
1145.6325	 0.0639
1147.5612	 0.0646
1149.4899	 0.0654
1151.4186	 0.0662
1153.3472	 0.0667
1155.2759	 0.0668
1157.2046	 0.0662
1159.1333	 0.0649
1161.0619	 0.0629
1162.9906	 0.0602
1164.9193	 0.0569
1166.8480	 0.0535
1168.7766	 0.0500
1170.7053	 0.0469
1172.6340	 0.0441
1174.5627	 0.0418
1176.4913	 0.0400
1178.4200	 0.0386
1180.3487	 0.0376
1182.2774	 0.0369
1184.2060	 0.0365
1186.1347	 0.0361
1188.0634	 0.0360
1189.9921	 0.0362
1191.9207	 0.0367
1193.8494	 0.0374
1195.7781	 0.0384
1197.7068	 0.0396
1199.6354	 0.0409
1201.5641	 0.0424
1203.4928	 0.0440
1205.4214	 0.0457
1207.3501	 0.0476
1209.2788	 0.0496
1211.2075	 0.0516
1213.1361	 0.0538
1215.0648	 0.0559
1216.9935	 0.0580
1218.9222	 0.0600
1220.8508	 0.0618
1222.7795	 0.0634
1224.7082	 0.0648
1226.6369	 0.0661
1228.5655	 0.0672
1230.4942	 0.0680
1232.4229	 0.0685
1234.3516	 0.0688
1236.2802	 0.0690
1238.2089	 0.0689
1240.1376	 0.0686
1242.0663	 0.0681
1243.9949	 0.0674
1245.9236	 0.0664
1247.8523	 0.0653
1249.7810	 0.0642
1251.7096	 0.0630
1253.6383	 0.0618
1255.5670	 0.0605
1257.4957	 0.0593
1259.4243	 0.0580
1261.3530	 0.0568
1263.2817	 0.0554
1265.2104	 0.0541
1267.1390	 0.0526
1269.0677	 0.0511
1270.9964	 0.0495
1272.9250	 0.0478
1274.8537	 0.0460
1276.7824	 0.0443
1278.7111	 0.0427
1280.6397	 0.0413
1282.5684	 0.0400
1284.4971	 0.0389
1286.4258	 0.0381
1288.3544	 0.0374
1290.2831	 0.0370
1292.2118	 0.0368
1294.1405	 0.0368
1296.0691	 0.0369
1297.9978	 0.0372
1299.9265	 0.0377
1301.8552	 0.0382
1303.7838	 0.0389
1305.7125	 0.0397
1307.6412	 0.0405
1309.5699	 0.0414
1311.4985	 0.0424
1313.4272	 0.0433
1315.3559	 0.0443
1317.2846	 0.0452
1319.2132	 0.0460
1321.1419	 0.0467
1323.0706	 0.0473
1324.9993	 0.0477
1326.9279	 0.0479
1328.8566	 0.0478
1330.7853	 0.0475
1332.7140	 0.0468
1334.6426	 0.0459
