"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column.18","Column.19","Column.20","Column.21","Column.22","Day","Month","Hour","Min","Collar and code","sample_code","...4","Species","Class"
"1","M3","08/09/21","11:46:49",1,835,419,915.5,403,0,0,0,50,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","46","134",134,NA,NA,NA
"2","M3","08/09/21","11:46:54",1,840,428,915.6,403,0,0,0,24,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","46","134",134,NA,NA,NA
"3","M3","08/09/21","11:46:59",1,845,431,915.6,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","46","134",134,NA,NA,NA
"4","M3","08/09/21","11:47:04",1,850,434,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"5","M3","08/09/21","11:47:09",1,855,434,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"6","M3","08/09/21","11:47:14",1,860,433,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"7","M3","08/09/21","11:47:19",1,865,433,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"8","M3","08/09/21","11:47:24",1,870,432,915.8,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"9","M3","08/09/21","11:47:29",1,875,430,915.8,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"10","M3","08/09/21","11:47:34",1,880,429,915.8,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"11","M3","08/09/21","11:47:39",1,885,428,915.8,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"12","M3","08/09/21","11:47:44",1,890,428,915.8,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"13","M3","08/09/21","11:47:49",1,895,427,915.8,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"14","M3","08/09/21","11:47:54",1,900,427,915.8,402,0,0,0,25,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"15","M3","08/09/21","11:47:59",1,905,427,915.8,401,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","47","134",134,NA,NA,NA
"16","M3","08/09/21","11:48:04",1,910,426,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"17","M3","08/09/21","11:48:09",1,915,426,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"18","M3","08/09/21","11:48:14",1,920,426,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"19","M3","08/09/21","11:48:19",1,925,426,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"20","M3","08/09/21","11:48:24",1,930,425,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"21","M3","08/09/21","11:48:29",1,935,425,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"22","M3","08/09/21","11:48:34",1,940,425,915.7,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"23","M3","08/09/21","11:48:39",1,945,425,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"24","M3","08/09/21","11:48:44",1,950,426,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"25","M3","08/09/21","11:48:49",1,955,426,915.7,402,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","48","134",134,NA,NA,NA
"26","Zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","M3","08/09/21","11:49:20",1,986,367,915.6,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"28","M3","08/09/21","11:49:25",1,991,394,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"29","M3","08/09/21","11:49:30",1,996,400,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"30","M3","08/09/21","11:49:35",1,1001,401,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"31","M3","08/09/21","11:49:40",1,1006,404,915.7,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"32","M3","08/09/21","11:49:45",1,1011,405,915.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"33","M3","08/09/21","11:49:50",1,1016,406,915.7,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
"34","M3","08/09/21","11:49:55",1,1021,408,915.7,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"21","09","11","49","134",134,NA,NA,NA
