"","ID","slope","rsq","Day","Hour","Min","Sample_code1","Sample_code2"
"1","1_134_9_21",0.267960212682335,0.995517497228096,0,0,0,0,0
"2","2_134_9_21",-0.000339454575614922,0.000155788331805486,21,12,4,134,0
"3","3_135_9_21",0.146256781193491,0.852087624586737,21,12,6,135,0
"4","4_136_9_21",-0.135904340169222,0.769920238459672,21,12,8,136,0
"5","5_137_9_21",-0.0111097631267448,0.136391838800682,21,12,10,137,0
"6","6_139_9_21",-0.0192185775737006,0.311329012191374,21,12,12,139,0
"7","7_138_9_21",0.0254233259863665,0.0119920353196362,21,12,16,138,0
"8","8_138_9_21",0.00760604147938364,0.00476366678552207,21,12,19,138,0
"9","0_NA_9_21",0.0135696173424942,0.172051876428269,21,12,46,0,0
"10","9_121_9_21",0.595588235294116,0.977891494435612,21,12,59,121,0
"11","10_122_9_21",-0.0118781084452438,0.29555528660839,21,13,1,122,0
"12","11_122_9_21",-0.39913612562274,0.981085463230412,21,13,3,122,0
"13","12_123_9_21",0.753846153846148,0.960738179839305,21,13,5,123,0
"14","13_123_9_21",-0.262092113711984,0.716713660665393,21,13,6,123,0
"15","14_123_9_21",-0.0133331631806627,0.0677026093077323,21,13,9,123,0
"16","15_124_9_21",1.42307692307694,0.961762344439986,21,13,11,124,0
"17","16_125_9_21",0.0829047463197779,0.659213902776806,21,13,14,125,0
"18","17_126_9_21",0.186167936382676,0.933224597247472,21,13,16,126,0
"19","18_378_9_21",0.0490910530984613,0.902123786605868,21,14,14,378,0
"20","19_380_9_21",0.0845240394073396,0.80216848070437,21,14,16,380,0
"21","20_381_9_21",0.0306471389645772,0.482778285019731,21,14,25,381,0
"22","21_381_9_21",0.0214800729954959,0.738465254616382,21,14,27,381,0
"23","22_382_9_21",0.350641402872829,0.942628545321294,21,14,29,382,0
"24","23_383_9_21",0.43146503865111,0.991048976475329,21,14,33,383,0
"25","24_379_9_21",0.120444788786956,0.977856947449032,21,14,35,379,0
"26","25_29_9_21",0.231378877069783,0.983218210754795,21,14,40,29,0
"27","26_30_9_21",0.2094219133874,0.900986689277641,21,14,42,30,0
"28","27_32_9_21",0.957916363185011,0.956518633049746,21,14,46,32,0
"29","28_31_9_21",0.304321445425732,0.889926181443953,21,14,50,31,0
"30","29_31_9_21",1.00961865736092,0.998242493690093,21,14,52,31,0
"31","30_26_9_21",0.210512882683989,0.86259998428994,21,14,54,26,0
"32","31_26_9_21",0.542062380582585,0.969749637501708,21,14,57,26,0
"33","32_27_9_21",0.272222222222222,0.98425261254564,21,15,1,27,0
"34","33_NA_9_21",0.0808399168529729,0.933934509675758,21,15,3,0,0
"35","34_25_9_21",-0.063310697884844,0.310252640463957,21,15,7,25,0
"36","35_24_9_21",0.457151585310949,0.980652217997611,21,15,13,24,0
"37","36_23_9_21",-0.522369052004595,0.855207659727865,21,15,16,23,0
"38","37_22_9_21",-0.736915533243816,0.93274327496435,21,15,19,22,0
"39","38_21_9_21",-0.215576054421084,0.138340089976514,21,15,21,21,0
"40","39_2_9_21",-0.618906585933038,0.646522519624371,21,15,25,2,0
"41","40_1_9_21",-0.189776080541573,0.91867252094798,21,15,27,1,0
"42","41_4_9_21",0.100127400740065,0.973231287808388,21,15,30,4,0
"43","42_3_9_21",0.733502884310481,0.925067034005118,21,15,32,3,0
"44","43_345_9_21",-0.00661553578948961,0.0330267117995889,21,15,34,345,0
"45","44_335_9_21",0.114998532433227,0.901410680881644,21,15,36,335,0
"46","45_6_9_21",0.154820936639119,0.887604223421523,21,15,39,6,0
"47","46_6_9_21",0.145543159203211,0.911473380010354,21,15,41,6,0
"48","47_5_9_21",0.214149080587435,0.990884883842802,21,15,44,5,0
"49","48_18_9_21",0.151113669613539,0.994655695934897,21,15,51,18,0
"50","49_17_9_21",0.151157442587918,0.971128030184064,21,15,55,17,0
"51","50_19_9_21",0.227236530051012,0.917565560607006,21,15,59,19,0
"52","51_20_9_21",0.158818119891003,0.976210138728935,21,16,2,20,0
"53","52_10_9_21",4.03147641831857,0.922156231961575,21,16,5,10,0
"54","53_9_9_21",0.325617658971243,0.996126696071548,21,16,11,9,0
"55","54_405_9_21",0.120953262325346,0.918779708736295,21,16,14,405,0
"56","55_375_9_21",0.175327975761933,0.807281459866442,21,16,16,375,0
"57","56_14_9_21",0.312675563290608,0.989256636464048,21,16,19,14,0
"58","57_13_9_21",0.651374182722914,0.990520945386719,21,16,24,13,0
"59","58_15_9_21",0.329653416652205,0.992374181567293,21,16,27,15,0
"60","59_385_9_21",0.323114389953009,0.95041922294798,21,16,29,385,0
"61","60_395_9_21",0.276517700837951,0.931526999694326,21,16,33,395,0
"62","61_16_9_21",0.228896704924096,0.98782016741354,21,16,38,16,0
"63","62_11_9_21",0.217424432169038,0.908689031347371,21,16,40,11,0
"64","63_12_9_21",0.153514401970076,0.991098016458608,21,16,43,12,0
"65","64_355_9_21",0.172844005449595,0.98038569595279,21,16,47,355,0
"66","65_365_9_21",1.07922077922086,0.962463298149071,21,16,48,365,0
"67","66_7_9_21",0.339075283101387,0.956753639892214,21,16,52,7,0
"68","67_8_9_21",0.322352634341057,0.956950320814149,21,16,54,8,0
