;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
70	0001	08	12	15	44	01577	05.7	+04.9	0000	066.6	000.0	0000	0000	+00.00	02	00	0895	08
70	0002	08	12	15	45	01724	05.8	+04.8	0000	067.0	000.0	0000	0004	+00.00	02	00	0897	08
70	0003	08	12	15	45	01918	05.8	+04.8	0000	067.2	000.0	0000	0009	+00.00	02	00	0895	08
70	0004	08	12	15	45	02098	05.8	+04.8	0000	067.4	000.0	0527	0014	+31.24	02	00	0895	08
65	0013	28	10	15	21	00430	07.0	+13.5	0000	045.3	000.0	0001	0057	-00.02	02	01	0900	08
65	0014	28	10	15	21	00431	07.0	+13.4	0000	045.3	000.0	0001	0062	-00.01	02	01	0900	08
66	0001	28	10	15	22	00417	07.0	+13.4	0000	045.5	000.0	0000	0000	+00.00	02	00	0900	08
66	0002	28	10	15	22	00416	07.0	+13.4	0000	045.3	000.0	0000	0004	+00.00	02	00	0900	08
66	0003	28	10	15	22	00416	07.0	+13.4	0000	045.4	000.0	0000	0009	+00.00	02	00	0900	08
66	0004	28	10	15	22	00419	07.0	+13.5	0000	045.4	000.0	0001	0014	+00.08	02	00	0900	08
66	0005	28	10	15	22	00416	07.0	+13.4	0000	045.4	000.0	0000	0019	+00.01	02	00	0900	08
66	0006	28	10	15	23	00418	07.0	+13.4	0000	045.4	000.0	0001	0024	+00.03	02	00	0900	08
66	0007	28	10	15	23	00418	07.0	+13.5	0000	045.4	000.0	0001	0028	+00.04	02	00	0900	08
66	0008	28	10	15	23	00421	06.9	+13.4	0000	045.4	000.0	0003	0033	+00.08	02	00	0900	08
66	0009	28	10	15	23	00419	06.9	+13.5	0000	045.4	000.0	0003	0038	+00.08	02	00	0900	08
66	0010	28	10	15	23	00422	07.0	+13.4	0000	045.4	000.0	0005	0043	+00.10	02	00	0900	08
66	0011	28	10	15	23	00423	06.9	+13.4	0000	045.4	000.0	0006	0048	+00.11	02	00	0900	08
66	0012	28	10	15	23	00423	07.0	+13.4	0000	045.4	000.0	0007	0052	+00.11	02	00	0900	08
66	0013	28	10	15	24	00423	07.0	+13.4	0000	045.4	000.0	0007	0057	+00.11	02	00	0900	08
66	0014	28	10	15	24	00425	07.0	+13.4	0000	045.4	000.0	0008	0062	+00.12	02	00	0900	08
67	0027	28	10	15	43	00466	07.4	+13.2	0000	049.0	000.0	0000	0000	+00.00	02	00	0900	08
67	0028	28	10	15	43	00461	07.4	+13.2	0000	049.0	000.0	0000	0004	+00.00	02	00	0900	08
67	0029	28	10	15	43	00459	07.4	+13.2	0000	049.0	000.0	0000	0009	+00.00	02	00	0900	08
67	0030	28	10	15	44	00460	07.4	+13.2	0000	049.0	000.0	0006	0014	-00.36	02	01	0900	08
67	0031	28	10	15	44	00454	07.4	+13.2	0000	049.0	000.0	0010	0019	-00.45	02	01	0900	08
67	0032	28	10	15	44	00455	07.4	+13.2	0000	049.0	000.0	0010	0024	-00.38	02	01	0900	08
67	0033	28	10	15	44	00454	07.4	+13.2	0000	048.9	000.0	0011	0028	-00.32	02	01	0900	08
67	0034	28	10	15	44	00452	07.3	+13.2	0000	048.8	000.0	0012	0033	-00.30	02	01	0900	08
67	0035	28	10	15	44	00450	07.3	+13.2	0000	048.8	000.0	0013	0038	-00.30	02	01	0900	08
67	0036	28	10	15	45	00454	07.3	+13.2	0000	048.8	000.0	0012	0043	-00.24	02	01	0900	08
67	0037	28	10	15	45	00456	07.2	+13.2	0000	048.7	000.0	0010	0048	-00.18	02	01	0900	08
67	0038	28	10	15	45	00456	07.3	+13.2	0000	048.7	000.0	0009	0052	-00.14	02	01	0900	08
67	0039	28	10	15	45	00455	07.3	+13.2	0000	048.7	000.0	0008	0057	-00.12	02	01	0900	08
67	0040	28	10	15	45	00455	07.3	+13.2	0000	048.7	000.0	0007	0062	-00.10	02	01	0900	08
68	0001	28	10	15	46	00433	07.3	+13.2	0000	048.5	000.0	0000	0000	+00.00	02	00	0900	08
