;EGM-4 Data
;SoftwareVersion=1.03
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
49	0005	09	12	13	55	00457	07.2	+07.0	0000	072.1	000.0	0020	0019	+00.91	02	00	0886	08
49	0006	09	12	13	55	00452	07.2	+06.9	0000	072.1	000.0	0016	0024	+00.57	02	00	0886	08
49	0007	09	12	13	55	00451	07.1	+06.8	0000	072.1	000.0	0012	0028	+00.36	02	00	0886	08
49	0008	09	12	13	55	00450	07.1	+06.8	0000	072.1	000.0	0009	0033	+00.23	02	00	0886	08
49	0009	09	12	13	55	00455	07.2	+07.0	0000	072.1	000.0	0010	0038	+00.22	02	00	0886	08
49	0010	09	12	13	55	00458	07.2	+06.9	0000	072.1	000.0	0011	0043	+00.22	02	00	0887	08
49	0011	09	12	13	56	00460	07.1	+06.8	0000	072.1	000.0	0013	0048	+00.23	02	00	0886	08
49	0012	09	12	13	56	00460	07.1	+06.8	0000	072.1	000.0	0014	0052	+00.22	02	00	0887	08
49	0013	09	12	13	56	00460	07.1	+06.8	0000	072.1	000.0	0015	0057	+00.22	02	00	0887	08
49	0014	09	12	13	56	00459	07.0	+06.7	0000	072.1	000.0	0015	0062	+00.20	02	00	0887	08
50	0001	09	12	13	57	00453	07.1	+06.8	0000	071.6	000.0	0000	0000	+00.00	02	00	0886	08
50	0002	09	12	13	57	00448	07.0	+06.7	0000	071.4	000.0	0000	0004	+00.00	02	00	0887	08
50	0003	09	12	13	58	00450	07.0	+06.7	0000	071.5	000.0	0000	0009	+00.00	02	00	0886	08
50	0004	09	12	13	58	00448	07.1	+06.8	0000	071.5	000.0	0004	0014	-00.23	02	01	0886	08
50	0005	09	12	13	58	00444	07.0	+06.7	0000	071.6	000.0	0007	0019	-00.31	02	01	0886	08
50	0006	09	12	13	58	00441	07.1	+06.8	0000	071.6	000.0	0010	0024	-00.37	02	01	0886	08
50	0007	09	12	13	58	00440	07.0	+06.8	0000	071.6	000.0	0012	0028	-00.36	02	01	0886	08
50	0008	09	12	13	58	00444	07.0	+06.6	0000	071.6	000.0	0011	0033	-00.29	02	01	0887	08
50	0009	09	12	13	58	00449	07.0	+06.6	0000	071.7	000.0	0011	0033	-00.29	02	01	0886	08
51	0001	09	12	14	01	00438	07.0	+06.6	0000	072.4	000.0	0000	0000	+00.00	02	00	0887	08
51	0002	09	12	14	02	00436	07.0	+06.7	0000	072.1	000.0	0000	0004	+00.00	02	00	0886	08
51	0003	09	12	14	02	00438	07.0	+06.6	0000	072.1	000.0	0000	0009	+00.00	02	00	0886	08
51	0004	09	12	14	02	00439	07.0	+06.7	0000	072.1	000.0	0001	0014	+00.08	02	00	0886	08
