"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","324","25-P6S1C1AA",23.7,23,25.2,25.3,100.6,1799.5,1011.73,95,787.77,43.7771603223118,NA,"25","6","1","1","AA",8609.1741609912,46679.007166476,1,"3_324_12_10",7.96703296703295,0.998550119474563,12,10,10,55,324,0,0.8674851
"2","325","25-P6S1C2AA",28,27.2,28.3,28.5,99.4,2221.5,1314.16,95,907.34,40.8435741616025,NA,"25","6","1","2","AA",9975.50711725815,61209.9283717614,2,"4_325_12_10",6.89010989010985,0.997904327046823,12,10,10,56,325,0,0.8674851
"3","325","25-P6S1C2AA",28,27.2,28.3,28.5,99.4,2221.5,1314.16,95,907.34,40.8435741616025,NA,"25","6","1","2","AA",9975.50711725815,61209.9283717614,3,"5_325_12_10",7.50769230769231,0.997621246007482,12,10,11,0,325,0,0.8674851
"4","327","25-P6S1C1FS",23.1,23.3,24,23.5,100.3,1883.7,1202.63,96,681.07,36.1559696342305,NA,"25","6","1","1","FS",8262.78758241054,43413.2083093844,4,"6_327_12_10",6.47692307692305,0.988864807195588,12,10,11,2,327,0,0.8674851
"5","328","25-P6S1C2FS",22.5,23.3,22,23.6,99.9,1458,928.2,70,529.8,36.3374485596708,NA,"25","6","1","2","FS",7991.51360458257,40966.4632359887,5,"7_328_12_10",2.4021978021978,0.983424227332408,12,10,11,6,328,0,0.8674851
"6","329","25-P6S1C4FS",27,27.7,21.5,22.5,99.6,1811.9,508.98,60,1302.92,71.9090457530769,NA,"25","6","1","4","FS",8691.28467577007,47814.7158181952,6,"8_329_12_10",2.68131868131869,0.98956186423775,12,10,11,9,329,0,0.8674851
"7","342","25-P6S2C1AA",25,25.2,24.3,23.1,99.7,1871.6,1011.02,97,860.58,45.9809788416328,NA,"25","6","2","1","AA",8578.63697505157,46631.9763463545,7,"9_342_12_10",3.19780219780219,0.913619326898803,12,10,11,13,342,0,0.8674851
"8","343","25-P6S2C2AA",20.2,20,21.4,21.5,100.5,1203.1,721.12,98,481.98,40.0615077715901,NA,"25","6","2","2","AA",7238.1123460381,34079.3108644968,8,"10_343_12_10",2.21758241758241,0.987253994036219,12,10,11,16,343,0,0.868472
"9","344","25-P6S2C4AA",21.5,21,16.5,15.8,99.8,859.6,464.63,55,394.97,45.9481154025128,NA,"25","6","2","4","AA",6424.44812906392,27579.5537809062,9,"11_344_12_10",3.28333333333334,0.947177025707777,12,10,11,19,344,0,0.8674851
"10","344","25-P6S2C4AA",21.5,21,16.5,15.8,99.8,859.6,464.63,55,394.97,45.9481154025128,NA,"25","6","2","4","AA",6424.44812906392,27579.5537809062,10,"0_344_12_10",0.60000000000005,0.692307692307679,12,10,11,19,344,0,0.8674851
