"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","3_324_12_10",7.96703296703295,0.998550119474563,12,10,10,55,"324",0,0.8674851
"2","4_325_12_10",6.89010989010985,0.997904327046823,12,10,10,56,"325",0,0.8674851
"3","5_325_12_10",7.50769230769231,0.997621246007482,12,10,11,0,"325",0,0.8674851
"4","6_327_12_10",6.47692307692305,0.988864807195588,12,10,11,2,"327",0,0.8674851
"5","7_328_12_10",2.4021978021978,0.983424227332408,12,10,11,6,"328",0,0.8674851
"6","8_329_12_10",2.68131868131869,0.98956186423775,12,10,11,9,"329",0,0.8674851
"7","9_342_12_10",3.19780219780219,0.913619326898803,12,10,11,13,"342",0,0.8674851
"8","10_343_12_10",2.21758241758241,0.987253994036219,12,10,11,16,"343",0,0.868472
"9","11_344_12_10",3.28333333333334,0.947177025707777,12,10,11,19,"344",0,0.8674851
"10","0_344_12_10",0.60000000000005,0.692307692307679,12,10,11,19,"344",0,0.8674851
"11","12_345_12_10",1.65934065934062,0.950635814050457,12,10,11,21,"345",0,0.8674851
"12","13_346_12_10",1.66373626373627,0.935399306264027,12,10,11,23,"346",0,0.8674851
"13","14_347_12_10",1.99120879120876,0.992474548400356,12,10,11,25,"347",0,0.8674851
"14","15_360_12_10",0.839560439560431,0.846525118923309,12,10,11,30,"360",0,0.868472
"15","16_361_12_10",1.83516483516482,0.88994760321401,12,10,11,32,"361",0,0.8674851
"16","17_362_12_10",-3.45494505494507,0.984010130050094,12,10,11,38,"362",0,0.8674851
"17","18_363_12_10",2.11208791208791,0.960715084496274,12,10,11,41,"363",0,0.868472
"18","19_364_12_10",2.55824175824174,0.977332794737146,12,10,11,43,"364",0,0.868472
"19","20_365_12_10",1.28791208791208,0.97544597204863,12,10,11,46,"365",0,0.868472
"20","21_378_12_10",-1.74505494505497,0.849003447532849,12,10,11,51,"378",0,0.8674851
"21","22_379_12_10",-2.43072683508603e-14,0.530474040632054,12,10,11,53,"379",0,0.8674851
"22","23_380_12_10",1.21536341754301e-14,0.555555555555555,12,10,11,56,"380",0,0.8674851
"23","24_381_12_10",-1.73626373626375,0.880551949884304,12,10,11,58,"381",0,0.8674851
"24","26_382_12_10",-0.43956043956045,0.6993006993007,12,10,12,1,"382",0,0.8674851
"25","27_383_12_10",-6.07681708771507e-15,0.555555555555555,12,10,12,4,"383",0,0.8674851
"26","28_396_12_10",-1.42417582417583,0.969396989565057,12,10,12,14,"396",0,0.8674851
"27","29_397_12_10",6.07681708771507e-15,0.555555555555555,12,10,12,16,"397",0,0.8674851
"28","30_398_12_10",-0.421978021978033,0.727100591715982,12,10,12,18,"398",0,0.8674851
"29","31_399_12_10",-0.391208791208789,0.546464298033802,12,10,12,20,"399",0,0.8674851
"30","32_400_12_10",-0.296703296703314,0.397708674304427,12,10,12,22,"400",0,0.8674851
"31","33_401_12_10",1.25274725274724,0.970952124798278,12,10,12,24,"401",0,0.8674851
"32","34_324_12_10",-1.20439560439563,0.928468958694049,12,10,12,51,"324",0,0.8674851
"33","35_325_12_10",-0.45274725274728,0.615907111756211,12,10,12,55,"325",0,0.8674851
"34","36_326_12_10",0.861111111111112,0.878106725146197,12,10,12,58,"326",0,0.8674851
"35","0_326_12_10",-0.109677419354839,0.169501466275656,12,10,12,58,"326",0,0.8674851
"36","37_327_12_10",-3.03840854385753e-14,0.505703422053232,12,10,13,0,"327",0,0.8674851
"37","38_328_12_10",0.0285714285714239,0.199999999999972,12,10,13,2,"328",0,0.8674851
"38","39_329_12_10",-0.520879120879128,0.93018133642461,12,10,13,4,"329",0,0.8674851
"39","40_342_12_10",1.82304512631452e-14,0.492957746478873,12,10,13,7,"342",0,0.868472
"40","41_343_12_10",-0.819780219780228,0.927001365892658,12,10,13,10,"343",0,0.8674851
"41","42_344_12_10",0.309090909090913,0.656818181818172,12,10,13,12,"344",0,0.8674851
"42","43_345_12_10",0.0241758241758184,0.00410935642723728,12,10,13,14,"345",0,0.8674851
"43","44_346_12_10",0.0285714285714178,0.199999999999972,12,10,13,16,"346",0,0.8674851
"44","45_347_12_10",0.0285714285714056,0.199999999999959,12,10,13,18,"347",0,0.8674851
