"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column.18","Column.19","Column.20","Column.21","Column.22","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","Zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M3","08/12/21","10:17:10",1,1207,596,894.9,427,0,0,0,24,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"3","M3","08/12/21","10:17:15",1,1212,557,894.9,425,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"4","M3","08/12/21","10:17:20",1,1217,513,894.9,424,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"5","M3","08/12/21","10:17:25",1,1222,539,895,426,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"6","M3","08/12/21","10:17:30",1,1227,508,895,426,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"7","M3","08/12/21","10:17:35",1,1232,469,895,426,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"8","M3","08/12/21","10:17:40",1,1237,473,895,425,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"9","M3","08/12/21","10:17:45",1,1242,519,895.1,426,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"10","M3","08/12/21","10:17:50",1,1247,471,895.1,427,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"11","M3","08/12/21","10:17:55",1,1252,468,895.1,427,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","17",2,"155",2021-12-08,3,NA,155,NA
"12","M3","08/12/21","10:18:00",1,1257,468,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"13","M3","08/12/21","10:18:05",1,1262,469,895.1,426,0,0,0,25,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"14","M3","08/12/21","10:18:10",1,1267,510,895.1,424,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"15","M3","08/12/21","10:18:15",1,1272,543,895.1,424,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"16","M3","08/12/21","10:18:20",1,1277,553,895.1,425,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"17","M3","08/12/21","10:18:25",1,1282,551,895.1,426,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"18","M3","08/12/21","10:18:30",1,1287,547,895.1,427,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"19","M3","08/12/21","10:18:35",1,1292,554,895.1,427,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"20","M3","08/12/21","10:18:40",1,1297,553,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"21","M3","08/12/21","10:18:45",1,1302,549,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"22","M3","08/12/21","10:18:50",1,1307,542,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"23","M3","08/12/21","10:18:55",1,1312,538,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","18",2,"155",2021-12-08,3,NA,155,NA
"24","M3","08/12/21","10:19:00",1,1317,530,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"25","Zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","M3","08/12/21","10:19:31",1,1348,487,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"27","M3","08/12/21","10:19:36",1,1353,485,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"28","M3","08/12/21","10:19:41",1,1358,483,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"29","M3","08/12/21","10:19:46",1,1363,484,895.1,430,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"30","M3","08/12/21","10:19:51",1,1368,480,895.1,430,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"31","M3","08/12/21","10:19:56",1,1373,477,895.1,430,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","19",2,"155",2021-12-08,3,NA,155,NA
"32","M3","08/12/21","10:20:01",1,1378,475,895.1,430,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"33","M3","08/12/21","10:20:06",1,1383,474,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"34","M3","08/12/21","10:20:11",1,1388,473,895.1,430,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"35","M3","08/12/21","10:20:16",1,1393,470,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"36","M3","08/12/21","10:20:21",1,1398,470,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"37","M3","08/12/21","10:20:26",1,1403,469,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"38","M3","08/12/21","10:20:31",1,1408,469,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"39","M3","08/12/21","10:20:36",1,1413,468,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"40","M3","08/12/21","10:20:41",1,1418,468,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"41","M3","08/12/21","10:20:46",1,1423,469,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"42","M3","08/12/21","10:20:51",1,1428,468,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"43","M3","08/12/21","10:20:56",1,1433,467,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","20",2,"155",2021-12-08,3,NA,155,NA
"44","M3","08/12/21","10:21:01",1,1438,466,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"45","M3","08/12/21","10:21:06",1,1443,465,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"46","M3","08/12/21","10:21:11",1,1448,464,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"47","M3","08/12/21","10:21:16",1,1453,464,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"48","M3","08/12/21","10:21:21",1,1458,464,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"49","M3","08/12/21","10:21:26",1,1463,462,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"50","M3","08/12/21","10:21:31",1,1468,461,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"51","M3","08/12/21","10:21:36",1,1473,461,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"52","M3","08/12/21","10:21:41",1,1478,461,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"53","M3","08/12/21","10:21:46",1,1483,465,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"54","M3","08/12/21","10:21:51",1,1488,469,895.1,428,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"55","M3","08/12/21","10:21:56",1,1493,473,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","21",2,"155",2021-12-08,3,NA,155,NA
"56","M3","08/12/21","10:22:02",1,1498,477,895.1,429,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"08","12","10","22",2,"155",2021-12-08,3,NA,155,NA
