"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","NA_NA_NA_NA",NA,0,0,0,0,0,0,"0",0
"2","2_153_12_8",0.140461222006553,0.973781900840352,12,8,10,27,153,"0",0.088386764
"3","3_157_12_8",0.505428432327165,0.998490457249351,12,8,10,30,157,"0",0.088337419
"4","0_NA_12_8",0.0809622970199634,0.202848874105451,12,8,10,31,0,"0",0.08832755
"5","4_156_12_8",0.857142857142854,0.997018346320413,12,8,10,33,156,"0",0.088337419
"6","5_154_12_8",0.423431698260697,0.996190719031901,12,8,10,35,154,"0",0.08832755
"7","6_152_12_8",0.146804768418996,0.990215718022659,12,8,10,41,152,"0",0.088317681
"8","7_225+226_12_8",-0.27595140419318,0.904029298219737,12,8,10,48,225,"226",0.088337419
"9","8_221+217_12_8",-0.442605565762705,0.980039584805673,12,8,10,55,221,"217",0.088337419
"10","9_198+199_12_8",-0.351661990924595,0.988433002380202,12,8,10,59,198,"199",0.088337419
"11","10_213+214_12_8",-0.272465626593889,0.956781378262194,12,8,11,5,213,"214",0.08832755
"12","11_218+219_12_8",-0.0521729930182641,0.960960338010045,12,8,11,11,218,"219",0.08832755
"13","12_195+194_12_8",-0.0213084659752613,0.591280154693055,12,8,11,18,195,"194",0.088337419
"14","13_284+286_12_8",0.170941567917804,0.983932084854376,12,8,11,29,284,"286",0.088386764
"15","14_297+296_12_8",0.220296321525888,0.985867498337537,12,8,11,32,297,"296",0.088386764
"16","15_289+288_12_8",0.11228989916466,0.98915755220615,12,8,11,34,289,"288",0.088376895
"17","16_178+177_12_8",0.0599666766187462,0.817374157834692,12,8,11,37,178,"177",0.088376895
"18","17_281+280_12_8",0.0767372874683739,0.951191033649718,12,8,11,39,281,"280",0.088376895
"19","18_292+294_12_8",0.0746116285117078,0.909497985020781,12,8,11,42,292,"294",0.088386764
"20","19_300+301_12_8",0.0845200373684128,0.955100365616457,12,8,11,47,300,"301",0.088445978
"21","20_305+306_12_8",0.127619209809271,0.971903287061657,12,8,11,51,305,"306",0.088445978
"22","21_308+309_12_8",0.416414974252155,0.996060466371529,12,8,11,53,308,"309",0.088445978
"23","22_320+321_12_8",0.140797315280912,0.978344337534469,12,8,11,55,320,"321",0.088445978
"24","23_316+317_12_8",0.0495833280643416,0.860346413737768,12,8,11,58,316,"317",0.088445978
"25","24_312+313_12_8",0.083527738264577,0.93336080208367,12,8,12,1,312,"313",0.088436109
"26","25_0_12_8",0.15104148585315,0.96784080695985,12,8,12,9,0,"0",0.088406502
"27","26_188_12_8",0.350933242506808,0.98849759173201,12,8,12,13,188,"0",0.088406502
"28","27_192_12_8",0.407607691933837,0.996809277645905,12,8,12,18,192,"0",0.088396633
"29","28_193_12_8",-0.78783172571755,0.835832266467257,12,8,12,25,193,"0",0.088386764
"30","29_NA_12_8",0.302377856471014,0.989939906174511,12,8,12,42,0,"0",0.088376895
"31","30_176_12_8",0.0218728639781275,0.627806074325604,12,8,13,11,176,"0",0.088317681
"32","31_180_12_8",-0.0307518949061455,0.111335853543738,12,8,13,15,180,"0",0.088317681
"33","32_177_12_8",0.0251480108449042,0.439606574192706,12,8,13,20,177,"0",0.088317681
"34","33_179_12_8",0.557347915242639,0.992780539793724,12,8,13,25,179,"0",0.088317681
"35","34_165_12_8",0.271120812279871,0.995295731188644,12,8,13,32,165,"0",0.088199253
"36","35_164_12_8",0.279431020260834,0.957602389775873,12,8,13,36,164,"0",0.088199253
"37","36_168_12_8",0.249488326476745,0.976693152362896,12,8,13,40,168,"0",0.088199253
"38","37_167_12_8",0.548344686648503,0.996309605565787,12,8,13,43,167,"0",0.088199253
"39","38_265+267_12_8",0.200803405838153,0.984987848567595,12,8,14,6,265,"267",0.088209122
"40","0_NA_NA_NA",NA,0,0,0,0,0,0,"0",0
"41","39_257+258_12_8",0.0868119891008154,0.934086448075675,12,8,14,8,257,"258",0.088209122
"42","40_260+261_12_8",0.0814958923635416,0.954158207732535,12,8,14,10,260,"261",0.088209122
"43","41_272+273_12_8",0.0682731607629432,0.893766658498686,12,8,14,12,272,"273",0.088209122
"44","42_253+254_12_8",0.0642423190418335,0.833760921474543,12,8,14,16,253,"254",0.088209122
"45","43_268+269_12_8",0.109128065395096,0.9370881258734,12,8,14,18,268,"269",0.088209122
"46","44_241+240_12_8",0.0686611844943045,0.966853456181806,12,8,14,24,241,"240",0.088238729
"47","45_251+250_12_8",0.125269073569482,0.960088200552637,12,8,14,31,251,"250",0.088248598
"48","46_238+239_12_8",0.0799876722751386,0.954839424750126,12,8,14,33,238,"239",0.088248598
"49","47_229+208_12_8",-0.0114427051662539,0.999052930302762,12,8,14,35,229,"208",0.088258467
"50","48_233+232_12_8",-0.0112237429210978,0.96626773677785,12,8,14,38,233,"232",0.088357157
"51","49_247+246_12_8",-0.0211292477792539,0.982913650621119,12,8,14,40,247,"246",0.088357157
"52","50_198+199_12_8",0.0557054622703817,0.922667287871984,12,8,14,45,198,"199",0.088307812
"53","51_225+226_12_8",0.185908590950555,0.987554549403637,12,8,14,47,225,"226",0.088307812
"54","52_221+217_12_8",0.02000466989668,0.497744460812567,12,8,14,50,221,"217",0.088307812
"55","53_213+214_12_8",0.0680892370572254,0.914766087372917,12,8,14,54,213,"214",0.088307812
"56","54_194+195_12_8",0.0454942950306409,0.878842734591922,12,8,14,57,194,"195",0.088307812
"57","55_218+219_12_8",0.496336374044394,0.964173620239566,12,8,15,0,218,"219",0.088317681
"58","56_141_12_8",0.0725372252093335,0.879337651877287,12,8,15,8,141,"0",0.088288074
"59","57_143_12_8",0.231560490940993,0.985491702315481,12,8,15,15,143,"0",0.088278205
"60","59_144_12_8",1.19820955054105,0.998987891272801,12,8,15,41,144,"0",0.088307812
"61","60_157_12_8",0.340035166645547,0.969434694347631,12,8,15,48,157,"0",0.088337419
"62","61_155_12_8",0.0321957296404531,0.752188809028194,12,8,15,54,155,"0",0.088337419
"63","62_152_12_8",0.151441364326692,0.979748487253697,12,8,15,58,152,"0",0.088347288
"64","63_+152 ?_12_8",0.0865436170163963,0.925628708204355,12,8,16,3,0,"152 ?",0.088347288
"65","64_154_12_8",0.2051528127192,0.995352648885684,12,8,16,9,154,"0",0.088357157
"66","65_156_12_8",0.748449485625655,0.984814408565287,12,8,16,12,156,"0",0.088357157
