"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_NA_12_10",NA,0,0,0,0,0,0,0,0
"2","NA_NA_NA_NA",NA,0,0,0,0,0,0,0,0
"3","163_331_12_10",0.206255854603044,0.984097163482232,12,10,10,55,331,0,0.086639951
"4","164_337_12_10",0.667371016363125,0.99613005536601,12,10,10,59,337,0,0.086630082
"5","165_341_12_10",0.172851426442238,0.971854336677376,12,10,11,2,341,0,0.086630082
"6","166_338_12_10",0.381924434415321,0.987236374799755,12,10,11,5,338,0,0.086639951
"7","167_333_12_10",0.0868043353048634,0.991049967313428,12,10,11,8,333,0,0.086630082
"8","168_332_12_10",0.0760978996701959,0.906557587375382,12,10,11,13,332,0,0.086630082
"9","169_330_12_10",0.152443539429841,0.985894670579638,12,10,11,15,330,0,0.086639951
"10","0_NA_12_10",-4.52615743629883e-05,9.02585075923029e-05,12,10,11,16,0,0,0.086630082
"11","170_336_12_10",0.23702462103455,0.955222124576021,12,10,11,18,336,0,0.086639951
"12","171_339_12_10",0.13915112057093,0.959047489378065,12,10,11,20,339,0,0.086630082
"13","172_340_12_10",0.152616393506166,0.984299961138053,12,10,11,23,340,0,0.086639951
"14","173_359_12_10",0.0840696352025188,0.959121558929767,12,10,11,27,359,0,0.086659689
"15","174_356_12_10",0.181161695447406,0.985393477446319,12,10,11,30,356,0,0.086659689
"16","175_355_12_10",0.344741966893867,0.994714640710473,12,10,11,33,355,0,0.086669558
"17","176_352_12_10",0.131099572451989,0.968263802401404,12,10,11,36,352,0,0.086669558
"18","177_351_12_10",0.0891525652261794,0.967110311467653,12,10,11,38,351,0,0.086669558
"19","178_348_12_10",0.113821498396431,0.919121691123351,12,10,11,40,348,0,0.086669558
"20","179_358_12_10",0.118602365972869,0.965241049492672,12,10,11,43,358,0,0.086679427
"21","180_357_12_10",0.272411900106892,0.991734526189779,12,10,11,46,357,0,0.086669558
"22","181_354_12_10",0.468081949361844,0.99530000303932,12,10,11,48,354,0,0.086669558
"23","182_353_12_10",0.120085523591221,0.973578195489287,12,10,11,51,353,0,0.086669558
"24","183_350_12_10",0.0954828279317363,0.941035751862549,12,10,11,53,350,0,0.086669558
"25","184_349_12_10",0.15284895643442,0.987251542610519,12,10,11,57,349,0,0.086679427
"26","185_376_12_10",0.227981450407725,0.991847194048649,12,10,12,1,376,0,0.086669558
"27","186_375_12_10",0.498623725091706,0.994894055556379,12,10,12,3,375,0,0.086669558
"28","187_370_12_10",0.173812929772047,0.98821799530489,12,10,12,5,370,0,0.086669558
"29","188_371_12_10",0.128048391419197,0.977627799717144,12,10,12,8,371,0,0.086659689
"30","189_368_12_10",0.104512287665636,0.974103559918202,12,10,12,11,368,0,0.086659689
"31","190_369_12_10",0.0423512838805984,0.790598753466815,12,10,12,13,369,0,0.086659689
"32","191_372_12_10",0.156294362955188,0.978917862180379,12,10,12,16,372,0,0.086659689
"33","192_372_12_10",0.521713168514197,0.997707735321523,12,10,12,18,372,0,0.086659689
"34","193_373_12_10",0.347142073225199,0.995586437127961,12,10,12,20,373,0,0.086659689
"35","194_374_12_10",0.47036819446987,0.997820304402433,12,10,12,22,374,0,0.086669558
"36","195_367_12_10",0.14367192842215,0.9825368395921,12,10,12,24,367,0,0.086669558
"37","196_366_12_10",0.212378606704869,0.979603122056217,12,10,12,27,366,0,0.086659689
"38","197_395_12_10",0.164413419941043,0.989756250538469,12,10,12,37,395,0,0.086639951
"39","198_391_12_10",0.359053610852332,0.997029377580267,12,10,12,40,391,0,0.086639951
"40","199_387_12_10",0.140766601325185,0.985445597465925,12,10,12,43,387,0,0.086639951
"41","200_389_12_10",0.108874575505321,0.98254161991493,12,10,12,46,389,0,0.086639951
"42","201_385_12_10",0.183713346855431,0.990117794267134,12,10,12,49,385,0,0.086639951
"43","202_393_12_10",0.170423563777994,0.987115598093679,12,10,12,52,393,0,0.086639951
"44","203_392_12_10",0.283915729853933,0.99576118348759,12,10,12,54,392,0,0.08664982
"45","204_384_12_10",0.186023441939314,0.989183109403779,12,10,12,57,384,0,0.08664982
"46","205_388_12_10",0.414131579373699,0.997533165715906,12,10,13,0,388,0,0.08664982
"47","206_394_12_10",0.148519404542796,0.985137678146613,12,10,13,3,394,0,0.086659689
"48","207_390_12_10",0.41469366340676,0.978486389495852,12,10,13,6,390,0,0.086659689
"49","208_386_12_10",0.131450827653355,0.960316126084536,12,10,13,9,386,0,0.08664982
"50","209_410_12_10",0.348171788682421,0.995781756121153,12,10,13,16,410,0,0.086620213
"51","210_411_12_10",0.129643199537746,0.970606314576337,12,10,13,19,411,0,0.086620213
"52","211_406_12_10",0.173932845031934,0.987820788451421,12,10,13,22,406,0,0.086620213
"53","212_407_12_10",0.222362257943785,0.991882633214248,12,10,13,27,407,0,0.086610344
"54","213_402_12_10",0.0540975286555128,0.834578177828112,12,10,13,34,402,0,0.086610344
"55","214_403_12_10",0.349628081004577,0.994169072294899,12,10,13,37,403,0,0.086610344
"56","215_413_12_10",-0.0225763135656998,0.0995716516218611,12,10,13,39,413,0,0.086620213
"57","216_412_12_10",-0.0381827145180998,0.41009666431153,12,10,13,42,412,0,0.086610344
"58","217_409_12_10",0.245789997199451,0.982056459195448,12,10,13,44,409,0,0.086610344
"59","218_408_12_10",0.353634271075092,0.980227620308171,12,10,13,47,408,0,0.086600475
"60","219_405_12_10",0.142201953764159,0.982787850681552,12,10,13,50,405,0,0.086590606
"61","220_404_12_10",0.124608310626704,0.973935020568689,12,10,13,52,404,0,0.086580737
