"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","153","10-P3S2C2AA",8,8.3,9,8.7,39.5,164.3,121.32,98,42.98,26.1594643944005,NA,"10","3","2","2","AA",1168.5135971752,2242.69496535361,2,"2_153_12_8",0.140461222006553,0.973781900840352,12,8,10,27,153,"0",0.088386764
"2","157","10-P3S2C4FS",11.1,10.9,10.4,10.8,40,270.4,184.36,90,86.04,31.8195266272189,NA,"10","3","2","4","FS",1540.46550625552,3664.77255016761,3,"3_157_12_8",0.505428432327165,0.998490457249351,12,8,10,30,157,"0",0.088337419
"3","156","10-P3S2C2FS",11.4,12.3,12,11,40,437.3,263.9,98,173.4,39.652412531443,NA,"10","3","2","2","FS",1681.29429070118,4282.48820567971,5,"4_156_12_8",0.857142857142854,0.997018346320413,12,8,10,33,156,"0",0.088337419
"4","154","10-P3S2C4AA",11.6,12,11.8,11.6,39.3,266.3,168.74,90,97.56,36.6353736387533,NA,"10","3","2","4","AA",1667.5821165702,4261.48325539842,6,"5_154_12_8",0.423431698260697,0.996190719031901,12,8,10,35,154,"0",0.08832755
"5","152","10-P3S2C1AA",12,12,13,11.1,39,430.1,234.08,95,196.02,45.5754475703325,NA,"10","3","2","1","AA",1700.46782977273,4429.19992810388,7,"6_152_12_8",0.146804768418996,0.990215718022659,12,8,10,41,152,"0",0.088317681
"6","225","01-P3S2C4FS-F",1.7,1.4,1.3,1.2,41.4,14.235,8.01,65,6.225,45.6680542364661,NA,"01","3","2","4","FS",385.492205416769,135.018714567513,8,"7_225+226_12_8",0,0.904029298219737,12,8,10,48,225,"226",0.088337419
"7","221","01-P3S2C2FS-S",1.2,1.1,1.1,1,43.1,8.345,5.52,98,2.825,33.7643404132351,NA,"01","3","2","2","FS",299.386396767131,79.6366248749294,9,"8_221+217_12_8",0,0.980039584805673,12,8,10,55,221,"217",0.088337419
"8","198","01-P3S2C2AA-S",1.5,1.4,0.8,0.8,46.3,7.835,5.95,96,1.885,24.1101384066122,NA,"01","3","2","2","AA",316.758060674925,90.3400964955567,10,"9_198+199_12_8",0,0.988433002380202,12,8,10,59,198,"199",0.088337419
"9","213","01-P3S2C4AA-S",1.1,1,0.9,0.8,44.5,7.27,4.51,82.5,2.76,37.7761584127632,NA,"01","3","2","4","AA",282.814183980914,69.8906845151774,11,"10_213+214_12_8",0,0.956781378262194,12,8,11,5,213,"214",0.08832755
"10","218","01-P3S2C1FS-F",1.7,1.7,1.2,1.1,43.8,10.415,7.17,96,3.245,30.3338450842941,NA,"01","3","2","1","FS",328.050522804632,109.157320192702,12,"11_218+219_12_8",0,0.960960338010045,12,8,11,11,218,"219",0.08832755
"11","195","01-P3S2C1AA-F",1.3,1.2,0.8,0.8,41.1,6.71,4.815,100,1.895,28.2204612713087,NA,"01","3","2","1","AA",252.553603188401,63.8946931364135,13,"12_195+194_12_8",0,0.591280154693055,12,8,11,18,195,"194",0.088337419
"12","284","01-P3S4C4AA-S",1.3,1.3,1.1,1.1,37,11.115,NA,95,11.115,100,NA,"01","3","4","4","AA",308.63564165219,95.5380578904619,14,"13_284+286_12_8",0.170941567917804,0.983932084854376,12,8,11,29,284,"286",0.088386764
"13","297","01-P3S4C4FS-F",1.4,1.4,1.1,1,33.1,11.88,7.285,55,4.595,38.7235700923984,NA,"01","3","4","4","FS",270.801688800612,80.9928111535759,15,"14_297+296_12_8",0.220296321525888,0.985867498337537,12,8,11,32,297,"296",0.088386764
"14","289","01-P3S4C1FS-F",1.2,1,0.8,0.8,42.2,9.125,NA,100,9.125,100,NA,"01","3","4","1","FS",284.534291620765,80.9521667986201,16,"15_289+288_12_8",0.11228989916466,0.98915755220615,12,8,11,34,289,"288",0.088376895
"15","178","10-P3S4C4AA",13.8,13,13.5,12,39,373.05,228.38,84,258.86,76.5716044316783,NA,"10","3","4","4","AA",3340.16120084215,8580.73215301563,17,"16_178+177_12_8",0.0599666766187462,0.817374157834692,12,8,11,37,178,"177",0.088376895
