"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,146,"25-P3S2C1AA",23.3,21.8,22,22.2,99.4,1328,813.15,100,514.85,38.7688253012048,NA,25,3,2,1,"AA",7754.51507244074,38911.1355399389,1,"5_146_12_8",5.09890109890111,0.973869241263511,12,8,10,34,146,0,0.8852493,"2021-12-8","10:34:00",2021-12-08 10:34:00,"3_2",42282,4,3.5,1.5625,-1.1875,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",272.9625,1.5637,0.315118978213907,0.00401221944358484,0.000799586435026648
"2",2,147,"25-P3S2C2AA",22,21.2,23.2,20.8,100,1352.2,838.88,96,513.32,37.9618399645023,NA,25,3,2,2,"AA",7595.2537603551,37326.3095148515,2,"6_147_12_8",3.59340659340659,0.997031163459441,12,8,10,37,147,0,0.8852493,"2021-12-8","10:37:00",2021-12-08 10:37:00,"3_2",42282,4,3.5,1.5625,-1.1875,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",272.9625,1.5637,0.222077383353334,0.00282757706476776,0.000575362676166154
"3",3,148,"25-P3S2C4AA",25,23,24,24.8,99.4,1047.3,565.86,80,481.44,45.9696362073904,NA,25,3,2,4,"AA",8477.03758610992,45721.1226073268,3,"7_148_12_8",4.35384615384615,0.886808134654082,12,8,10,39,148,0,0.8852493,"2021-12-8","10:39:00",2021-12-08 10:39:00,"3_2",42291,4,3.5,1.8125,-0.8125,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.3375,1.5637,0.268704425600697,0.00342125100520155,0.000634325486967862
"4",4,149,"25-P3S2C1FS",28,25.5,26.2,24,99.3,2697.5,1569.94,98,1127.56,41.8001853568119,NA,25,3,2,1,"FS",9144.65619122317,52435.2369717568,4,"8_149_12_8",3.34505494505492,0.980796328286421,12,8,10,41,149,0,0.8852493,"2021-12-8","10:41:00",2021-12-08 10:41:00,"3_2",42291,4,3.5,1.8125,-0.8125,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.3375,1.5637,0.206445298215173,0.00262854317512202,0.000458415466553992
"5",5,150,"25-P3S2C2FS",22.1,21,22,22,100.1,1344.5,866.21,95,478.29,35.5738192636668,NA,25,3,2,2,"FS",7592.54970135671,37278.2693926402,5,"9_150_12_8",9.64615384615385,0.991640766705765,12,8,10,43,150,0,0.8852493,"2021-12-8","10:43:00",2021-12-08 10:43:00,"3_2",42291,4,3.5,1.8125,-0.8125,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.3375,1.5637,0.595327472973984,0.0075799448065773,0.00154382455556912
"6",6,151,"25-P3S2C4FS",20.3,20.2,20.5,19,100,1086.1,657.18,60,428.92,39.4917595064911,NA,25,3,2,4,"FS",6911.62164759137,31417.5627820717,6,"10_151_12_8",3.49010989010986,0.972332369385003,12,8,10,46,151,0,0.8852493,"2021-12-8","10:46:00",2021-12-08 10:46:00,"3_2",42287,4,3.5,1.75,-0.75,2114,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.4,1.5637,0.215348350553773,0.00274190035818554,0.000603196944416962
"7",30,146,"25-P3S2C1AA",23.3,21.8,22,22.2,99.4,1328,813.15,100,514.85,38.7688253012048,NA,25,3,2,1,"AA",7754.51507244074,38911.1355399389,32,"36_146_12_8",2.81098901098901,0.810341778516425,12,8,13,29,146,0,0.8852493,"2021-12-8","13:29:00",2021-12-08 13:29:00,"3_2",42298,4,3.5,1.8125,-0.875,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.275,1.5637,0.173524260915685,0.00220937950968792,0.000440302408831824
"8",31,147,"25-P3S2C2AA",22,21.2,23.2,20.8,100,1352.2,838.88,96,513.32,37.9618399645023,NA,25,3,2,2,"AA",7595.2537603551,37326.3095148515,33,"37_147_12_8",3.36703296703295,0.971482499420511,12,8,13,32,147,0,0.8852493,"2021-12-8","13:32:00",2021-12-08 13:32:00,"3_2",42294,4,3.5,1.8125,-0.875,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.275,1.5637,0.207849231995956,0.00264641861520084,0.00053850008746727
"9",32,148,"25-P3S2C4AA",25,23,24,24.8,99.4,1047.3,565.86,80,481.44,45.9696362073904,NA,25,3,2,4,"AA",8477.03758610992,45721.1226073268,34,"38_148_12_8",3.53571428571432,0.977981041077663,12,8,13,35,148,0,0.8852493,"2021-12-8","13:35:00",2021-12-08 13:35:00,"3_2",42294,4,3.5,1.8125,-0.875,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.275,1.5637,0.218262044369125,0.0027789986600551,0.000515247105705605
"10",33,148,"25-P3S2C4AA",25,23,24,24.8,99.4,1047.3,565.86,80,481.44,45.9696362073904,NA,25,3,2,4,"AA",8477.03758610992,45721.1226073268,35,"0_148_12_8",0,0.525000000000092,12,8,13,35,148,0,0.8862362,"2021-12-8","13:35:00",2021-12-08 13:35:00,"3_2",42294,4,3.5,1.8125,-0.875,2113,202,0,94206500,10,"TMS-94206500",3,2,"3_2",273.275,1.5637,0,0,0
