;EGM-4 Data
;SoftwareVersion=1.05
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
31	0003	27	07	11	36	00593	20.5	+25.8	0000	061.6	000.0	0000	0000	+00.00	00	00	0911	08
31	0004	27	07	11	36	00603	20.5	+25.8	0000	061.6	000.0	0000	0004	+00.00	00	00	0911	08
31	0005	27	07	11	36	00569	20.5	+25.8	0000	061.6	000.0	0000	0009	+00.00	00	00	0912	08
31	0006	27	07	11	36	00573	20.6	+25.9	0000	061.6	000.0	0028	0014	-01.69	02	01	0911	08
31	0007	27	07	11	36	00599	20.6	+25.9	0000	061.6	000.0	0007	0019	-00.31	02	01	0911	08
31	0008	27	07	11	36	00633	20.6	+25.9	0000	061.6	000.0	0027	0024	+00.99	02	00	0911	08
31	0009	27	07	11	37	00629	20.6	+25.9	0000	061.6	000.0	0042	0028	+01.27	02	00	0911	08
31	0010	27	07	11	37	00656	20.7	+26.0	0000	061.6	000.0	0065	0033	+01.69	02	00	0911	08
32	0005	27	07	11	40	00489	20.8	+26.4	0000	060.7	000.0	0000	0000	+00.00	02	00	0912	08
32	0006	27	07	11	40	00491	20.8	+26.4	0000	060.7	000.0	0000	0004	+00.00	02	00	0911	08
32	0007	27	07	11	40	00500	20.8	+26.4	0000	060.7	000.0	0000	0009	+00.00	02	00	0911	08
32	0008	27	07	11	41	00499	20.9	+26.4	0000	060.7	000.0	0012	0014	+00.75	02	00	0912	08
32	0009	27	07	11	41	00503	20.9	+26.4	0000	060.7	000.0	0014	0019	+00.66	02	00	0912	08
32	0010	27	07	11	41	00514	20.9	+26.4	0000	060.7	000.0	0022	0024	+00.82	02	00	0911	08
32	0011	27	07	11	41	00516	20.9	+26.4	0000	060.7	000.0	0027	0028	+00.84	02	00	0912	08
32	0012	27	07	11	41	00572	21.0	+26.5	0000	060.7	000.0	0062	0033	+01.61	02	00	0911	08
33	0015	27	07	11	48	00655	21.9	+27.0	0000	061.3	000.0	0000	0000	+00.00	02	00	0912	08
33	0016	27	07	11	48	00657	21.9	+27.0	0000	061.1	000.0	0000	0004	+00.00	02	00	0912	08
33	0017	27	07	11	48	00675	21.7	+27.0	0000	061.1	000.0	0000	0009	+00.00	02	00	0912	08
33	0018	27	07	11	48	00667	21.8	+27.1	0000	061.0	000.0	0016	0014	+00.97	02	00	0912	08
33	0019	27	07	11	48	00683	21.8	+27.1	0000	060.9	000.0	0026	0019	+01.19	02	00	0912	08
33	0020	27	07	11	49	00689	21.8	+27.1	0000	060.9	000.0	0034	0024	+01.23	02	00	0911	08
33	0021	27	07	11	49	00686	21.8	+27.1	0000	060.9	000.0	0035	0028	+01.06	02	00	0911	08
33	0022	27	07	11	49	00666	21.8	+27.1	0000	060.9	000.0	0023	0033	+00.60	02	00	0911	08
33	0023	27	07	11	49	00708	21.8	+27.1	0000	060.9	000.0	0038	0038	+00.86	02	00	0912	08
33	0024	27	07	11	49	00704	21.8	+27.1	0000	060.9	000.0	0044	0043	+00.90	02	00	0912	08
33	0025	27	07	11	49	00703	21.9	+27.2	0000	060.9	000.0	0048	0048	+00.87	02	00	0912	08
33	0026	27	07	11	49	00704	21.7	+27.1	0000	060.8	000.0	0050	0052	+00.83	02	00	0912	08
34	0001	27	07	11	51	00703	21.8	+27.2	0000	060.3	000.0	0000	0000	+00.00	02	00	0912	08
34	0002	27	07	11	51	00700	22.0	+27.2	0000	060.5	000.0	0000	0004	+00.00	02	00	0912	08
34	0003	27	07	11	51	00701	22.1	+27.3	0000	060.5	000.0	0000	0009	+00.00	02	00	0911	08
34	0004	27	07	11	51	00703	22.1	+27.3	0000	060.6	000.0	0000	0014	+00.03	02	00	0912	08
34	0005	27	07	11	52	00708	22.1	+27.3	0000	060.7	000.0	0005	0019	+00.26	02	00	0912	08
34	0006	27	07	11	52	00706	22.1	+27.3	0000	060.7	000.0	0006	0024	+00.24	02	00	0911	08
34	0007	27	07	11	52	00720	22.1	+27.3	0000	060.7	000.0	0015	0028	+00.47	02	00	0911	08
34	0008	27	07	11	52	00724	22.1	+27.3	0000	060.7	000.0	0022	0033	+00.59	02	00	0912	08
34	0009	27	07	11	52	00726	22.1	+27.3	0000	060.8	000.0	0028	0038	+00.64	02	00	0912	08
34	0010	27	07	11	52	00734	22.1	+27.3	0000	060.8	000.0	0034	0043	+00.70	02	00	0912	08
34	0011	27	07	11	52	00724	22.3	+27.3	0000	060.8	000.0	0034	0048	+00.62	02	00	0912	08
34	0012	27	07	11	53	00728	22.3	+27.4	0000	060.9	000.0	0035	0052	+00.58	02	00	0911	08
34	0013	27	07	11	53	00723	22.3	+27.4	0000	060.9	000.0	0033	0057	+00.50	02	00	0911	08
34	0014	27	07	11	53	00731	22.4	+27.4	0000	060.9	000.0	0034	0062	+00.48	02	00	0912	08
36	0022	27	07	12	22	00419	22.1	+28.6	0000	056.6	000.0	0000	0000	+00.00	02	00	0911	08
36	0023	27	07	12	23	00421	22.1	+28.6	0000	056.7	000.0	0000	0004	+00.00	02	00	0911	08
36	0024	27	07	12	23	00425	22.1	+28.6	0000	056.6	000.0	0000	0009	+00.00	02	00	0912	08
36	0025	27	07	12	23	00429	22.1	+28.6	0000	056.6	000.0	0010	0014	+00.61	02	00	0912	08
36	0026	27	07	12	23	00433	22.1	+28.6	0000	056.6	000.0	0014	0019	+00.64	02	00	0912	08
36	0027	27	07	12	23	00436	22.0	+28.5	0000	056.6	000.0	0018	0024	+00.65	02	00	0912	08
36	0028	27	07	12	23	00439	22.1	+28.6	0000	056.6	000.0	0021	0028	+00.64	02	00	0912	08
36	0029	27	07	12	23	00440	22.0	+28.5	0000	056.6	000.0	0023	0033	+00.60	02	00	0911	08
36	0030	27	07	12	24	00446	22.0	+28.5	0000	056.6	000.0	0027	0038	+00.61	02	00	0912	08
36	0031	27	07	12	24	00449	22.0	+28.5	0000	056.6	000.0	0030	0043	+00.61	02	00	0912	08
36	0032	27	07	12	24	00455	22.0	+28.5	0000	056.6	000.0	0035	0048	+00.64	02	00	0911	08
36	0033	27	07	12	24	00458	22.0	+28.5	0000	056.6	000.0	0039	0052	+00.65	02	00	0912	08
36	0034	27	07	12	24	00462	22.0	+28.5	0000	056.6	000.0	0043	0057	+00.65	02	00	0911	08
36	0035	27	07	12	24	00465	22.2	+28.5	0000	056.6	000.0	0047	0062	+00.65	02	00	0912	08
37	0008	27	07	12	30	00458	21.7	+28.4	0000	056.0	000.0	0000	0000	+00.00	02	00	0912	08
37	0009	27	07	12	30	00463	21.7	+28.4	0000	056.0	000.0	0000	0004	+00.00	02	00	0912	08
37	0010	27	07	12	31	00461	21.7	+28.4	0000	056.0	000.0	0000	0009	+00.00	02	00	0912	08
37	0011	27	07	12	31	00464	21.7	+28.4	0000	056.0	000.0	0004	0014	+00.28	02	00	0912	08
37	0012	27	07	12	31	00463	21.7	+28.4	0000	056.0	000.0	0004	0019	+00.19	02	00	0912	08
