"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","14_0_7_21",-1.49139414802066,0.378929230283699,7,21,8,38,"0",0,0.9444633
"2","15_0_7_21",2.99120879120879,0.991795014577182,7,21,11,3,"0",0,0.9444633
"3","16_0_7_21",2.76703296703294,0.976645501960896,7,21,11,17,"0",0,0.9444633
"4","1_134_7_27",6.8,0.997361577635713,7,27,8,30,"134",0,0.8990659
"5","2_135_7_27",6.77142857142856,0.99856682780737,7,27,8,33,"135",0,0.8990659
"6","4_137_7_27",3.73626373626373,0.994665289967304,7,27,8,40,"137",0,0.8990659
"7","5_138_7_27",7.2021978021978,0.995602144042855,7,27,8,44,"138",0,0.8990659
"8","6_139_7_27",4.77802197802195,0.984083186194488,7,27,8,47,"139",0,0.8990659
"9","7_146_7_27",2.61758241758242,0.968653052305234,7,27,8,53,"146",0,0.8990659
"10","8_147_7_27",4.13186813186813,0.984419302907246,7,27,8,56,"147",0,0.9000528
"11","9_148_7_27",4.41538461538462,0.994690490126614,7,27,8,59,"148",0,0.9000528
"12","10_149_7_27",2.11208791208791,0.989898654261505,7,27,9,2,"149",0,0.9000528
"13","11_150_7_27",10.9454545454546,0.997245497447751,7,27,9,6,"150",0,0.9000528
"14","12_151_7_27",4.74285714285715,0.986853994490358,7,27,9,10,"151",0,0.8990659
"15","13_170_7_27",1.67472527472527,0.949913293852043,7,27,9,15,"170",0,0.9000528
"16","14_171_7_27",8.27472527472525,0.997947112810586,7,27,9,18,"171",0,0.9000528
"17","15_172_7_27",2.21318681318679,0.977919754663941,7,27,9,22,"172",0,0.9000528
"18","17_174_7_27",6.76483516483516,0.995051464101164,7,27,9,29,"174",0,0.9000528
"19","18_175_7_27",8.09010989010989,0.995895515120423,7,27,9,32,"175",0,0.9000528
"20","19_182_7_27",1.64395604395602,0.921995913255548,7,27,9,38,"182",0,0.9010397
"21","20_183_7_27",4.4043956043956,0.985593120508894,7,27,9,42,"183",0,0.9010397
"22","21_184_7_27",7.90549450549451,0.996832241549672,7,27,9,45,"184",0,0.9010397
"23","22_185_7_27",1.26813186813186,0.929748523395284,7,27,9,48,"185",0,0.9010397
"24","23_186_7_27",3.87032967032967,0.993431626156249,7,27,9,51,"186",0,0.9010397
"25","24_187_7_27",5.44175824175823,0.989057821373257,7,27,9,54,"187",0,0.9010397
