"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_24_7_30",23.2857142857143,0.997067852201738,7,30,9,4,"24",0,0.8793279
"2","2_23_7_30",30.9,0.99592164552737,7,30,9,6,"23",0,0.8793279
"3","3_22_7_30",22.5428571428571,0.999811554594294,7,30,9,8,"22",0,0.8793279
"4","4_21_7_30",12.3757575757576,0.997950376322778,7,30,9,10,"21",0,0.8803148
"5","5_29_7_30",23.4857142857142,0.995732264434554,7,30,9,15,"29",0,0.8793279
"6","6_30_7_30",24.8285714285713,0.998998128104667,7,30,9,17,"30",0,0.8793279
"7","7_31_7_30",34.4,0.997874995783722,7,30,9,19,"31",0,0.8793279
"8","8_32_7_30",36.2999999999999,0.998439098314075,7,30,9,20,"32",0,0.8793279
"9","9_26_7_30",20.2571428571427,0.994780847716455,7,30,9,22,"26",0,0.8793279
"10","10_27_7_30",6.21758241758241,0.993398560776026,7,30,9,27,"27",0,0.8793279
"11","11_28_7_30",3.74505494505494,0.991895714197872,7,30,9,29,"28",0,0.8793279
"12","12_25_7_30",3.16043956043955,0.984190837006082,7,30,9,32,"25",0,0.8793279
"13","13_26_7_30",13.2,0.998700802445548,7,30,9,35,"26",0,0.8793279
"14","14_2_7_30",4.62637362637362,0.987607611511994,7,30,9,39,"2",0,0.8793279
"15","15_1_7_30",2.39780219780218,0.981088421356302,7,30,9,42,"1",0,0.8793279
"16","16_3_7_30",31.3,0.995336692810989,7,30,9,46,"3",0,0.8793279
"17","17_4_7_30",3.57802197802197,0.993062310315111,7,30,9,48,"4",0,0.8793279
"18","18_5_7_30",7.7076923076923,0.994487364788787,7,30,9,53,"5",0,0.8793279
"19","19_6_7_30",18.8928571428572,0.995705359938516,7,30,9,56,"6",0,0.8793279
"20","20_8_7_30",9.03296703296703,0.988411453381041,7,30,9,59,"8",0,0.8793279
"21","21_7_7_30",7.12967032967031,0.996850933712742,7,30,10,2,"7",0,0.878341
"22","22_10_7_30",3.67912087912087,0.991170187179016,7,30,10,6,"10",0,0.878341
"23","23_9_7_30",5.53186813186813,0.992798270556921,7,30,10,10,"9",0,0.8793279
"24","24_11_7_30",7.07032967032967,0.995123370101651,7,30,10,13,"11",0,0.8793279
"25","25_12_7_30",1.52307692307691,0.8383576709232,7,30,10,16,"12",0,0.878341
"26","26_14_7_30",7.22213911742708,0.961160158746824,7,30,10,20,"14",0,0.8793279
"27","27_13_7_30",48.6,0.997617840851495,7,30,10,23,"13",0,0.8793279
"28","28_15_7_30",12.9833333333334,0.994299711626688,7,30,10,25,"15",0,0.878341
"29","29_16_7_30",19.5357142857143,0.994710771276596,7,30,10,28,"16",0,0.878341
"30","30_20_7_30",3.632967032967,0.955366049373,7,30,10,31,"20",0,0.878341
"31","31_19_7_30",9.74475524475523,0.996506896294694,7,30,10,34,"19",0,0.878341
"32","32_18_7_30",5.22637362637364,0.993720192175897,7,30,10,37,"18",0,0.8793279
"33","33_17_7_30",4.21428571428573,0.990025512608209,7,30,10,40,"17",0,0.878341
"34","34_24_7_30",29.1,0.995684789765779,7,30,12,4,"24",0,0.8793279
"35","35_23_7_30",36.2,0.991855888586134,7,30,12,6,"23",0,0.8793279
"36","36_22_7_30",27.2000000000001,0.998542352750634,7,30,12,7,"22",0,0.8793279
"37","37_21_7_30",12.5393939393939,0.996152926970537,7,30,12,9,"21",0,0.8793279
"38","38_29_7_30",22.2571428571429,0.998118374630953,7,30,12,14,"29",0,0.8793279
"39","39_30_7_30",16.7857142857143,0.999294296467863,7,30,12,16,"30",0,0.8793279
"40","40_31_7_30",25.0857142857143,0.998425074472219,7,30,12,19,"31",0,0.8793279
"41","41_32_7_30",27.2999999999999,0.994940460297965,7,30,12,20,"32",0,0.8793279
"42","42_26_7_30",12.6166666666666,0.99832001579522,7,30,12,22,"26",0,0.8793279
"43","43_27_7_30",5.97802197802197,0.994908731001874,7,30,12,24,"27",0,0.8793279
"44","44_28_7_30",2.2065934065934,0.984756061819815,7,30,12,27,"28",0,0.8793279
"45","45_25_7_30",4.13406593406593,0.983952678979884,7,30,12,30,"25",0,0.8793279
"46","46_1_7_30",-0.208264915161467,0.197073843692181,7,30,12,41,"1",0,0.8793279
"47","47_2_7_30",1.94285714285714,0.959029993618379,7,30,12,47,"2",0,0.8793279
"48","48_3_7_30",13.8333333333333,0.997114846478955,7,30,12,50,"3",0,0.8793279
"49","49_4_7_30",2.88131868131868,0.879958119686564,7,30,12,52,"4",0,0.8793279
"50","50_6_7_30",8.60989010989011,0.994985542153052,7,30,12,56,"6",0,0.8793279
"51","51_5_7_30",5.67032967032966,0.996440215682811,7,30,12,59,"5",0,0.8793279
"52","52_33_7_30",9.18881118881118,0.98333949685888,7,30,13,3,"33",0,0.8793279
"53","53_34_7_30",6.05714285714284,0.976716817118022,7,30,13,5,"34",0,0.878341
"54","54_8_7_30",17.7142857142858,0.997890774572476,7,30,13,9,"8",0,0.878341
"55","55_7_7_30",7.69010989010988,0.995227978560696,7,30,13,10,"7",0,0.878341
"56","56_35_7_30",4.52307692307692,0.99322367773072,7,30,13,13,"35",0,0.878341
"57","57_36_7_30",6.99780219780218,0.992434367027765,7,30,13,17,"36",0,0.878341
"58","58_10_7_30",2.46373626373626,0.891864116876802,7,30,13,20,"10",0,0.878341
"59","59_9_7_30",8.35164835164836,0.998877646135143,7,30,13,23,"9",0,0.878341
"60","60_11_7_30",4.11208791208791,0.979609934783917,7,30,13,26,"11",0,0.8793279
