"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","324","25-P6S1C1AA",23.7,23,25.2,25.3,100.6,1799.5,1011.73,95,787.77,43.7771603223118,NA,"25","6","1","1","AA",8609.1741609912,46679.007166476,1,"1_324_7_28",15.6428571428571,0.997075638404768,7,28,9,12,324,0,0.8832755
"2","325","25-P6S1C2AA",28,27.2,28.3,28.5,99.4,2221.5,1314.16,95,907.34,40.8435741616025,NA,"25","6","1","2","AA",9975.50711725815,61209.9283717614,2,"2_325_7_28",10.5090909090909,0.995082431084039,7,28,9,15,325,0,0.8852493
"3","326","25-P6S1C4AA",27.2,24.5,26,25.3,100.2,2115.3,845.43,50,1269.87,60.0326194865977,NA,"25","6","1","4","AA",9147.3361692845,52181.2229087022,3,"3_326_7_28",13.5,0.994995450409463,7,28,9,17,326,0,0.8832755
"4","327","25-P6S1C1FS",23.1,23.3,24,23.5,100.3,1883.7,1202.63,96,681.07,36.1559696342305,NA,"25","6","1","1","FS",8262.78758241054,43413.2083093844,4,"4_327_7_28",8.43406593406593,0.989568109047048,7,28,9,20,327,0,0.8832755
"5","328","25-P6S1C2FS",22.5,23.3,22,23.6,99.9,1458,928.2,70,529.8,36.3374485596708,NA,"25","6","1","2","FS",7991.51360458257,40966.4632359887,5,"5_328_7_28",7.69670329670328,0.995719964406108,7,28,9,25,328,0,0.8852493
"6","329","25-P6S1C4FS",27,27.7,21.5,22.5,99.6,1811.9,508.98,60,1302.92,71.9090457530769,NA,"25","6","1","4","FS",8691.28467577007,47814.7158181952,6,"6_329_7_28",6.99120879120878,0.993745706458518,7,28,9,29,329,0,0.8852493
"7","342","25-P6S2C1AA",25,25.2,24.3,23.1,99.7,1871.6,1011.02,97,860.58,45.9809788416328,NA,"25","6","2","1","AA",8578.63697505157,46631.9763463545,7,"7_342_7_28",8.92307692307694,0.997817750376067,7,28,9,37,342,0,0.8852493
"8","343","25-P6S2C2AA",20.2,20,21.4,21.5,100.5,1203.1,721.12,98,481.98,40.0615077715901,NA,"25","6","2","2","AA",7238.1123460381,34079.3108644968,8,"8_343_7_28",3.23956043956043,0.972131939721516,7,28,9,41,343,0,0.8852493
"9","344","25-P6S2C4AA",21.5,21,16.5,15.8,99.8,859.6,464.63,55,394.97,45.9481154025128,NA,"25","6","2","4","AA",6424.44812906392,27579.5537809062,9,"9_344_7_28",5.34725274725274,0.990818072943561,7,28,9,44,344,0,0.8832755
"10","345","25-P6S2C1FS",21.2,19.3,21.2,18,98.3,1360.2,838.74,100,521.46,38.3370092633436,NA,"25","6","2","1","FS",6777.02428820783,30653.3943891798,10,"10_345_7_28",2.34945054945055,0.965296132517348,7,28,9,48,345,0,0.8852493
"11","346","25-P6S2C2FS",22.5,23.2,27,22.7,100.5,1609.9,1051.21,85,558.69,34.7033977265669,NA,"25","6","2","2","FS",8425.60982297308,44924.9015917879,11,"11_346_7_28",7.04615384615384,0.997010066677919,7,28,9,51,346,0,0.8852493
"12","347","25-P6S2C4FS",20,19.1,20,17.3,97.1,1240.9,572.23,30,668.67,53.8858892739141,NA,"25","6","2","4","FS",6399.85201414764,27826.3468932466,12,"12_347_7_28",6.47692307692308,0.990389419192538,7,28,9,55,347,0,0.8852493
"13","360","25-P6S3C1AA",27.1,26.5,27.5,27,96.4,2295.4,1335.81,99,959.59,41.8049141761784,NA,"25","6","3","1","AA",9331.84249087475,55297.8638553399,13,"13_360_7_28",4.79560439560438,0.995651119215712,7,28,10,0,360,0,0.8852493
"14","361","25-P6S3C2AA",23,22.2,21,21.9,98.8,1286.9,840.93,97,445.97,34.6545963167301,NA,"25","6","3","2","AA",7598.95492406142,37651.0692992219,14,"14_361_7_28",0.749450549450554,0.906709813248079,7,28,10,6,361,0,0.8852493
"15","362","25-P6S3C4AA",24.6,25.5,30.3,25.3,99.5,1549.5,714.6,95,834.9,53.8818973862536,NA,"25","6","3","4","AA",9360.76539386387,54617.8668454187,15,"15_362_7_28",4.62417582417582,0.993999380268281,7,28,10,11,362,0,0.8852493
"16","363","25-P6S3C1FS",21,19.5,22.8,20.2,99.2,1563.9,907.49,100,656.41,41.972632521261,NA,"25","6","3","1","FS",7190.8518215397,33961.2972637139,16,"16_363_7_28",0.945054945054947,0.821193817729616,7,28,10,15,363,0,0.8852493
"17","364","25-P6S3C2FS",25,25.5,25.2,23,96.8,NA,1454.14,80,-1454.14,NA,NA,"25","6","3","2","FS",8460.85962404196,46297.5666365499,17,"17_364_7_28",7.46813186813185,0.997243468827947,7,28,10,19,364,0,0.8852493
"18","365","25-P6S3C4FS",22,21,21,20,104,1552.9,488.76,60,1064.14,68.5259836435057,NA,"25","6","3","4","FS",7554.43152918704,36028.3081501433,18,"18_365_7_28",2.52087912087911,0.964505049394256,7,28,10,24,365,0,0.8852493
"19","396","25-P6S5C1AA",28.3,30.7,29.3,28.8,101.7,2485.3,1349.7,97,1135.6,45.6926729167505,NA,"25","6","5","1","AA",10699.6768218212,68456.2638746268,19,"19_396_7_28",5.64175824175823,0.992906571396498,7,28,10,28,396,0,0.8852493
"20","397","25-P6S5C2AA",28.2,27.5,29.1,27.9,99.1,2709.7,1644.79,97,1064.91,39.2999225006458,NA,"25","6","5","2","AA",10018.9336820523,61788.9260576629,20,"20_397_7_28",1.2923076923077,0.876010945576165,7,28,10,32,397,0,0.8852493
"21","398","25-P6S5C4AA",24.6,24.2,22.2,22.3,96.6,839.1,309.94,75,529.16,63.0628053867239,NA,"25","6","5","4","AA",7935.47498431516,41306.4334338905,21,"21_398_7_28",4.51648351648352,0.989832188927211,7,28,10,35,398,0,0.8852493
"22","399","25-P6S5C1FS",22.3,23.9,22.7,22.8,101,1956.6,1212.41,100,744.19,38.0348563835224,NA,"25","6","5","1","FS",8099.72203987098,41690.6224646894,22,"22_399_7_28",1.29010989010988,0.869454082083238,7,28,10,39,399,0,0.8852493
"23","400","25-P6S5C2FS",21.7,23.3,22.6,23.3,101.6,1415,967.83,98,447.17,31.6021201413428,NA,"25","6","5","2","FS",8064.79439721074,41210.2798856393,23,"23_400_7_28",14.3690476190477,0.998485325130786,7,28,10,43,400,0,0.8852493
"24","401","25-P6S5C4FS",33.1,31.1,31.1,32.1,98.9,2996,1632.43,40,1363.57,45.5130173564753,NA,"25","6","5","4","FS",11489.4878310483,78797.7769631207,24,"24_401_7_28",4.8967032967033,0.990929888090837,7,28,10,45,401,0,0.8852493
"25","378","25-P6S4C1AA",22.4,22.6,20,19.2,99.1,1361.6,745.51,94,616.09,45.2475029377203,NA,"25","6","4","1","AA",7253.56291485758,34542.5262003479,25,"25_378_7_28",3.72307692307691,0.992898663049796,7,28,10,49,378,0,0.8852493
"26","379","25-P6S4C2AA",26.1,25.2,25.2,27.5,98.3,2237.6,1423.05,96,814.55,36.402842331069,NA,"25","6","4","2","AA",9091.38413842623,52193.4887990692,26,"26_379_7_28",4.36043956043955,0.96663556083809,7,28,10,54,379,0,0.8852493
"27","380","25-P6S4C4AA",29.5,27.3,27.8,30.2,99.1,1426,781.53,60,644.47,45.1942496493689,NA,"25","6","4","4","AA",10229.2551177022,64112.5641577362,27,"27_380_7_28",1.75824175824176,0.977188750114514,7,28,10,57,380,0,0.8852493
"28","381","25-P6S4C1FS",23.1,22.4,20.2,22.5,90.1,2076,1225.41,100,850.59,40.9725433526012,NA,"25","6","4","1","FS",7006.10098609122,34417.3739847582,28,"28_381_7_28",0.487912087912101,0.583242603550308,7,28,11,1,381,0,0.8852493
"29","381","25-P6S4C1FS",23.1,22.4,20.2,22.5,90.1,2076,1225.41,100,850.59,40.9725433526012,NA,"25","6","4","1","FS",7006.10098609122,34417.3739847582,29,"29_381_7_28",0.67912087912087,0.822934712346481,7,28,11,5,381,0,0.8852493
"30","382","25-P6S4C2FS",28.5,28.8,27.8,27.3,98.2,2332.6,1430.71,80,901.89,38.6645802966647,NA,"25","6","4","2","FS",9909.90122164964,60907.3164228997,30,"30_382_7_28",8.30109890109888,0.997181890592404,7,28,11,8,382,0,0.8852493
"31","383","25-P6S4C4FS",25.2,25.6,25.5,29.2,99.9,1955.7,555.44,50,1400.26,71.5989159891599,NA,"25","6","4","4","FS",9372.26187643554,54605.7138560377,31,"31_383_7_28",4.41538461538461,0.994563033109956,7,28,11,11,383,0,0.8852493
"32","324","25-P6S1C1AA",23.7,23,25.2,25.3,100.6,1799.5,1011.73,95,787.77,43.7771603223118,NA,"25","6","1","1","AA",8609.1741609912,46679.007166476,32,"32_324_7_28",4.56703296703297,0.805354251993763,7,28,12,41,324,0,0.8852493
