"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","24","01-P1S1C1FS-Sp",1.1,0.9,1.3,1.5,46,11.02,7.76,96,3.26,29.5825771324864,NA,"01","1","1","1","FS",175.742332125886,52.5064852169974,1,"1_24_7_30",23.2857142857143,0.997067852201738,7,30,9,4,24,0,0.8793279
"2","23","01-P1S1C1FS-W",1,0.9,1.2,1.1,39,9.36,6.85,100,2.51,26.8162393162393,NA,"01","1","1","1","FS",130.39615298407,33.8722592919234,2,"2_23_7_30",30.9,0.99592164552737,7,30,9,6,23,0,0.8793279
"3","22","01-P1S1C1FS-F",1.1,1.2,1.4,1.3,30.9,13.1,9.76,100,3.34,25.4961832061069,NA,"01","1","1","1","FS",123.814728902534,38.000901087363,3,"3_22_7_30",22.5428571428571,0.999811554594294,7,30,9,8,22,0,0.8793279
"4","21","01-P1S1C1FS-S",1.3,1.2,1,1,38,10.64,7.46,100,3.18,29.8872180451128,NA,"01","1","1","1","FS",136.316395355182,37.9281863074018,4,"4_21_7_30",12.3757575757576,0.997950376322778,7,30,9,10,21,0,0.8803148
"5","29","01-P1S1C4FS-S",1.5,1.5,1.3,1.3,42,11.53,10.28,80,1.25,10.8412836079792,NA,"01","1","1","4","FS",187.820640392899,64.7639325537536,5,"5_29_7_30",23.4857142857142,0.995732264434554,7,30,9,15,29,0,0.8793279
"6","30","01-P1S1C4FS-F",0.9,0.6,1,0.9,3.6,5.94,5.24,42,0.7,11.7845117845118,NA,"01","1","1","4","FS",10.7675899388615,2.05224540095753,6,"6_30_7_30",24.8285714285713,0.998998128104667,7,30,9,17,30,0,0.8793279
"7","31","01-P1S1C4FS-W",0.9,0.8,0.9,0.9,42,4.36,3.89,65,0.47,10.7798165137615,NA,"01","1","1","4","FS",116.657173157907,25.2623319256789,7,"7_31_7_30",34.4,0.997874995783722,7,30,9,19,31,0,0.8793279
"8","32","01-P1S1C4FS-Sp",1,1,1,1,38,4.47,4.02,65,0.45,10.0671140939597,NA,"01","1","1","4","FS",120.951317163207,29.845130209103,8,"8_32_7_30",36.2999999999999,0.998439098314075,7,30,9,20,32,0,0.8793279
"9","26","01-P1S1C2FS-F",1.3,1.1,1.7,1.4,3.6,8.9,7.51,98,1.39,15.6179775280899,NA,"01","1","1","2","FS",18.5871389174863,5.37447963212874,9,"9_26_7_30",20.2571428571427,0.994780847716455,7,30,9,22,26,0,0.8793279
"10","27","01-P1S1C2FS-W",1.3,1.3,1.1,1,44,8.08,6.75,98,1.33,16.460396039604,NA,"01","1","1","2","FS",164.614219988712,47.8909620100984,10,"10_27_7_30",6.21758241758241,0.993398560776026,7,30,9,27,27,0,0.8793279
"11","28","01-P1S1C2FS-Sp",1.2,1.2,0.9,0.9,39.5,7.62,6.24,99,1.38,18.1102362204724,NA,"01","1","1","2","FS",132.065640667165,34.4357824741611,11,"11_28_7_30",3.74505494505494,0.991895714197872,7,30,9,29,28,0,0.8793279
