"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column18","Column19","Column20","Column21","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","M3",2021-07-27,1899-12-31 08:16:24,0,722,434,9101,436,0,0,0,24,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"2","M3",2021-07-27,1899-12-31 08:16:29,0,727,437,9102,436,0,0,0,50,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"3","M3",2021-07-27,1899-12-31 08:16:34,0,732,437,9102,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"4","M3",2021-07-27,1899-12-31 08:16:39,0,737,438,9103,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"5","M3",2021-07-27,1899-12-31 08:16:44,0,742,439,9103,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"6","M3",2021-07-27,1899-12-31 08:16:49,0,747,441,9103,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"7","M3",2021-07-27,1899-12-31 08:16:54,0,752,441,9104,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"8","M3",2021-07-27,1899-12-31 08:16:59,0,757,460,9104,435,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","16",NA,NA,NA,NA,NA,NA,NA
"9","M3",2021-07-27,1899-12-31 08:17:04,0,762,460,9104,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"10","M3",2021-07-27,1899-12-31 08:17:09,0,767,460,9104,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"11","M3",2021-07-27,1899-12-31 08:17:14,0,772,460,9104,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"12","M3",2021-07-27,1899-12-31 08:17:19,0,777,457,9104,435,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"13","M3",2021-07-27,1899-12-31 08:17:24,0,782,455,9104,435,0,0,0,25,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"14","M3",2021-07-27,1899-12-31 08:17:29,0,787,453,9104,435,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"15","M3",2021-07-27,1899-12-31 08:17:34,0,792,451,9104,435,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"16","M3",2021-07-27,1899-12-31 08:17:39,0,797,450,9104,435,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"17","M3",2021-07-27,1899-12-31 08:17:44,0,802,448,9104,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
"18","M3",2021-07-27,1899-12-31 08:17:49,0,807,448,9104,436,0,0,0,0,0,0,0,0,0,"Codigo de plot 1",NA,NA,NA,"27","07","08","17",NA,NA,NA,NA,NA,NA,NA
