"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","M3",2021-07-28,1899-12-31 09:04:39,1,738,481,8951,399,0,0,0,24,0,0,0,0,0,"28","07","09","04",2,"478+479",2021-07-28,NA,1,478,479
"2","M3",2021-07-28,1899-12-31 09:04:44,1,743,483,8952,399,0,0,0,50,0,0,0,0,0,"28","07","09","04",2,"478+479",2021-07-28,NA,1,478,479
"3","M3",2021-07-28,1899-12-31 09:04:49,1,748,485,8953,399,0,0,0,0,0,0,0,0,0,"28","07","09","04",2,"478+479",2021-07-28,NA,1,478,479
"4","M3",2021-07-28,1899-12-31 09:04:54,1,753,487,8954,399,0,0,0,0,0,0,0,0,0,"28","07","09","04",2,"478+479",2021-07-28,NA,1,478,479
"5","M3",2021-07-28,1899-12-31 09:04:59,1,758,488,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","04",2,"478+479",2021-07-28,NA,1,478,479
"6","M3",2021-07-28,1899-12-31 09:05:04,1,763,489,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"7","M3",2021-07-28,1899-12-31 09:05:09,1,768,488,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"8","M3",2021-07-28,1899-12-31 09:05:14,1,773,488,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"9","M3",2021-07-28,1899-12-31 09:05:19,1,778,489,8956,398,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"10","M3",2021-07-28,1899-12-31 09:05:24,1,783,488,8956,399,0,0,0,25,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"11","M3",2021-07-28,1899-12-31 09:05:29,1,788,488,8956,399,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"12","M3",2021-07-28,1899-12-31 09:05:34,1,793,488,8956,398,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"13","M3",2021-07-28,1899-12-31 09:05:39,1,798,488,8956,398,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"14","M3",2021-07-28,1899-12-31 09:05:44,1,803,488,8956,399,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"15","M3",2021-07-28,1899-12-31 09:05:49,1,808,488,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"16","M3",2021-07-28,1899-12-31 09:05:54,1,813,488,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"17","M3",2021-07-28,1899-12-31 09:05:59,1,818,488,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","05",2,"478+479",2021-07-28,NA,1,478,479
"18","M3",2021-07-28,1899-12-31 09:06:04,1,823,487,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","06",2,"478+479",2021-07-28,NA,1,478,479
"19","M3",2021-07-28,1899-12-31 09:06:09,1,828,487,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","06",2,"478+479",2021-07-28,NA,1,478,479
"20","M3",2021-07-28,1899-12-31 09:06:14,1,833,487,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","06",2,"478+479",2021-07-28,NA,1,478,479
"21","M3",2021-07-28,1899-12-31 09:06:19,1,838,487,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","06",2,"478+479",2021-07-28,NA,1,478,479
"22","Zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","M3",2021-07-28,1899-12-31 09:06:50,1,869,399,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","06",2,"478+479",2021-07-28,NA,1,478,479
"24","M3",2021-07-28,1899-12-31 09:06:55,1,874,398,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","06",2,"478+479",2021-07-28,NA,1,478,479
"25","M3",2021-07-28,1899-12-31 09:07:00,1,879,400,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"26","M3",2021-07-28,1899-12-31 09:07:05,1,884,403,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"27","M3",2021-07-28,1899-12-31 09:07:10,1,889,406,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"28","M3",2021-07-28,1899-12-31 09:07:15,1,894,408,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"29","M3",2021-07-28,1899-12-31 09:07:20,1,899,410,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"30","M3",2021-07-28,1899-12-31 09:07:25,1,904,412,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"31","M3",2021-07-28,1899-12-31 09:07:30,1,909,415,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"32","M3",2021-07-28,1899-12-31 09:07:35,1,914,416,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"33","M3",2021-07-28,1899-12-31 09:07:40,1,919,417,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"34","M3",2021-07-28,1899-12-31 09:07:46,1,924,418,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"35","M3",2021-07-28,1899-12-31 09:07:51,1,929,419,8955,398,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"36","M3",2021-07-28,1899-12-31 09:07:56,1,934,420,8955,399,0,0,0,0,0,0,0,0,0,"28","07","09","07",2,"478+479",2021-07-28,NA,1,478,479
"37","M3",2021-07-28,1899-12-31 09:08:01,1,939,421,8955,397,0,0,0,0,0,0,0,0,0,"28","07","09","08",2,"478+479",2021-07-28,NA,1,478,479
