"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column18","Column19","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","M3",2021-07-30,1899-12-31 08:52:13,1,724,519,8906,415,0,0,0,24,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"2","M3",2021-07-30,1899-12-31 08:52:18,1,729,524,8906,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"3","M3",2021-07-30,1899-12-31 08:52:23,1,734,532,8907,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"4","M3",2021-07-30,1899-12-31 08:52:28,1,739,525,8907,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"5","M3",2021-07-30,1899-12-31 08:52:33,1,744,522,8908,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"6","M3",2021-07-30,1899-12-31 08:52:38,1,749,527,8908,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"7","M3",2021-07-30,1899-12-31 08:52:43,1,754,518,8908,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"8","M3",2021-07-30,1899-12-31 08:52:48,1,759,526,8908,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"9","M3",2021-07-30,1899-12-31 08:52:53,1,764,509,8909,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"10","M3",2021-07-30,1899-12-31 08:52:58,1,769,509,8909,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","52",NA,"479+478",2021-07-30,NA,1,479,478
"11","M3",2021-07-30,1899-12-31 08:53:03,1,774,489,8909,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
"12","M3",2021-07-30,1899-12-31 08:53:08,1,779,487,8909,415,0,0,0,25,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
"13","M3",2021-07-30,1899-12-31 08:53:13,1,784,496,8909,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
"14","M3",2021-07-30,1899-12-31 08:53:18,1,789,486,8908,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
"15","M3",2021-07-30,1899-12-31 08:53:23,1,794,506,8908,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
"16","M3",2021-07-30,1899-12-31 08:53:28,1,799,529,8908,415,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
"17","M3",2021-07-30,1899-12-31 08:53:33,1,804,510,8908,414,0,0,0,0,0,0,0,0,0,NA,NA,"30","07","08","53",NA,"479+478",2021-07-30,NA,1,479,478
