"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_479+478_7_30",0.410174779009869,0.999500625297568,0,0,0,0,0,0,0
"2","2_457+456_7_30",1.35733081507382,0.999462419029969,7,30,9,3,457,456,0.8793279
"3","3_462+461_7_30",0.0712763709401119,0.941971686188747,7,30,9,7,462,461,0.8793279
"4","5_450+449_7_30",0.132639961205192,0.975236431322343,7,30,9,9,450,449,0.8793279
"5","6_0_7_30",0.0714758516012203,0.960548043621249,7,30,9,12,0,0,0.8793279
"6","7_453+452_7_30",0.039070163487736,0.686540817046354,7,30,9,15,453,452,0.8793279
"7","8_476+477_7_30",0.0579175990522508,0.914215016430241,7,30,9,19,476,477,0.87952528
"8","9_484+485_7_30",0.0877179894375251,0.967280307501055,7,30,9,22,484,485,0.87952528
"9","10_488+489_7_30",0.0302890226737707,0.93990202166217,7,30,9,25,488,489,0.87952528
"10","11_472+473_7_30",0.0278176486788634,0.710094418431236,7,30,9,29,472,473,0.87952528
"11","12_468+469_7_30",0.0825613079019052,0.932913529527417,7,30,9,32,468,469,0.87952528
"12","13_464+465_7_30",0.228498352321041,0.991680143527755,7,30,9,34,464,465,0.87952528
"13","14_492+493_7_30",0.131824165880417,0.994361287462587,7,30,9,39,492,493,0.87942659
"14","15_496+497_7_30",0.230050059131334,0.990653764763077,7,30,9,44,496,497,0.87962397
"15","16_500+501_7_30",0.289346892014569,0.993601271009871,7,30,9,47,500,501,0.87962397
"16","17_504+505_7_30",0.070551140920028,0.923866614263304,7,30,9,50,504,505,0.87942659
"17","0_NA_7_30",0.0229617350985075,0.0597838242796751,7,30,9,52,0,0,0.87942659
"18","18_508+509_7_30",1.25923365122616,0.998527220423495,7,30,9,53,508,509,0.87942659
"19","19_512+514_7_30",-0.0263219043684768,0.506324179314431,7,30,9,57,512,514,0.87942659
"20","20_528+529_7_30",0.0648020918866005,0.893336458671255,7,30,10,2,528,529,0.8793279
"21","21_536+537_7_30",0.0861632672898342,0.961401300855393,7,30,10,5,536,537,0.8793279
"22","22_532+533_7_30",0.0846724833962732,0.955015668559328,7,30,10,8,532,533,0.8793279
"23","23_524+525_7_30",0.106104040573408,0.9741156032207,7,30,10,11,524,525,0.87922921
"24","24_520+521_7_30",-0.0124593587239766,0.486672338268699,7,30,10,15,520,521,0.87922921
"25","25_516+517_7_30",0.204454283580494,0.993464010281537,7,30,10,19,516,517,0.8793279
"26","26_540+541_7_30",0.140802417506727,0.982446022473628,7,30,10,25,540,541,0.87913052
"27","27_544+545_7_30",0.0693590480446821,0.981893217036296,7,30,10,28,544,545,0.87913052
"28","28_548+549_7_30",0.253682678498446,0.996314467989874,7,30,10,32,548,549,0.87913052
"29","29_542+543_7_30",0.809006673040332,0.999480597176033,7,30,10,36,542,543,0.87913052
"30","30_557+556_7_30",1.3777814794535,0.999111991424654,7,30,10,38,557,556,0.87913052
"31","31_560+561_7_30",-0.298077710866841,0.841011699811199,7,30,10,43,560,561,0.87913052
"32","32_479+478_7_30",0.0577648733978076,0.919427713050439,7,30,12,5,479,478,0.87972266
"33","33_457+456_7_30",1.62884637192801,0.992795800223177,7,30,12,10,457,456,0.87913052
"34","34_462+461_7_30",-0.126864528285486,0.94575613608585,7,30,12,12,462,461,0.87913052
"35","35_445+444_7_30",0.070119580727116,0.971571435493433,7,30,12,15,445,444,0.87922921
"36","36_450+449_7_30",0.301604278074864,0.930602828580035,7,30,12,19,450,449,0.88001873
"37","37_453+452_7_30",0.0233197051083961,0.82773146322161,7,30,12,21,453,452,0.87992004
"38","38_476+477_7_30",0.0292173268787031,0.688763441935824,7,30,12,27,476,477,0.8793279
"39","39_484+485_7_30",0.288210523160843,0.505285056244071,7,30,12,30,484,485,0.87922921
"40","40_488+489_7_30",-0.0154933216294748,0.873587110915498,7,30,12,32,488,489,0.8793279
"41","41_472+473_7_30",0.00576967002481105,0.394577216849633,7,30,12,40,472,473,0.87922921
"42","42_468+469_7_30",0.0510646299832205,0.781227981654455,7,30,12,44,468,469,0.87922921
"43","43_464+465_7_30",0.280381150054247,0.99178139006755,7,30,12,48,464,465,0.87922921
"44","44_504+505_7_30",0.0713831638498156,0.887516691951739,7,30,12,52,504,505,0.87952528
"45","45_508+509_7_30",1.32095311595604,0.999487123373026,7,30,12,54,508,509,0.87922921
"46","46_512+514_7_30",-0.0428238721547747,0.933761555309119,7,30,12,57,512,514,0.87922921
"47","47_500+501_7_30",0.183445730752081,0.991124736430273,7,30,13,1,500,501,0.8793279
"48","48_497+496_7_30",0.18287734938145,0.852985538066649,7,30,13,4,497,496,0.87922921
"49","49_492+493_7_30",0.0605502171909897,0.885103472742297,7,30,13,6,492,493,0.87913052
"50","50_528+529_7_30",0.0415611814346009,0.852997011434939,7,30,13,9,528,529,0.87903183
"51","51_536+537_7_30",0.101371308016884,0.962441826656035,7,30,13,12,536,537,0.87903183
"52","52_532+533_7_30",0.232757662948455,0.947242200008556,7,30,13,14,532,533,0.87903183
"53","53_524+525_7_30",0.143745685233864,0.996257971604709,7,30,13,18,524,525,0.87903183
"54","54_520+521_7_30",0.021934900542487,0.614244733159956,7,30,13,22,520,521,0.87893314
"55","55_516+517_7_30",0.29912780677465,0.998629262270112,7,30,13,24,516,517,0.87893314
"56","56_540+541_7_30",0.204799046321519,0.97599799133461,7,30,13,32,540,541,0.87883445
"57","57_544+545_7_30",0.0190071551237255,0.38627744104739,7,30,13,35,544,545,0.87873576
"58","58_549+548_7_30",0.232263967408577,0.991490121219728,7,30,13,37,549,548,0.87873576
