"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","457","01-P6S1C2FS-F",1.2,1.3,0.9,1,37.3,10.515,6.71,92.5,3.805,35.0585579629385,NA,"01","6","1","2","FS",257.322787871155,68.7940068796867,2,"2_457+456_7_28",1.32976839237057,0.999756161142609,7,28,9,12,457,456,0.88367026
"2","461","01-P6S1C4FS-F",1.2,1.4,1.1,1.1,42.7,6.17,4.365,20,1.805,28.5791485646137,NA,"01","6","1","4","FS",285.858251532245,77.2888079651466,3,"3_461+462_7_28",0.0997332856905914,0.930736022078055,7,28,9,16,461,462,0.88376895
"3","452","01-P6S1C4AA-S",0.9,1,1.1,1,43,6.96,4.96,100,2,29.0851614853213,NA,"01","6","1","4","AA",263.101058413398,66.6303003893737,4,"4_452+453_7_28",0.116695715524084,0.980433833022393,7,28,9,19,452,453,0.88367026
"4","449","01-P6S1C2AA-F",1.1,1.2,1,0.9,35.7,7.515,5.2,98.5,2.315,30.9224168181963,NA,"01","6","1","2","AA",252.027379041842,68.5973300896026,5,"5_449+450_7_28",0.158235991503518,0.986429789840176,7,28,9,21,449,450,0.88406502
"5","444","01-P6S1C1AA-S",0.5,0.5,0.9,0.9,39.2,7.115,5.305,100,1.81,25.4329119827981,NA,"01","6","1","1","AA",194.469969709148,38.1851424065266,6,"6_444+445_7_28",0.214358192035046,0.984426744151348,7,28,9,24,444,445,0.88376895
"6","376","10-P6S3C4FS",9.4,8.6,8,8.5,40,220.7,NA,88,220.7,100,NA,"10","6","3","4","FS",1200.97050827686,2338.5230315159,7,"37_376_7_28",2.46959421402808,0.999854347393316,7,28,11,22,376,0,0.88386764
"7","336","10-P6S1C1FS",11,10.5,10.5,12.5,39.4,427.8,272.35,99,155.45,36.3370733987845,NA,"10","6","1","1","FS",1571.73245234232,3831.33913816247,8,"7_336_7_28",1.2196941461054,0.992790071274307,7,28,9,28,336,0,0.88376895
"8","338","10-P6S1C2FS",10.4,10,10.2,8.4,36.2,357.8,234.24,98,123.56,34.533258803801,NA,"10","6","1","2","FS",1258.55270825044,2704.68036768077,9,"8_338_7_28",1.28781036151154,0.967894094883728,7,28,9,32,338,0,0.88386764
"9","340","10-P6S1C4FS",8.1,8,7.5,7.9,39,116.2,NA,70,116.2,100,NA,"10","6","1","4","FS",1062.33337891461,1899.88404774465,10,"9_340_7_28",0.601266107317792,0.891718930097549,7,28,9,40,340,0,0.88386764
"10","333","10-P6S1C2AA-b",11.1,10.2,10.4,11,39.7,320.2,236.2,98,84,26.2336039975016,NA,"10","6","1","2","AA",1510.40143550881,3553.1778776745,11,"10_333_7_28",0,0.209299424475349,7,28,9,43,333,0,0.88376895
"11","336","10-P6S1C1FS",11,10.5,10.5,12.5,39.4,427.8,272.35,99,155.45,36.3370733987845,NA,"10","6","1","1","FS",1571.73245234232,3831.33913816247,12,"11_336_7_28",1.40346096386875,0.994682308918026,7,28,9,48,336,0,0.88376895
"12","339","10-P6S1C2FS-b",11.1,10.5,10.6,11.1,40.7,427.5,NA,98,427.5,100,NA,"10","6","1","2","FS",1568.18317552211,3745.76797931507,13,"12_339_7_28",4.77746856341851,0.99952670001993,7,28,9,52,339,0,0.88376895
"13","341","10-P6S1C4FS-b",10.3,9.8,11.2,11.3,39.2,310.1,170.22,80,139.88,45.1080296678491,NA,"10","6","1","4","FS",1490.43485857493,3495.70198192815,14,"13_341_7_28",2.33669791124226,0.999571099021317,7,28,9,57,341,0,0.88376895
"14","330","10-P6S1C1AA",11.9,11.8,11.8,12,39.7,371.9,219.4,98,152.5,41.0056466792148,NA,"10","6","1","1","AA",1702.57268780389,4396.91698744544,15,"14_330_7_28",0.564122734761113,0.991747166018764,7,28,10,0,330,0,0.88367026
"15","332","10-P6S1C2AA",10.1,9.2,10.1,9.6,39.4,212.5,NA,97,212.5,100,NA,"10","6","1","2","AA",1356.18623877236,2941.78251753281,16,"15_332_7_28",0.197462534059946,0.910644203586403,7,28,10,5,332,0,0.88376895
"16","334","10-P6S1C4AA",11.5,12,11.5,11.1,39.3,239.7,150.25,96,89.45,37.3174801835628,NA,"10","6","1","4","AA",1631.67426005435,4100.33624198023,18,"16_334_7_28",1.11092402939304,0.999451888768595,7,28,10,8,334,0,0.88376895
"17","331","10-P6S1C1AA-b",12.2,12.2,11.7,12,39.3,509.2,294.14,97,215.06,42.2348782403771,NA,"10","6","1","1","AA",1711.86266572772,4463.57935825982,19,"17_331_7_28",1.3914341574289,0.9997609097095,7,28,10,13,331,0,0.88376895
"18","348","10-P6S2C1AA",9.8,9.9,9.6,9.3,39.7,266,150.43,98,115.57,43.4473684210526,NA,"10","6","2","1","AA",1349.91443898167,2904.00388412569,20,"18_348_7_28",0.698890745787,0.999888381342333,7,28,10,22,348,0,0.88386764
"19","352","10-P6S2C4AA",11.2,10.3,10.9,10.8,39.1,175,95.33,90,79.67,45.5257142857143,NA,"10","6","2","4","AA",1509.85444099874,3581.93130443648,21,"19_352_7_28",1.15325955629149,0.993866555265104,7,28,10,28,352,0,0.88386764
"20","356","10-P6S2C2FS",10.8,10,10.7,10.1,40,275.1,200.33,98,74.77,27.179207560887,NA,"10","6","2","2","FS",1476.79987459949,3397.94661412272,22,"20_356_7_28",2.78166695596829,0.999783052846381,7,28,10,32,356,0,0.88386764
"21","351","10-P6S2C2AA-b",10,9.4,10.3,10.5,39.5,193.2,140.37,98,52.83,27.3447204968944,NA,"10","6","2","2","AA",1406.02947938749,3134.69031273047,23,"21_351_7_28",1.34355116323857,0.999529449927336,7,28,10,35,351,0,0.88396633
"22","355","10-P6S2C1FS-b",11.2,10.5,10.5,12.4,40,466.4,292.54,NA,173.86,37.2770154373928,NA,"10","6","2","1","FS",1596.61642830712,3906.64900455525,24,"22_355_7_28",7.14841280653945,0.999389939845979,7,28,10,37,355,0,0.88386764
"23","359","10-P6S2C4FS-b",7.9,10.1,8.2,8,40.8,2398.9,83.23,NA,2315.67,96.5304931426904,NA,"10","6","2","4","FS",1211.12706176852,2344.67741152428,25,"23_359_7_28",1.15522917047896,0.999623347787686,7,28,10,40,359,0,0.88386764
"24","350","10-P6S2C2AA",10.2,10,10.1,10.2,39.7,261.2,197.81,100,63.39,24.2687595712098,NA,"10","6","2","2","AA",1423.83483633811,3196.47516460061,26,"24_350_7_28",0.283319181717647,0.993856359886825,7,28,10,43,350,0,0.88386764
"25","354","10-P6S2C1FS",9.2,9.5,12,10.5,40,364.4,214.94,99,149.46,41.0153677277717,NA,"10","6","2","1","FS",1462.76459106018,3342.36660409296,27,"25_354_7_28",3.30685761498208,0.999850856887352,7,28,10,45,354,0,0.88386764
"26","358","10-P6S2C4FS",9.9,9.7,9.8,9.4,38.9,309.8,111.99,65,197.81,63.8508715300194,"Heavier Bag (-4g)","10","6","2","4","FS",1333.23300721969,2874.73844321102,28,"26_358_7_28",3.29228496710807,0.999566597687403,7,28,10,48,358,0,0.88396633
"27","349","10-P6S2C1AA-b",11.7,11.8,11.7,12.2,39.2,417.5,249.48,98,168.02,40.2443113772455,NA,"10","6","2","1","AA",1679.92822305361,4323.3755104674,29,"27_349_7_28",1.24086199070987,0.99701635295263,7,28,10,51,349,0,0.88396633
"28","353","10-P6S2C4AA-b",9.8,9.9,10.1,10.1,40,185.5,95.19,85,90.31,48.6846361185984,NA,"10","6","2","4","AA",1409.82134930713,3126.0679498933,30,"28_353_7_28",2.11462083043075,0.99974536799512,7,28,10,54,353,0,0.88386764
"29","357","10-P6S2C2FS-b",10.3,10.5,10.1,11.2,39,337.6,239.66,NA,97.94,29.010663507109,NA,"10","6","2","2","FS",1463.58235665665,3393.27545854591,31,"29_357_7_28",4.24687920898039,0.99997019937566,7,28,10,56,357,0,0.88386764
"30","366","10-P6S3C1AA",10,10.5,9.9,9.6,38,318.6,NA,95,318.6,100,NA,"10","6","3","1","AA",1351.00885100039,2985.13479445633,32,"30_366_7_28",0.851232970027255,0.999431776407854,7,28,11,2,366,0,0.88396633
"31","374","10-P6S3C2FS",10.5,10.9,10.9,10.6,40.2,328,223.05,99,104.95,31.9969512195122,NA,"10","6","3","2","FS",1535.16503753843,3631.71134537909,33,"31_374_7_28",6.45829717063009,0.999822287044417,7,28,11,5,374,0,0.88396633
"32","372","10-P6S3C1FS",10.1,9.8,9.4,9.1,38.6,326.6,203.54,85,123.06,37.6791181873852,NA,"10","6","3","1","FS",1309.15344114357,2795.19449531937,34,"32_372_7_28",4.51276557308437,0.999867746006455,7,28,11,7,372,0,0.88386764
"33","373","10-P6S3C1FS-b",9.4,10.1,10.9,10.3,36.7,408.6,237.67,97,170.93,41.8330885952031,NA,"10","6","3","1","FS",1336.12929279579,2985.91384398457,35,"33_373_7_28",3.7796765607823,0.998891775178191,7,28,11,10,373,0,0.88386764
"34","377","10-P6S3C4FS-b",8.22,7.8,7.6,7.9,41,214.3,74.25,78,140.05,65.3523098460103,NA,"10","6","3","4","FS",1112.55505850114,1999.70333720373,36,"34_377_7_28",1.08066569714253,0.994422492642334,7,28,11,13,377,0,0.88396633
"35","368","10-P6S3C2AA",10.5,10.7,11,10.4,38.9,344.8,254.77,98,90.03,26.110788863109,NA,"10","6","3","2","AA",1479.68336098602,3465.3083820016,37,"35_368_7_28",0.649813044754397,0.996237674835679,7,28,11,15,368,0,0.88396633
"36","370","10-P6S3C4AA",9.1,9.2,9.2,9,40,141.1,66.08,90,75.02,53.1679659815734,NA,"10","6","3","4","AA",1277.47586216743,2615.87330295032,38,"36_370_7_28",1.1024703604896,0.999371583162672,7,28,11,18,370,0,0.88386764
"37","369","10-P6S3C2AA-b",8,7.9,7.5,7.8,39.5,1399,101.2,98,1297.8,92.7662616154396,NA,"10","6","3","2","AA",1063.53426709314,1887.68583251939,39,"38_369_7_28",0.389921662125346,0.997350634127496,7,28,11,24,369,0,0.88386764
"38","371","10-P6S3C4AA-b",9.1,9.5,8.3,8.4,39.4,186.9,102.45,95,84.45,45.1845906902087,NA,"10","6","3","4","AA",1215.11586398118,2412.31891204903,40,"39_371_7_28",0.773570861793373,0.996542824558953,7,28,11,26,371,0,0.88386764
"39","375","10-P6S3C2FS-b",9.6,9.1,8.5,8.7,39.5,270.8,176.93,98,93.87,34.6639586410635,NA,"10","6","3","2","FS",1240.53357387736,2500.39457473982,41,"40_375_7_28",7.20754303322618,0.999896654211659,7,28,11,29,375,0,0.88386764
"40","394","10-P6S4C4FS",8,8.8,9.2,7.3,38.8,259.4,99.47,70,159.93,61.6538164996145,NA,"10","6","4","4","FS",1123.64159575031,2112.03854853514,42,"41_394_7_28",2.09501953333472,0.999366348183315,7,28,11,35,394,0,0.88376895
"41","385","10-P6S4C1AA-b",11.2,11.6,11.4,11.7,40.1,378.9,214.71,97,164.19,43.3333333333333,NA,"10","6","4","1","AA",1652.44295780204,4147.11259309678,43,"42_385_7_28",1.08196301564723,0.997281054729572,7,28,11,38,385,0,0.88376895
"42","389","10-P6S4C4AA-b",10.1,10.1,9.6,9.7,39.6,174.2,87.77,97,86.43,49.6153846153846,NA,"10","6","4","4","AA",1381.7963443334,3033.43311631384,44,"43_389_7_28",1.26329934533766,0.998967448624635,7,28,11,41,389,0,0.88376895
"43","393","10-P6S4C2FS-b",10.2,8.6,9.2,10.7,36.8,289.5,208.94,98,80.56,27.8272884283247,NA,"10","6","4","2","FS",1265.71804251956,2706.17943097531,45,"44_393_7_28",3.42467471179102,0.999905117020689,7,28,11,44,393,0,0.88376895
"44","384","10-P6S4C1AA",10.4,10.3,10.5,10.6,40.5,281.5,127.7,92,153.8,54.6358792184725,NA,"10","6","4","1","AA",1501.15519769182,3473.68746775766,46,"45_384_7_28",0.505288736420779,0.986526107088051,7,28,11,47,384,0,0.88376895
"45","392","10-P6S4C2FS",9.5,10.1,9.4,9,40.5,255.9,180.57,99,75.33,29.4372801875733,NA,"10","6","4","2","FS",1350.66667443224,2871.68272075663,47,"46_392_7_28",3.19735724398278,0.99989060923097,7,28,11,49,392,0,0.88376895
"46","387","10-P6S4C2AA-b",11.5,11.2,10.5,11.1,40.2,379.1,237.44,100,141.66,37.3674492218412,NA,"10","6","4","2","AA",1591.50269632315,3873.40270759955,48,"47_387_7_28",0.992332499670949,0.988448198179162,7,28,11,52,387,0,0.88376895
"47","391","10-P6S4C1FS-b",9.5,9.7,9,11.5,40.5,396.4,246.1,99,150.3,37.9162462159435,NA,"10","6","4","1","FS",1417.74128515007,3134.44847554599,49,"48_391_7_28",3.43201847857992,0.999838090686461,7,28,11,55,391,0,0.88376895
"48","395","10-P6S4C4FS-b",8.6,8.9,9.2,10.7,37.7,223.4,121.6,75,101.8,45.5684870188004,NA,"10","6","4","4","FS",1245.42436880024,2592.09059571464,50,"49_395_7_28",1.58633293078951,0.999363656788361,7,28,11,58,395,0,0.88376895
"49","410","10-P6S5C2FS",10.5,12.6,10.6,11,40,430,281.01,98,148.99,34.6488372093023,NA,"10","6","5","2","FS",1600.73654711712,3924.71316231339,51,"50_410_7_28",7.51015207404314,0.999771174347588,7,28,12,4,410,0,0.88357157
"50","402","10-P6S5C1AA",11.8,12.3,12.1,12.2,39.9,441.4,253.43,98,187.97,42.5849569551427,NA,"10","6","5","1","AA",1746.71492531496,4588.13290409945,52,"51_402_7_28",1.27023830738571,0.998564052883141,7,28,12,7,402,0,0.88357157
"51","411","10-P6S5C2FS-b",10.2,9.6,10.4,10.6,37.5,290.8,209.6,100,81.2,27.9229711141678,NA,"10","6","5","2","FS",1365.2646639861,3065.11450742897,53,"52_411_7_28",3.8162901267307,0.998218602228664,7,28,12,10,411,0,0.88357157
