"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","chambervolume","respiration","correctedArea"
"1",1,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",1343.135841454,143207.406718788,4,"1_134_7_27",6.8,0.997361577635713,7,27,8,30,134,0,0.8990659,"2021-7-27","8:30:00",2021-07-27 08:30:00,"3_1",223,4,14.375,17.75,20.375,1940,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,5717.92148613432,4.25714310470967
"2",2,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",1406.84018232968,156907.646189669,5,"2_135_7_27",6.77142857142856,0.99856682780737,7,27,8,33,135,0,0.8990659,"2021-7-27","8:33:00",2021-07-27 08:33:00,"3_1",127,4,13.5625,16.25,18.5,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,6270.98072140741,4.45749332452452
"3",3,137,"25-P3S1C1FS",25.4,24.4,26.2,26.6,99,2287.2,1386.8,98,900.4,39.3669115075201,NA,25,3,1,1,"FS",1621.67848066075,204683.840584144,6,"4_137_7_27",3.73626373626373,0.994665289967304,7,27,8,40,137,0,0.8990659,"2021-7-27","8:40:00",2021-07-27 08:40:00,"3_1",127,4,13.5625,16.25,18.5,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,3460.13217344777,2.13367336047892
"4",4,138,"25-P3S1C2FS",23.1,24,22.9,25,100.5,1273.8,825.18,100,448.62,35.2190296749882,NA,25,3,1,2,"FS",1497.17285830647,178095.697653788,7,"5_138_7_27",7.2021978021978,0.995602144042855,7,27,8,44,138,0,0.8990659,"2021-7-27","8:44:00",2021-07-27 08:44:00,"3_1",224,4,14.375,17.875,20.6875,1940,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,5964.63573340494,3.98393258354406
"5",5,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",1592.56533502706,169599.926601596,8,"6_139_7_27",4.77802197802195,0.984083186194488,7,27,8,47,139,0,0.8990659,"2021-7-27","8:47:00",2021-07-27 08:47:00,"3_1",128,4,13.5625,16.375,18.75,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,4365.89979243593,2.74142585953106
"6",29,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",1343.135841454,143207.406718788,32,"31_134_7_27",9.39285714285715,0.575664766343473,7,27,11,36,134,0,0.8990659,"2021-7-27","11:36:00",2021-07-27 11:36:00,"3_1",139,4,13.8125,17.5,20.375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,7898.17936372546,5.88040250282901
"7",30,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",1406.84018232968,156907.646189669,33,"32_135_7_27",4.64285714285716,0.938055062166963,7,27,11,40,135,0,0.9000528,"2021-7-27","11:40:00",2021-07-27 11:40:00,"3_1",139,4,13.8125,17.5,20.375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,3908.32847939336,2.77808988432595
"8",31,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",1406.84018232968,156907.646189669,34,"33_135_7_27",4.84864165588616,0.89239387773823,7,27,11,48,135,0,0.9000528,"2021-7-27","11:48:00",2021-07-27 11:48:00,"3_1",140,4,13.8125,17.625,20.4375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,4069.0747875141,2.89235041664494
"9",32,136,"25-P3S1C4AA",19.9,22,19.5,20,98.5,1086.9,436.98,70,649.92,59.7957493789677,NA,25,3,1,4,"AA",1278.24456399251,128186.04768826,35,"34_136_7_27",2.63956043956042,0.806439096390761,7,27,11,51,136,0,0.9000528,"2021-7-27","11:51:00",2021-07-27 11:51:00,"3_1",140,4,13.8125,17.625,20.4375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,2215.17068016278,1.73297876053065
"10",33,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",1592.56533502706,169599.926601596,36,"36_139_7_27",3.6021978021978,0.994489866559554,7,27,12,22,139,0,0.8990659,"2021-7-27","12:22:00",2021-07-27 12:22:00,"3_1",142,4,13.875,17.6875,20.625,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,2992.26802701452,1.87889812819747
"11",34,140,"10-P3S1C1AA",13.7,13.1,12.1,13.5,40,496.6,285.63,98,210.97,42.4828836085381,NA,10,3,1,1,"AA",522.909753830985,21568.9185224861,37,"37_140_7_27",0,0.916232650135195,7,27,12,30,140,0,0.9000528,"2021-7-27","12:30:00",2021-07-27 12:30:00,"3_1",239,4,14.625,18.875,22.4375,1942,202,0,94206490,15,"TMS-94206490",3,1,"3_1",50000,0,0
"12",57,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",1343.135841454,143207.406718788,60,"62_134_7_27",2.35384615384615,0.98668071654373,7,27,15,36,134,0,0.9000528,"2021-7-27","15:36:00",2021-07-27 15:36:00,"3_1",155,4,14.125,18.125,20.6875,1930,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1563.7,1951.5218438174,1.45295939813861
