"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","chambervolume","respiration","correctedArea"
"1",1,143,"10-P3S1C1FS",10,8.2,11.2,10.2,39.5,298.8,190.84,100,107.96,36.1311914323963,NA,10,3,1,1,"FS",403.412821533343,12188.8192452385,2,"1_143_7_27",2.55932838347137,0.999915815373917,7,27,8,22,143,0,0.89837507,"2021-7-27","8:22:00",2021-07-27 08:22:00,"3_1",126,4,13.5,16.125,18.1875,1922,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,7684270.30145191,19048.1558623857
"2",2,144,"10-P3S1C2FS",10,11.1,10.4,11.1,39.4,343,222.73,95,120.27,35.064139941691,NA,10,3,1,2,"FS",420.240523949798,14039.7079302556,4,"2_144_7_27",11.542772479564,0.999783939799129,7,27,8,34,144,0,0.89837507,"2021-7-27","8:34:00",2021-07-27 08:34:00,"3_1",127,4,13.5625,16.25,18.5,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,34058604.1051465,81045.5017165721
"3",3,141,"10-P3S1C2AA",10,9.7,10,9.9,40,231.3,169.24,95,62.06,26.8309554690878,NA,10,3,1,2,"AA",393.458868464312,12316.4045588885,5,"3_141_7_27",0.822937992216745,0.996140458231731,7,27,8,37,141,0,0.89847376,"2021-7-27","8:37:00",2021-07-27 08:37:00,"3_1",127,4,13.5625,16.25,18.5,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,2429302.56002286,6174.22240221586
"4",4,145,"10-P3S1C4FS",11.5,12,11.4,11.2,40,444.2,245.86,94,198.34,44.6510580819451,NA,10,3,1,4,"FS",459.14232886392,16693.4808833801,6,"4_145_7_27",5.55631496921499,0.99582547232958,7,27,8,41,145,0,0.89847376,"2021-7-27","8:41:00",2021-07-27 08:41:00,"3_1",127,4,13.5625,16.25,18.5,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,16387777.4493389,35692.1512549019
"5",5,240,"01-P3S1C1FS-S",1.3,1.2,0.9,0.8,41.7,12.075,7.74,99,4.335,35.9994077583654,NA,1,3,1,1,"FS",104.807788405142,453.571366352843,7,"5_240+241_7_27",0.637477696123673,0.991836568085393,7,27,8,52,240,241,0.89847376,"2021-7-27","8:52:00",2021-07-27 08:52:00,"3_1",128,4,13.5625,16.375,18.75,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,744359.170716119,7102.13603438273
"6",6,208,"01-P3S1C1AA-S",0.8,0.9,1,1,41.1,7.11,4.93,99.5,2.18,30.7969656403391,NA,1,3,1,1,"AA",83.5144123190342,281.943018094579,8,"6_208+229_7_27",0.190269073569489,0.983729569895976,7,27,8,55,208,229,0.89867114,"2021-7-27","8:55:00",2021-07-27 08:55:00,"3_1",128,4,13.5625,16.375,18.75,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,222238.053680238,2661.07426860964
"7",7,232,"01-P3S1C2AA-S",1.7,1.6,1.2,1.1,44.2,9.93,6.485,93.5,3.445,33.4417887758118,NA,1,3,1,2,"AA",104.408886577512,443.392082556437,9,"7_232+233_7_27",0.261440471088745,0.99450128739523,7,27,8,57,232,233,0.89867114,"2021-7-27","8:57:00",2021-07-27 08:57:00,"3_1",128,4,13.5625,16.375,18.75,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,305343.004190327,2924.49248526028
"8",8,246,"01-P3S1C2FS-W",1.3,1.2,0.8,0.8,38,11.97,7.435,93,4.535,38.0366936110188,NA,1,3,1,2,"FS",88.6034785212002,317.288291641955,10,"8_246+247_7_27",0,0.121976770649525,7,27,9,2,246,247,0.89867114,"2021-7-27","9:2:00",2021-07-27 09:02:00,"3_1",129,4,13.625,16.5,18.875,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,0,0
"9",9,238,"01-P3S1C4AA-W",1.3,1.2,0.8,0.9,46.4,9.125,5.75,100,3.375,37.8663633348939,NA,1,3,1,4,"AA",93.8381059972116,352.536437616457,11,"9_238+239_7_27",0,0.564851741110761,7,27,9,4,238,239,0.89867114,"2021-7-27","9:4:00",2021-07-27 09:04:00,"3_1",129,4,13.625,16.5,18.875,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,0,0
"10",11,248,"01-P3S1C4FS-S",1.7,1.7,1.3,1.4,43.2,13.875,7.81,27.5,6.065,42.9549237119364,NA,1,3,1,4,"FS",123.714424643491,609.798842025047,13,"11_248+249_7_27",0,0.438245980685427,7,27,9,12,248,249,0.89867114,"2021-7-27","9:12:00",2021-07-27 09:12:00,"3_1",129,4,13.625,16.5,18.875,1923,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,0,0
"11",47,208,"01-P3S1C1AA-S",0.8,0.9,1,1,41.1,7.11,4.93,99.5,2.18,30.7969656403391,NA,1,3,1,1,"AA",83.5144123190342,281.943018094579,49,"47_208+229_7_27",0.241141584215705,0.991912872451127,7,27,11,34,208,229,0.89857245,"2021-7-27","11:34:00",2021-07-27 11:34:00,"3_1",139,4,13.8125,17.5,20.375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,259166.157599388,3103.25068934623
"12",48,232,"01-P3S1C2AA-S",1.7,1.6,1.2,1.1,44.2,9.93,6.485,93.5,3.445,33.4417887758118,NA,1,3,1,2,"AA",104.408886577512,443.392082556437,50,"48_232+233_7_27",0.551941213909627,0.997778507376946,7,27,11,36,232,233,0.89857245,"2021-7-27","11:36:00",2021-07-27 11:36:00,"3_1",139,4,13.8125,17.5,20.375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,593149.187718158,5681.02205819244
"13",49,246,"01-P3S1C2FS-W",1.3,1.2,0.8,0.8,38,11.97,7.435,93,4.535,38.0366936110188,NA,1,3,1,2,"FS",88.6034785212002,317.288291641955,51,"49_246+247_7_27",0.0303650986518541,0.766134796754485,7,27,11,39,246,247,0.89857245,"2021-7-27","11:39:00",2021-07-27 11:39:00,"3_1",139,4,13.8125,17.5,20.375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,32634.2172463793,368.317562595141
"14",50,240,"01-P3S1C1FS-S",1.3,1.2,0.9,0.8,41.7,12.075,7.74,99,4.335,35.9994077583654,NA,1,3,1,1,"FS",104.807788405142,453.571366352843,52,"50_240+241_7_27",1.01946221093094,0.999387923428582,7,27,11,42,240,241,0.89857245,"2021-7-27","11:42:00",2021-07-27 11:42:00,"3_1",139,4,13.8125,17.5,20.375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,1095569.76128954,10453.1330921185
"15",51,238,"01-P3S1C4AA-W",1.3,1.2,0.8,0.9,46.4,9.645,5.565,90,4.08,42.7027718012059,NA,1,3,1,4,"AA",90.8860533547355,330.13583479881,53,"51_238+299_7_27",0.396086956521812,0.911391835128274,7,27,11,45,238,299,0.89857245,"2021-7-27","11:45:00",2021-07-27 11:45:00,"3_1",236,4,14.625,18.75,22.125,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,392013.111226747,4313.23725430885
"16",52,248,"01-P3S1C4FS-S",1.7,1.7,1.3,1.4,43.2,13.875,7.81,27.5,6.065,42.9549237119364,NA,1,3,1,4,"FS",123.714424643491,609.798842025047,54,"52_248+249_7_27",0.450373526802686,0.986214251763143,7,27,11,48,248,249,0.89867114,"2021-7-27","11:48:00",2021-07-27 11:48:00,"3_1",140,4,13.8125,17.625,20.4375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",2e+06,482531.166043807,3900.36301291722
"17",53,141,"10-P3S1C2AA",10,9.7,10,9.9,40,231.3,169.24,95,62.06,26.8309554690878,NA,10,3,1,2,"AA",393.458868464312,12316.4045588885,55,"53_141_7_27",0.861055157385721,0.98127614282069,7,27,11,56,141,0,0.89867114,"2021-7-27","11:56:00",2021-07-27 11:56:00,"3_1",140,4,13.8125,17.625,20.4375,1927,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,2301361.39091113,5849.0520238963
"18",54,143,"10-P3S1C1FS",10,8.2,11.2,10.2,39.5,298.8,190.84,100,107.96,36.1311914323963,NA,10,3,1,1,"FS",403.412821533343,12188.8192452385,56,"54_143_7_27",2.8252411516263,0.99730507321339,7,27,11,59,143,0,0.89867114,"2021-7-27","11:59:00",2021-07-27 11:59:00,"3_1",237,4,14.625,18.8125,22.25,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,6936146.18603547,17193.6681627314
"19",55,144,"10-P3S1C2FS",10,11.1,10.4,11.1,39.4,343,222.73,95,120.27,35.064139941691,NA,10,3,1,2,"FS",420.240523949798,14039.7079302556,57,"55_144_7_27",7.92239782016349,0.997270972388333,7,27,12,1,144,0,0.89876983,"2021-7-27","12:1:00",2021-07-27 12:01:00,"3_1",237,4,14.625,18.8125,22.25,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,19444906.6493883,46270.8985478782
"20",92,144,"10-P3S1C2FS",10,11.1,10.4,11.1,39.4,343,222.73,95,120.27,35.064139941691,NA,10,3,1,2,"FS",420.240523949798,14039.7079302556,94,"92_144_7_27",8.39739298032055,0.99856841427403,7,27,15,45,144,0,0.89867114,"2021-7-27","15:45:00",2021-07-27 15:45:00,"3_1",156,4,14.125,18.125,20.625,1931,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,22232180.5743439,52903.4667227851
"21",93,141,"10-P3S1C2AA",10,9.7,10,9.9,40,231.3,169.24,95,62.06,26.8309554690878,NA,10,3,1,2,"AA",393.458868464312,12316.4045588885,95,"93_141_7_27",0.919204368307002,0.999408794286688,7,27,15,48,141,0,0.89857245,"2021-7-27","15:48:00",2021-07-27 15:48:00,"3_1",156,4,14.125,18.125,20.625,1931,202,0,94206490,15,"TMS-94206490",3,1,"3_1",5e+06,2434176.39713389,6186.60956006555
