"","Bark(%)","Waterpercentage","Class","DiamClass","Species","T3","T2","T1","Soil_moist","correctedArea","Plot...16","SubPlot"
"1",85,46.1153069617887,1,25,"AA",20.375,17.75,14.375,1940,4.25714310470967,3,1
"2",98,41.5015283680012,2,25,"AA",18.5,16.25,13.5625,1923,4.45749332452452,3,1
"3",98,39.3669115075201,1,25,"FS",18.5,16.25,13.5625,1923,2.13367336047892,3,1
"4",100,35.2190296749882,2,25,"FS",20.6875,17.875,14.375,1940,3.98393258354406,3,1
"5",35,61.2916791829378,4,25,"FS",18.75,16.375,13.5625,1923,2.74142585953106,3,1
"6",85,46.1153069617887,1,25,"AA",20.375,17.5,13.8125,1927,5.88040250282901,3,1
"7",98,41.5015283680012,2,25,"AA",20.375,17.5,13.8125,1927,2.77808988432595,3,1
"8",98,41.5015283680012,2,25,"AA",20.4375,17.625,13.8125,1927,2.89235041664494,3,1
"9",70,59.7957493789677,4,25,"AA",20.4375,17.625,13.8125,1927,1.73297876053065,3,1
"10",35,61.2916791829378,4,25,"FS",20.625,17.6875,13.875,1927,1.87889812819747,3,1
"11",98,42.4828836085381,1,10,"AA",22.4375,18.875,14.625,1942,0,3,1
"12",85,46.1153069617887,1,25,"AA",20.6875,18.125,14.125,1930,1.45295939813861,3,1
"13",98,41.5015283680012,2,25,"AA",20.6875,18.125,14.125,1930,1.83919393518248,3,1
"14",70,59.7957493789677,4,25,"AA",20.6875,18.125,14.125,1930,0.426227218388914,3,1
"15",98,39.3669115075201,1,25,"FS",20.625,18.125,14.125,1931,0.527994778244431,3,1
"16",100,35.2190296749882,2,25,"FS",20.625,18.125,14.125,1931,1.94587246021908,3,1
"17",35,61.2916791829378,4,25,"FS",20.625,18.125,14.125,1931,1.36073952298377,3,1
"18",100,36.1311914323963,1,10,"FS",18.1875,16.125,13.5,1922,144.398662711316,3,1
"19",95,35.064139941691,2,10,"FS",18.5,16.25,13.5625,1923,584.525295418485,3,1
"20",95,26.8309554690878,2,10,"AA",18.5,16.25,13.5625,1923,46.6482876702954,3,1
"21",94,44.6510580819451,4,10,"FS",18.5,16.25,13.5625,1923,238.552718666684,3,1
"22",99,35.9994077583654,1,1,"FS",18.75,16.375,13.5625,1923,5.49271893182881,3,1
"23",99.5,30.7969656403391,1,1,"AA",18.75,16.375,13.5625,1923,2.28626091092752,3,1
"24",93.5,33.4417887758118,2,1,"AA",18.75,16.375,13.5625,1923,2.27664880255709,3,1
"25",93,38.0366936110188,2,1,"FS",18.875,16.5,13.625,1923,0,3,1
"26",100,37.8663633348939,4,1,"AA",18.875,16.5,13.625,1923,0,3,1
"27",27.5,42.9549237119364,4,1,"FS",18.875,16.5,13.625,1923,0,3,1
"28",99.5,30.7969656403391,1,1,"AA",20.375,17.5,13.8125,1927,2.66615660883756,3,1
