"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",7423.42375913584,35801.8516796971,4,"1_134_7_27",6.8,0.997361577635713,7,27,8,30,134,0,0.8990659,"2021-7-27","8:30:00",2021-07-27 08:30:00,"3_1",29654,4,14.5,18.625,21.75,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,5.35644369103387,0.068200359265715,0.000149613593703352
"2",2,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,5,"2_135_7_27",6.77142857142856,0.99856682780737,7,27,8,33,135,0,0.8990659,"2021-7-27","8:33:00",2021-07-27 08:33:00,"3_1",29558,4,13.6875,17.125,19.6875,1924,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,5.89273109059236,0.0750285825103255,0.00015022164269724
"3",3,137,"25-P3S1C1FS",25.4,24.4,26.2,26.6,99,2287.2,1386.8,98,900.4,39.3669115075201,NA,25,3,1,1,"FS",9012.17804657291,51170.960146036,6,"4_137_7_27",3.73626373626373,0.994665289967304,7,27,8,40,137,0,0.8990659,"2021-7-27","8:40:00",2021-07-27 08:40:00,"3_1",29751,4,15,19.25,22.75,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,2.81373385533116,0.0358255721296776,5.49869271028155e-05
"4",4,138,"25-P3S1C2FS",23.1,24,22.9,25,100.5,1273.8,825.18,100,448.62,35.2190296749882,NA,25,3,1,2,"FS",8384.69394828174,44523.924413447,7,"5_138_7_27",7.2021978021978,0.995602144042855,7,27,8,44,138,0,0.8990659,"2021-7-27","8:44:00",2021-07-27 08:44:00,"3_1",29655,4,14.5,18.5625,21.6875,1941,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,5.68960930189347,0.0724423555726379,0.000127787686661671
"5",5,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",8143.32662789345,42399.981650399,8,"6_139_7_27",4.77802197802195,0.984083186194488,7,27,8,47,139,0,0.8990659,"2021-7-27","8:47:00",2021-07-27 08:47:00,"3_1",29559,4,13.75,17.25,20,1924,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,4.09303105540869,0.0521140899757544,9.65337930840867e-05
"6",29,134,"25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,25,3,1,1,"AA",7423.42375913584,35801.8516796971,32,"31_134_7_27",9.39285714285715,0.575664766343473,7,27,11,36,134,0,0.8990659,"2021-7-27","11:36:00",2021-07-27 11:36:00,"3_1",29570,4,14,17.875,20.625,1930,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,7.80244385628636,0.0993438006339971,0.000217934086931907
"7",30,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,33,"32_135_7_27",4.64285714285716,0.938055062166963,7,27,11,40,135,0,0.9000528,"2021-7-27","11:40:00",2021-07-27 11:40:00,"3_1",29763,4,15.25,19.0625,22.25,1917,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,3.57897495584897,0.045568924434037,9.12377450751568e-05
"8",31,135,"25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,25,3,1,2,"AA",7641.63285566917,39226.9115474172,34,"33_135_7_27",4.84864165588616,0.89239387773823,7,27,11,48,135,0,0.9000528,"2021-7-27","11:48:00",2021-07-27 11:48:00,"3_1",29571,4,14,17.875,20.625,1930,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,4.0320831985367,0.0513380777603916,0.000102788698867173
"9",32,136,"25-P3S1C4AA",19.9,22,19.5,20,98.5,1086.9,436.98,70,649.92,59.7957493789677,NA,25,3,1,4,"AA",6948.42835071496,32046.511922065,35,"34_136_7_27",2.63956043956042,0.806439096390761,7,27,11,51,136,0,0.9000528,"2021-7-27","11:51:00",2021-07-27 11:51:00,"3_1",29571,4,14,17.875,20.625,1930,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,2.19503276488857,0.0279480251824549,6.84952162727335e-05
"10",33,139,"25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,25,3,1,4,"FS",8143.32662789345,42399.981650399,36,"36_139_7_27",3.6021978021978,0.994489866559554,7,27,12,22,139,0,0.8990659,"2021-7-27","12:22:00",2021-07-27 12:22:00,"3_1",29573,4,14,18,20.75,1930,202,0,94206490,15,"TMS-94206490",3,1,"3_1",1.5637,2.97424231600841,0.0378692293236661,7.01472547920413e-05
"11",34,140,"10-P3S1C1AA",13.7,13.1,12.1,13.5,40,496.6,285.63,98,210.97,42.4828836085381,NA,10,3,1,1,"AA",1915.9465783624,5392.22963062152,37,"37_140_7_27",0,0.916232650135195,7,27,12,30,140,0,0.9000528,"2021-7-27","12:30:00",2021-07-27 12:30:00,"3_1",29670,4,14.75,18.5625,21.625,1918,202,0,94206490,15,"TMS-94206490",3,1,"3_1",11.661397,0,0,0
