"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","346","25-P6S2C2FS",22.5,23.2,27,22.7,100.5,1609.9,1051.21,85,558.69,34.7033977265669,NA,"25","6","2","2","FS",8425.60982297308,44924.9015917879,1,"71_346_10_28",0.63636363636364,0.479106041205914,10,28,16,5,346,0,0.88821
"2","326","25-P6S1C4AA",27.2,24.5,26,25.3,100.2,2115.3,845.43,50,1269.87,60.0326194865977,NA,"25","6","1","4","AA",9147.3361692845,52181.2229087022,2,"3_326_10_28",9.99999999999993,0.992851469420175,10,28,10,24,326,0,0.88821
"3","327","25-P6S1C1FS",23.1,23.3,24,23.5,100.3,1883.7,1202.63,96,681.07,36.1559696342305,NA,"25","6","1","1","FS",8262.78758241054,43413.2083093844,3,"4_327_10_28",5.66813186813185,0.996977548207611,10,28,10,29,327,0,0.8891969
"4","328","25-P6S1C2FS",22.5,23.3,22,23.6,99.9,1458,928.2,70,529.8,36.3374485596708,NA,"25","6","1","2","FS",7991.51360458257,40966.4632359887,4,"5_328_10_28",5.42857142857143,0.992219544166772,10,28,10,33,328,0,0.8891969
"5","329","25-P6S1C4FS",27,27.7,21.5,22.5,99.6,1811.9,508.98,60,1302.92,71.9090457530769,NA,"25","6","1","4","FS",8691.28467577007,47814.7158181952,5,"6_329_10_28",4.65274725274725,0.986325177576161,10,28,10,37,329,0,0.88821
"6","342","25-P6S2C1AA",25,25.2,24.3,23.1,99.7,1871.6,1011.02,97,860.58,45.9809788416328,NA,"25","6","2","1","AA",8578.63697505157,46631.9763463545,6,"7_342_10_28",3.30769230769232,0.981343841323002,10,28,10,46,342,0,0.8891969
"7","343","25-P6S2C2AA",20.2,20,21.4,21.5,100.5,1203.1,721.12,98,481.98,40.0615077715901,NA,"25","6","2","2","AA",7238.1123460381,34079.3108644968,7,"8_343_10_28",3.35164835164832,0.985073267637073,10,28,10,49,343,0,0.8891969
"8","344","25-P6S2C4AA",21.5,21,16.5,15.8,99.8,859.6,464.63,55,394.97,45.9481154025128,NA,"25","6","2","4","AA",6424.44812906392,27579.5537809062,8,"9_344_10_28",2.26153846153846,0.969346119515712,10,28,10,56,344,0,0.8891969
"9","345","25-P6S2C1FS",21.2,19.3,21.2,18,98.3,1360.2,838.74,100,521.46,38.3370092633436,NA,"25","6","2","1","FS",6777.02428820783,30653.3943891798,9,"10_345_10_28",2.13626373626372,0.958782220418105,10,28,10,59,345,0,0.8891969
"10","346","25-P6S2C2FS",22.5,23.2,27,22.7,100.5,1609.9,1051.21,85,558.69,34.7033977265669,NA,"25","6","2","2","FS",8425.60982297308,44924.9015917879,10,"11_346_10_28",2.23736263736262,0.989047528154226,10,28,11,3,346,0,0.8891969
"11","347","25-P6S2C4FS",20,19.1,20,17.3,97.1,1240.9,572.23,30,668.67,53.8858892739141,NA,"25","6","2","4","FS",6399.85201414764,27826.3468932466,11,"12_347_10_28",1.40971659919029,0.860559817387897,10,28,11,7,347,0,0.8891969
"12","347","25-P6S2C4FS",20,19.1,20,17.3,97.1,1240.9,572.23,30,668.67,53.8858892739141,NA,"25","6","2","4","FS",6399.85201414764,27826.3468932466,12,"0_347_10_28",15.1287878787879,0.516000775293296,10,28,11,7,347,0,0.8891969
"13","360","25-P6S3C1AA",27.1,26.5,27.5,27,96.4,2295.4,1335.81,99,959.59,41.8049141761784,NA,"25","6","3","1","AA",9331.84249087475,55297.8638553399,13,"13_360_10_28",0.428571428571421,0.216266173752316,10,28,11,13,360,0,0.8891969
"14","361","25-P6S3C2AA",23,22.2,21,21.9,98.8,1286.9,840.93,97,445.97,34.6545963167301,NA,"25","6","3","2","AA",7598.95492406142,37651.0692992219,14,"14_361_10_28",1.79340659340658,0.936032388663962,10,28,11,16,361,0,0.8891969
"15","362","25-P6S3C4AA",24.6,25.5,30.3,25.3,99.5,1549.5,714.6,95,834.9,53.8818973862536,NA,"25","6","3","4","AA",9360.76539386387,54617.8668454187,15,"15_362_10_28",1.95384615384615,0.980784432958346,10,28,11,21,362,0,0.8891969
"16","363","25-P6S3C1FS",21,19.5,22.8,20.2,99.2,1563.9,907.49,100,656.41,41.972632521261,NA,"25","6","3","1","FS",7190.8518215397,33961.2972637139,16,"16_363_10_28",1.82417582417582,0.952413869380079,10,28,11,25,363,0,0.8891969
"17","364","25-P6S3C2FS",25,25.5,25.2,23,96.8,NA,1454.14,80,-1454.14,NA,NA,"25","6","3","2","FS",8460.85962404196,46297.5666365499,17,"17_364_10_28",1.60219780219778,0.913215166381696,10,28,11,29,364,0,0.8891969
"18","365","25-P6S3C4FS",22,21,21,20,104,1552.9,488.76,60,1064.14,68.5259836435057,NA,"25","6","3","4","FS",7554.43152918704,36028.3081501433,18,"18_365_10_28",1.21318681318682,0.900798202566075,10,28,11,32,365,0,0.8891969
"19","383","25-P6S4C4FS",25.2,25.6,25.5,29.2,99.9,1955.7,555.44,50,1400.26,71.5989159891599,NA,"25","6","4","4","FS",9372.26187643554,54605.7138560377,19,"19_383_10_28",2.24615384615384,0.991178424339046,10,28,11,38,383,0,0.8891969
"20","382","25-P6S4C2FS",28.5,28.8,27.8,27.3,98.2,2332.6,1430.71,80,901.89,38.6645802966647,NA,"25","6","4","2","FS",9909.90122164964,60907.3164228997,20,"20_382_10_28",2.47252747252746,0.942593495965231,10,28,11,41,382,0,0.88821
"21","381","25-P6S4C1FS",23.1,22.4,20.2,22.5,90.1,2076,1225.41,100,850.59,40.9725433526012,NA,"25","6","4","1","FS",7006.10098609122,34417.3739847582,21,"0_381_10_28",0.600000000000005,1,10,28,11,44,381,0,0.8891969
"22","381","25-P6S4C1FS",23.1,22.4,20.2,22.5,90.1,2076,1225.41,100,850.59,40.9725433526012,NA,"25","6","4","1","FS",7006.10098609122,34417.3739847582,22,"21_381_10_28",0.574108818011251,0.914985928705438,10,28,11,45,381,0,0.8891969
"23","380","25-P6S4C4AA",29.5,27.3,27.8,30.2,99.1,1426,781.53,60,644.47,45.1942496493689,NA,"25","6","4","4","AA",10229.2551177022,64112.5641577362,23,"22_380_10_28",1.35604395604395,0.961858079512867,10,28,11,47,380,0,0.8891969
"24","379","25-P6S4C2AA",26.1,25.2,25.2,27.5,98.3,2237.6,1423.05,96,814.55,36.402842331069,NA,"25","6","4","2","AA",9091.38413842623,52193.4887990692,24,"23_379_10_28",0.762637362637363,0.814978510271076,10,28,11,50,379,0,0.8891969
"25","378","25-P6S4C1AA",22.4,22.6,20,19.2,99.1,1361.6,745.51,94,616.09,45.2475029377203,NA,"25","6","4","1","AA",7253.56291485758,34542.5262003479,25,"24_378_10_28",1.36043956043955,0.96241381475667,10,28,11,55,378,0,0.8891969
"26","396","25-P6S5C1AA",28.3,30.7,29.3,28.8,101.7,2485.3,1349.7,97,1135.6,45.6926729167505,NA,"25","6","5","1","AA",10699.6768218212,68456.2638746268,26,"25_396_10_28",0.53406593406593,0.866011586125979,10,28,12,3,396,0,0.88821
"27","397","25-P6S5C2AA",28.2,27.5,29.1,27.9,99.1,2709.7,1644.79,97,1064.91,39.2999225006458,NA,"25","6","5","2","AA",10018.9336820523,61788.9260576629,27,"26_397_10_28",0.0879120879120764,0.0569800569800535,10,28,12,6,397,0,0.8891969
"28","398","25-P6S5C4AA",24.6,24.2,22.2,22.3,96.6,839.1,309.94,75,529.16,63.0628053867239,NA,"25","6","5","4","AA",7935.47498431516,41306.4334338905,28,"27_398_10_28",0.490291262135924,0.822830199747748,10,28,12,11,398,0,0.8891969
