"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","29_3_10_27",7.9761904761905,0.991106754274409,10,27,9,57,"3",0,0.8921576
"2","30_4_10_27",5.99340659340658,0.997899139648304,10,27,9,59,"4",0,0.8921576
"3","31_5_10_27",5.00659340659341,0.99080543166127,10,27,10,2,"5",0,0.8931445
"4","32_6_10_27",5.48351648351647,0.992667841916886,10,27,10,6,"6",0,0.8931445
"5","33_37_10_27",4.50769230769231,0.893571811688485,10,27,10,10,"37",0,0.8921576
"6","34_38_10_27",2.95824175824175,0.883720794107603,10,27,10,14,"38",0,0.8921576
"7","35_39_10_27",2.75164835164835,0.976491988736887,10,27,10,17,"39",0,0.8921576
"8","36_40_10_27",6.0087912087912,0.962633903849374,10,27,10,20,"40",0,0.8921576
"9","37_41_10_27",5.23076923076922,0.983529133951237,10,27,10,24,"41",0,0.8921576
"10","0_42_10_27",0.729528535980149,0.359265309176155,10,27,10,27,"42",0,0.8921576
"11","38_42_10_27",1.43333333333333,0.948205128205128,10,27,10,27,"42",0,0.8921576
"12","39_73_10_27",2.27912087912087,0.943169628957211,10,27,10,36,"73",0,0.8921576
"13","40_74_10_27",2.03516483516484,0.954830519798673,10,27,10,41,"74",0,0.8921576
"14","41_75_10_27",1.01098901098899,0.882696479225762,10,27,10,44,"75",0,0.8921576
"15","42_76_10_27",1.44395604395605,0.915082519795213,10,27,10,47,"76",0,0.8921576
"16","43_77_10_27",3.65054945054943,0.989184983605733,10,27,10,51,"77",0,0.8921576
"17","44_78_10_27",1.55824175824176,0.931641229508956,10,27,10,54,"78",0,0.8921576
"18","45_109_10_27",3.13846153846154,0.988158672623836,10,27,11,0,"109",0,0.8921576
"19","46_110_10_27",1.08791208791207,0.925513229711606,10,27,11,4,"110",0,0.8931445
"20","47_111_10_27",1.83956043956044,0.898989458285479,10,27,11,7,"111",0,0.8931445
"21","48_112_10_27",1.15384615384616,0.931338593319705,10,27,11,10,"112",0,0.8921576
"22","49_113_10_27",0.991712707182323,0.868353321654763,10,27,11,15,"113",0,0.8931445
"23","0_113_10_27",NA,0,10,27,11,17,"113",0,0.8931445
"24","50_114_10_27",8.49999999999998,0.971104357211838,10,27,11,19,"114",0,0.8931445
"25","51_121_10_27",1.87252747252745,0.927554306158954,10,27,11,25,"121",0,0.8931445
"26","52_122_10_27",0.507792207792206,0.655991475484867,10,27,11,29,"122",0,0.8931445
"27","53_123_10_27",0.892307692307677,0.897995205927219,10,27,11,33,"123",0,0.8931445
"28","55_125_10_27",0.896761133603237,0.864371588742894,10,27,11,40,"125",0,0.8931445
"29","0_125_10_27",-3.50000000000009,0.854651162790688,10,27,11,40,"125",0,0.8941314
"30","56_126_10_27",1.0021978021978,0.805391587264695,10,27,11,43,"126",0,0.8931445
"31","57_1_10_27",32.621978021978,0.998393812164491,10,27,12,21,"1",0,0.8931445
"32","58_2_10_27",14.8769230769231,0.999455897520968,10,27,12,24,"2",0,0.8931445
"33","59_3_10_27",10.1450549450549,0.996313340783586,10,27,12,27,"3",0,0.8931445
"34","60_4_10_27",7.63296703296702,0.997398865559404,10,27,12,30,"4",0,0.8931445
"35","61_5_10_27",4.81098901098901,0.995218022969025,10,27,12,34,"5",0,0.8931445
"36","62_6_10_27",3.45494505494505,0.982585945017455,10,27,12,37,"6",0,0.8931445
"37","0_37_10_27",NA,0,10,27,12,42,"37",0,0.8931445
"38","63_37_10_27",1.24175824175825,0.85640509725017,10,27,12,42,"37",0,0.8931445
"39","64_38_10_27",1.89450549450547,0.942877445879755,10,27,12,46,"38",0,0.8931445
"40","65_39_10_27",5.47252747252746,0.908716502611786,10,27,12,50,"39",0,0.8931445
"41","66_40_10_27",1.85274725274727,0.876538245687614,10,27,12,53,"40",0,0.8931445
"42","0_41_10_27",-5.05714285714286,0.71551901336074,10,27,12,57,"41",0,0.8931445
"43","67_41_10_27",2.23809523809523,0.932953225636153,10,27,12,57,"41",0,0.8931445
"44","68_42_10_27",1.33846153846153,0.826337659444106,10,27,13,3,"42",0,0.8931445
"45","69_73_10_27",0.973626373626366,0.880494425376318,10,27,13,8,"73",0,0.8931445
"46","70_74_10_27",0.419780219780193,0.493620188079302,10,27,13,13,"74",0,0.8931445
"47","71_75_10_27",1.27692307692306,0.829989796043815,10,27,13,16,"75",0,0.8931445
"48","72_76_10_27",0.724215246636763,0.866911147610905,10,27,13,21,"76",0,0.8921576
"49","0_76_10_27",1.00000000000003,1,10,27,13,21,"76",0,0.8931445
"50","73_77_10_27",5.26813186813187,0.926940621589377,10,27,13,32,"77",0,0.8921576
"51","0_78_10_27",-1.19999999999997,0.467532467532473,10,27,13,35,"78",0,0.8931445
"52","74_78_10_27",1.48774509803923,0.962993455442643,10,27,13,35,"78",0,0.8931445
"53","75_109_10_27",1.65714285714287,0.91912568306011,10,27,13,43,"109",0,0.8931445
"54","76_110_10_27",1.26373626373625,0.953070725414735,10,27,13,50,"110",0,0.8931445
"55","77_111_10_27",0.0831964969896064,0.0341384777466001,10,27,13,54,"111",0,0.8931445
"56","78_112_10_27",0.0681318681318535,0.0119519930352582,10,27,14,3,"112",0,0.8931445
"57","79_113_10_27",1.37142857142855,0.970576798444593,10,27,14,9,"113",0,0.8931445
"58","80_114_10_27",7.25666438824334,0.981868874218235,10,27,14,12,"114",0,0.8931445
"59","0_114_10_27",NA,0,10,27,14,13,"114",0,0
"60","81_121_10_27",2.14505494505494,0.894034613507525,10,27,14,17,"121",0,0.8931445
"61","82_122_10_27",0.754538279400145,0.787487549242963,10,27,14,22,"122",0,0.8931445
"62","0_122_10_27",NA,0,10,27,14,22,"122",0,0.8931445
"63","83_123_10_27",0.423344947735193,0.745455234055447,10,27,14,25,"123",0,0.8931445
"64","0_123_10_27",NA,0,10,27,14,25,"123",0,0.8931445
"65","84_124_10_27",-1.1010989010989,0.661111769586343,10,27,14,28,"124",0,0.8931445
"66","85_125_10_27",1.25054945054945,0.93820652882623,10,27,14,31,"125",0,0.8931445
"67","86_126_10_27",-0.0219780219780102,0.000397930760047775,10,27,14,34,"126",0,0.8931445
"68","87_1_10_27",24.6241758241758,0.99822648653738,10,27,15,23,"1",0,0.8931445
"69","88_2_10_27",11.0703296703297,0.998147959090338,10,27,15,27,"2",0,0.8931445
"70","89_3_10_27",7.38901098901098,0.993537941170266,10,27,15,30,"3",0,0.8931445
"71","90_4_10_27",5.00000000000001,0.984958127682735,10,27,15,33,"4",0,0.8931445
"72","91_5_10_27",2.48351648351648,0.957526583379575,10,27,15,37,"5",0,0.8931445
