;EGM-4 Data
;SoftwareVersion=1.03
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
99	0014	27	10	16	16	00587	06.4	+12.8	0000	043.9	000.0	0067	0062	+00.93	02	00	0905	08
29	0007	27	10	09	57	00683	06.0	+13.0	0000	040.3	000.0	0039	0028	+01.18	02	00	0904	08
29	0008	27	10	09	57	00695	06.1	+13.0	0000	040.4	000.0	0049	0033	+01.26	02	00	0905	08
29	0009	27	10	09	57	00704	06.1	+13.0	0000	040.4	000.0	0058	0038	+01.32	02	00	0905	08
29	0010	27	10	09	57	00712	06.1	+13.0	0000	040.5	000.0	0068	0043	+01.36	02	00	0905	08
29	0011	27	10	09	57	00719	06.1	+13.0	0000	040.5	000.0	0076	0048	+01.37	02	00	0905	08
29	0012	27	10	09	57	00724	06.0	+12.9	0000	040.5	000.0	0083	0052	+01.36	02	00	0905	08
29	0013	27	10	09	57	00733	06.1	+13.0	0000	040.5	000.0	0091	0057	+01.37	02	00	0905	08
29	0014	27	10	09	58	00742	06.0	+12.9	0000	040.6	000.0	0099	0062	+01.38	02	00	0905	08
30	0001	27	10	09	59	00460	06.2	+13.0	0000	041.8	000.0	0000	0000	+00.00	02	00	0904	08
30	0002	27	10	09	59	00466	06.2	+12.9	0000	041.8	000.0	0000	0004	+00.00	02	00	0905	08
30	0003	27	10	10	00	00472	06.2	+12.9	0000	041.9	000.0	0000	0009	+00.00	02	00	0905	08
30	0004	27	10	10	00	00476	06.2	+12.9	0000	042.0	000.0	0016	0014	+00.99	02	00	0904	08
30	0005	27	10	10	00	00483	06.2	+13.0	0000	042.0	000.0	0022	0019	+01.02	02	00	0905	08
30	0006	27	10	10	00	00490	06.2	+12.9	0000	042.0	000.0	0029	0024	+01.05	02	00	0905	08
30	0007	27	10	10	00	00494	06.3	+12.9	0000	042.0	000.0	0034	0028	+01.04	02	00	0905	08
30	0008	27	10	10	00	00501	06.2	+13.0	0000	042.0	000.0	0040	0033	+01.04	02	00	0905	08
30	0009	27	10	10	00	00508	06.2	+12.9	0000	042.0	000.0	0047	0038	+01.07	02	00	0904	08
30	0010	27	10	10	01	00514	06.2	+12.9	0000	041.9	000.0	0054	0043	+01.08	02	00	0905	08
30	0011	27	10	10	01	00518	06.2	+12.9	0000	041.9	000.0	0059	0048	+01.07	02	00	0905	08
30	0012	27	10	10	01	00524	06.2	+13.0	0000	041.9	000.0	0065	0052	+01.06	02	00	0905	08
30	0013	27	10	10	01	00534	06.2	+13.0	0000	041.9	000.0	0072	0057	+01.08	02	00	0904	08
30	0014	27	10	10	01	00537	06.3	+12.9	0000	041.9	000.0	0078	0062	+01.07	02	00	0905	08
31	0001	27	10	10	02	00618	06.4	+12.9	0000	043.4	000.0	0000	0000	+00.00	02	00	0905	08
31	0002	27	10	10	03	00619	06.4	+12.9	0000	043.1	000.0	0000	0004	+00.00	02	00	0905	08
31	0003	27	10	10	03	00622	06.4	+12.9	0000	043.2	000.0	0000	0009	+00.00	02	00	0905	08
31	0004	27	10	10	03	00626	06.5	+12.9	0000	043.3	000.0	0007	0014	+00.47	02	00	0905	08
31	0005	27	10	10	03	00632	06.5	+12.9	0000	043.4	000.0	0013	0019	+00.62	02	00	0904	08
31	0006	27	10	10	03	00636	06.5	+12.9	0000	043.5	000.0	0018	0024	+00.68	02	00	0905	08
31	0007	27	10	10	03	00641	06.5	+12.9	0000	043.5	000.0	0024	0028	+00.73	02	00	0904	08
31	0008	27	10	10	04	00648	06.5	+12.8	0000	043.5	000.0	0031	0033	+00.79	02	00	0904	08
31	0009	27	10	10	04	00652	06.4	+12.9	0000	043.5	000.0	0036	0038	+00.81	02	00	0905	08
31	0010	27	10	10	04	00657	06.4	+12.9	0000	043.5	000.0	0041	0043	+00.82	02	00	0905	08
31	0011	27	10	10	04	00663	06.3	+12.9	0000	043.5	000.0	0047	0048	+00.85	02	00	0905	08
31	0012	27	10	10	04	00671	06.3	+12.9	0000	043.4	000.0	0054	0052	+00.88	02	00	0905	08
31	0013	27	10	10	04	00674	06.4	+13.0	0000	043.4	000.0	0059	0057	+00.89	02	00	0904	08
31	0014	27	10	10	04	00679	06.4	+12.9	0000	043.3	000.0	0065	0062	+00.90	02	00	0904	08
32	0001	27	10	10	06	00710	06.3	+12.9	0000	042.3	000.0	0000	0000	+00.00	02	00	0905	08
32	0002	27	10	10	06	00718	06.3	+13.0	0000	042.3	000.0	0000	0004	+00.00	02	00	0905	08
32	0003	27	10	10	06	00723	06.4	+13.0	0000	042.5	000.0	0000	0009	+00.00	02	00	0904	08
32	0004	27	10	10	06	00729	06.3	+12.9	0000	042.5	000.0	0019	0014	+01.14	02	00	0905	08
32	0005	27	10	10	06	00737	06.3	+13.0	0000	042.4	000.0	0026	0019	+01.17	02	00	0904	08
32	0006	27	10	10	07	00744	06.2	+12.9	0000	042.4	000.0	0033	0024	+01.18	02	00	0905	08
32	0007	27	10	10	07	00746	06.2	+13.0	0000	042.3	000.0	0037	0028	+01.11	02	00	0905	08
32	0008	27	10	10	07	00752	06.3	+13.0	0000	042.3	000.0	0042	0033	+01.08	02	00	0905	08
32	0009	27	10	10	07	00755	06.2	+12.9	0000	042.3	000.0	0045	0038	+01.03	02	00	0904	08
32	0010	27	10	10	07	00763	06.2	+13.0	0000	042.2	000.0	0051	0043	+01.02	02	00	0904	08
32	0011	27	10	10	07	00767	06.2	+12.9	0000	042.2	000.0	0056	0048	+01.00	02	00	0905	08
32	0012	27	10	10	07	00769	06.2	+12.9	0000	042.2	000.0	0059	0052	+00.97	02	00	0905	08
32	0013	27	10	10	08	00779	06.2	+13.0	0000	042.2	000.0	0065	0057	+00.97	02	00	0905	08
32	0014	27	10	10	08	00785	06.2	+13.0	0000	042.2	000.0	0071	0062	+00.98	02	00	0905	08
33	0001	27	10	10	10	00958	06.1	+12.8	0000	041.8	000.0	0000	0000	+00.00	02	00	0904	08
33	0002	27	10	10	10	00954	06.2	+12.8	0000	041.9	000.0	0000	0004	+00.00	02	00	0904	08
33	0003	27	10	10	10	00949	06.2	+12.8	0000	042.1	000.0	0000	0009	+00.00	02	00	0904	08
33	0004	27	10	10	10	00953	06.2	+12.8	0000	042.2	000.0	0006	0014	-00.38	02	01	0904	08
33	0005	27	10	10	11	00956	06.2	+12.8	0000	042.2	000.0	0002	0019	-00.11	02	01	0904	08
33	0006	27	10	10	11	00959	06.2	+12.8	0000	042.2	000.0	0001	0024	+00.06	02	00	0904	08
33	0007	27	10	10	11	00964	06.2	+12.8	0000	042.3	000.0	0007	0028	+00.22	02	00	0904	08
33	0008	27	10	10	11	00970	06.3	+12.8	0000	042.3	000.0	0013	0033	+00.35	02	00	0904	08
33	0009	27	10	10	11	00972	06.2	+12.8	0000	042.4	000.0	0018	0038	+00.41	02	00	0904	08
33	0010	27	10	10	11	00987	06.2	+12.8	0000	042.4	000.0	0028	0043	+00.57	02	00	0904	08
33	0011	27	10	10	11	00989	06.2	+12.8	0000	042.4	000.0	0036	0048	+00.65	02	00	0904	08
