;EGM-4 Data
;SoftwareVersion=1.03
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
71	0014	28	10	16	05	00526	07.4	+13.2	0000	049.0	000.0	0000	0009	+00.00	02	00	0900	08
71	0004	28	10	16	00	00518	07.3	+13.2	0000	048.8	000.0	0002	0014	-00.16	02	01	0900	08
71	0005	28	10	16	00	00516	07.3	+13.2	0000	048.7	000.0	0003	0019	-00.17	02	01	0900	08
71	0006	28	10	16	00	00519	07.2	+13.1	0000	048.6	000.0	0002	0024	-00.07	02	01	0900	08
71	0007	28	10	16	00	00518	07.2	+13.1	0000	048.5	000.0	0001	0028	-00.05	02	01	0900	08
71	0008	28	10	16	00	00516	07.2	+13.1	0000	048.4	000.0	0002	0033	-00.07	02	01	0900	08
71	0009	28	10	16	01	00516	07.2	+13.1	0000	048.4	000.0	0003	0038	-00.07	02	01	0900	08
71	0010	28	10	16	01	00519	07.2	+13.2	0000	048.3	000.0	0002	0043	-00.04	02	01	0900	08
71	0011	28	10	16	01	00519	07.2	+13.2	0000	048.3	000.0	0001	0048	-00.02	02	01	0900	08
71	0012	28	10	16	01	00520	07.2	+13.1	0000	048.3	000.0	0001	0048	-00.02	02	01	0900	08
03	0010	28	10	10	24	01132	04.4	+12.0	0000	030.8	000.0	0065	0043	+01.30	02	00	0900	08
03	0011	28	10	10	25	01142	04.4	+12.1	0000	030.8	000.0	0073	0048	+01.32	02	00	0901	08
03	0012	28	10	10	25	01155	04.4	+12.1	0000	030.9	000.0	0084	0052	+01.36	02	00	0900	08
03	0013	28	10	10	25	01162	04.5	+12.1	0000	031.0	000.0	0093	0057	+01.39	02	00	0901	08
03	0014	28	10	10	25	01172	04.5	+12.1	0000	031.0	000.0	0103	0062	+01.42	02	00	0901	08
04	0001	28	10	10	29	00549	05.2	+12.1	0000	037.0	000.0	0000	0000	+00.00	02	00	0901	08
