"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column.18","Column.19","Column.20","Column.21","Column.22","Day","Month","Hour","Min","Ap_Code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","Zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M3","29/10/21","09:54:54",0,1015,455,896.4,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","54",NA,NA,NA,NA,NA,NA,NA
"3","M3","29/10/21","09:54:59",0,1020,453,896.5,403,0,0,0,24,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","54",NA,NA,NA,NA,NA,NA,NA
"4","M3","29/10/21","09:55:04",0,1025,465,896.5,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"5","M3","29/10/21","09:55:09",0,1030,456,896.6,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"6","M3","29/10/21","09:55:14",0,1035,454,896.6,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"7","M3","29/10/21","09:55:19",0,1040,461,896.6,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"8","M3","29/10/21","09:55:24",0,1045,455,896.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"9","M3","29/10/21","09:55:29",0,1050,454,896.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"10","M3","29/10/21","09:55:34",0,1055,454,896.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"11","M3","29/10/21","09:55:39",0,1060,453,896.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"12","M3","29/10/21","09:55:44",0,1065,460,896.7,403,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"13","M3","29/10/21","09:55:49",0,1070,465,896.7,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"14","M3","29/10/21","09:55:54",0,1075,492,896.7,405,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"15","M3","29/10/21","09:55:59",0,1080,452,896.7,404,0,0,0,25,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","55",NA,NA,NA,NA,NA,NA,NA
"16","M3","29/10/21","09:56:04",0,1085,445,896.7,404,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"29","10","09","56",NA,NA,NA,NA,NA,NA,NA
