"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_194+195_10_26",0.289816648738766,0.998398092671744,0,0,0,0,0,0,0
"2","2_218+219_10_26",-0.0801949786954586,0.563509921216098,10,26,9,6,218,219,0.089955935
"3","3_199+198_10_26",0.00062338141963953,0.000650596718853186,10,26,9,14,199,198,0.089965804
"4","4_225+226_10_26",0.347108680792892,0.995137640604336,10,26,9,34,225,226,0.089946066
"5","0_NA_10_26",0.00285961822397766,0.0577056495756735,10,26,9,30,0,0,0.089955935
"6","5_221+217_10_26",0.10638456429115,0.962267433591115,10,26,9,37,221,217,0.089936197
"7","6_215+216_10_26",0.145217683605867,0.950236887933135,10,26,9,44,215,216,0.089936197
"8","7_155_10_26",0.434282166614452,0.99524759717593,10,26,9,53,155,0,0.089946066
"9","8_156_10_26",1.49983651226158,0.999438291655385,10,26,9,56,156,0,0.089936197
"10","9_154_10_26",0.635986310986312,0.998882153536778,10,26,9,59,154,0,0.089936197
"11","10_152_10_26",0.147185292439997,0.940910652010662,10,26,10,2,152,0,0.089936197
"12","11_153_10_26",0.0808113903324331,0.921445934208538,10,26,10,5,153,0,0.089936197
"13","12_157_10_26",0.465458592040865,0.951897885815479,10,26,10,9,157,0,0.089926328
"14","13_142_10_26",0.630226843929646,0.99914720536054,10,26,10,13,142,0,0.089896721
"15","14_145_10_26",1.26129324536442,0.999491612556771,10,26,10,16,145,0,0.08990659
"16","15_143_10_26",0.30032110641813,0.99210721780733,10,26,10,19,143,0,0.08990659
"17","16_140_10_26",0.41431756649148,0.977866236705045,10,26,10,22,140,0,0.089926328
"18","17_141_10_26",0.029422937376611,0.665197976539183,10,26,10,26,141,0,0.08990659
"19","18_144_10_26",1.186621253406,0.999701478858802,10,26,10,30,144,0,0.08990659
"20","19_246+247_10_26",0.120187329700277,0.973790021843661,10,26,10,37,246,247,0.089896721
"21","20_232+233_10_26",0.204390299220764,0.981577591390457,10,26,10,40,232,233,0.089896721
"22","21_228+229_10_26",0.0871351835887244,0.940058372210702,10,26,10,44,228,229,0.089886852
"23","22_240+241_10_26",0.159519927556946,0.978826202212971,10,26,10,46,240,241,0.089896721
"24","23_238+239_10_26",0.00873342258092176,0.171664760037209,10,26,10,49,238,239,0.089896721
"25","24_248+249_10_26",0.13250185397424,0.982855041123734,10,26,10,52,248,249,0.089896721
"26","25_264+265_10_26",0.159555431422209,0.984942463714303,10,26,10,58,264,265,0.089837507
"27","26_257+258_10_26",0.150670980926428,0.97262902510543,10,26,11,3,257,258,0.089847376
"28","27_261+260_10_26",0.110991144414164,0.953614327943617,10,26,11,8,261,260,0.089847376
"29","28_253+255_10_26",0.112946452051064,0.977220518140106,10,26,11,12,253,255,0.089847376
"30","29_271+269_10_26",0.202313352840631,0.990839293920182,10,26,11,14,271,269,0.089847376
"31","30_272+273_10_26",0.202264986376038,0.981075716801168,10,26,11,17,272,273,0.089847376
"32","31_169_10_26",0.0505090834817472,0.836924359431465,10,26,11,22,169,0,0.089857245
"33","32_168_10_26",0.341431749670129,0.992231444599474,10,26,11,31,168,0,0.089847376
"34","33_167_10_26",0.814565585773912,0.998560701715144,10,26,11,33,167,0,0.089857245
