"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","334","10-P6S1C4AA",11.5,12,11.5,11.1,39.3,239.7,150.25,96,89.45,37.3174801835628,NA,"10","6","1","4","AA",1631.67426005435,4100.33624198023,2,"324_334_10_28",0.185146457765664,0.934725490163087,10,28,10,10,334,0,0.088712441
"2","331","10-P6S1C1AA-b",12.2,12.2,11.7,12,39.3,509.2,294.14,97,215.06,42.2348782403771,NA,"10","6","1","1","AA",1711.86266572772,4463.57935825982,3,"325_331_10_28",0.274447269384181,0.994371047873197,10,28,10,13,331,0,0.088712441
"3","332","10-P6S1C2AA",10.1,9.2,10.1,9.6,39.4,212.5,NA,97,212.5,100,NA,"10","6","1","2","AA",1356.18623877236,2941.78251753281,4,"326_332_10_28",0.057573916565411,0.822083238434616,10,28,10,18,332,0,0.088702572
"4","337","10-P6S1C1FS-b",12.6,11.6,12.1,14.6,38,579.2,338.31,95,240.89,41.5901243093923,NA,"10","6","1","1","FS",1774.28835571818,4836.57744697803,5,"327_337_10_28",0.66981948228883,0.998990055812857,10,28,10,20,337,0,0.088702572
"5","330","10-P6S1C1AA",11.9,11.8,11.8,12,39.7,371.9,219.4,98,152.5,41.0056466792148,NA,"10","6","1","1","AA",1702.57268780389,4396.91698744544,6,"328_330_10_28",0.211021622195829,0.990535095680549,10,28,10,24,330,0,0.088702572
"6","341","10-P6S1C4FS-b",10.3,9.8,11.2,11.3,39.2,310.1,170.22,80,139.88,45.1080296678491,NA,"10","6","1","4","FS",1490.43485857493,3495.70198192815,7,"329_341_10_28",0.280892038728868,0.995694533420501,10,28,10,26,341,0,0.088702572
"7","333","10-P6S1C2AA-b",11.1,10.2,10.4,11,39.7,320.2,236.2,98,84,26.2336039975016,NA,"10","6","1","2","AA",1510.40143550881,3553.1778776745,8,"330_333_10_28",0.109130817626116,0.977176976892572,10,28,10,31,333,0,0.088702572
"8","340","10-P6S1C4FS",8.1,8,7.5,7.9,39,116.2,NA,70,116.2,100,NA,"10","6","1","4","FS",1062.33337891461,1899.88404774465,9,"331_340_10_28",0.150574302979248,0.952308695591057,10,28,10,33,340,0,0.088702572
"9","339","10-P6S1C2FS-b",11.1,10.5,10.6,11.1,40.7,427.5,NA,98,427.5,100,NA,"10","6","1","2","FS",1568.18317552211,3745.76797931507,10,"332_339_10_28",0.344489100817441,0.97605180896197,10,28,10,37,339,0,0.088692703
"10","338","10-P6S1C2FS",10.4,10,10.2,8.4,36.2,357.8,234.24,98,123.56,34.533258803801,NA,"10","6","1","2","FS",1258.55270825044,2704.68036768077,11,"333_338_10_28",1.00736388709554,0.977284334684457,10,28,10,40,338,0,0.088692703
"11","336","10-P6S1C1FS",11,10.5,10.5,12.5,39.4,427.8,272.35,99,155.45,36.3370733987845,NA,"10","6","1","1","FS",1571.73245234232,3831.33913816247,12,"334_336_10_28",0.0969806705126601,0.958912568533269,10,28,10,42,336,0,0.088692703
"12","359","10-P6S2C4FS-b",7.9,10.1,8.2,8,40.8,2398.9,83.23,NA,2315.67,96.5304931426904,NA,"10","6","2","4","FS",1211.12706176852,2344.67741152428,13,"335_359_10_28",0.0724090517117525,0.979520054178912,10,28,10,51,359,0,0.088712441
"13","356","10-P6S2C2FS",10.8,10,10.7,10.1,40,275.1,200.33,98,74.77,27.179207560887,NA,"10","6","2","2","FS",1476.79987459949,3397.94661412272,14,"336_356_10_28",0,0.971197908652448,10,28,10,56,356,0,0.088702572
"14","355","10-P6S2C1FS-b",11.2,10.5,10.5,12.4,40,466.4,292.54,NA,173.86,37.2770154373928,NA,"10","6","2","1","FS",1596.61642830712,3906.64900455525,15,"337_355_10_28",0.283152241385474,0.978932321713044,10,28,11,1,355,0,0.088702572
"15","552","01-P6S5C1FS-S",1.2,1.2,1.1,1.2,42.3,10.81,6.94,100,3.87,35.800185013876,NA,"01","6","5","1","FS",158.314698562199,45.8745176754224,16,"338_552_10_28",0.100208011638443,0.9142886579635,10,28,11,5,552,0,0.088692703
"16","351","10-P6S2C2AA-b",10,9.4,10.3,10.5,39.5,193.2,140.37,98,52.83,27.3447204968944,NA,"10","6","2","2","AA",1406.02947938749,3134.69031273047,17,"339_351_10_28",0.259288651751388,0.983915901022598,10,28,11,7,351,0,0.088692703
"17","348","10-P6S2C1AA",9.8,9.9,9.6,9.3,39.7,266,150.43,98,115.57,43.4473684210526,NA,"10","6","2","1","AA",1349.91443898167,2904.00388412569,18,"340_348_10_28",0.165850691387558,0.935803558811004,10,28,11,10,348,0,0.088702572
"18","358","10-P6S2C4FS",9.9,9.7,9.8,9.4,38.9,309.8,111.99,65,197.81,63.8508715300194,"Heavier Bag (-4g)","10","6","2","4","FS",1333.23300721969,2874.73844321102,19,"341_358_10_28",0.0856232970027255,0.860305381035774,10,28,11,13,358,0,0.088702572
"19","357","10-P6S2C2FS-b",10.3,10.5,10.1,11.2,39,337.6,239.66,NA,97.94,29.010663507109,NA,"10","6","2","2","FS",1463.58235665665,3393.27545854591,20,"342_357_10_28",0.528483292134398,0.998734903637591,10,28,11,15,357,0,0.088702572
"20","354","10-P6S2C1FS",9.2,9.5,12,10.5,40,364.4,214.94,99,149.46,41.0153677277717,NA,"10","6","2","1","FS",1462.76459106018,3342.36660409296,21,"343_354_10_28",1.31255245147028,0.961296797824568,10,28,11,17,354,0,0.088702572
"21","353","10-P6S2C4AA-b",9.8,9.9,10.1,10.1,40,185.5,95.19,85,90.31,48.6846361185984,NA,"10","6","2","4","AA",1409.82134930713,3126.0679498933,22,"344_353_10_28",0.213636961958669,0.961227519387103,10,28,11,20,353,0,0.088712441
"22","350","10-P6S2C2AA",10.2,10,10.1,10.2,39.7,261.2,197.81,100,63.39,24.2687595712098,NA,"10","6","2","2","AA",1423.83483633811,3196.47516460061,23,"345_350_10_28",0.0829824790337921,0.986832226920853,10,28,11,23,350,0,0.088712441
"23","349","10-P6S2C1AA-b",11.7,11.8,11.7,12.2,39.2,417.5,249.48,98,168.02,40.2443113772455,NA,"10","6","2","1","AA",1679.92822305361,4323.3755104674,24,"346_349_10_28",0.162193578035593,0.982213847998014,10,28,11,27,349,0,0.088712441
"24","377","10-P6S3C4FS-b",8.22,7.8,7.6,7.9,41,214.3,74.25,78,140.05,65.3523098460103,NA,"10","6","3","4","FS",1112.55505850114,1999.70333720373,25,"347_377_10_28",0.256168196396046,0.993537351590157,10,28,11,38,377,0,0.08872231
"25","372","10-P6S3C1FS",10.1,9.8,9.4,9.1,38.6,326.6,203.54,85,123.06,37.6791181873852,NA,"10","6","3","1","FS",1309.15344114357,2795.19449531937,26,"348_372_10_28",0.618552452316077,0.99891028675896,10,28,11,40,372,0,0.08872231
