"","type2","Class_mean","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Class_sd","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Class_n","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n","species","Diameter","Class","Month"
"1","AA_1_1_10",1,99.5675675675676,31.2559849837546,283.063851351351,2394.02702702703,1.09644093512971e-05,0,0.817874635209406,21.4546121553316,0.378557016563938,322.498706843789,8.52426681909977e-06,37,37,37,37,37,37,"AA","1","1","10"
"2","AA_1_1_12",1,99.6470588235294,29.7977732997155,273.826470588235,2535.64705882353,1.08226336263399e-05,0,0.765765668350005,18.9848190844618,1.47691138307479,365.196341229015,7.39862438645945e-06,17,17,17,17,17,17,"AA","1","1","12"
"3","AA_1_1_7",1,99.3913043478261,32.2085090073825,295.379619565217,543.478260869565,4.56867992318205e-05,0,1.00505966366989,19.305816915125,0.317065085936321,86.2986388795546,2.62433272046011e-05,46,46,46,46,46,46,"AA","1","1","7"
"4","AA_1_2_10",2,97.9736842105263,48.5197377308235,283.034868421053,2359.28947368421,1.17880915247135e-05,0,2.30436532981588,34.1289394789285,0.347385965816249,336.541303669239,7.2545015056232e-06,38,38,38,38,38,38,"AA","1","2","10"
"5","AA_1_2_12",2,98.2222222222222,46.3129824136181,273.893055555556,2504,9.79821760047484e-06,0,2.10197541698155,35.2558360384259,1.49230392237373,378.133963189829,6.51449642299917e-06,18,18,18,18,18,18,"AA","1","2","12"
"6","AA_1_2_7",2,97.7682926829268,43.6517115622673,295.342073170732,538.219512195122,1.91606467240363e-05,0,2.5546466511428,26.2886048015541,0.315420801489368,84.3796516332943,1.86628200125713e-05,41,41,41,41,41,41,"AA","1","2","7"
"7","AA_1_4_10",4,94,37.0037249091063,283.042361111111,2354.80555555556,1.66333010229062e-05,0,6.40423966714908,20.9590382331181,0.350577046985418,329.80815371056,1.22461364145133e-05,36,36,36,36,36,36,"AA","1","4","10"
"8","AA_1_4_12",4,93.65,36.2664312740448,274.028125,2490.35,1.69185147280529e-05,0,6.82506988589629,20.4175942992563,1.48491247194645,356.232962658161,1.64250578916812e-05,20,20,20,20,20,20,"AA","1","4","12"
"9","AA_1_4_7",4,92.7926829268293,37.7177034122713,295.346646341463,544.634146341463,1.37768265395198e-05,0,7.10367476183638,21.2888349183916,0.320388245803089,90.2584500469516,1.69622220806741e-05,41,41,41,41,41,41,"AA","1","4","7"
"10","AA_10_1_10",1,96.88,48.6530308526158,282.9975,2348.12,4.7557641198669e-05,0,2.67749502181362,21.3566182873008,0.359625301032696,312.253993945144,2.13140174297253e-05,50,50,50,50,50,50,"AA","10","1","10"
"11","AA_10_1_12",1,96.5652173913043,48.6896411268781,274.530434782609,2518.30434782609,3.29214657621985e-05,0,3.01249046707691,22.5016436204397,1.76020896425001,311.104985901808,1.5736676033449e-05,23,23,23,23,23,23,"AA","10","1","12"
"12","AA_10_1_7",1,97.1818181818182,45.2944307118206,295.102651515151,530.666666666667,0.000107707639120004,0,2.08348484297561,19.3911270915634,0.25098940107255,70.3303218154635,4.81142692471477e-05,33,33,33,33,33,33,"AA","10","1","7"
"13","AA_10_2_10",2,97.5294117647059,37.4091492279508,282.985784313725,2347.50980392157,3.25966277397506e-05,0,2.1293467653388,26.4441429573505,0.365710093583729,309.146397200357,2.32832780911728e-05,51,51,51,51,51,51,"AA","10","2","10"
"14","AA_10_2_12",2,97.3809523809524,36.4432184577076,274.551785714286,2538.85714285714,2.16806298061047e-05,0,2.24669068801628,26.0223099486828,1.98977576356878,314.42857467385,1.07466752939665e-05,21,21,21,21,21,21,"AA","10","2","12"
"15","AA_10_2_7",2,98.0606060606061,42.5445081825854,295.062878787879,542.575757575758,0.000119158472651579,0,1.41287371028416,28.4383670121785,0.235900966717996,63.0391893502716,0.000104249072706051,33,33,33,33,33,33,"AA","10","2","7"
"16","AA_10_4_10",4,90.3571428571429,45.0312751312083,283.019047619048,2393.30952380952,6.31033586232065e-05,0,6.0559240440972,8.95202093554979,0.378240451486266,304.557374793701,5.4392983615516e-05,42,42,42,42,42,42,"AA","10","4","10"
"17","AA_10_4_12",4,90.7222222222222,45.3640062650918,273.948611111111,2604.16666666667,3.76597732134252e-05,0,4.99182337964744,11.8272246120632,1.51365651511551,338.049465576372,1.83365196697308e-05,18,18,18,18,18,18,"AA","10","4","12"
"18","AA_10_4_7",4,91.0322580645161,44.6865831761146,295.220564516129,541.451612903226,0.000207696218941615,0,4.22282583876202,7.94131620766362,0.289909259997431,69.7733658400192,7.75459130154873e-05,31,31,31,31,31,31,"AA","10","4","7"
"19","AA_25_1_10",1,96.9666666666667,39.6192249175022,283.066666666667,2413.96666666667,0.0023410923626735,0,3.22151531418682,6.45047892025053,0.371148806789957,317.286065131195,0.00547812874415533,30,30,30,30,30,30,"AA","25","1","10"
"20","AA_25_1_12",1,96.8484848484848,38.8618650307125,273.990909090909,2517.45454545455,0.00103842822517119,0,3.8577941569731,6.3267077760016,1.52982163203828,352.933518076448,0.00149139040210441,33,33,33,33,33,33,"AA","25","1","12"
"21","AA_25_1_7",1,96.7380952380952,40.4424829915727,295.388095238095,552.97619047619,0.00417691158416139,0,3.96361207406014,6.24722718870466,0.31756207839619,93.7959612462561,0.00531140893154352,42,42,42,42,42,42,"AA","25","1","7"
"22","AA_25_2_10",2,96.6969696969697,38.7102895400094,283.053409090909,2407.06060606061,0.00121930705426841,0,1.66742407032615,2.08798393241092,0.36345876344817,317.6150322515,0.0023606134710748,33,33,33,33,33,33,"AA","25","2","10"
