"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume"
"1",1,3,"25-P1S1C4AA",23.1,21.2,24.1,19.5,99.1,1283.5,791.79,86,491.71,38.3100895987534,NA,25,1,1,4,"AA",7600.11430836216,37586.3786050469,1,"29_3_10_27",7.9761904761905,0.991106754274409,10,27,9,57,3,0,0.8921576,"2021-10-27","9:57:00",2021-10-27 09:57:00,"1_1",38315,4,5.5,5.8125,6.5,2319,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,20.8621520275373,0.265625169497373,0.000555045545801425
"2",2,4,"25-P1S1C1FS",27.3,24.4,26.1,22.8,99.6,2879.7,1879.84,98,999.86,34.7209778796402,NA,25,1,1,1,"FS",8864.02916360187,49492.2650341554,2,"30_4_10_27",5.99340659340658,0.997899139648304,10,27,9,59,4,0,0.8921576,"2021-10-27","9:59:00",2021-10-27 09:59:00,"1_1",38219,4,5.5625,4.875,5,2324,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,20.3788974014664,0.259472180496477,0.000411759239295325
"3",3,5,"25-P1S1C2FS",29.4,29.3,30.4,29.8,99.7,3243,2073.36,94,1169.64,36.0666049953747,NA,25,1,1,2,"FS",10698.5731075912,69191.3502170752,3,"31_5_10_27",5.00659340659341,0.99080543166127,10,27,10,2,5,0,0.8931445,"2021-10-27","10:2:00",2021-10-27 10:02:00,"1_1",38123,4,5.625,5.75,6.25,2333,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,13.6338779020316,0.173591924929575,0.000197045987096043
"4",4,6,"25-P1S1C4FS",32.2,32.4,29.9,31.9,99.9,2639.3,1230.34,85,1408.96,53.3838517788808,NA,25,1,1,4,"FS",11487.0528854233,78361.1076270435,4,"32_6_10_27",5.48351648351647,0.992667841916886,10,27,10,6,6,0,0.8931445,"2021-10-27","10:6:00",2021-10-27 10:06:00,"1_1",38123,4,5.625,5.75,6.25,2333,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,14.9326274651311,0.190128117954033,0.000190561720186529
"5",31,1,"25-P1S1C1AA",27.3,26.4,24.2,24.8,102,1658.2,1050.18,100,608.02,36.6674707514172,NA,25,1,1,1,"AA",9265.55224872127,52846.2340635168,31,"57_1_10_27",32.621978021978,0.998393812164491,10,27,12,21,1,0,0.8931445,"2021-10-27","12:21:00",2021-10-27 12:21:00,"1_1",38132,4,5.75,6,6.8125,2332,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,81.5006120368964,1.03769802165495,0.00154222175867706
"6",32,2,"25-P1S1C2AA",25.6,25.8,25.4,25.2,99.2,1519.4,918.18,98,601.22,39.5695669343162,NA,25,1,1,2,"AA",8968.46207118898,50662.9902702905,32,"58_2_10_27",14.8769230769231,0.999455897520968,10,27,12,24,2,0,0.8931445,"2021-10-27","12:24:00",2021-10-27 12:24:00,"1_1",38325,4,5.625,6,6.875,2318,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,36.8296430356979,0.468929579315306,0.000726953597472421
"7",33,3,"25-P1S1C4AA",23.1,21.2,24.1,19.5,99.1,1283.5,791.79,86,491.71,38.3100895987534,NA,25,1,1,4,"AA",7600.11430836216,37586.3786050469,33,"59_3_10_27",10.1450549450549,0.996313340783586,10,27,12,27,3,0,0.8931445,"2021-10-27","12:27:00",2021-10-27 12:27:00,"1_1",38325,4,5.625,6,6.875,2318,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,25.1153246052269,0.319778244662349,0.000668202831380369
"8",34,4,"25-P1S1C1FS",27.3,24.4,26.1,22.8,99.6,2879.7,1879.84,98,999.86,34.7209778796402,NA,25,1,1,1,"FS",8864.02916360187,49492.2650341554,34,"60_4_10_27",7.63296703296702,0.997398865559404,10,27,12,30,4,0,0.8931445,"2021-10-27","12:30:00",2021-10-27 12:30:00,"1_1",38229,4,5.625,4.875,5.0625,2323,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,25.6617012723721,0.326734928451648,0.000518499229216173
"9",35,5,"25-P1S1C2FS",29.4,29.3,30.4,29.8,99.7,3243,2073.36,94,1169.64,36.0666049953747,NA,25,1,1,2,"FS",10698.5731075912,69191.3502170752,35,"61_5_10_27",4.81098901098901,0.995218022969025,10,27,12,34,5,0,0.8931445,"2021-10-27","12:34:00",2021-10-27 12:34:00,"1_1",38133,4,5.75,6,6.8125,2332,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,12.0194596610366,0.153036513467809,0.000173713327219772
"10",36,6,"25-P1S1C4FS",32.2,32.4,29.9,31.9,99.9,2639.3,1230.34,85,1408.96,53.3838517788808,NA,25,1,1,4,"FS",11487.0528854233,78361.1076270435,36,"62_6_10_27",3.45494505494505,0.982585945017455,10,27,12,37,6,0,0.8931445,"2021-10-27","12:37:00",2021-10-27 12:37:00,"1_1",38133,4,5.75,6,6.8125,2332,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,8.63160830842828,0.109901050329555,0.000110151688379777
"11",68,1,"25-P1S1C1AA",27.3,26.4,24.2,24.8,102,1658.2,1050.18,100,608.02,36.6674707514172,NA,25,1,1,1,"AA",9265.55224872127,52846.2340635168,68,"87_1_10_27",24.6241758241758,0.99822648653738,10,27,15,23,1,0,0.8931445,"2021-10-27","15:23:00",2021-10-27 15:23:00,"1_1",38337,4,5.625,5.8125,6.5625,2316,202,0,94206489,14,"TMS-94206489",1,1,"1_1",1.5637,63.8630243799329,0.813129280869164,0.00120846878706957
