"","type2","Class_mean","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Class_sd","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Class_n","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n","species","Diameter","Class","Month"
"1","AA_1_1_10",1,99.4347826086957,24.9419180712569,5.85054347826087,2358.04347826087,0.000758154127349562,0,0.882974670517056,5.61435505661077,0.818539426954048,243.24930687762,0.000364145825212299,23,23,23,23,23,23,"AA","1","1","10"
"2","AA_1_1_7",1,99.5232558139535,27.4788701009208,21.2848837209302,2230.18604651163,0.00066318270471121,0,0.899427651158099,6.94057931442244,1.31958844971963,390.091030634667,0.00034565817833876,43,43,43,43,43,43,"AA","1","1","7"
"3","AA_1_2_10",2,97.2380952380952,31.1649979439152,5.25297619047619,2296.85714285714,0.000811969047603857,0,2.57205680156489,8.57922384335367,0.896276191753838,341.133007156195,0.000377325469726075,21,21,21,21,21,21,"AA","1","2","10"
"4","AA_1_2_7",2,96.9807692307692,35.9520136051567,21.6610576923077,2196.65384615385,0.000369995532827731,0,2.74765634398034,16.5811072390964,1.1928397153593,380.874671492626,0.000231527033767307,26,26,26,26,26,26,"AA","1","2","7"
"5","AA_1_4_10",4,94.3275862068966,34.7527069244015,5.69181034482759,2314.24137931034,0.000952668151526799,0,6.66182603408213,13.8729773673793,0.900138108587799,317.182198110218,0.00048568724045536,29,29,29,29,29,29,"AA","1","4","10"
"6","AA_1_4_7",4,94.0227272727273,36.4792494157317,21.5965909090909,2109.04545454545,0.000403647440661081,0,7.53796308334602,8.74708897468799,1.18062345955294,473.952928873616,0.000216154595891784,22,22,22,22,22,22,"AA","1","4","7"
"7","AA_10_1_10",1,97.0222222222222,45.4851507485159,5.40138888888889,2304.91111111111,0.00277216978966993,0,2.75919033651746,17.7788462076642,1.77690802982727,277.007861902069,0.00138489114197643,45,45,45,45,45,45,"AA","10","1","10"
"8","AA_10_1_7",1,97.3793103448276,39.7321837890187,21.2435344827586,2415,0.00275946751077314,0,2.09444491629385,8.76128670339728,1.05397642399624,239.014195633409,0.00116017729826333,29,29,29,29,29,29,"AA","10","1","7"
"9","AA_10_2_10",2,97.8292682926829,31.160769445256,5.22713414634146,2318.68292682927,0.00226088051540007,0,2.01124885362789,18.1154751693627,1.74568419260325,281.107047139021,0.00139206238435415,41,41,41,41,41,41,"AA","10","2","10"
"10","AA_10_2_7",2,98.1785714285714,35.1774608718706,21.0870535714286,2207.89285714286,0.00274805123333765,0,1.49204238418031,20.7885095067929,0.994972792660644,284.315596592253,0.00142524308839149,28,28,28,28,28,28,"AA","10","2","7"
