;EGM-4 Data
;SoftwareVersion=1.05
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
01	0001	28	04	08	20	00521	10.8	+14.6	0000	065.3	000.0	0000	0000	+00.00	00	00	0910	08
01	0002	28	04	08	20	00521	10.8	+14.6	0000	065.4	000.0	0000	0004	+00.00	00	00	0910	08
01	0003	28	04	08	20	00521	10.9	+14.6	0000	065.5	000.0	0000	0009	+00.00	00	00	0910	08
01	0004	28	04	08	20	00521	10.9	+14.6	0000	065.6	000.0	0000	0014	+00.00	02	00	0910	08
01	0005	28	04	08	20	00521	10.9	+14.6	0000	065.6	000.0	0000	0019	+00.01	02	00	0910	08
01	0006	28	04	08	21	00521	11.0	+14.6	0000	065.7	000.0	0000	0024	+00.01	02	00	0910	08
01	0007	28	04	08	21	00521	10.9	+14.6	0000	065.7	000.0	0000	0028	+00.01	02	00	0910	08
01	0008	28	04	08	21	00521	10.9	+14.6	0000	065.7	000.0	0000	0033	+00.01	02	00	0910	08
01	0009	28	04	08	21	00521	11.0	+14.7	0000	065.7	000.0	0000	0038	+00.01	02	00	0910	08
01	0010	28	04	08	21	00522	11.0	+14.7	0000	065.7	000.0	0000	0043	+00.01	02	00	0910	08
01	0011	28	04	08	21	00521	10.9	+14.7	0000	065.7	000.0	0000	0048	+00.01	02	00	0910	08
01	0012	28	04	08	21	00521	10.9	+14.7	0000	065.7	000.0	0000	0052	+00.01	02	00	0910	08
01	0013	28	04	08	21	00521	10.9	+14.7	0000	065.6	000.0	0000	0057	+00.01	02	00	0910	08
01	0014	28	04	08	21	00522	10.9	+14.7	0000	065.6	000.0	0000	0062	+00.01	02	00	0910	08
02	0001	28	04	08	23	00476	11.7	+15.0	0000	068.9	000.0	0000	0000	+00.00	02	00	0910	08
02	0002	28	04	08	23	00476	11.8	+15.0	0000	068.8	000.0	0000	0004	+00.00	02	00	0910	08
02	0003	28	04	08	23	00476	11.8	+15.0	0000	068.9	000.0	0000	0009	+00.00	02	00	0910	08
02	0004	28	04	08	23	00476	11.8	+15.1	0000	068.9	000.0	0000	0014	+00.02	02	00	0910	08
02	0005	28	04	08	23	00477	11.8	+15.1	0000	068.9	000.0	0000	0019	+00.02	02	00	0910	08
02	0006	28	04	08	24	00477	11.9	+15.1	0000	069.0	000.0	0000	0024	+00.03	02	00	0910	08
02	0007	28	04	08	24	00477	11.9	+15.1	0000	069.0	000.0	0001	0028	+00.03	02	00	0910	08
02	0008	28	04	08	24	00477	12.0	+15.1	0000	069.1	000.0	0001	0033	+00.03	02	00	0910	08
02	0009	28	04	08	24	00478	12.0	+15.2	0000	069.2	000.0	0001	0038	+00.03	02	00	0910	08
02	0010	28	04	08	24	00477	12.0	+15.2	0000	069.2	000.0	0001	0043	+00.03	02	00	0910	08
02	0011	28	04	08	24	00478	12.0	+15.2	0000	069.3	000.0	0001	0048	+00.03	02	00	0910	08
02	0012	28	04	08	24	00478	12.0	+15.2	0000	069.3	000.0	0001	0052	+00.03	02	00	0910	08
02	0013	28	04	08	24	00478	12.0	+15.2	0000	069.4	000.0	0002	0057	+00.03	02	00	0910	08
02	0014	28	04	08	24	00480	12.1	+15.2	0000	069.4	000.0	0002	0062	+00.04	02	00	0908	08
03	0001	28	04	08	26	00474	12.0	+15.6	0000	067.7	000.0	0000	0000	+00.00	02	00	0910	08
03	0002	28	04	08	26	00474	12.0	+15.6	0000	067.7	000.0	0000	0004	+00.00	02	00	0910	08
03	0003	28	04	08	26	00475	11.9	+15.6	0000	067.6	000.0	0000	0009	+00.00	02	00	0910	08
03	0004	28	04	08	26	00475	11.9	+15.6	0000	067.5	000.0	0000	0014	+00.01	02	00	0910	08
03	0005	28	04	08	26	00475	11.9	+15.7	0000	067.4	000.0	0000	0019	+00.01	02	00	0910	08
03	0006	28	04	08	26	00475	11.9	+15.7	0000	067.3	000.0	0000	0024	+00.03	02	00	0910	08
03	0007	28	04	08	26	00475	11.9	+15.7	0000	067.2	000.0	0001	0028	+00.03	02	00	0910	08
03	0008	28	04	08	26	00475	11.8	+15.7	0000	067.1	000.0	0001	0033	+00.03	02	00	0910	08
03	0009	28	04	08	26	00475	11.9	+15.8	0000	067.1	000.0	0001	0038	+00.02	02	00	0910	08
03	0010	28	04	08	26	00475	11.9	+15.8	0000	067.0	000.0	0001	0043	+00.02	02	00	0910	08
03	0011	28	04	08	26	00476	11.9	+15.8	0000	066.9	000.0	0001	0048	+00.02	02	00	0910	08
03	0012	28	04	08	27	00476	11.9	+15.8	0000	066.9	000.0	0001	0052	+00.02	02	00	0910	08
03	0013	28	04	08	27	00476	11.8	+15.8	0000	066.8	000.0	0001	0057	+00.02	02	00	0910	08
