;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
1	1	29	4	9	0	446	9.4	12.4	0	65.4	0	0	0	0	0	0	898	8
1	2	29	4	9	0	446	9.4	12.4	0	65.4	0	0	4	0	0	0	898	8
1	3	29	4	9	0	446	9.4	12.4	0	65.4	0	0	9	0	0	0	898	8
1	4	29	4	9	1	446	9.4	12.4	0	65.4	0	0	14	0.01	2	0	898	8
1	5	29	4	9	1	446	9.4	12.4	0	65.4	0	0	19	0.01	2	0	898	8
1	6	29	4	9	1	446	9.4	12.4	0	65.4	0	0	24	0.01	2	0	898	8
1	7	29	4	9	1	446	9.4	12.4	0	65.4	0	0	28	0.01	2	0	898	8
1	8	29	4	9	1	446	9.4	12.4	0	65.4	0	0	33	0.01	2	0	898	8
1	9	29	4	9	1	446	9.4	12.4	0	65.4	0	0	38	0.01	2	0	898	8
1	10	29	4	9	1	447	9.3	12.3	0	65.4	0	0	43	0.01	2	0	898	8
1	11	29	4	9	1	447	9.4	12.4	0	65.4	0	0	48	0.01	2	0	898	8
1	12	29	4	9	1	447	9.5	12.5	0	65.4	0	0	52	0.01	2	0	898	8
1	13	29	4	9	1	447	9.4	12.4	0	65.5	0	0	57	0.01	2	0	898	8
1	14	29	4	9	1	447	9.4	12.4	0	65.5	0	0	62	0.01	2	0	898	8
2	1	29	4	9	3	431	9.3	12.5	0	64.5	0	0	0	0	2	0	898	8
2	2	29	4	9	3	431	9.2	12.4	0	64.2	0	0	4	0	2	0	898	8
2	3	29	4	9	3	431	9.3	12.4	0	64.3	0	0	9	0	2	0	898	8
2	4	29	4	9	3	431	9.3	12.4	0	64.4	0	0	14	0.01	2	0	898	8
2	5	29	4	9	3	432	9.3	12.4	0	64.4	0	0	19	0.02	2	0	898	8
2	6	29	4	9	3	432	9.3	12.4	0	64.4	0	0	24	0.02	2	0	898	8
2	7	29	4	9	3	432	9.3	12.4	0	64.4	0	0	28	0.02	2	0	898	8
2	8	29	4	9	4	432	9.3	12.4	0	64.4	0	0	33	0.02	2	0	898	8
2	9	29	4	9	4	432	9.3	12.4	0	64.4	0	1	38	0.02	2	0	898	8
2	10	29	4	9	4	432	9.3	12.5	0	64.4	0	1	43	0.02	2	0	898	8
2	11	29	4	9	4	433	9.3	12.4	0	64.4	0	1	48	0.02	2	0	898	8
2	12	29	4	9	4	433	9.3	12.5	0	64.4	0	1	52	0.02	2	0	898	8
