;EGM-4 Data
;SoftwareVersion=1.05
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
01	0001	29	04	09	00	00446	09.4	+12.4	0000	065.4	000.0	0000	0000	+00.00	00	00	0898	08
01	0002	29	04	09	00	00446	09.4	+12.4	0000	065.4	000.0	0000	0004	+00.00	00	00	0898	08
01	0003	29	04	09	00	00446	09.4	+12.4	0000	065.4	000.0	0000	0009	+00.00	00	00	0898	08
01	0004	29	04	09	01	00446	09.4	+12.4	0000	065.4	000.0	0000	0014	+00.01	02	00	0898	08
01	0005	29	04	09	01	00446	09.4	+12.4	0000	065.4	000.0	0000	0019	+00.01	02	00	0898	08
01	0006	29	04	09	01	00446	09.4	+12.4	0000	065.4	000.0	0000	0024	+00.01	02	00	0898	08
01	0007	29	04	09	01	00446	09.4	+12.4	0000	065.4	000.0	0000	0028	+00.01	02	00	0898	08
01	0008	29	04	09	01	00446	09.4	+12.4	0000	065.4	000.0	0000	0033	+00.01	02	00	0898	08
01	0009	29	04	09	01	00446	09.4	+12.4	0000	065.4	000.0	0000	0038	+00.01	02	00	0898	08
01	0010	29	04	09	01	00447	09.3	+12.3	0000	065.4	000.0	0000	0043	+00.01	02	00	0898	08
01	0011	29	04	09	01	00447	09.4	+12.4	0000	065.4	000.0	0000	0048	+00.01	02	00	0898	08
01	0012	29	04	09	01	00447	09.5	+12.5	0000	065.4	000.0	0000	0052	+00.01	02	00	0898	08
01	0013	29	04	09	01	00447	09.4	+12.4	0000	065.5	000.0	0000	0057	+00.01	02	00	0898	08
01	0014	29	04	09	01	00447	09.4	+12.4	0000	065.5	000.0	0000	0062	+00.01	02	00	0898	08
02	0001	29	04	09	03	00431	09.3	+12.5	0000	064.5	000.0	0000	0000	+00.00	02	00	0898	08
02	0002	29	04	09	03	00431	09.2	+12.4	0000	064.2	000.0	0000	0004	+00.00	02	00	0898	08
02	0003	29	04	09	03	00431	09.3	+12.4	0000	064.3	000.0	0000	0009	+00.00	02	00	0898	08
02	0004	29	04	09	03	00431	09.3	+12.4	0000	064.4	000.0	0000	0014	+00.01	02	00	0898	08
02	0005	29	04	09	03	00432	09.3	+12.4	0000	064.4	000.0	0000	0019	+00.02	02	00	0898	08
02	0006	29	04	09	03	00432	09.3	+12.4	0000	064.4	000.0	0000	0024	+00.02	02	00	0898	08
02	0007	29	04	09	03	00432	09.3	+12.4	0000	064.4	000.0	0000	0028	+00.02	02	00	0898	08
02	0008	29	04	09	04	00432	09.3	+12.4	0000	064.4	000.0	0000	0033	+00.02	02	00	0898	08
02	0009	29	04	09	04	00432	09.3	+12.4	0000	064.4	000.0	0001	0038	+00.02	02	00	0898	08
02	0010	29	04	09	04	00432	09.3	+12.5	0000	064.4	000.0	0001	0043	+00.02	02	00	0898	08
02	0011	29	04	09	04	00433	09.3	+12.4	0000	064.4	000.0	0001	0048	+00.02	02	00	0898	08
02	0012	29	04	09	04	00433	09.3	+12.5	0000	064.4	000.0	0001	0052	+00.02	02	00	0898	08
02	0013	29	04	09	04	00433	09.3	+12.4	0000	064.4	000.0	0001	0057	+00.02	02	00	0898	08
02	0014	29	04	09	04	00433	09.3	+12.5	0000	064.4	000.0	0001	0062	+00.02	02	00	0898	08
03	0001	29	04	09	06	00448	09.4	+12.4	0000	065.4	000.0	0000	0000	+00.00	02	00	0898	08
03	0002	29	04	09	06	00449	09.4	+12.4	0000	065.4	000.0	0000	0004	+00.00	02	00	0898	08
03	0003	29	04	09	06	00451	09.4	+12.4	0000	065.4	000.0	0000	0009	+00.00	02	00	0898	08
03	0004	29	04	09	06	00453	09.4	+12.4	0000	065.4	000.0	0005	0014	+00.32	02	00	0898	08
03	0005	29	04	09	07	00455	09.4	+12.4	0000	065.4	000.0	0007	0019	+00.32	02	00	0898	08
03	0006	29	04	09	07	00456	09.4	+12.5	0000	065.4	000.0	0008	0024	+00.31	02	00	0898	08
03	0007	29	04	09	07	00458	09.4	+12.5	0000	065.4	000.0	0010	0028	+00.30	02	00	0898	08
03	0008	29	04	09	07	00460	09.5	+12.4	0000	065.5	000.0	0011	0033	+00.30	02	00	0898	08
03	0009	29	04	09	07	00462	09.5	+12.4	0000	065.5	000.0	0013	0038	+00.30	02	00	0898	08
03	0010	29	04	09	07	00463	09.5	+12.4	0000	065.6	000.0	0015	0043	+00.30	02	00	0898	08
