"","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","146","25-P3S2C1AA",23.3,21.8,22,22.2,99.4,1328,813.15,100,514.85,38.7688253012048,NA,"25","3","2","1","AA",7754.51507244074,38911.1355399389,1,"1_146_4_28",0.039560439560418,0.207692307692295,4,28,8,20,146,0,0.898079
"2","147","25-P3S2C2AA",22,21.2,23.2,20.8,100,1352.2,838.88,96,513.32,37.9618399645023,NA,"25","3","2","2","AA",7595.2537603551,37326.3095148515,2,"2_147_4_28",0.239560439560445,0.798186093382605,4,28,8,23,147,0,0.898079
"3","148","25-P3S2C4AA",25,23,24,24.8,99.4,1047.3,565.86,80,481.44,45.9696362073904,NA,"25","3","2","4","AA",8477.03758610992,45721.1226073268,3,"3_148_4_28",0.140659340659332,0.787692307692322,4,28,8,26,148,0,0.898079
"4","149","25-P3S2C1FS",28,25.5,26.2,24,99.3,2697.5,1569.94,98,1127.56,41.8001853568119,NA,"25","3","2","1","FS",9144.65619122317,52435.2369717568,4,"4_149_4_28",0.171428571428558,0.866666666666638,4,28,8,28,149,0,0.898079
"5","150","25-P3S2C2FS",22.1,21,22,22,100.1,1344.5,866.21,95,478.29,35.5738192636668,NA,"25","3","2","2","FS",7592.54970135671,37278.2693926402,5,"5_150_4_28",0.160439560439557,0.845202220459952,4,28,8,31,150,0,0.898079
"6","151","25-P3S2C4FS",20.3,20.2,20.5,19,100,1086.1,657.18,60,428.92,39.4917595064911,NA,"25","3","2","4","FS",6911.62164759137,31417.5627820717,6,"6_151_4_28",0.397802197802188,0.918060809864068,4,28,8,33,151,0,0.898079
"7","134","25-P3S1C1AA",21.2,22,21,21.2,100,1337.3,720.6,85,616.7,46.1153069617887,NA,"25","3","1","1","AA",7423.42375913584,35801.8516796971,7,"7_134_4_28",0,0.258166491043189,4,28,8,37,134,0,0.8961052
"8","135","25-P3S1C2AA",22.5,23,23.3,23.4,94,1341.3,784.64,98,556.66,41.5015283680012,NA,"25","3","1","2","AA",7641.63285566917,39226.9115474172,8,"8_135_4_28",0.215384615384606,0.380808881839801,4,28,8,39,135,0,0.8961052
"9","136","25-P3S1C4AA",19.9,22,19.5,20,98.5,1086.9,436.98,70,649.92,59.7957493789677,NA,"25","3","1","4","AA",6948.42835071496,32046.511922065,9,"9_136_4_28",0,0.185816414069207,4,28,8,41,136,0,0.898079
"10","137","25-P3S1C1FS",25.4,24.4,26.2,26.6,99,2287.2,1386.8,98,900.4,39.3669115075201,NA,"25","3","1","1","FS",9012.17804657291,51170.960146036,10,"10_137_4_28",0,0.00512820512820572,4,28,8,43,137,0,0.8961052
"11","138","25-P3S1C2FS",23.1,24,22.9,25,100.5,1273.8,825.18,100,448.62,35.2190296749882,NA,"25","3","1","2","FS",8384.69394828174,44523.924413447,11,"11_138_4_28",0,0.00110769230769222,4,28,8,46,138,0,0.8961052
"12","139","25-P3S1C4FS",21.9,28.9,18.5,23.5,100,1997.4,773.16,35,1224.24,61.2916791829378,NA,"25","3","1","4","FS",8143.32662789345,42399.981650399,12,"12_139_4_28",0,0.11046375076711,4,28,8,48,139,0,0.8961052
