"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_146_4_28",0.039560439560418,0.207692307692295,4,28,8,20,"146",0,0.898079
"2","2_147_4_28",0.239560439560445,0.798186093382605,4,28,8,23,"147",0,0.898079
"3","3_148_4_28",0.140659340659332,0.787692307692322,4,28,8,26,"148",0,0.898079
"4","4_149_4_28",0.171428571428558,0.866666666666638,4,28,8,28,"149",0,0.898079
"5","5_150_4_28",0.160439560439557,0.845202220459952,4,28,8,31,"150",0,0.898079
"6","6_151_4_28",0.397802197802188,0.918060809864068,4,28,8,33,"151",0,0.898079
"7","7_134_4_28",-0.153846153846187,0.258166491043189,4,28,8,37,"134",0,0.8961052
"8","8_135_4_28",0.215384615384606,0.380808881839801,4,28,8,39,"135",0,0.8961052
"9","9_136_4_28",-0.125274725274738,0.185816414069207,4,28,8,41,"136",0,0.898079
"10","10_137_4_28",0.0131868131868033,0.00512820512820572,4,28,8,43,"137",0,0.8961052
"11","11_138_4_28",0.00659340659340075,0.00110769230769222,4,28,8,46,"138",0,0.8961052
"12","12_139_4_28",-1.18681318681318,0.11046375076711,4,28,8,48,"139",0,0.8961052
"13","13_158_4_28",-0.274725274725294,0.673346261581494,4,28,8,51,"158",0,0.8961052
"14","14_159_4_28",1.0021978021978,0.956643356643356,4,28,8,54,"159",0,0.8961052
"15","15_160_4_28",0.36043956043956,0.876662320730116,4,28,8,55,"160",0,0.8961052
"16","16_161_4_28",-0.116483516483521,0.324927703875065,4,28,8,59,"161",0,0.8961052
"17","0_163_4_28",0.353846153846148,0.695959189152921,4,28,9,3,"163",0,0.898079
"18","17_162_4_28",0.259340659340638,0.71405128205127,4,28,9,5,"162",0,0.8961052
"19","18_163_4_28",0.314285714285696,0.79244332493703,4,28,9,8,"163",0,0.898079
"20","19_170_4_28",0.167032967032969,0.716625310173701,4,28,9,12,"170",0,0.898079
"21","20_171_4_28",0.520879120879107,0.946482433229421,4,28,9,15,"171",0,0.8990659
"22","21_172_4_28",-2.05734841258595e-14,2.01948391736569e-27,4,28,9,19,"172",0,0.898079
"23","0_172_4_28",NA,0,4,28,9,19,"172",0,0.898079
"24","22_173_4_28",0.0153846153846251,0.0153846153846137,4,28,9,20,"173",0,0.8990659
"25","23_174_4_28",0.105494505494499,0.421978021977999,4,28,9,25,"174",0,0.898079
"26","24_175_4_28",0.591208791208777,0.955576097722015,4,28,9,29,"175",0,0.898079
"27","25_182_4_28",-0.678981937602625,0.817206369613972,4,28,9,36,"182",0,0.8990659
"28","26_183_4_28",0.575824175824172,0.974226511495884,4,28,9,40,"183",0,0.8990659
"29","28_185_4_28",0.0351648351648396,0.164102564102545,4,28,9,42,"185",0,0.8990659
"30","29_186_4_28",0.0703296703296516,0.393846153846123,4,28,9,45,"186",0,0.8990659
"31","30_187_4_28",1.5934065934066,0.991848210663371,4,28,9,48,"187",0,0.8990659
