"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","90_NA_4_27",0.481656804733729,0.927973110185216,4,27,16,39,"NA",0,0.88821
"2","21_111_4_27",-0.0357142857142373,0.0416666666666648,4,27,9,55,"111",0,0.8872231
"3","22_112_4_27",0.210989010988997,0.864540337711052,4,27,9,56,"112",0,0.8862362
"4","23_113_4_27",0.753846153846152,0.991772391991571,4,27,9,59,"113",0,0.8872231
"5","24_114_4_27",4.70549450549451,0.886780838149589,4,27,10,2,"114",0,0.8872231
"6","25_121_4_27",0.760439560439558,0.955282476859242,4,27,10,6,"121",0,0.88821
"7","26_122_4_27",0.973626373626375,0.992836364556193,4,27,10,8,"122",0,0.88821
"8","27_123_4_27",1.29450549450549,0.997057006136028,4,27,10,10,"123",0,0.88821
"9","28_124_4_27",0.329670329670325,0.901442307692312,4,27,10,13,"124",0,0.88821
"10","29_125_4_27",0.56703296703296,0.97715795654727,4,27,10,15,"125",0,0.88821
"11","30_126_4_27",0.501098901098902,0.925641025641026,4,27,10,18,"126",0,0.88821
"12","31_1_4_27",0.31648351648352,0.848445171849421,4,27,11,43,"1",0,0.88821
"13","32_2_4_27",1.96043956043955,0.996498259148861,4,27,11,46,"2",0,0.88821
"14","33_3_4_27",0.901098901098895,0.985576923076925,4,27,11,48,"3",0,0.88821
"15","34_4_4_27",0.191208791208779,0.76108597285066,4,27,11,51,"4",0,0.88821
"16","35_5_4_27",2.03147235905857,0.90114041403515,4,27,11,53,"5",0,0.88821
"17","36_6_4_27",1.21758241758242,0.995317161758983,4,27,11,58,"6",0,0.88821
"18","37_37_4_27",0.586813186813178,0.922417027883807,4,27,12,2,"37",0,0.8872231
"19","38_38_4_27",0.747252747252757,0.96655518394649,4,27,12,4,"38",0,0.8872231
"20","39_39_4_27",0.492307692307686,0.960122464600078,4,27,12,7,"39",0,0.88821
"21","40_40_4_27",0.826373626373615,0.939125813737209,4,27,12,9,"40",0,0.8872231
"22","41_41_4_27",2.61318681318681,0.995630755145518,4,27,12,12,"41",0,0.8872231
"23","42_42_4_27",1.1098901098901,0.983570202672734,4,27,12,15,"42",0,0.8872231
