"","data_format","date","time","egmplotcode","RecNo","CO2 Ref","Atm_press","Flow_rate","H2O","H2O_temp","O2","Cod_err","Out_vltg","PAR","Tsoil","Tair","RH","Column.18","Column.19","Column.20","Column.21","Column.22","Day","Month","Hour","Min","Ap_code","sample_code","Data","Plot","Round","Sample_code1","Sample_code2"
"1","M3",2022-04-27,"08:35:57",1,1133,437,894.9,411,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","35",2,"12",2022-04-27,1,NA,12,NA
"2","M3",2022-04-27,"08:36:02",1,1138,439,894.9,412,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"3","M3",2022-04-27,"08:36:07",1,1143,426,894.9,412,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"4","M3",2022-04-27,"08:36:12",1,1148,429,894.9,412,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"5","M3",2022-04-27,"08:36:17",1,1153,429,894.9,407,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"6","M3",2022-04-27,"08:36:22",1,1158,436,894.9,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"7","M3",2022-04-27,"08:36:27",1,1163,431,895,407,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"8","M3",2022-04-27,"08:36:32",1,1168,433,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"9","M3",2022-04-27,"08:36:37",1,1173,440,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"10","M3",2022-04-27,"08:36:42",1,1178,442,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"11","M3",2022-04-27,"08:36:47",1,1183,441,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"12","M3",2022-04-27,"08:36:52",1,1188,438,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"13","M3",2022-04-27,"08:36:57",1,1193,436,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","36",2,"12",2022-04-27,1,NA,12,NA
"14","M3",2022-04-27,"08:37:02",1,1198,435,895.1,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"15","M3",2022-04-27,"08:37:07",1,1203,435,895.2,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"16","M3",2022-04-27,"08:37:12",1,1208,434,895.2,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"17","M3",2022-04-27,"08:37:17",1,1213,433,895.2,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"18","M3",2022-04-27,"08:37:22",1,1218,433,895.2,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"19","M3",2022-04-27,"08:37:27",1,1223,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"20","M3",2022-04-27,"08:37:32",1,1228,433,895.2,408,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"21","M3",2022-04-27,"08:37:37",1,1233,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"22","M3",2022-04-27,"08:37:42",1,1238,434,895.2,410,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"23","M3",2022-04-27,"08:37:47",1,1243,434,895.2,410,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"24","M3",2022-04-27,"08:37:52",1,1248,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"25","M3",2022-04-27,"08:37:57",1,1253,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","37",2,"12",2022-04-27,1,NA,12,NA
"26","M3",2022-04-27,"08:38:02",1,1258,435,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"27","M3",2022-04-27,"08:38:07",1,1263,435,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"28","M3",2022-04-27,"08:38:12",1,1268,435,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"29","M3",2022-04-27,"08:38:17",1,1273,435,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"30","M3",2022-04-27,"08:38:22",1,1278,434,895.2,410,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"31","M3",2022-04-27,"08:38:27",1,1283,434,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"32","M3",2022-04-27,"08:38:32",1,1288,435,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"33","M3",2022-04-27,"08:38:37",1,1293,435,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"34","M3",2022-04-27,"08:38:42",1,1298,436,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"35","M3",2022-04-27,"08:38:47",1,1303,436,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"36","M3",2022-04-27,"08:38:52",1,1308,436,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"37","M3",2022-04-27,"08:38:57",1,1313,434,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","38",2,"12",2022-04-27,1,NA,12,NA
"38","M3",2022-04-27,"08:39:02",1,1318,434,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"39","M3",2022-04-27,"08:39:07",1,1323,433,895.2,409,0,0,0,24,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"40","M3",2022-04-27,"08:39:12",1,1328,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"41","M3",2022-04-27,"08:39:17",1,1333,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"42","M3",2022-04-27,"08:39:22",1,1338,432,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"43","M3",2022-04-27,"08:39:27",1,1343,432,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"44","M3",2022-04-27,"08:39:32",1,1348,433,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"45","M3",2022-04-27,"08:39:37",1,1353,638,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"46","M3",2022-04-27,"08:39:42",1,1358,928,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
"47","M3",2022-04-27,"08:39:47",1,1363,1131,895.2,409,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"27","04","08","39",2,"12",2022-04-27,1,NA,12,NA
