"","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP"
"1","1_12_4_27",0.302589850743049,0.993276703300738,0,0,0,0,0,0,0
"2","2_133_4_27",0.576034132388208,0.997024596108057,4,27,8,46,133,0,0.088357157
"3","3_6_4_27",-0.245802714588388,0.0344949967565238,4,27,8,48,6,0,0.088357157
"4","4_7_4_27",0.47007283801677,0.430314903808504,4,27,8,51,7,0,0.088357157
"5","5_11_4_27",0.700131222965636,0.997583464905036,4,27,8,53,11,0,0.088357157
"6","6_8_4_27",-0.245951296972299,0.130496983011859,4,27,8,55,8,0,0.088357157
"7","7_29+30_4_27",0.0947523145101094,0.954670092618632,4,27,8,58,29,30,0.088357157
"8","8_33+34_4_27",0.107966603498672,0.969263818770688,4,27,9,0,33,34,0.088357157
"9","9_13+14_4_27",0.155918589424379,0.985063293526528,4,27,9,2,13,14,0.088357157
"10","10_25+26_4_27",0.29682636116415,0.995779833467215,4,27,9,4,25,26,0.088357157
"11","11_21+22_4_27",0.142084707516056,0.952298623757097,4,27,9,6,21,22,0.088357157
"12","12_17+18_4_27",0.139176303509828,0.964319583397619,4,27,9,8,17,18,0.088357157
"13","13_49+50_4_27",0.101184986282176,0.966393927535601,4,27,9,11,49,50,0.088317681
"14","14_57+58_4_27",0.114499318801094,0.961992302343365,4,27,9,13,57,58,0.088317681
"15","15_61+65_4_27",0.103341231187747,0.885909601382926,4,27,9,15,61,65,0.08832755
"16","16_69+70_4_27",0.044714381342629,0.760649177564079,4,27,9,17,69,70,0.088317681
"17","17_62+63_4_27",0.151627835549123,0.986871963020715,4,27,9,20,62,63,0.08832755
"18","18_53+54_4_27",0.0712966262484337,0.921858403804976,4,27,9,22,53,54,0.08832755
"19","19_47_4_27",1.16527416588277,0.997821601939148,4,27,9,24,47,0,0.088317681
"20","20_45_4_27",0.340637046053969,0.992646109906757,4,27,9,26,45,0,0.088317681
"21","21_43_4_27",0.393712006499982,0.987528226684763,4,27,9,29,43,0,0.08832755
"22","22_48_4_27",-0.584599623268125,0.661459098169278,4,27,9,30,48,0,0.08832755
"23","23_46_4_27",0.642420092587425,0.998406744239107,4,27,9,33,46,0,0.088337419
"24","24_44_4_27",0.356682867557715,0.983231973171122,4,27,9,36,44,0,0.088337419
"25","25_84_4_27",0.61150621751199,0.998806168669429,4,27,9,38,84,0,0.088317681
"26","26_82_4_27",0.646568131134455,0.979392753293492,4,27,9,40,82,0,0.088317681
"27","27_80_4_27",0.311202553177705,0.993564114732478,4,27,9,42,80,0,0.08832755
"28","28_83_4_27",1.79968337526331,0.99967659898681,4,27,9,44,83,0,0.08832755
"29","29_81_4_27",0.283463896457768,0.98680219781391,4,27,9,46,81,0,0.08832755
"30","30_79_4_27",0.343668732363216,0.972026163615293,4,27,9,48,79,0,0.08832755
"31","31_93+94_4_27",0.0130475033269687,0.23076172550835,4,27,9,51,93,94,0.088337419
"32","32_105+106_4_27",0.0592231607130802,0.885639737006043,4,27,9,53,105,106,0.088337419
"33","33_101+102_4_27",0.0383758606723368,0.744505728436632,4,27,9,55,101,102,0.088337419
"34","34_97+98_4_27",0.0739537999207842,0.92906363254392,4,27,9,56,97,98,0.088337419
"35","35_90+91_4_27",0.104238650473694,0.971164838284817,4,27,9,58,90,91,0.088337419
"36","36_85+86_4_27",0.291981545162627,0.99565165819097,4,27,10,0,85,86,0.088337419
"37","37_574+575_4_27",0.458396817906007,0.998332735386853,4,27,10,4,574,575,0.088386764
"38","38_210+571_4_27",0.196600822589856,0.991405725016183,4,27,10,6,210,571,0.088386764
"39","39_568+699_4_27",0.208442937565016,0.988267485916994,4,27,10,8,568,699,0.088386764
"40","40_579+578_4_27",0.168404324872288,0.988002573482772,4,27,10,10,579,578,0.088376895
"41","41_209+564_4_27",0.190401427543839,0.985997159302969,4,27,10,12,209,564,0.088406502
"42","42_201+202_4_27",0.100647138964587,0.963746907454052,4,27,10,14,201,202,0.088396633
"43","43_118_4_27",0.715425562691662,0.975182028189766,4,27,10,16,118,0,0.088396633
"44","44_116_4_27",0.253450297576124,0.955750435056561,4,27,10,18,116,0,0.088396633
"45","45_115_4_27",0.372968885446013,0.991565379923322,4,27,10,21,115,0,0.088396633
"46","46_119_4_27",0.579913231855944,0.992180396386141,4,27,10,23,119,0,0.088396633
"47","47_117_4_27",1.08497116581308,0.990591656438183,4,27,10,25,117,0,0.088396633
"48","48_120_4_27",0.875290488574015,0.993868656131828,4,27,10,27,120,0,0.088396633
"49","49_131_4_27",1.52614129491408,0.99896789191467,4,27,10,30,131,0,0.088445978
"50","50_129_4_27",0.337935967302469,0.971245316140871,4,27,10,32,129,0,0.088445978
"51","51_127_4_27",0.341260197882316,0.976306095804174,4,27,10,34,127,0,0.088445978
"52","52_132_4_27",0.869913975489501,0.999368969213154,4,27,10,36,132,0,0.088455847
"53","53_130_4_27",1.2207544986403,0.990458935610257,4,27,10,37,130,0,0.088455847
"54","54_586+595_4_27",0.170723555450958,0.982459887552411,4,27,10,40,586,595,0.088455847
"55","55_587+582_4_27",0.0303778335227486,0.54186549772805,4,27,10,42,587,582,0.088455847
"56","56_592+584_4_27",0.127731975875591,0.912201906601201,4,27,10,45,592,584,0.088455847
"57","57_589+583_4_27",0.0707431012026113,0.930542788075238,4,27,10,47,589,583,0.088455847
"58","58_205+204_4_27",0.0767323597453944,0.911460069289518,4,27,10,51,205,204,0.088455847
"59","59_599+800_4_27",0.308545970028354,0.995614328798976,4,27,10,53,599,800,0.088465716
"60","60_29+30_4_27",0.465888964577657,0.992762590818598,4,27,11,32,29,30,0.088455847
"61","61_33+34_4_27",0.0741827229069032,0.858778050013003,4,27,11,34,33,34,0.088455847
"62","62_13+14_4_27",0.0263475089501543,0.347016496556809,4,27,11,36,13,14,0.088455847
"63","63_25+26_4_27",0.0934773787786543,0.862439426568433,4,27,11,37,25,26,0.088445978
"64","64_21+22_4_27",0.0516723842195615,0.842891664856504,4,27,11,39,21,22,0.088455847
"65","65_17+18_4_27",-1.54674757328863,0.699427974485713,4,27,11,41,17,18,0.088455847
"66","66_12_4_27",0.919935998483316,0.998061294410407,4,27,11,44,12,0,0.088455847
"67","67_133_4_27",0.825558423562503,0.998354115894441,4,27,11,46,133,0,0.088455847
"68","68_6_4_27",1.11584128065395,0.999594973602914,4,27,11,48,6,0,0.088455847
"69","69_8_4_27",0.964360932708441,0.997924090121961,4,27,11,50,8,0,0.088455847
"70","70_11_4_27",0.963008816097696,0.999753592715165,4,27,11,52,11,0,0.088455847
"71","71_7_4_27",0.782843967077225,0.969270056767426,4,27,11,53,7,0,0.088445978
"72","72_48_4_27",0.472524374428488,0.986609190513389,4,27,11,56,48,0,0.088406502
"73","73_46_4_27",1.81577952378319,0.958012410852786,4,27,11,58,46,0,0.088396633
"74","74_44_4_27",0.511008636772593,0.989637694026191,4,27,12,0,44,0,0.088396633
"75","75_47_4_27",1.94121290719043,0.977079934177672,4,27,12,2,47,0,0.088406502
